['CV', 111, 'UV', 7, 'factor', 'nm', 'V3', 'V2', 0.13646740509004818, 0.763322114944458]
['CV', 145, 'UV', 54, 'readlink', 'as', 'V3', 'V1', 0.1257087222954012, 3.3583672046661377]
['UV', 26, 'CV', 66, 'ranlib', 'link', 'V3', 'V2', 0.15037139402314736, 0.986316442489624]
['CV', 110, 'BV', 63, 'wc', 'ruby', 'V3', 'V0', 0.11408515123192875, 9.876421213150024]
['CV', 56, 'UV', 46, 'yes', 'diff', 'V2', 'V1', 0.12811387900355875, 0.08171486854553223]
['BV', 27, 'UV', 22, 'libSDL2-2.0.so', 'nm', 'V1', 'V3', 0.06874889086069214, 7.904678106307983]
['BV', 74, 'UV', 85, 'git', 'elfedit', 'V1', 'V0', 0.09257703081232493, 4.364866256713867]
['UV', 0, 'CV', 42, 'locate', 'dircolors', 'V2', 'V2', 0.12333864965443908, 0.0471796989440918]
['CV', 93, 'UV', 75, 'fmt', 'readelf', 'V3', 'V0', 0.08838383838383834, 0.08794069290161133]
['BV', 10, 'CV', 262, 'gvmap', 'stat', 'V2', 'V1', 0.13722627737226278, 0.11148238182067871]
['CV', 203, 'UV', 80, 'tail', 'objcopy', 'V0', 'V0', 0.1310748999428245, 1.1320984363555908]
['CV', 340, 'BV', 76, 'fold', 'diff', 'V1', 'V2', 0.14296491889852891, 0.07406854629516602]
['BV', 1, 'CV', 43, 'libSDL2-2.0.so', 'chmod', 'V3', 'V2', 0.1871146456974354, 4.979192018508911]
['UV', 68, 'CV', 2, 'diff', 'unlink', 'V0', 'V2', 0.13123689727463317, 0.05767703056335449]
['UV', 73, 'CV', 72, 'nm', 'id', 'V0', 'V2', 0.14591332967635762, 0.8145384788513184]
['UV', 56, 'CV', 203, 'c++filt', 'tail', 'V1', 'V0', 0.13990967856194103, 0.8540849685668945]
['UV', 36, 'CV', 341, 'objdump', 'uniq', 'V3', 'V1', 0.13707983193277307, 1.6155872344970703]
['CV', 162, 'UV', 62, 'tr', 'ar', 'V3', 'V1', 0.13818660956929918, 0.9747262001037598]
['UV', 57, 'CV', 2, 'strings', 'unlink', 'V1', 'V2', 0.14744682760477423, 0.8067903518676758]
