['CV', 63, 'BV', 81, 'mv', 'dot', 'V2', 'V1', 0.19486081370449682, 0.05449628829956055]
['UV', 16, 'CV', 152, 'gprof', 'env', 'V2', 'V3', 0.14127652547271075, 1.1278929710388184]
['CV', 303, 'BV', 63, 'dircolors', 'ruby', 'V1', 'V0', 0.11666867059436492, 9.821206092834473]
['UV', 58, 'CV', 117, 'objcopy', 'pinky', 'V1', 'V3', 0.12976524536308265, 1.283726453781128]
['UV', 74, 'BV', 31, 'strip', 'codeblocks', 'V0', 'V0', 0.10417092619096302, 18.387091636657715]
['BV', 38, 'UV', 42, 'ruby', 'diff', 'V2', 'V3', 0.21139940450871975, 0.05408048629760742]
['CV', 320, 'BV', 26, 'head', 'geany', 'V1', 'V2', 0.1832907875966664, 20.880609273910522]
['UV', 66, 'CV', 232, 'diff3', 'readlink', 'V0', 'V0', 0.1021582733812949, 0.028573989868164062]
['BV', 51, 'UV', 3, 'cp', 'diff3', 'V0', 'V2', 0.04283674440742502, 0.05781745910644531]
['CV', 290, 'BV', 37, 'tail', 'geany', 'V1', 'V1', 0.18317767942443797, 20.180485248565674]
['CV', 199, 'BV', 13, 'expand', 'cp', 'V0', 'V2', 0.1389543099387659, 0.054837942123413086]
['CV', 285, 'UV', 57, 'factor', 'strings', 'V1', 'V1', 0.14781433077963047, 0.887608528137207]
['UV', 65, 'CV', 142, 'objdump', 'nohup', 'V1', 'V3', 0.13346007604562737, 1.494354486465454]
['BV', 35, 'UV', 23, 'libvlccore.so', 'strip', 'V2', 'V3', 0.05003339607747892, 8.635002136230469]
['BV', 80, 'CV', 49, 'cluster', 'tsort', 'V1', 'V2', 0.13761745983631402, 0.11013388633728027]
['BV', 57, 'CV', 65, 'svn', 'env', 'V2', 'V2', 0.22325408618127784, 0.3658905029296875]
['UV', 71, 'BV', 76, 'xargs', 'diff', 'V0', 'V2', 0.12073213657162973, 0.09255409240722656]
['UV', 27, 'CV', 81, 'c++filt', 'sleep', 'V3', 'V2', 0.1498614958448754, 0.8689038753509521]
['UV', 80, 'CV', 112, 'objcopy', 'expand', 'V0', 'V3', 0.13202548865182218, 1.1602742671966553]
['BV', 54, 'CV', 311, 'lua', 'cksum', 'V3', 'V1', 0.13981010045410758, 0.34798121452331543]
['CV', 307, 'BV', 80, 'cut', 'cluster', 'V1', 'V1', 0.14017252002464575, 0.11236310005187988]
['BV', 51, 'CV', 128, 'cp', 'nice', 'V0', 'V3', 0.08454810495626819, 0.040320396423339844]
['CV', 103, 'UV', 52, 'dd', 'strip', 'V3', 'V1', 0.12073178786077543, 1.4186148643493652]
['CV', 33, 'BV', 61, 'sync', 'cmp', 'V2', 'V0', 0.04579207920792083, 0.013927698135375977]
['BV', 49, 'CV', 322, 'make', 'ginstall', 'V3', 'V1', 0.09589496426790756, 0.3128194808959961]
['UV', 70, 'CV', 234, 'locate', 'hostid', 'V0', 'V0', 0.14181818181818184, 0.048528432846069336]
['BV', 23, 'CV', 251, 'diff', 'nl', 'V3', 'V0', 0.08328513591671483, 0.11342406272888184]
['CV', 16, 'BV', 59, 'dd', 'make', 'V2', 'V1', 0.10737506966375632, 0.23622369766235352]
['UV', 27, 'CV', 51, 'c++filt', 'printf', 'V3', 'V2', 0.14369793553060484, 0.9051182270050049]
['UV', 53, 'BV', 24, 'readelf', 'git', 'V1', 'V0', 0.0808580017323075, 4.469728946685791]
['CV', 73, 'UV', 50, 'shred', 'find', 'V2', 'V1', 0.1121685927940177, 0.20787334442138672]
['CV', 70, 'UV', 85, 'vdir', 'elfedit', 'V2', 'V0', 0.1169284467713787, 0.07629060745239258]
['CV', 38, 'UV', 33, 'split', 'ar', 'V2', 'V3', 0.13650662251655632, 1.0796332359313965]
['CV', 51, 'UV', 73, 'printf', 'nm', 'V2', 'V0', 0.14067140671406708, 0.905367374420166]
['CV', 31, 'UV', 6, 'sha1sum', 'sdiff', 'V2', 'V2', 0.08150470219435735, 0.039409637451171875]
['CV', 316, 'UV', 75, 'nohup', 'readelf', 'V1', 'V0', 0.10677555958862672, 0.08297944068908691]
['BV', 79, 'CV', 230, 'bash', 'yes', 'V3', 'V0', 0.1299224537538448, 2.458162307739258]
['UV', 47, 'CV', 314, 'sdiff', 'tty', 'V1', 'V1', 0.1262773722627737, 0.02972555160522461]
['BV', 18, 'UV', 6, 'sort', 'sdiff', 'V3', 'V2', 0.07914812460267007, 0.11340785026550293]
['CV', 78, 'UV', 61, 'rm', 'addr2line', 'V2', 'V1', 0.13202725724020437, 1.0140266418457031]
['UV', 50, 'CV', 97, 'find', 'ptx', 'V1', 'V3', 0.10484391819160388, 0.20960450172424316]
['BV', 78, 'CV', 292, 'make', 'sha1sum', 'V2', 'V1', 0.1365647626709574, 0.1961197853088379]
['UV', 21, 'CV', 201, 'objdump', 'expr', 'V2', 'V0', 0.1284785763866978, 1.5433213710784912]
['BV', 8, 'CV', 145, 'cluster', 'readlink', 'V2', 'V3', 0.11864406779661019, 0.13217902183532715]
['BV', 75, 'CV', 225, 'cmp', 'printf', 'V2', 'V0', 0.06645569620253167, 0.02952098846435547]
['BV', 81, 'CV', 129, 'dot', 'dircolors', 'V1', 'V3', 0.16041666666666665, 0.017168760299682617]
['CV', 106, 'BV', 70, 'pr', 'ssh', 'V3', 'V0', 0.11168251175694421, 3.6663239002227783]
['BV', 78, 'CV', 321, 'make', 'hostid', 'V2', 'V1', 0.14754436648782498, 0.18060088157653809]
['BV', 24, 'CV', 160, 'git', 'shred', 'V0', 'V3', 0.09029671210906176, 4.714437007904053]
['CV', 276, 'BV', 83, 'uptime', 'git', 'V1', 'V2', 0.09396754027884602, 6.619065761566162]
['UV', 13, 'BV', 62, 'strings', 'diff', 'V2', 'V0', 0.1278616245548584, 1.1114835739135742]
['CV', 329, 'UV', 37, 'cat', 'locate', 'V1', 'V3', 0.1620333598093725, 0.09319758415222168]
['BV', 51, 'UV', 46, 'cp', 'diff', 'V0', 'V1', 0.0737770649558942, 0.133345365524292]
['CV', 143, 'UV', 77, 'yes', 'ranlib', 'V3', 'V0', 0.1439082070596479, 0.9338235855102539]
['UV', 19, 'CV', 156, 'elfedit', 'csplit', 'V2', 'V3', 0.06224066390041494, 0.0395357608795166]
['BV', 11, 'CV', 82, 'bash', 'sort', 'V1', 'V2', 0.11503752680486057, 2.6640069484710693]
['CV', 301, 'UV', 59, 'ls', 'ld', 'V1', 'V1', 0.1187708126424023, 1.9125070571899414]
['UV', 31, 'CV', 306, 'gprof', 'cp', 'V3', 'V1', 0.12952365600064475, 1.1255576610565186]
['BV', 20, 'CV', 206, 'sort', 'paste', 'V1', 'V0', 0.11792138574283806, 0.0339510440826416]
['CV', 47, 'BV', 72, 'od', 'perl', 'V2', 'V1', 0.08955567998419023, 2.392026662826538]
['BV', 43, 'UV', 83, 'lua', 'addr2line', 'V0', 'V0', 0.054190015282730486, 1.864081859588623]
['BV', 5, 'CV', 44, 'libvlccore.so', 'true', 'V0', 'V2', 0.17261150008269477, 2.698503017425537]
['CV', 283, 'UV', 57, 'kill', 'strings', 'V1', 'V1', 0.14726798091637416, 0.8963656425476074]
['CV', 105, 'BV', 25, 'pwd', 'git', 'V3', 'V3', 0.08676329400105298, 9.28853464126587]
['BV', 77, 'CV', 282, 'perl', 'chgrp', 'V2', 'V1', 0.08894192008771651, 2.4987974166870117]
['CV', 304, 'BV', 32, 'chmod', 'perl', 'V1', 'V0', 0.10574931654378261, 2.1181063652038574]
['UV', 71, 'BV', 25, 'xargs', 'git', 'V0', 'V3', 0.08684863523573205, 9.32117509841919]
['UV', 80, 'CV', 59, 'objcopy', 'head', 'V0', 'V2', 0.13318008763738232, 1.2175045013427734]
['CV', 173, 'UV', 6, 'ln', 'sdiff', 'V3', 'V2', 0.057715923045435935, 0.08002901077270508]
['UV', 72, 'CV', 301, 'find', 'ls', 'V0', 'V1', 0.0735367683841921, 0.2126176357269287]
['BV', 34, 'UV', 51, 'svn', 'nm', 'V0', 'V1', 0.0705608684414577, 2.1838157176971436]
['CV', 74, 'BV', 31, 'pathchk', 'codeblocks', 'V2', 'V0', 0.18784576233680017, 9.588870525360107]
['BV', 47, 'CV', 149, 'dot', 'unexpand', 'V3', 'V3', 0.15351812366737738, 0.016513586044311523]
['UV', 58, 'CV', 96, 'objcopy', 'users', 'V1', 'V3', 0.13264742438889654, 1.258791446685791]
['UV', 43, 'CV', 263, 'sdiff', 'unlink', 'V3', 'V1', 0.1299270072992701, 0.029312610626220703]
['BV', 69, 'CV', 170, 'gvmap', 'tac', 'V0', 'V3', 0.11463270142180093, 0.11789846420288086]
['BV', 81, 'CV', 159, 'dot', 'id', 'V1', 'V3', 0.16632860040567954, 0.01781940460205078]
