['UV', 81, 'CV', 72, 'ld', 'id', 'V0', 'V2', 0.1354207182678595, 2.625051736831665]
['UV', 78, 'BV', 38, 'c++filt', 'ruby', 'V0', 'V2', 0.16169792694965446, 1.4625074863433838]
['CV', 159, 'BV', 18, 'id', 'sort', 'V3', 'V3', 0.10646387832699622, 0.2017827033996582]
['CV', 48, 'BV', 33, 'df', 'openssl', 'V2', 'V0', 0.09956629635642555, 8.037394046783447]
['BV', 2, 'UV', 81, 'cmp', 'ld', 'V1', 'V0', 0.1303511920020508, 1.4578735828399658]
['CV', 187, 'BV', 61, 'join', 'cmp', 'V0', 'V0', 0.07572614107883813, 0.018276214599609375]
['UV', 57, 'CV', 158, 'strings', '[', 'V1', 'V3', 0.1386803979752138, 0.9109981060028076]
['UV', 62, 'CV', 300, 'ar', 'whoami', 'V1', 'V1', 0.14925373134328357, 0.9170031547546387]
['CV', 64, 'UV', 47, 'md5sum', 'sdiff', 'V2', 'V1', 0.07894736842105265, 0.0378575325012207]
['CV', 52, 'BV', 13, 'logname', 'cp', 'V2', 'V2', 0.13217866909753873, 0.056059837341308594]
['CV', 189, 'UV', 58, 'uptime', 'objcopy', 'V0', 'V1', 0.13658946189909738, 1.2147955894470215]
['UV', 25, 'CV', 32, 'as', 'paste', 'V3', 'V2', 0.1333719918817049, 1.6036455631256104]
['CV', 41, 'BV', 24, 'nice', 'git', 'V2', 'V0', 0.09540905134899913, 3.5154852867126465]
['UV', 25, 'CV', 328, 'as', 'uname', 'V3', 'V1', 0.13562492692622474, 1.5452051162719727]
['UV', 1, 'CV', 320, 'xargs', 'head', 'V2', 'V1', 0.10098792535675083, 0.043186187744140625]
['BV', 39, 'CV', 229, 'svn', 'nohup', 'V1', 'V0', 0.22330097087378642, 0.3536522388458252]
['BV', 24, 'CV', 215, 'git', 'nice', 'V0', 'V0', 0.09611920746684133, 3.3728413581848145]
['CV', 66, 'UV', 19, 'link', 'elfedit', 'V2', 'V2', 0.07725694444444442, 0.021581411361694336]
['CV', 267, 'UV', 81, 'fmt', 'ld', 'V1', 'V0', 0.13699346405228763, 1.3652479648590088]
['CV', 317, 'BV', 36, 'yes', 'libvlc.so', 'V1', 'V2', 0.20318091451292242, 0.3012862205505371]
['UV', 58, 'CV', 126, 'objcopy', 'whoami', 'V1', 'V3', 0.1346487876050858, 1.2060494422912598]
['BV', 18, 'CV', 81, 'sort', 'sleep', 'V3', 'V2', 0.13400900900900903, 0.07755255699157715]
['CV', 162, 'UV', 79, 'tr', 'strings', 'V3', 'V0', 0.13854042670085154, 0.8579094409942627]
['UV', 36, 'CV', 344, 'objdump', 'tac', 'V3', 'V1', 0.1269654088050315, 1.8482463359832764]
['BV', 8, 'CV', 273, 'cluster', 'stty', 'V2', 'V1', 0.13508612873980053, 0.11604762077331543]
['CV', 229, 'BV', 77, 'nohup', 'perl', 'V0', 'V2', 0.09199752063419564, 2.2216391563415527]
['CV', 85, 'UV', 3, 'mknod', 'diff3', 'V2', 'V2', 0.08524590163934431, 0.03279709815979004]
['BV', 66, 'UV', 11, 'lua', 'ranlib', 'V1', 'V2', 0.05644320944772496, 2.1883811950683594]
['BV', 73, 'CV', 269, 'geany', 'du', 'V0', 'V1', 0.18034425319267078, 15.321176767349243]
['CV', 222, 'UV', 21, 'df', 'objdump', 'V0', 'V2', 0.13453998954521695, 2.3748302459716797]
['CV', 3, 'UV', 59, 'test', 'ld', 'V2', 'V1', 0.1337287513758102, 1.5455710887908936]
['CV', 176, 'BV', 0, 'unlink', 'bash', 'V0', 'V2', 0.1307636887608069, 2.303659439086914]
['BV', 32, 'CV', 121, 'perl', 'echo', 'V0', 'V3', 0.10915566729520221, 1.9691684246063232]
['BV', 73, 'CV', 205, 'geany', 'sha1sum', 'V0', 'V0', 0.1854869567174593, 14.812141180038452]
['CV', 34, 'BV', 38, 'echo', 'ruby', 'V2', 'V2', 0.21245421245421248, 0.006173372268676758]
['UV', 84, 'CV', 302, 'ar', 'nice', 'V0', 'V1', 0.14872205895449286, 0.8720993995666504]
['CV', 232, 'UV', 49, 'readlink', 'xargs', 'V0', 'V1', 0.07826810990840971, 0.022386789321899414]
['UV', 20, 'BV', 13, 'size', 'cp', 'V2', 'V2', 0.11844660194174761, 1.1908338069915771]
['UV', 17, 'CV', 42, 'addr2line', 'dircolors', 'V2', 'V2', 0.1484500985486472, 0.8872995376586914]
['CV', 252, 'UV', 23, 'rm', 'strip', 'V0', 'V3', 0.13568773234200737, 1.2171244621276855]
['UV', 71, 'CV', 244, 'xargs', 'vdir', 'V0', 'V0', 0.109204368174727, 0.06092047691345215]
['BV', 16, 'CV', 294, 'libvlc.so', 'sync', 'V3', 'V1', 0.20377358490566033, 0.3037147521972656]
['CV', 128, 'BV', 33, 'nice', 'openssl', 'V3', 'V0', 0.10261167739208044, 5.763606071472168]
