['UV', 53, 'CV', 347, 'readelf', 'ln', 'V1', 'V1', 0.09630863169580905, 0.19475913047790527]
['CV', 242, 'BV', 25, 'cat', 'git', 'V0', 'V3', 0.08788798133022169, 13.496297836303711]
['UV', 84, 'CV', 24, 'ar', 'factor', 'V0', 'V2', 0.14560801899235032, 0.8833045959472656]
['CV', 130, 'BV', 46, 'chmod', 'cluster', 'V3', 'V3', 0.10083160083160081, 0.14470481872558594]
['BV', 35, 'CV', 246, 'libvlccore.so', 'id', 'V2', 'V0', 0.1672061452244069, 3.246967315673828]
['CV', 72, 'UV', 48, 'id', 'locate', 'V2', 'V1', 0.11788953009068426, 0.06407308578491211]
['BV', 47, 'CV', 131, 'dot', 'true', 'V3', 'V3', 0.13712807244501946, 0.012619733810424805]
['BV', 1, 'CV', 168, 'libSDL2-2.0.so', 'sleep', 'V3', 'V3', 0.19223274572891647, 5.117790460586548]
['BV', 28, 'CV', 168, 'openssl', 'sleep', 'V1', 'V3', 0.10311889106095606, 6.300083637237549]
['UV', 47, 'CV', 312, 'sdiff', 'printf', 'V1', 'V1', 0.08256880733944949, 0.0367732048034668]
['UV', 71, 'CV', 325, 'xargs', 'md5sum', 'V0', 'V1', 0.05748175182481752, 0.02401280403137207]
['CV', 8, 'BV', 27, 'du', 'libSDL2-2.0.so', 'V2', 'V1', 0.17414206738291438, 4.225691318511963]
['BV', 56, 'CV', 232, 'ssh', 'readlink', 'V3', 'V0', 0.15035057547294617, 1.229067087173462]
['BV', 48, 'CV', 319, 'gvmap', 'readlink', 'V3', 'V1', 0.14588938714499256, 0.10827803611755371]
['UV', 58, 'CV', 172, 'objcopy', 'mknod', 'V1', 'V3', 0.13238542241855322, 1.2143993377685547]
['BV', 63, 'CV', 198, 'ruby', 'factor', 'V0', 'V0', 0.11725037631710988, 9.165050745010376]
['CV', 173, 'BV', 55, 'ln', 'codeblocks', 'V3', 'V3', 0.18140803425774876, 13.208507299423218]
['BV', 30, 'CV', 65, 'bash', 'env', 'V0', 'V2', 0.13137450199203182, 2.020372152328491]
['UV', 31, 'CV', 236, 'gprof', 'unexpand', 'V3', 'V0', 0.1484648935260412, 0.9794712066650391]
['CV', 121, 'BV', 35, 'echo', 'libvlccore.so', 'V3', 'V2', 0.1653218059558117, 3.326626777648926]
['BV', 68, 'UV', 52, 'dot', 'strip', 'V0', 'V1', 0.14337632722867522, 1.1709644794464111]
['BV', 52, 'CV', 100, 'libSDL2-2.0.so', 'join', 'V2', 'V3', 0.18599217837371118, 4.1782848834991455]
['UV', 50, 'CV', 210, 'find', 'chroot', 'V1', 'V0', 0.16072821846553964, 0.14052939414978027]
['CV', 198, 'UV', 83, 'factor', 'addr2line', 'V0', 'V0', 0.14943830831681293, 0.811699390411377]
['BV', 33, 'UV', 61, 'openssl', 'addr2line', 'V0', 'V1', 0.05357278456982306, 11.283326864242554]
['CV', 82, 'UV', 29, 'sort', 'objcopy', 'V2', 'V3', 0.11898096304591266, 1.4724817276000977]
['UV', 21, 'CV', 141, 'objdump', 'false', 'V2', 'V3', 0.1393366807610994, 1.4157087802886963]
['BV', 2, 'CV', 161, 'cmp', 'pathchk', 'V1', 'V3', 0.053370786516853896, 0.03003978729248047]
['CV', 332, 'BV', 80, '[', 'cluster', 'V1', 'V1', 0.14237288135593218, 0.1165628433227539]
['BV', 69, 'CV', 129, 'gvmap', 'dircolors', 'V0', 'V3', 0.11729141475211613, 0.11664056777954102]
['UV', 66, 'CV', 256, 'diff3', 'sort', 'V0', 'V0', 0.02745512143611406, 0.04999065399169922]
['CV', 301, 'BV', 45, 'ls', 'svn', 'V1', 'V3', 0.18249746707193515, 0.801262378692627]
['BV', 45, 'CV', 72, 'svn', 'id', 'V3', 'V2', 0.2219882055602359, 0.5757050514221191]
['BV', 52, 'CV', 318, 'libSDL2-2.0.so', 'who', 'V2', 'V1', 0.19259489732420665, 4.05047345161438]
['UV', 17, 'CV', 255, 'addr2line', 'sleep', 'V2', 'V0', 0.15259474688721264, 0.8877320289611816]
['CV', 192, 'BV', 33, 'pwd', 'openssl', 'V0', 'V0', 0.1035124941065535, 5.8093578815460205]
['CV', 206, 'BV', 80, 'paste', 'cluster', 'V0', 'V1', 0.15288860517076286, 0.10310912132263184]
['CV', 77, 'BV', 12, 'nl', 'sort', 'V2', 'V2', 0.04903978052126201, 0.0859377384185791]
['UV', 15, 'CV', 200, 'ld', 'date', 'V2', 'V0', 0.132413709285367, 1.6032888889312744]
['CV', 210, 'BV', 77, 'chroot', 'perl', 'V0', 'V2', 0.09279665173462381, 2.2510509490966797]
['UV', 47, 'CV', 347, 'sdiff', 'ln', 'V1', 'V1', 0.08374689826302728, 0.038202762603759766]
['CV', 264, 'UV', 29, 'test', 'objcopy', 'V1', 'V3', 0.14331331255226942, 1.162712812423706]
['CV', 123, 'UV', 10, 'chroot', 'as', 'V3', 'V2', 0.12849894532808848, 1.775160312652588]
['CV', 95, 'BV', 19, 'du', 'cp', 'V3', 'V3', 0.031170158405723014, 0.16843223571777344]
['UV', 40, 'CV', 92, 'diff3', 'mkdir', 'V3', 'V3', 0.03521491455204562, 0.049475908279418945]
['BV', 15, 'UV', 7, 'libvlccore.so', 'nm', 'V3', 'V2', 0.05912390005780721, 8.11395263671875]
['CV', 183, 'UV', 64, 'users', 'size', 'V0', 'V1', 0.14769065520945224, 0.8970792293548584]
['CV', 188, 'UV', 62, 'dirname', 'ar', 'V0', 'V1', 0.14967554644808745, 0.9522454738616943]
['BV', 67, 'CV', 333, 'cluster', 'id', 'V0', 'V1', 0.14335060449050085, 0.09480810165405273]
['BV', 26, 'UV', 0, 'geany', 'locate', 'V2', 'V2', 0.1776630967574866, 23.516210794448853]
['CV', 298, 'UV', 75, 'seq', 'readelf', 'V1', 'V0', 0.10862913096695226, 0.08041119575500488]
['UV', 36, 'BV', 47, 'objdump', 'dot', 'V3', 'V3', 0.1444550214183722, 1.663187026977539]
['CV', 147, 'BV', 50, 'hostid', 'sort', 'V3', 'V0', 0.0763052208835342, 0.031960248947143555]
['UV', 82, 'BV', 56, 'gprof', 'ssh', 'V0', 'V3', 0.026857098501901766, 4.422855377197266]
['UV', 21, 'CV', 228, 'objdump', 'false', 'V2', 'V0', 0.1440069756522906, 1.3707833290100098]
['CV', 325, 'UV', 55, 'md5sum', 'ranlib', 'V1', 'V1', 0.14496916448424435, 1.0101675987243652]
['UV', 0, 'CV', 228, 'locate', 'false', 'V2', 'V0', 0.16193353474320238, 0.040921926498413086]
['BV', 2, 'CV', 346, 'cmp', 'mknod', 'V1', 'V1', 0.08525149190110826, 0.024199485778808594]
['BV', 14, 'CV', 19, 'openssl', 'pr', 'V3', 'V2', 0.2819487179487179, 5.760528802871704]
['UV', 7, 'BV', 4, 'nm', 'geany', 'V2', 'V3', 0.13087203721479734, 39.729820013046265]
['UV', 73, 'CV', 81, 'nm', 'sleep', 'V0', 'V2', 0.14673763421125074, 0.8654742240905762]
['CV', 312, 'UV', 18, 'printf', 'ar', 'V1', 'V2', 0.14712624161643606, 1.036083459854126]
['BV', 81, 'CV', 283, 'dot', 'kill', 'V1', 'V1', 0.14714714714714716, 0.011568069458007812]
['CV', 119, 'UV', 55, 'paste', 'ranlib', 'V3', 'V1', 0.14200149737958578, 1.0143744945526123]
['CV', 145, 'BV', 1, 'readlink', 'libSDL2-2.0.so', 'V3', 'V3', 0.18909809913270115, 5.634060382843018]
['BV', 28, 'CV', 160, 'openssl', 'shred', 'V1', 'V3', 0.0994732221246708, 6.839484691619873]
['UV', 38, 'CV', 127, 'xargs', 'ls', 'V3', 'V3', 0.04698375870069604, 0.16958355903625488]
['UV', 82, 'CV', 40, 'gprof', 'ls', 'V0', 'V2', 0.11421359835936262, 1.2121477127075195]
['BV', 43, 'CV', 94, 'lua', 'dir', 'V0', 'V3', 0.0770335552944249, 0.500708818435669]
['CV', 116, 'BV', 68, 'tail', 'dot', 'V3', 'V0', 0.17154811715481166, 0.029078960418701172]
['UV', 16, 'CV', 8, 'gprof', 'du', 'V2', 'V2', 0.11770093885962907, 1.2776305675506592]
['BV', 52, 'CV', 247, 'libSDL2-2.0.so', 'shred', 'V2', 'V0', 0.18911543610338788, 4.205859899520874]
['BV', 40, 'CV', 323, 'lua', 'unexpand', 'V2', 'V1', 0.13780970532180037, 0.3270134925842285]
['UV', 34, 'CV', 140, 'elfedit', 'tty', 'V3', 'V3', 0.06883509833585477, 0.028649330139160156]
['UV', 37, 'BV', 1, 'locate', 'libSDL2-2.0.so', 'V3', 'V3', 0.16794735724899168, 6.646890878677368]
['CV', 31, 'BV', 80, 'sha1sum', 'cluster', 'V2', 'V1', 0.1336142040325008, 0.11702489852905273]
['CV', 92, 'BV', 65, 'mkdir', 'ssh', 'V3', 'V1', 0.11454298672493135, 3.9181859493255615]
['UV', 43, 'CV', 281, 'sdiff', 'tee', 'V3', 'V1', 0.1087257617728532, 0.0335850715637207]
['UV', 38, 'CV', 174, 'xargs', 'touch', 'V3', 'V0', 0.11920874544508064, 0.06890726089477539]
['CV', 205, 'BV', 17, 'sha1sum', 'codeblocks', 'V0', 'V2', 0.1869148936170213, 10.305466175079346]
['CV', 44, 'BV', 60, 'true', 'codeblocks', 'V2', 'V1', 0.18699274678458755, 10.074972867965698]
['BV', 31, 'CV', 39, 'codeblocks', 'whoami', 'V0', 'V2', 0.1880656499958484, 9.55435848236084]
['CV', 213, 'UV', 22, 'whoami', 'nm', 'V0', 'V3', 0.1545173604799127, 0.9040977954864502]
['UV', 48, 'CV', 207, 'locate', 'sync', 'V1', 'V0', 0.14669703872437356, 0.05299711227416992]
['BV', 30, 'UV', 42, 'bash', 'diff', 'V0', 'V3', 0.10632656792832329, 2.580646514892578]
['CV', 148, 'UV', 6, 'ginstall', 'sdiff', 'V3', 'V2', 0.09746529873264942, 0.1271200180053711]
['UV', 58, 'BV', 40, 'objcopy', 'lua', 'V1', 'V2', 0.05651227236737921, 2.604869842529297]
['BV', 55, 'CV', 277, 'codeblocks', 'dd', 'V3', 'V1', 0.18657064400808254, 10.837892293930054]
['CV', 31, 'UV', 46, 'sha1sum', 'diff', 'V2', 'V1', 0.11169881767268197, 0.09493875503540039]
['BV', 3, 'CV', 10, 'diff', 'ptx', 'V1', 'V2', 0.03484806244772787, 0.11992120742797852]
['UV', 59, 'CV', 135, 'ld', 'df', 'V1', 'V3', 0.118398142774231, 1.8253865242004395]
['CV', 220, 'BV', 24, 'cut', 'git', 'V0', 'V0', 0.09538193594034883, 3.5683295726776123]
['CV', 71, 'BV', 32, '[', 'perl', 'V2', 'V0', 0.1088992974238876, 1.9718072414398193]
['BV', 10, 'CV', 22, 'gvmap', 'kill', 'V2', 'V2', 0.1347989586346543, 0.11716985702514648]
['UV', 32, 'BV', 38, 'addr2line', 'ruby', 'V3', 'V2', 0.16513151647516855, 0.7897529602050781]
['UV', 39, 'CV', 145, 'find', 'readlink', 'V3', 'V3', 0.142457612305541, 0.31163477897644043]
['CV', 302, 'UV', 1, 'nice', 'xargs', 'V1', 'V2', 0.12246117084826758, 0.03944063186645508]
['CV', 298, 'UV', 7, 'seq', 'nm', 'V1', 'V2', 0.15066298834208425, 0.9407124519348145]
