['UV', 70, 'CV', 265, 'locate', 'basename', 'V0', 'V1', 0.13295975547631178, 0.10584568977355957]
['CV', 9, 'BV', 47, 'users', 'dot', 'V2', 'V3', 0.14230769230769225, 0.026193857192993164]
['UV', 34, 'CV', 344, 'elfedit', 'tac', 'V3', 'V1', 0.057389537836465165, 0.09513735771179199]
['CV', 42, 'BV', 29, 'dircolors', 'perl', 'V2', 'V3', 0.10414445155328078, 4.532586574554443]
['CV', 279, 'BV', 64, 'pwd', 'openssl', 'V1', 'V2', 0.28906562911254796, 4.788109540939331]
['CV', 37, 'UV', 69, 'seq', 'sdiff', 'V2', 'V0', 0.08195718654434248, 0.036893606185913086]
['UV', 46, 'CV', 296, 'diff', 'sum', 'V1', 'V1', 0.11593740019163201, 0.09096097946166992]
['BV', 63, 'UV', 28, 'ruby', 'strings', 'V0', 'V3', 0.07120520410040299, 16.691927194595337]
['BV', 23, 'CV', 313, 'diff', 'logname', 'V3', 'V1', 0.1532596263820053, 0.07275986671447754]
['BV', 57, 'UV', 27, 'svn', 'c++filt', 'V2', 'V3', 0.0645246073986464, 2.2193679809570312]
['BV', 45, 'CV', 297, 'svn', 'chroot', 'V3', 'V1', 0.23083585967951492, 0.5604915618896484]
['UV', 47, 'CV', 267, 'sdiff', 'fmt', 'V1', 'V1', 0.10302197802197799, 0.03265643119812012]
['UV', 57, 'CV', 63, 'strings', 'mv', 'V1', 'V2', 0.11778084639753073, 1.1674985885620117]
['CV', 125, 'UV', 44, 'split', 'diff3', 'V3', 'V1', 0.024460431654676262, 0.05334925651550293]
['UV', 48, 'CV', 137, 'locate', 'cksum', 'V1', 'V3', 0.11061946902654873, 0.06662178039550781]
['CV', 9, 'BV', 17, 'users', 'codeblocks', 'V2', 'V2', 0.18654060657566263, 10.092676877975464]
['CV', 186, 'BV', 83, 'stty', 'git', 'V0', 'V2', 0.09354444838315801, 6.513274192810059]
['UV', 8, 'CV', 146, 'strip', 'head', 'V2', 'V3', 0.13458871615210566, 1.1935794353485107]
['CV', 68, 'BV', 63, 'cat', 'ruby', 'V2', 'V0', 0.11457442364688797, 9.77460503578186]
['UV', 2, 'CV', 80, 'find', 'uniq', 'V2', 'V2', 0.1381067961165049, 0.16445565223693848]
['CV', 284, 'BV', 58, 'wc', 'ruby', 'V1', 'V3', 0.2582781456953642, 0.008593559265136719]
['BV', 34, 'CV', 95, 'svn', 'du', 'V0', 'V3', 0.14252409076779604, 1.3873660564422607]
['CV', 276, 'UV', 67, 'uptime', 'cmp', 'V1', 'V0', 0.07915993537964461, 0.027366161346435547]
['UV', 75, 'BV', 78, 'readelf', 'make', 'V0', 'V2', 0.05323505323505329, 0.37413573265075684]
['BV', 77, 'CV', 135, 'perl', 'df', 'V2', 'V3', 0.08425937618386159, 2.6216530799865723]
['CV', 202, 'UV', 86, 'chown', 'size', 'V0', 'V0', 0.11848752762867065, 0.8766703605651855]
['UV', 41, 'CV', 182, 'cmp', 'du', 'V3', 'V0', 0.06835722160970237, 0.05235624313354492]
['UV', 76, 'CV', 104, 'as', 'mkfifo', 'V0', 'V3', 0.1304085450485788, 1.5032012462615967]
['BV', 44, 'CV', 165, 'make', 'rm', 'V0', 'V3', 0.09077241120090207, 0.21921706199645996]
['CV', 201, 'BV', 54, 'expr', 'lua', 'V0', 'V3', 0.11267951393150855, 0.4372730255126953]
['CV', 321, 'UV', 21, 'hostid', 'objdump', 'V1', 'V2', 0.14316296494514313, 1.4015576839447021]
['CV', 291, 'BV', 69, 'pinky', 'gvmap', 'V1', 'V0', 0.12961783439490449, 0.10676050186157227]
['CV', 212, 'UV', 43, 'split', 'sdiff', 'V0', 'V3', 0.09501965923984268, 0.0351862907409668]
['BV', 77, 'CV', 292, 'perl', 'sha1sum', 'V2', 'V1', 0.09155755325385972, 2.226917028427124]
['CV', 318, 'UV', 81, 'who', 'ld', 'V1', 'V0', 0.1339297290289122, 1.4199798107147217]
['BV', 28, 'CV', 293, 'openssl', 'paste', 'V1', 'V1', 0.10433870463777173, 6.222073078155518]
['CV', 322, 'UV', 6, 'ginstall', 'sdiff', 'V1', 'V2', 0.06535087719298249, 0.07446527481079102]
['UV', 30, 'CV', 253, 'ld', 'fold', 'V3', 'V0', 0.14627643458765072, 1.7585797309875488]
['CV', 14, 'BV', 61, 'dirname', 'cmp', 'V2', 'V0', 0.04773269689737469, 0.013929605484008789]
['UV', 52, 'CV', 246, 'strip', 'id', 'V1', 'V0', 0.13734567901234573, 1.1874549388885498]
['CV', 9, 'UV', 49, 'users', 'xargs', 'V2', 'V1', 0.05451829723674384, 0.026332616806030273]
['UV', 68, 'CV', 300, 'diff', 'whoami', 'V0', 'V1', 0.14154250657318146, 0.05740952491760254]
['BV', 3, 'CV', 128, 'diff', 'nice', 'V1', 'V3', 0.11243543901469999, 0.06850814819335938]
['UV', 75, 'CV', 79, 'readelf', 'fold', 'V0', 'V2', 0.10068107787977498, 0.08114099502563477]
['BV', 6, 'CV', 85, 'libvlc.so', 'mknod', 'V0', 'V2', 0.19094393866794446, 0.2253715991973877]
['UV', 46, 'CV', 57, 'diff', 'who', 'V1', 'V2', 0.10139341832196858, 0.10349774360656738]
['UV', 71, 'CV', 63, 'xargs', 'mv', 'V0', 'V2', 0.10909090909090913, 0.06824231147766113]
['CV', 81, 'BV', 65, 'sleep', 'ssh', 'V2', 'V1', 0.1183033470700573, 3.6589996814727783]
['CV', 147, 'BV', 73, 'hostid', 'geany', 'V3', 'V0', 0.1853890923799465, 15.15834093093872]
['CV', 297, 'UV', 34, 'chroot', 'elfedit', 'V1', 'V3', 0.10516934046345816, 0.022566795349121094]
['BV', 30, 'CV', 258, 'bash', 'rmdir', 'V0', 'V0', 0.13284262180161233, 1.965052604675293]
['CV', 85, 'BV', 9, 'mknod', 'dot', 'V2', 'V2', 0.1373844121532365, 0.012422561645507812]
['CV', 314, 'BV', 28, 'tty', 'openssl', 'V1', 'V1', 0.10456830112811344, 6.388226270675659]
['UV', 21, 'BV', 56, 'objdump', 'ssh', 'V2', 'V3', 0.015090989791389231, 5.693697929382324]
['CV', 266, 'BV', 9, 'mkdir', 'dot', 'V1', 'V2', 0.17310087173100874, 0.015141010284423828]
['CV', 314, 'BV', 27, 'tty', 'libSDL2-2.0.so', 'V1', 'V1', 0.19770885722268794, 3.6134772300720215]
['UV', 45, 'CV', 263, 'cmp', 'unlink', 'V1', 'V1', 0.11061151079136688, 0.022070646286010742]
['UV', 46, 'BV', 9, 'diff', 'dot', 'V1', 'V2', 0.16375087473757877, 0.07281994819641113]
['CV', 258, 'BV', 64, 'rmdir', 'openssl', 'V0', 'V2', 0.2918657532669391, 4.599547386169434]
['CV', 212, 'UV', 48, 'split', 'locate', 'V0', 'V1', 0.11734909244406921, 0.06420707702636719]
['UV', 86, 'CV', 59, 'size', 'head', 'V0', 'V2', 0.12299721004384212, 0.8179385662078857]
['UV', 32, 'CV', 54, 'addr2line', 'false', 'V3', 'V2', 0.15268579838116259, 0.8720846176147461]
['BV', 1, 'CV', 210, 'libSDL2-2.0.so', 'chroot', 'V3', 'V0', 0.19626981944826327, 5.067793607711792]
['CV', 97, 'UV', 29, 'ptx', 'objcopy', 'V3', 'V3', 0.12804966074779844, 1.3233089447021484]
['CV', 155, 'UV', 12, 'cat', 'c++filt', 'V3', 'V2', 0.14361225586812398, 0.9344723224639893]
['CV', 258, 'UV', 21, 'rmdir', 'objdump', 'V0', 'V2', 0.14322045241600856, 1.4040415287017822]
['UV', 75, 'CV', 275, 'readelf', 'dirname', 'V0', 'V1', 0.11314321140731554, 0.07618331909179688]
['BV', 23, 'CV', 212, 'diff', 'split', 'V3', 'V0', 0.13189189189189188, 0.08392953872680664]
['CV', 189, 'UV', 53, 'uptime', 'readelf', 'V0', 'V1', 0.10364628194085557, 0.09018826484680176]
['UV', 73, 'CV', 254, 'nm', 'uniq', 'V0', 'V0', 0.14534617148097206, 0.854773998260498]
['BV', 50, 'CV', 297, 'sort', 'chroot', 'V0', 'V1', 0.10315627405696692, 0.02656102180480957]
['BV', 6, 'UV', 21, 'libvlc.so', 'objdump', 'V0', 'V2', 0.08546352166758087, 2.654742479324341]
['UV', 86, 'CV', 36, 'size', 'chroot', 'V0', 'V2', 0.12373111661737668, 0.8505358695983887]
['UV', 12, 'CV', 93, 'c++filt', 'fmt', 'V2', 'V3', 0.14321428571428574, 0.9205284118652344]
['UV', 69, 'CV', 285, 'sdiff', 'factor', 'V0', 'V1', 0.10588235294117643, 0.031395912170410156]
['CV', 92, 'BV', 67, 'mkdir', 'cluster', 'V3', 'V0', 0.10787259615384615, 0.121795654296875]
['BV', 8, 'CV', 231, 'cluster', 'who', 'V2', 'V0', 0.13559322033898302, 0.11804747581481934]
['BV', 60, 'UV', 24, 'codeblocks', 'readelf', 'V1', 'V3', 0.14877904919193108, 13.200009822845459]
['CV', 163, 'UV', 81, 'comm', 'ld', 'V3', 'V0', 0.13117274066483064, 1.4960737228393555]
['UV', 1, 'CV', 261, 'xargs', 'touch', 'V2', 'V1', 0.08548812664907657, 0.05244278907775879]
['CV', 220, 'BV', 62, 'cut', 'diff', 'V0', 'V0', 0.11420289855072463, 0.04383373260498047]
['CV', 4, 'BV', 83, 'basename', 'git', 'V2', 'V2', 0.09420418466149993, 6.848069190979004]
['CV', 328, 'UV', 37, 'uname', 'locate', 'V1', 'V3', 0.17248376623376627, 0.08619403839111328]
['BV', 6, 'CV', 138, 'libvlc.so', 'printf', 'V0', 'V3', 0.1705286839145107, 0.2579989433288574]
['UV', 65, 'CV', 9, 'objdump', 'users', 'V1', 'V2', 0.13657570141241138, 1.494516134262085]
['BV', 42, 'UV', 25, 'libvlc.so', 'as', 'V1', 'V3', 0.08264502497118709, 3.0610384941101074]
['UV', 85, 'CV', 319, 'elfedit', 'readlink', 'V0', 'V1', 0.0840108401084011, 0.022363662719726562]
['CV', 249, 'UV', 40, 'tr', 'diff3', 'V0', 'V3', 0.0816070307595731, 0.03455853462219238]
['UV', 35, 'CV', 297, 'size', 'chroot', 'V3', 'V1', 0.1535483870967742, 0.879204273223877]
['CV', 54, 'UV', 8, 'false', 'strip', 'V2', 'V2', 0.14286786223456138, 1.1448538303375244]
['UV', 53, 'CV', 106, 'readelf', 'pr', 'V1', 'V3', 0.06631299734748008, 0.12878060340881348]
['BV', 26, 'UV', 19, 'geany', 'elfedit', 'V2', 'V2', 0.1819373443439507, 21.550107717514038]
['BV', 13, 'CV', 260, 'cp', 'ln', 'V2', 'V0', 0.10984682713347915, 0.0662546157836914]
['CV', 339, 'UV', 79, 'rm', 'strings', 'V1', 'V0', 0.13808259316912375, 0.9070889949798584]
['BV', 4, 'CV', 125, 'geany', 'split', 'V3', 'V3', 0.17896243168221238, 25.635616540908813]
['CV', 71, 'BV', 8, '[', 'cluster', 'V2', 'V2', 0.13430613460393093, 0.11773037910461426]
['CV', 250, 'BV', 10, 'comm', 'gvmap', 'V0', 'V2', 0.1433234421364985, 0.11671257019042969]
['CV', 206, 'UV', 13, 'paste', 'strings', 'V0', 'V2', 0.1521957454578654, 0.9159300327301025]
['UV', 76, 'CV', 330, 'as', 'csplit', 'V0', 'V1', 0.11876115364688278, 1.7166163921356201]
['UV', 69, 'CV', 102, 'sdiff', 'uptime', 'V0', 'V3', 0.050856531049250586, 0.05054330825805664]
['BV', 29, 'CV', 312, 'perl', 'printf', 'V3', 'V1', 0.10372189012240252, 2.4703080654144287]
['CV', 246, 'BV', 20, 'id', 'sort', 'V0', 'V1', 0.10847240051347884, 0.0384371280670166]
['BV', 4, 'CV', 254, 'geany', 'uniq', 'V3', 'V0', 0.18199700588378653, 24.478809118270874]
['UV', 50, 'BV', 78, 'find', 'make', 'V1', 'V2', 0.026870919136112503, 0.5271720886230469]
['BV', 22, 'CV', 22, 'cmp', 'kill', 'V3', 'V2', 0.0717592592592593, 0.02834177017211914]
['BV', 56, 'CV', 270, 'ssh', 'users', 'V3', 'V1', 0.14931678658657344, 1.304089069366455]
['UV', 72, 'CV', 119, 'find', 'paste', 'V0', 'V3', 0.13799337149743895, 0.12770891189575195]
['BV', 56, 'UV', 54, 'ssh', 'as', 'V3', 'V1', 0.018141818645580954, 5.969863176345825]
['UV', 50, 'CV', 145, 'find', 'readlink', 'V1', 'V3', 0.12558465855940137, 0.17910456657409668]
['CV', 193, 'UV', 61, 'pr', 'addr2line', 'V0', 'V1', 0.13783195472355247, 0.9865553379058838]
['CV', 201, 'UV', 17, 'expr', 'addr2line', 'V0', 'V2', 0.13306383695469093, 1.0105173587799072]
['CV', 259, 'UV', 71, 'mknod', 'xargs', 'V0', 'V0', 0.07580174927113703, 0.021050691604614258]
['CV', 201, 'BV', 53, 'expr', 'ssh', 'V0', 'V2', 0.11449412224429323, 3.984764575958252]
['CV', 113, 'BV', 45, 'date', 'svn', 'V3', 'V3', 0.1957878315132605, 0.6939170360565186]
['CV', 111, 'UV', 56, 'factor', 'c++filt', 'V3', 'V1', 0.13318946914113083, 0.9661517143249512]
['BV', 34, 'CV', 252, 'svn', 'rm', 'V0', 'V0', 0.1980920314253647, 0.35086774826049805]
['BV', 46, 'CV', 56, 'cluster', 'yes', 'V3', 'V2', 0.1478125, 0.10168695449829102]
['CV', 223, 'BV', 2, 'tsort', 'cmp', 'V0', 'V1', 0.0858113848768054, 0.024068355560302734]
['BV', 0, 'CV', 316, 'bash', 'nohup', 'V2', 'V1', 0.1287346024636058, 2.387188673019409]
['BV', 18, 'CV', 1, 'sort', 'stat', 'V3', 'V2', 0.12591240875912413, 0.08560514450073242]
['BV', 54, 'CV', 164, 'lua', 'nl', 'V3', 'V3', 0.12672357189757055, 0.3976459503173828]
['UV', 49, 'CV', 310, 'xargs', 'tsort', 'V1', 'V1', 0.06879606879606881, 0.023498058319091797]
['CV', 172, 'UV', 74, 'mknod', 'strip', 'V3', 'V0', 0.1322959988527176, 1.17059326171875]
['CV', 317, 'UV', 37, 'yes', 'locate', 'V1', 'V3', 0.1737891737891738, 0.08439016342163086]
