['BV', 17, 'CV', 237, 'codeblocks', 'mv', 'V2', 'V0', 0.18044016147935926, 12.017367124557495]
['UV', 37, 'CV', 160, 'locate', 'shred', 'V3', 'V3', 0.08292383292383287, 0.14086580276489258]
['BV', 51, 'CV', 21, 'cp', 'chgrp', 'V0', 'V2', 0.03556187766714081, 0.05849885940551758]
['BV', 46, 'CV', 13, 'cluster', 'join', 'V3', 'V2', 0.12193032552826955, 0.12328267097473145]
['UV', 53, 'BV', 32, 'readelf', 'perl', 'V1', 'V0', 0.08834043200486763, 2.619652032852173]
['UV', 5, 'CV', 211, 'diff', 'seq', 'V2', 'V0', 0.1478819969742814, 0.07672333717346191]
['CV', 212, 'BV', 52, 'split', 'libSDL2-2.0.so', 'V0', 'V2', 0.19332189109065379, 4.053245782852173]
['BV', 45, 'CV', 158, 'svn', '[', 'V3', 'V3', 0.21120043602670657, 0.6114192008972168]
['BV', 51, 'CV', 191, 'cp', 'mkfifo', 'V0', 'V0', 0.11342281879194627, 0.032147884368896484]
['UV', 86, 'CV', 339, 'size', 'rm', 'V0', 'V1', 0.11908517350157732, 0.8463938236236572]
['BV', 77, 'CV', 312, 'perl', 'printf', 'V2', 'V1', 0.09140012364559269, 2.2286291122436523]
['BV', 73, 'CV', 267, 'geany', 'fmt', 'V0', 'V1', 0.1861633802816901, 14.500463485717773]
['CV', 167, 'BV', 47, 'uniq', 'dot', 'V3', 'V3', 0.15591397849462363, 0.01945805549621582]
['UV', 71, 'CV', 295, 'xargs', 'echo', 'V0', 'V1', 0.08865979381443301, 0.018839120864868164]
['CV', 157, 'BV', 19, 'vdir', 'cp', 'V3', 'V3', 0.028128724672228822, 0.19777989387512207]
['CV', 164, 'UV', 84, 'nl', 'ar', 'V3', 'V0', 0.13991520290732895, 0.9463052749633789]
['UV', 21, 'CV', 153, 'objdump', 'link', 'V2', 'V3', 0.13871690159399286, 1.3903286457061768]
['UV', 3, 'CV', 64, 'diff3', 'md5sum', 'V2', 'V2', 0.0715189873417722, 0.036321401596069336]
['CV', 195, 'UV', 62, 'chgrp', 'ar', 'V0', 'V1', 0.13778843768091975, 1.0363264083862305]
['CV', 51, 'UV', 70, 'printf', 'locate', 'V2', 'V0', 0.08570198105081828, 0.0666341781616211]
['UV', 61, 'CV', 244, 'addr2line', 'vdir', 'V1', 'V0', 0.12316910785619173, 1.1085631847381592]
['CV', 266, 'BV', 12, 'mkdir', 'sort', 'V1', 'V2', 0.10188159706287292, 0.060170650482177734]
['CV', 155, 'BV', 56, 'cat', 'ssh', 'V3', 'V3', 0.14421264703970882, 1.333270788192749]
['BV', 70, 'CV', 176, 'ssh', 'unlink', 'V0', 'V0', 0.11926701206578816, 3.19217848777771]
['CV', 170, 'BV', 80, 'tac', 'cluster', 'V3', 'V1', 0.12073342736248238, 0.13239717483520508]
['UV', 15, 'BV', 25, 'ld', 'git', 'V2', 'V3', 0.044076858394307195, 20.769880056381226]
['CV', 131, 'BV', 63, 'true', 'ruby', 'V3', 'V0', 0.11638008687471224, 9.476768016815186]
['BV', 55, 'CV', 109, 'codeblocks', 'kill', 'V3', 'V3', 0.1877242239900172, 10.732140064239502]
['CV', 240, 'UV', 4, 'link', 'cmp', 'V0', 'V2', 0.11600719424460437, 0.02196812629699707]
['CV', 210, 'BV', 72, 'chroot', 'perl', 'V0', 'V1', 0.09360761190029487, 2.1426315307617188]
['BV', 22, 'CV', 270, 'cmp', 'users', 'V3', 'V1', 0.09151414309484196, 0.02617669105529785]
['BV', 49, 'CV', 149, 'make', 'unexpand', 'V3', 'V3', 0.12829428989751102, 0.227447509765625]
['BV', 11, 'UV', 83, 'bash', 'addr2line', 'V1', 'V0', 0.04144056847545219, 5.778527736663818]
['BV', 8, 'UV', 77, 'cluster', 'ranlib', 'V2', 'V0', 0.09593280282935457, 1.442965030670166]
['UV', 73, 'BV', 65, 'nm', 'ssh', 'V0', 'V1', 0.050655241935483875, 8.240910291671753]
['BV', 66, 'CV', 140, 'lua', 'tty', 'V1', 'V3', 0.1326251896813353, 0.304642915725708]
['UV', 46, 'BV', 28, 'diff', 'openssl', 'V1', 'V1', 0.09262920679465103, 7.924641847610474]
['CV', 225, 'BV', 16, 'printf', 'libvlc.so', 'V0', 'V3', 0.19294525828835773, 0.34189867973327637]
['UV', 47, 'CV', 230, 'sdiff', 'yes', 'V1', 'V0', 0.13210332103321032, 0.027827739715576172]
['CV', 302, 'BV', 45, 'nice', 'svn', 'V1', 'V3', 0.22941853770869314, 0.5742297172546387]
['BV', 10, 'CV', 125, 'gvmap', 'split', 'V2', 'V3', 0.10074812967581048, 0.15419578552246094]
['BV', 61, 'UV', 12, 'cmp', 'c++filt', 'V0', 'V2', 0.15216989843028628, 0.8862066268920898]
['CV', 206, 'BV', 51, 'paste', 'cp', 'V0', 'V0', 0.11741160773849235, 0.03338956832885742]
['UV', 49, 'BV', 27, 'xargs', 'libSDL2-2.0.so', 'V1', 'V1', 0.18910361393165198, 3.776254892349243]
['UV', 67, 'CV', 324, 'cmp', 'mv', 'V0', 'V1', 0.08525232729054388, 0.06109285354614258]
['CV', 340, 'UV', 65, 'fold', 'objdump', 'V1', 'V1', 0.13845558850070905, 1.4630887508392334]
['BV', 40, 'CV', 285, 'lua', 'factor', 'V2', 'V1', 0.13739563497876084, 0.31903553009033203]
['CV', 296, 'BV', 14, 'sum', 'openssl', 'V1', 'V3', 0.28982173663024735, 5.758873462677002]
['BV', 11, 'CV', 98, 'bash', 'printenv', 'V1', 'V3', 0.12936325727404774, 2.220736265182495]
['CV', 288, 'BV', 81, 'expr', 'dot', 'V1', 'V1', 0.13559322033898302, 0.02385091781616211]
['BV', 0, 'UV', 11, 'bash', 'ranlib', 'V2', 'V2', 0.036200597808037194, 6.701818227767944]
['CV', 23, 'UV', 62, 'wc', 'ar', 'V2', 'V1', 0.13964113640139564, 1.0742242336273193]
['CV', 100, 'UV', 18, 'join', 'ar', 'V3', 'V2', 0.13651960784313721, 1.0848479270935059]
['UV', 42, 'CV', 160, 'diff', 'shred', 'V3', 'V3', 0.07584187408491949, 0.13076281547546387]
['UV', 7, 'BV', 59, 'nm', 'make', 'V2', 'V1', 0.07327331274232762, 1.7642812728881836]
['CV', 119, 'UV', 19, 'paste', 'elfedit', 'V3', 'V2', 0.0469448584202683, 0.027605772018432617]
['BV', 13, 'CV', 101, 'cp', 'dirname', 'V2', 'V3', 0.11446046308431623, 0.06369400024414062]
['CV', 336, 'UV', 34, 'tr', 'elfedit', 'V1', 'V3', 0.07333842627960274, 0.02803778648376465]
['BV', 13, 'CV', 73, 'cp', 'shred', 'V2', 'V2', 0.0675471698113208, 0.09139847755432129]
['CV', 143, 'BV', 13, 'yes', 'cp', 'V3', 'V2', 0.11381407471763683, 0.06348180770874023]
['CV', 270, 'BV', 33, 'users', 'openssl', 'V1', 'V0', 0.10365638039557745, 5.85633111000061]
['CV', 121, 'BV', 43, 'echo', 'lua', 'V3', 'V0', 0.13697506561679784, 0.28447771072387695]
['BV', 55, 'CV', 114, 'codeblocks', 'expr', 'V3', 'V3', 0.1862539756419207, 11.229068279266357]
['UV', 84, 'CV', 56, 'ar', 'yes', 'V0', 'V2', 0.14803330970942596, 0.8810245990753174]
