['BV', 26, 'CV', 254, 'geany', 'uniq', 'V2', 'V0', 0.18318346505472227, 18.95786166191101]
['CV', 151, 'UV', 41, 'md5sum', 'cmp', 'V3', 'V3', 0.04172185430463582, 0.035388946533203125]
['CV', 137, 'UV', 23, 'cksum', 'strip', 'V3', 'V3', 0.13978978978978973, 1.1010634899139404]
['UV', 13, 'BV', 74, 'strings', 'git', 'V2', 'V1', 0.046393414638772446, 9.460450410842896]
['CV', 339, 'UV', 76, 'rm', 'as', 'V1', 'V0', 0.12693387491786634, 1.514859676361084]
['BV', 22, 'UV', 85, 'cmp', 'elfedit', 'V3', 'V0', 0.05443126308443824, 0.03328561782836914]
['CV', 331, 'BV', 55, 'vdir', 'codeblocks', 'V1', 'V3', 0.18153256704980847, 11.379875659942627]
['BV', 17, 'CV', 159, 'codeblocks', 'id', 'V2', 'V3', 0.18491811938721603, 9.632699966430664]
['UV', 28, 'CV', 257, 'strings', 'tac', 'V3', 'V0', 0.1327532736044108, 0.9423608779907227]
['UV', 29, 'CV', 310, 'objcopy', 'tsort', 'V3', 'V1', 0.14378238341968919, 1.0394446849822998]
['CV', 64, 'UV', 44, 'md5sum', 'diff3', 'V2', 'V1', 0.07102092580849717, 0.034856557846069336]
['BV', 65, 'UV', 1, 'ssh', 'xargs', 'V1', 'V2', 0.11068976789800589, 3.824226140975952]
['CV', 147, 'UV', 14, 'hostid', 'objcopy', 'V3', 'V2', 0.13960050493799658, 1.1183693408966064]
['UV', 86, 'CV', 54, 'size', 'false', 'V0', 'V2', 0.12805323379047306, 0.7375617027282715]
['BV', 11, 'CV', 155, 'bash', 'cat', 'V1', 'V3', 0.1272532488704644, 2.104210376739502]
['UV', 66, 'CV', 71, 'diff3', '[', 'V0', 'V2', 0.07174323473882949, 0.03262948989868164]
['CV', 279, 'BV', 36, 'pwd', 'libvlc.so', 'V1', 'V2', 0.19618157023183325, 0.3087334632873535]
['BV', 39, 'CV', 305, 'svn', 'true', 'V1', 'V1', 0.23157493810702723, 0.3178825378417969]
['CV', 342, 'UV', 55, 'sleep', 'ranlib', 'V1', 'V1', 0.14752567693744167, 0.9099571704864502]
['CV', 284, 'UV', 40, 'wc', 'diff3', 'V1', 'V3', 0.07801418439716312, 0.03425931930541992]
['UV', 27, 'CV', 293, 'c++filt', 'paste', 'V3', 'V1', 0.15308411214953277, 1.7213828563690186]
['UV', 22, 'CV', 280, 'nm', 'pr', 'V3', 'V1', 0.14178124178999907, 0.9265735149383545]
['UV', 27, 'CV', 77, 'c++filt', 'nl', 'V3', 'V2', 0.13123223973133558, 0.9487886428833008]
['UV', 16, 'CV', 345, 'gprof', 'rmdir', 'V2', 'V1', 0.14786353656476947, 0.8827602863311768]
['UV', 51, 'CV', 9, 'nm', 'users', 'V1', 'V2', 0.14535290006988122, 0.8581345081329346]
['CV', 75, 'UV', 66, 'tr', 'diff3', 'V2', 'V0', 0.06121212121212116, 0.03329825401306152]
['CV', 55, 'UV', 67, 'nohup', 'cmp', 'V2', 'V0', 0.0637813211845103, 0.026065349578857422]
['UV', 13, 'CV', 229, 'strings', 'nohup', 'V2', 'V0', 0.1502863896717883, 0.8447728157043457]
['CV', 320, 'UV', 22, 'head', 'nm', 'V1', 'V3', 0.14882016446192348, 0.8918733596801758]
['CV', 185, 'BV', 6, 'printenv', 'libvlc.so', 'V0', 'V0', 0.20577889447236175, 0.20140933990478516]
['UV', 72, 'CV', 80, 'find', 'uniq', 'V0', 'V2', 0.1353790613718412, 0.12063336372375488]
['UV', 45, 'CV', 153, 'cmp', 'link', 'V1', 'V3', 0.06612184249628528, 0.026496171951293945]
['CV', 20, 'UV', 62, 'tee', 'ar', 'V2', 'V1', 0.14438367690366005, 0.9543001651763916]
['CV', 125, 'UV', 14, 'split', 'objcopy', 'V3', 'V2', 0.1278147115590822, 1.2191781997680664]
['UV', 63, 'CV', 225, 'elfedit', 'printf', 'V1', 'V0', 0.061224489795918324, 0.024388790130615234]
['CV', 199, 'BV', 39, 'expand', 'svn', 'V0', 'V1', 0.22695701145109815, 0.33777523040771484]
['BV', 26, 'CV', 172, 'geany', 'mknod', 'V2', 'V3', 0.18245988503810218, 19.947635412216187]
['BV', 67, 'UV', 84, 'cluster', 'ar', 'V0', 'V0', 0.10161314638926577, 1.309361457824707]
['CV', 95, 'UV', 68, 'du', 'diff', 'V3', 'V0', 0.019675618186652533, 0.1452465057373047]
['CV', 3, 'UV', 69, 'test', 'sdiff', 'V2', 'V0', 0.08676654182272159, 0.033818960189819336]
['UV', 44, 'CV', 112, 'diff3', 'expand', 'V1', 'V3', 0.060319337670017736, 0.036379337310791016]
['BV', 26, 'CV', 138, 'geany', 'printf', 'V2', 'V3', 0.1816857206904281, 20.18899440765381]
['CV', 283, 'UV', 13, 'kill', 'strings', 'V1', 'V2', 0.15023175497591568, 0.8675329685211182]
['CV', 158, 'UV', 24, '[', 'readelf', 'V3', 'V3', 0.10703879773040947, 0.24395298957824707]
['UV', 40, 'BV', 20, 'diff3', 'sort', 'V3', 'V1', 0.03862261516984644, 0.05688357353210449]
['CV', 175, 'BV', 38, 'stat', 'ruby', 'V0', 'V2', 0.2671009771986971, 0.008745431900024414]
['CV', 242, 'UV', 7, 'cat', 'nm', 'V0', 'V2', 0.151123395149786, 0.8870651721954346]
['CV', 14, 'UV', 18, 'dirname', 'ar', 'V2', 'V2', 0.14924229524944665, 0.9323348999023438]
['BV', 61, 'CV', 129, 'cmp', 'dircolors', 'V0', 'V3', 0.09274563820018367, 0.020461559295654297]
['CV', 292, 'BV', 67, 'sha1sum', 'cluster', 'V1', 'V0', 0.1382614647501711, 0.09215259552001953]
['UV', 15, 'CV', 107, 'ld', 'tee', 'V2', 'V3', 0.13164251207729472, 1.5027780532836914]
['UV', 1, 'CV', 75, 'xargs', 'tr', 'V2', 'V2', 0.08862704918032782, 0.04560661315917969]
['CV', 246, 'UV', 13, 'id', 'strings', 'V0', 'V2', 0.15049954586739323, 0.8539962768554688]
['BV', 64, 'CV', 89, 'openssl', 'unlink', 'V2', 'V3', 0.2858765404054745, 4.4079694747924805]
['BV', 23, 'CV', 220, 'diff', 'cut', 'V3', 'V0', 0.13517441860465118, 0.07848429679870605]
['BV', 60, 'CV', 8, 'codeblocks', 'du', 'V1', 'V2', 0.17699900767744292, 10.45783257484436]
['BV', 41, 'CV', 190, 'libvlccore.so', 'dd', 'V1', 'V0', 0.15893160577740018, 2.582928419113159]
['UV', 1, 'CV', 9, 'xargs', 'users', 'V2', 'V2', 0.10327868852459021, 0.041828155517578125]
['UV', 56, 'CV', 141, 'c++filt', 'false', 'V1', 'V3', 0.1449392712550608, 0.8281729221343994]
['UV', 12, 'CV', 155, 'c++filt', 'cat', 'V2', 'V3', 0.14361225586812398, 0.8663196563720703]
['CV', 273, 'BV', 52, 'stty', 'libSDL2-2.0.so', 'V1', 'V2', 0.19218798630563338, 3.884955644607544]
['BV', 65, 'CV', 92, 'ssh', 'mkdir', 'V1', 'V3', 0.11454298672493135, 3.5889692306518555]
