['UV', 12, 'CV', 254, 'c++filt', 'uniq', 'V2', 'V0', 0.14760348583878002, 1.7659053802490234]
['BV', 30, 'UV', 37, 'bash', 'locate', 'V0', 'V3', 0.10503292351613946, 2.8275060653686523]
['UV', 58, 'CV', 136, 'objcopy', 'tsort', 'V1', 'V3', 0.1315445476436189, 1.1419506072998047]
['UV', 44, 'CV', 212, 'diff3', 'split', 'V1', 'V0', 0.08034528552456843, 0.029277324676513672]
['BV', 19, 'CV', 223, 'cp', 'tsort', 'V3', 'V0', 0.1430293290478104, 0.06567573547363281]
['UV', 57, 'CV', 309, 'strings', 'df', 'V1', 'V1', 0.13844263014660696, 0.7979555130004883]
['CV', 145, 'BV', 50, 'readlink', 'sort', 'V3', 'V0', 0.0424665503199535, 0.03468060493469238]
['CV', 315, 'BV', 69, 'false', 'gvmap', 'V1', 'V0', 0.15352839931153184, 0.07404756546020508]
['BV', 34, 'UV', 5, 'svn', 'diff', 'V0', 'V2', 0.12859659424544923, 0.4667794704437256]
['CV', 327, 'BV', 38, 'link', 'ruby', 'V1', 'V2', 0.2210065645514223, 0.004860639572143555]
['CV', 149, 'BV', 72, 'unexpand', 'perl', 'V3', 'V1', 0.09101145923031062, 2.0244710445404053]
['UV', 70, 'CV', 319, 'locate', 'readlink', 'V0', 'V1', 0.12574850299401197, 0.046623945236206055]
['UV', 37, 'BV', 81, 'locate', 'dot', 'V3', 'V1', 0.20688172043010755, 0.06903481483459473]
['BV', 35, 'UV', 16, 'libvlccore.so', 'gprof', 'V2', 'V2', 0.05657164480322907, 7.504714727401733]
['UV', 62, 'CV', 295, 'ar', 'echo', 'V1', 'V1', 0.1493467679959013, 0.8890383243560791]
['CV', 226, 'BV', 39, 'logname', 'svn', 'V0', 'V1', 0.23065250379362667, 0.31913232803344727]
['UV', 34, 'CV', 249, 'elfedit', 'tr', 'V3', 'V0', 0.07550077041602465, 0.02614283561706543]
['UV', 67, 'BV', 35, 'cmp', 'libvlccore.so', 'V0', 'V2', 0.161603656794591, 3.2032394409179688]
['BV', 17, 'UV', 67, 'codeblocks', 'cmp', 'V2', 'V0', 0.18483487450462355, 9.558045387268066]
['BV', 23, 'UV', 12, 'diff', 'c++filt', 'V3', 'V2', 0.10812720848056534, 1.2382025718688965]
['CV', 276, 'BV', 43, 'uptime', 'lua', 'V1', 'V0', 0.14017292983039575, 0.261824369430542]
['UV', 1, 'CV', 51, 'xargs', 'printf', 'V2', 'V2', 0.0747154873824839, 0.04996490478515625]
['UV', 76, 'CV', 249, 'as', 'tr', 'V0', 'V0', 0.13189942441684344, 1.4070665836334229]
['CV', 155, 'BV', 43, 'cat', 'lua', 'V3', 'V0', 0.13262514083373578, 0.27588319778442383]
['CV', 141, 'BV', 64, 'false', 'openssl', 'V3', 'V2', 0.28676345004269854, 4.393090724945068]
['UV', 52, 'CV', 78, 'strip', 'rm', 'V1', 'V2', 0.1253115946911002, 1.269906759262085]
['UV', 29, 'CV', 132, 'objcopy', 'cp', 'V3', 'V3', 0.1100338983050847, 1.4464600086212158]
['UV', 24, 'BV', 5, 'readelf', 'libvlccore.so', 'V3', 'V0', 0.1042795579639032, 4.285119533538818]
['UV', 61, 'CV', 159, 'addr2line', 'id', 'V1', 'V3', 0.13919413919413914, 0.8842332363128662]
['BV', 43, 'CV', 249, 'lua', 'tr', 'V0', 'V0', 0.13780628186153598, 0.25476551055908203]
['BV', 35, 'CV', 319, 'libvlccore.so', 'readlink', 'V2', 'V1', 0.16756129406644416, 3.050950288772583]
['CV', 88, 'UV', 19, 'stat', 'elfedit', 'V3', 'V2', 0.09516460905349788, 0.050566673278808594]
['UV', 68, 'BV', 49, 'diff', 'make', 'V0', 'V3', 0.0752139318420657, 0.34030604362487793]
['UV', 21, 'CV', 296, 'objdump', 'sum', 'V2', 'V1', 0.13893676256131515, 1.3143653869628906]
['BV', 68, 'CV', 340, 'dot', 'fold', 'V0', 'V1', 0.14219474497681606, 0.010707616806030273]
