['CV', 31, 'BV', 9, 'sha1sum', 'dot', 'V2', 'V2', 0.16253101736972708, 0.030632972717285156]
['CV', 293, 'BV', 48, 'paste', 'gvmap', 'V1', 'V3', 0.14823742090991265, 0.22774982452392578]
['BV', 76, 'CV', 31, 'diff', 'sha1sum', 'V2', 'V2', 0.12384341637010676, 0.17655444145202637]
['CV', 332, 'UV', 21, '[', 'objdump', 'V1', 'V2', 0.1399509641508183, 3.120958089828491]
['CV', 165, 'BV', 80, 'rm', 'cluster', 'V3', 'V1', 0.0916334661354582, 0.3489055633544922]
['CV', 104, 'BV', 16, 'mkfifo', 'libvlc.so', 'V3', 'V3', 0.18785364013579775, 0.7115187644958496]
['BV', 75, 'CV', 124, 'cmp', 'seq', 'V2', 'V3', 0.04158415841584162, 0.0724179744720459]
['BV', 35, 'UV', 49, 'libvlccore.so', 'xargs', 'V2', 'V1', 0.16149275017827436, 5.184271335601807]
['CV', 13, 'UV', 51, 'join', 'nm', 'V2', 'V1', 0.13944906890929376, 0.9679808616638184]
['BV', 9, 'CV', 51, 'dot', 'printf', 'V2', 'V2', 0.1575695159629248, 0.016910791397094727]
['CV', 225, 'BV', 32, 'printf', 'perl', 'V0', 'V0', 0.10986471725065117, 1.9946417808532715]
['CV', 100, 'BV', 37, 'join', 'geany', 'V3', 'V1', 0.18206178760752634, 20.006142139434814]
['BV', 37, 'CV', 48, 'geany', 'df', 'V1', 'V2', 0.18085044612615397, 19.969786167144775]
['CV', 338, 'UV', 69, 'nl', 'sdiff', 'V1', 'V0', 0.028893905191873626, 0.053142547607421875]
['CV', 99, 'UV', 8, 'stty', 'strip', 'V3', 'V2', 0.1323273360417876, 1.224691390991211]
['BV', 9, 'UV', 40, 'dot', 'diff3', 'V2', 'V3', 0.17405063291139244, 0.024526596069335938]
['CV', 144, 'BV', 7, 'who', 'libSDL2-2.0.so', 'V3', 'V0', 0.21097246710972462, 3.123751163482666]
['BV', 0, 'CV', 315, 'bash', 'false', 'V2', 'V1', 0.1308188004145825, 2.27130126953125]
['BV', 29, 'CV', 313, 'perl', 'logname', 'V3', 'V1', 0.1056133948695932, 2.3584306240081787]
['UV', 46, 'BV', 50, 'diff', 'sort', 'V1', 'V0', 0.08553742262239727, 0.11288189888000488]
['BV', 29, 'CV', 325, 'perl', 'md5sum', 'V3', 'V1', 0.10405756830893087, 2.378516674041748]
['UV', 68, 'CV', 320, 'diff', 'head', 'V0', 'V1', 0.1164021164021164, 0.06640148162841797]
['CV', 167, 'BV', 67, 'uniq', 'cluster', 'V3', 'V0', 0.1097084460474902, 0.11578559875488281]
['CV', 230, 'UV', 84, 'yes', 'ar', 'V0', 'V0', 0.1509484609878311, 0.8625059127807617]
['CV', 274, 'UV', 32, 'join', 'addr2line', 'V1', 'V3', 0.14590489965648168, 0.93033766746521]
['UV', 58, 'CV', 197, 'objcopy', 'wc', 'V1', 'V0', 0.1369632332304238, 1.182394027709961]
['CV', 289, 'BV', 38, 'chown', 'ruby', 'V1', 'V2', 0.24183006535947715, 0.013891458511352539]
['CV', 240, 'BV', 32, 'link', 'perl', 'V0', 'V0', 0.11196617336152226, 1.8910133838653564]
['CV', 241, 'BV', 80, 'uname', 'cluster', 'V0', 'V1', 0.15670436187399028, 0.09932327270507812]
['CV', 88, 'BV', 21, 'stat', 'cp', 'V3', 'V1', 0.03884711779448624, 0.0774698257446289]
['CV', 320, 'BV', 11, 'head', 'bash', 'V1', 'V1', 0.12967651195499297, 2.208660125732422]
['CV', 72, 'BV', 44, 'id', 'make', 'V2', 'V0', 0.1298701298701299, 0.16309714317321777]
['CV', 40, 'BV', 45, 'ls', 'svn', 'V2', 'V3', 0.17177162460181328, 0.8394510746002197]
['BV', 31, 'UV', 69, 'codeblocks', 'sdiff', 'V0', 'V0', 0.18343243685559985, 9.698608636856079]
['UV', 36, 'CV', 276, 'objdump', 'uptime', 'V3', 'V1', 0.1383128295254833, 1.7256996631622314]
['BV', 14, 'CV', 165, 'openssl', 'rm', 'V3', 'V3', 0.27390102989198695, 5.944899082183838]
['BV', 44, 'CV', 208, 'make', 'echo', 'V0', 'V0', 0.14246700045516614, 0.14686322212219238]
['CV', 120, 'UV', 4, 'sync', 'cmp', 'V3', 'V2', 0.05907780979827093, 0.030950546264648438]
['CV', 288, 'UV', 72, 'expr', 'find', 'V1', 'V0', 0.09946167649320681, 0.15395808219909668]
['UV', 57, 'CV', 70, 'strings', 'vdir', 'V1', 'V2', 0.11635860271964826, 2.082937002182007]
['CV', 61, 'BV', 50, 'ginstall', 'sort', 'V2', 'V0', 0.08886301901435778, 0.08796310424804688]
['CV', 68, 'BV', 23, 'cat', 'diff', 'V2', 'V3', 0.0947806596221582, 0.10449838638305664]
['UV', 76, 'CV', 293, 'as', 'paste', 'V0', 'V1', 0.1344707393138873, 1.470872163772583]
['UV', 85, 'BV', 26, 'elfedit', 'geany', 'V0', 'V2', 0.18184541641701624, 21.406288146972656]
['CV', 89, 'UV', 14, 'unlink', 'objcopy', 'V3', 'V2', 0.1391813732759899, 1.1834933757781982]
['BV', 35, 'CV', 287, 'libvlccore.so', 'date', 'V2', 'V1', 0.16316469630976882, 3.428370475769043]
['UV', 16, 'CV', 215, 'gprof', 'nice', 'V2', 'V0', 0.14786057895181026, 0.9660241603851318]
['CV', 133, 'BV', 4, 'cut', 'geany', 'V3', 'V3', 0.18073041306835913, 25.284600496292114]
