['UV', 49, 'CV', 41, 'xargs', 'nice', 'V1', 'V2', 0.05932203389830504, 0.05311155319213867]
['UV', 11, 'BV', 62, 'ranlib', 'diff', 'V2', 'V0', 0.12798143108692173, 2.5288796424865723]
['UV', 38, 'CV', 17, 'xargs', 'mkfifo', 'V3', 'V2', 0.1472697186982901, 0.12288308143615723]
['BV', 58, 'CV', 45, 'ruby', 'cp', 'V3', 'V2', 0.2230215827338129, 0.08018016815185547]
['CV', 308, 'BV', 45, 'od', 'svn', 'V1', 'V3', 0.21717945148266737, 1.3301830291748047]
['BV', 75, 'CV', 36, 'cmp', 'chroot', 'V2', 'V2', 0.06308919506889055, 0.07700538635253906]
['CV', 285, 'BV', 35, 'factor', 'libvlccore.so', 'V1', 'V2', 0.16756939742721733, 4.759399175643921]
['CV', 94, 'UV', 67, 'dir', 'cmp', 'V3', 'V0', 0.10995490808185915, 0.10063982009887695]
['CV', 44, 'UV', 20, 'true', 'size', 'V2', 'V2', 0.15129084672323523, 0.8898866176605225]
['BV', 56, 'CV', 288, 'ssh', 'expr', 'V3', 'V1', 0.1364804714437966, 1.3789312839508057]
['CV', 147, 'UV', 39, 'hostid', 'find', 'V3', 'V3', 0.1568413391557496, 0.2856333255767822]
['BV', 74, 'CV', 70, 'git', 'vdir', 'V1', 'V2', 0.08676383241193397, 5.25357723236084]
['BV', 16, 'UV', 52, 'libvlc.so', 'strip', 'V3', 'V1', 0.0676041103299081, 2.6386559009552]
['CV', 226, 'BV', 16, 'logname', 'libvlc.so', 'V0', 'V3', 0.20377358490566033, 0.302264928817749]
['UV', 46, 'CV', 53, 'diff', 'tty', 'V1', 'V2', 0.12608555805725308, 0.0819849967956543]
['UV', 27, 'CV', 244, 'c++filt', 'vdir', 'V3', 'V0', 0.12593677319321217, 1.0854599475860596]
['UV', 47, 'CV', 152, 'sdiff', 'env', 'V1', 'V3', 0.07775768535262206, 0.03805422782897949]
['BV', 77, 'CV', 346, 'perl', 'mknod', 'V2', 'V1', 0.09240159279326332, 2.166187286376953]
['CV', 152, 'UV', 83, 'env', 'addr2line', 'V3', 'V0', 0.14251408515747666, 0.8352618217468262]
['UV', 12, 'BV', 11, 'c++filt', 'bash', 'V2', 'V1', 0.038612879490706686, 6.046783447265625]
['CV', 153, 'BV', 23, 'link', 'diff', 'V3', 'V3', 0.12863652295828953, 0.08501315116882324]
['CV', 135, 'BV', 78, 'df', 'make', 'V3', 'V2', 0.08997645475950222, 0.29532814025878906]
['CV', 127, 'UV', 15, 'ls', 'ld', 'V3', 'V2', 0.10890040684389457, 2.100064754486084]
['CV', 232, 'UV', 74, 'readlink', 'strip', 'V0', 'V0', 0.13805452020755682, 1.1007380485534668]
['UV', 46, 'CV', 51, 'diff', 'printf', 'V1', 'V2', 0.09914175791654334, 0.10072088241577148]
['BV', 8, 'CV', 105, 'cluster', 'pwd', 'V2', 'V3', 0.12688296639629204, 0.12257933616638184]
['CV', 168, 'BV', 9, 'sleep', 'dot', 'V3', 'V2', 0.1445639187574672, 0.013784646987915039]
['UV', 68, 'CV', 344, 'diff', 'tac', 'V0', 'V1', 0.06156299840510371, 0.18764209747314453]
['UV', 39, 'CV', 236, 'find', 'unexpand', 'V3', 'V0', 0.16763547721732608, 0.27801084518432617]
['BV', 25, 'UV', 63, 'git', 'elfedit', 'V3', 'V1', 0.08660014255167503, 9.008088827133179]
['BV', 65, 'CV', 172, 'ssh', 'mknod', 'V1', 'V3', 0.11695282547091179, 3.608515501022339]
['CV', 284, 'BV', 62, 'wc', 'diff', 'V1', 'V0', 0.10321100917431192, 0.0459442138671875]
['UV', 58, 'BV', 58, 'objcopy', 'ruby', 'V1', 'V3', 0.14712230215827338, 1.0724434852600098]
