['BV', 16, 'CV', 78, 'libvlc.so', 'rm', 'V3', 'V2', 0.1637222319398286, 0.7950913906097412]
['CV', 159, 'UV', 66, 'id', 'diff3', 'V3', 'V0', 0.05074971164936559, 0.08271169662475586]
['UV', 5, 'BV', 0, 'diff', 'bash', 'V2', 'V2', 0.10644304217867817, 6.595198154449463]
['UV', 74, 'CV', 171, 'strip', 'rmdir', 'V0', 'V3', 0.13164865058343478, 1.6694629192352295]
['UV', 47, 'CV', 34, 'sdiff', 'echo', 'V1', 'V2', 0.10799726589200276, 0.03088688850402832]
['UV', 57, 'CV', 113, 'strings', 'date', 'V1', 'V3', 0.13013292693252054, 0.9881432056427002]
['UV', 49, 'BV', 41, 'xargs', 'libvlccore.so', 'V1', 'V1', 0.15963263789350746, 2.759629011154175]
['CV', 141, 'BV', 19, 'false', 'cp', 'V3', 'V3', 0.12562236690923023, 0.07531857490539551]
['CV', 218, 'BV', 73, 'true', 'geany', 'V0', 'V0', 0.18721327035639224, 14.608201026916504]
['BV', 70, 'CV', 14, 'ssh', 'dirname', 'V0', 'V2', 0.11815601855056412, 3.259678363800049]
['CV', 119, 'UV', 30, 'paste', 'ld', 'V3', 'V3', 0.1422434367541766, 1.8250541687011719]
['CV', 158, 'UV', 83, '[', 'addr2line', 'V3', 'V0', 0.1391447068478162, 0.863112211227417]
['BV', 78, 'CV', 119, 'make', 'paste', 'V2', 'V3', 0.12960807140085373, 0.19913029670715332]
['UV', 29, 'CV', 227, 'objcopy', 'tty', 'V3', 'V0', 0.1462759837385902, 1.084331750869751]
['UV', 20, 'BV', 67, 'size', 'cluster', 'V2', 'V0', 0.10297377876309155, 1.3477938175201416]
['UV', 25, 'CV', 331, 'as', 'vdir', 'V3', 'V1', 0.1175299906020233, 1.9914255142211914]
['UV', 62, 'BV', 81, 'ar', 'dot', 'V1', 'V1', 0.15451718776990842, 0.8942391872406006]
['UV', 77, 'CV', 304, 'ranlib', 'chmod', 'V0', 'V1', 0.13514902363823222, 0.9540390968322754]
['CV', 239, 'BV', 57, 'env', 'svn', 'V0', 'V2', 0.23065250379362667, 0.33857178688049316]
['BV', 31, 'UV', 39, 'codeblocks', 'find', 'V0', 'V3', 0.15110804348361973, 12.918702602386475]
['CV', 211, 'UV', 10, 'seq', 'as', 'V0', 'V2', 0.1342918679783457, 1.646176815032959]
['UV', 3, 'CV', 230, 'diff3', 'yes', 'V2', 'V0', 0.1209858103061987, 0.026293516159057617]
['BV', 25, 'CV', 312, 'git', 'printf', 'V3', 'V1', 0.08733400636794286, 9.967808723449707]
['CV', 341, 'UV', 49, 'uniq', 'xargs', 'V1', 'V1', 0.05011219147344803, 0.027273893356323242]
['UV', 72, 'CV', 20, 'find', 'tee', 'V0', 'V2', 0.14734527175620482, 0.11864733695983887]
['CV', 229, 'UV', 79, 'nohup', 'strings', 'V0', 'V0', 0.14818319454958362, 0.8069405555725098]
['BV', 55, 'CV', 72, 'codeblocks', 'id', 'V3', 'V2', 0.18863352095059416, 10.732099533081055]
['BV', 68, 'UV', 36, 'dot', 'objdump', 'V0', 'V3', 0.1444550214183722, 1.6535820960998535]
['UV', 26, 'CV', 59, 'ranlib', 'head', 'V3', 'V2', 0.14529987239472564, 0.9905290603637695]
['BV', 5, 'CV', 302, 'libvlccore.so', 'nice', 'V0', 'V1', 0.17299088649544325, 2.648319721221924]
['CV', 28, 'BV', 30, 'chown', 'bash', 'V2', 'V0', 0.12260907462108372, 2.230900287628174]
['CV', 80, 'BV', 60, 'uniq', 'codeblocks', 'V2', 'V1', 0.18493315830364077, 10.105551481246948]
['BV', 64, 'CV', 128, 'openssl', 'nice', 'V2', 'V3', 0.28529278256922375, 4.624765396118164]
['UV', 29, 'CV', 196, 'objcopy', 'kill', 'V3', 'V0', 0.14385911412670582, 1.1234798431396484]
['CV', 227, 'BV', 80, 'tty', 'cluster', 'V0', 'V1', 0.1562095730918499, 0.10133481025695801]
['UV', 1, 'CV', 287, 'xargs', 'date', 'V2', 'V1', 0.08555033907146581, 0.05348825454711914]
['BV', 83, 'CV', 280, 'git', 'pr', 'V2', 'V1', 0.0922745098039216, 6.524775981903076]
['UV', 69, 'CV', 244, 'sdiff', 'vdir', 'V0', 'V0', 0.06826964362387289, 0.07889437675476074]
['BV', 50, 'CV', 242, 'sort', 'cat', 'V0', 'V0', 0.09412650602409633, 0.028194427490234375]
['BV', 47, 'CV', 216, 'dot', 'dircolors', 'V3', 'V0', 0.1524216524216524, 0.012302160263061523]
['UV', 23, 'CV', 74, 'strip', 'pathchk', 'V3', 'V2', 0.14262978400909432, 1.1356606483459473]
['CV', 173, 'UV', 1, 'ln', 'xargs', 'V3', 'V2', 0.03402366863905326, 0.09124541282653809]
['CV', 112, 'BV', 59, 'expand', 'make', 'V3', 'V1', 0.1256605989430417, 0.20721030235290527]
['UV', 67, 'BV', 76, 'cmp', 'diff', 'V0', 'V2', 0.09664429530201346, 0.1008462905883789]
['UV', 12, 'CV', 44, 'c++filt', 'true', 'V2', 'V2', 0.15152626271885605, 0.8623988628387451]
['BV', 43, 'CV', 188, 'lua', 'dirname', 'V0', 'V0', 0.14780835881753318, 0.25343751907348633]
['CV', 56, 'UV', 52, 'yes', 'strip', 'V2', 'V1', 0.1376699845787186, 1.1987848281860352]
['BV', 60, 'CV', 275, 'codeblocks', 'dirname', 'V1', 'V1', 0.18741900647948162, 9.8252534866333]
['CV', 67, 'BV', 34, 'uname', 'svn', 'V2', 'V0', 0.21908336625839586, 0.3166773319244385]
['CV', 4, 'UV', 55, 'basename', 'ranlib', 'V2', 'V1', 0.14679054054054053, 0.9680812358856201]
['UV', 48, 'CV', 52, 'locate', 'logname', 'V1', 'V2', 0.1295025728987993, 0.05896902084350586]
['CV', 41, 'BV', 59, 'nice', 'make', 'V2', 'V1', 0.1365298659081674, 0.1876215934753418]
['CV', 213, 'UV', 19, 'whoami', 'elfedit', 'V0', 'V2', 0.09661835748792269, 0.019316911697387695]
['BV', 48, 'CV', 244, 'gvmap', 'vdir', 'V3', 'V0', 0.07899716177861871, 0.1975104808807373]
['CV', 287, 'BV', 61, 'date', 'cmp', 'V1', 'V0', 0.10542168674698793, 0.021254301071166992]
