['UV', 72, 'CV', 75, 'find', 'tr', 'V0', 'V2', 0.13611778846153844, 0.2549252510070801]
['CV', 216, 'UV', 63, 'dircolors', 'elfedit', 'V0', 'V1', 0.07149084568439412, 0.04819679260253906]
['CV', 206, 'UV', 35, 'paste', 'size', 'V0', 'V3', 0.15336463223787167, 1.129676342010498]
['CV', 302, 'BV', 24, 'nice', 'git', 'V1', 'V0', 0.09603579516001415, 2.5568487644195557]
['CV', 41, 'UV', 82, 'nice', 'gprof', 'V2', 'V0', 0.14267207876327836, 0.6995446681976318]
['BV', 10, 'CV', 139, 'gvmap', 'logname', 'V2', 'V3', 0.13373424971363113, 0.0982978343963623]
['BV', 37, 'CV', 316, 'geany', 'nohup', 'V1', 'V1', 0.18510600741365446, 17.79794669151306]
['CV', 330, 'BV', 43, 'csplit', 'lua', 'V1', 'V0', 0.10536922412552185, 0.34485435485839844]
['CV', 107, 'BV', 65, 'tee', 'ssh', 'V3', 'V1', 0.1162852581160192, 3.501093864440918]
['CV', 58, 'UV', 1, 'readlink', 'xargs', 'V2', 'V2', 0.09086188992731048, 0.04500722885131836]
['CV', 251, 'BV', 10, 'nl', 'gvmap', 'V0', 'V2', 0.09722897423432186, 0.14154577255249023]
['UV', 24, 'CV', 90, 'readelf', 'test', 'V3', 'V3', 0.10858819894964478, 0.23378205299377441]
['UV', 31, 'CV', 48, 'gprof', 'df', 'V3', 'V2', 0.12993804811328347, 1.0300698280334473]
['CV', 323, 'UV', 1, 'unexpand', 'xargs', 'V1', 'V2', 0.12264150943396224, 0.03787040710449219]
['CV', 249, 'UV', 41, 'tr', 'cmp', 'V0', 'V3', 0.07110091743119262, 0.0363917350769043]
['CV', 127, 'BV', 69, 'ls', 'gvmap', 'V3', 'V0', 0.038682252922423, 0.22148728370666504]
['BV', 79, 'CV', 160, 'bash', 'shred', 'V3', 'V3', 0.11861214581676638, 2.566455602645874]
['CV', 96, 'BV', 66, 'users', 'lua', 'V3', 'V1', 0.128926114268621, 0.2991607189178467]
['CV', 0, 'UV', 47, 'touch', 'sdiff', 'V2', 'V1', 0.06174264281592612, 0.04212546348571777]
['UV', 0, 'CV', 54, 'locate', 'false', 'V2', 'V2', 0.14035087719298245, 0.04183673858642578]
['CV', 242, 'BV', 70, 'cat', 'ssh', 'V0', 'V0', 0.11840233195683103, 3.1445043087005615]
['BV', 48, 'CV', 173, 'gvmap', 'ln', 'V3', 'V3', 0.08007363092498854, 0.1833193302154541]
['CV', 259, 'BV', 2, 'mknod', 'cmp', 'V0', 'V1', 0.08818493150684936, 0.023104190826416016]
['UV', 56, 'CV', 333, 'c++filt', 'id', 'V1', 'V1', 0.1471975331035733, 0.8050782680511475]
['CV', 136, 'BV', 68, 'tsort', 'dot', 'V3', 'V0', 0.15336134453781514, 0.015493154525756836]
['CV', 28, 'UV', 76, 'chown', 'as', 'V2', 'V0', 0.12322637621430677, 1.548914909362793]
['UV', 33, 'CV', 155, 'ar', 'cat', 'V3', 'V3', 0.1434753096894621, 0.9425849914550781]
['CV', 180, 'UV', 17, 'fmt', 'addr2line', 'V0', 'V2', 0.15075558772961717, 0.8541116714477539]
['CV', 313, 'UV', 82, 'logname', 'gprof', 'V1', 'V0', 0.1462070172368536, 0.812734842300415]
['BV', 45, 'CV', 273, 'svn', 'stty', 'V3', 'V1', 0.21936481169196176, 0.5512921810150146]
['UV', 19, 'CV', 335, 'elfedit', 'pathchk', 'V2', 'V1', 0.08980355472404111, 0.019804954528808594]
['UV', 17, 'CV', 2, 'addr2line', 'unlink', 'V2', 'V2', 0.15058611361587015, 0.8239853382110596]
['BV', 12, 'CV', 67, 'sort', 'uname', 'V2', 'V2', 0.12259615384615385, 0.047965288162231445]
['BV', 44, 'CV', 257, 'make', 'tac', 'V0', 'V0', 0.09553656220322893, 0.19617295265197754]
['UV', 4, 'CV', 3, 'cmp', 'test', 'V2', 'V2', 0.07078986587183311, 0.026981830596923828]
['CV', 39, 'BV', 11, 'whoami', 'bash', 'V2', 'V1', 0.13065350258580155, 2.0399301052093506]
['CV', 74, 'BV', 12, 'pathchk', 'sort', 'V2', 'V2', 0.11948790896159323, 0.048308610916137695]
['CV', 200, 'BV', 70, 'date', 'ssh', 'V0', 'V0', 0.11550507657890208, 3.2648911476135254]
['UV', 60, 'CV', 247, 'gprof', 'shred', 'V1', 'V0', 0.13461225816940336, 1.9155516624450684]
