['CV', 183, 'UV', 49, 'users', 'xargs', 'V0', 'V1', 0.07125307125307123, 0.022913217544555664]
['UV', 31, 'CV', 119, 'gprof', 'paste', 'V3', 'V3', 0.14224751066856334, 1.7130322456359863]
['CV', 265, 'BV', 72, 'basename', 'perl', 'V1', 'V1', 0.09357841167805003, 4.619037628173828]
['BV', 66, 'CV', 341, 'lua', 'uniq', 'V1', 'V1', 0.13252094440213247, 0.6411244869232178]
['BV', 55, 'CV', 220, 'codeblocks', 'cut', 'V3', 'V0', 0.1891320242322958, 10.856684923171997]
['BV', 45, 'CV', 266, 'svn', 'mkdir', 'V3', 'V1', 0.21944717272344605, 0.5969398021697998]
['BV', 25, 'CV', 341, 'git', 'uniq', 'V3', 'V1', 0.0873472935843902, 8.855472803115845]
['UV', 25, 'CV', 52, 'as', 'logname', 'V3', 'V2', 0.13390627721967363, 1.616150140762329]
['UV', 53, 'CV', 226, 'readelf', 'logname', 'V1', 'V0', 0.11422606620936471, 0.0771329402923584]
['BV', 32, 'UV', 55, 'perl', 'ranlib', 'V0', 'V1', 0.028716557476406224, 5.690659046173096]
['BV', 5, 'CV', 145, 'libvlccore.so', 'readlink', 'V0', 'V3', 0.16580198875918717, 2.7239630222320557]
['CV', 256, 'BV', 6, 'sort', 'libvlc.so', 'V0', 'V0', 0.16239316239316237, 0.27334117889404297]
['BV', 12, 'CV', 281, 'sort', 'tee', 'V2', 'V1', 0.12039312039312033, 0.05161094665527344]
['BV', 61, 'CV', 38, 'cmp', 'split', 'V0', 'V2', 0.10119940029985008, 0.026171445846557617]
['CV', 162, 'UV', 41, 'tr', 'cmp', 'V3', 'V3', 0.03497409326424872, 0.03519177436828613]
['CV', 26, 'BV', 36, 'date', 'libvlc.so', 'V2', 'V2', 0.1784922394678492, 0.3576180934906006]
['CV', 0, 'BV', 57, 'touch', 'svn', 'V2', 'V2', 0.2047829937998229, 0.39785003662109375]
['CV', 149, 'BV', 17, 'unexpand', 'codeblocks', 'V3', 'V2', 0.18531154130963712, 10.2056143283844]
['BV', 69, 'CV', 341, 'gvmap', 'uniq', 'V0', 'V1', 0.13147792706333972, 0.10035443305969238]
['UV', 84, 'CV', 43, 'ar', 'chmod', 'V0', 'V2', 0.13438802415582207, 0.9583823680877686]
['BV', 39, 'CV', 264, 'svn', 'test', 'V1', 'V1', 0.22209842154131842, 0.34868788719177246]
['CV', 277, 'BV', 24, 'dd', 'git', 'V1', 'V0', 0.09283998596604859, 3.6873576641082764]
['CV', 20, 'BV', 22, 'tee', 'cmp', 'V2', 'V3', 0.07309486780715391, 0.02825760841369629]
['UV', 52, 'CV', 141, 'strip', 'false', 'V1', 'V3', 0.1352744497074394, 1.1823756694793701]
