['CV', 307, 'BV', 77, 'cut', 'perl', 'V1', 'V2', 0.09173177083333339, 4.120018243789673]
['CV', 48, 'UV', 57, 'df', 'strings', 'V2', 'V1', 0.12925342813610974, 2.075057029724121]
['UV', 61, 'CV', 153, 'addr2line', 'link', 'V1', 'V3', 0.144172050623949, 0.9199438095092773]
['UV', 82, 'BV', 53, 'gprof', 'ssh', 'V0', 'V2', 0.049808712822411394, 8.523925065994263]
['UV', 55, 'CV', 322, 'ranlib', 'ginstall', 'V1', 'V1', 0.12481179174261037, 1.1983208656311035]
['CV', 231, 'BV', 79, 'who', 'bash', 'V0', 'V3', 0.12601399201682473, 2.5680010318756104]
['CV', 16, 'UV', 25, 'dd', 'as', 'V2', 'V3', 0.12535982389795108, 1.7895894050598145]
['UV', 47, 'CV', 45, 'sdiff', 'cp', 'V1', 'V2', 0.06791483113069019, 0.08920979499816895]
['CV', 100, 'BV', 14, 'join', 'openssl', 'V3', 'V3', 0.2800754755469428, 5.767646551132202]
['BV', 2, 'CV', 25, 'cmp', 'expand', 'V1', 'V2', 0.0761979575805185, 0.02533125877380371]
['CV', 173, 'UV', 86, 'ln', 'size', 'V3', 'V0', 0.10541331931826714, 1.0377702713012695]
['UV', 84, 'CV', 84, 'ar', 'rmdir', 'V0', 'V2', 0.1435444366689993, 0.8856675624847412]
['UV', 19, 'CV', 1, 'elfedit', 'stat', 'V2', 'V2', 0.05148205928237126, 0.027765750885009766]
['CV', 91, 'UV', 37, 'basename', 'locate', 'V3', 'V3', 0.13952627683197627, 0.09797048568725586]
['CV', 161, 'BV', 13, 'pathchk', 'cp', 'V3', 'V2', 0.10594639865996647, 0.06495523452758789]
['CV', 204, 'BV', 79, 'pinky', 'bash', 'V0', 'V3', 0.12604645172369378, 2.5915446281433105]
['UV', 54, 'CV', 54, 'as', 'false', 'V1', 'V2', 0.1324286382779598, 1.5078060626983643]
['CV', 50, 'BV', 57, 'cksum', 'svn', 'V2', 'V2', 0.22236622847620813, 0.35167574882507324]
['CV', 190, 'BV', 27, 'dd', 'libSDL2-2.0.so', 'V0', 'V1', 0.18849997269699115, 3.7292368412017822]
['CV', 138, 'BV', 51, 'printf', 'cp', 'V3', 'V0', 0.061224489795918324, 0.04722714424133301]
['UV', 73, 'CV', 274, 'nm', 'join', 'V0', 'V1', 0.1425191117582818, 0.8508212566375732]
['BV', 27, 'CV', 216, 'libSDL2-2.0.so', 'dircolors', 'V1', 'V0', 0.19538060074398977, 3.5114188194274902]
['UV', 44, 'CV', 193, 'diff3', 'pr', 'V1', 'V0', 0.04406779661016946, 0.04358792304992676]
['UV', 42, 'CV', 319, 'diff', 'readlink', 'V3', 'V1', 0.14439895794566437, 0.07668638229370117]
['BV', 20, 'CV', 54, 'sort', 'false', 'V1', 'V2', 0.11600777705767984, 0.03374028205871582]
['CV', 325, 'UV', 59, 'md5sum', 'ld', 'V1', 'V1', 0.134489971699274, 1.5164718627929688]
['CV', 189, 'BV', 28, 'uptime', 'openssl', 'V0', 'V1', 0.10374941519816427, 7.4762279987335205]
['UV', 68, 'CV', 278, 'diff', 'mkfifo', 'V0', 'V1', 0.13931214627775357, 0.05847024917602539]
['UV', 73, 'CV', 53, 'nm', 'tty', 'V0', 'V2', 0.1485102850290564, 0.8286633491516113]
['CV', 37, 'UV', 53, 'seq', 'readelf', 'V2', 'V1', 0.09510644180259886, 0.09254598617553711]
['BV', 0, 'CV', 48, 'bash', 'df', 'V2', 'V2', 0.12006085633557917, 2.552736520767212]
['CV', 49, 'UV', 17, 'tsort', 'addr2line', 'V2', 'V2', 0.14804869316147506, 0.9113059043884277]
['UV', 2, 'CV', 303, 'find', 'dircolors', 'V2', 'V1', 0.15050761421319803, 0.1526341438293457]
['BV', 49, 'CV', 244, 'make', 'vdir', 'V3', 'V0', 0.0915539425932036, 0.31630897521972656]
['CV', 118, 'UV', 55, 'sha1sum', 'ranlib', 'V3', 'V1', 0.1390082644628099, 1.0262014865875244]
['UV', 53, 'CV', 184, 'readelf', 'ptx', 'V1', 'V0', 0.06337371854613238, 0.12195968627929688]
['CV', 147, 'BV', 39, 'hostid', 'svn', 'V3', 'V1', 0.21667880553532415, 0.36516427993774414]
['BV', 11, 'CV', 153, 'bash', 'link', 'V1', 'V3', 0.12915750573045792, 2.1806321144104004]
['CV', 76, 'BV', 7, 'comm', 'libSDL2-2.0.so', 'V2', 'V0', 0.21698048141251114, 3.0222132205963135]
['BV', 83, 'CV', 125, 'git', 'split', 'V2', 'V3', 0.0907301673909231, 6.7541491985321045]
['CV', 99, 'BV', 38, 'stty', 'ruby', 'V3', 'V2', 0.21894093686354377, 0.013337135314941406]
['BV', 80, 'CV', 133, 'cluster', 'cut', 'V1', 'V3', 0.12135922330097082, 0.12907099723815918]
['CV', 296, 'UV', 50, 'sum', 'find', 'V1', 'V1', 0.14461770623742454, 0.15718460083007812]
['BV', 1, 'CV', 180, 'libSDL2-2.0.so', 'fmt', 'V3', 'V0', 0.19496596774930341, 5.154744863510132]
['UV', 86, 'CV', 63, 'size', 'mv', 'V0', 'V2', 0.10197295499889159, 1.0861241817474365]
['CV', 208, 'UV', 40, 'echo', 'diff3', 'V0', 'V3', 0.11688311688311692, 0.026848793029785156]
['CV', 280, 'UV', 8, 'pr', 'strip', 'V1', 'V2', 0.1341427735517846, 1.2204835414886475]
['CV', 239, 'BV', 51, 'env', 'cp', 'V0', 'V0', 0.12337217272104184, 0.03159761428833008]
['BV', 43, 'UV', 10, 'lua', 'as', 'V0', 'V2', 0.07011798483692966, 3.153160572052002]
['CV', 102, 'BV', 33, 'uptime', 'openssl', 'V3', 'V0', 0.10097849186146979, 5.975917339324951]
['CV', 34, 'BV', 27, 'echo', 'libSDL2-2.0.so', 'V2', 'V1', 0.19585279074938855, 3.638522148132324]
['UV', 45, 'BV', 71, 'cmp', 'ruby', 'V1', 'V1', 0.25, 0.012680768966674805]
['CV', 297, 'BV', 23, 'chroot', 'diff', 'V1', 'V3', 0.15168752370117555, 0.07540678977966309]
['UV', 76, 'CV', 176, 'as', 'unlink', 'V0', 'V0', 0.13558282208588956, 1.4058783054351807]
