['UV', 83, 'CV', 105, 'addr2line', 'pwd', 'V0', 'V3', 0.13979976118306237, 1.3047614097595215]
['BV', 13, 'CV', 214, 'cp', 'ls', 'V2', 'V0', 0.04163912756113686, 0.23934602737426758]
['CV', 295, 'UV', 3, 'echo', 'diff3', 'V1', 'V2', 0.11398963730569944, 0.06266403198242188]
['BV', 33, 'CV', 306, 'openssl', 'cp', 'V0', 'V1', 0.09919944309084583, 10.049246072769165]
['CV', 188, 'UV', 28, 'dirname', 'strings', 'V0', 'V3', 0.15461903432877477, 0.8704159259796143]
['CV', 41, 'BV', 81, 'nice', 'dot', 'V2', 'V1', 0.13396481732070364, 0.012084007263183594]
['CV', 16, 'UV', 22, 'dd', 'nm', 'V2', 'V3', 0.13756887052341593, 1.0194051265716553]
['UV', 31, 'CV', 71, 'gprof', '[', 'V3', 'V2', 0.1433733927220775, 0.9757680892944336]
['UV', 69, 'BV', 2, 'sdiff', 'cmp', 'V0', 'V1', 0.035048049745619037, 0.04479169845581055]
['BV', 12, 'CV', 223, 'sort', 'tsort', 'V2', 'V0', 0.12876171682289095, 0.04973936080932617]
['UV', 65, 'CV', 236, 'objdump', 'unexpand', 'V1', 'V0', 0.139207844149142, 1.3787000179290771]
['CV', 54, 'UV', 2, 'false', 'find', 'V2', 'V2', 0.15798969072164948, 0.14293146133422852]
['BV', 63, 'CV', 287, 'ruby', 'date', 'V0', 'V1', 0.11548220814768939, 9.347985744476318]
['UV', 80, 'CV', 189, 'objcopy', 'uptime', 'V0', 'V0', 0.13666448468979564, 1.1218466758728027]
['BV', 82, 'CV', 203, 'gvmap', 'tail', 'V1', 'V0', 0.12276847020049442, 0.12964844703674316]
['CV', 181, 'BV', 37, 'dir', 'geany', 'V0', 'V1', 0.17894350980089524, 21.752238988876343]
['UV', 44, 'CV', 342, 'diff3', 'sleep', 'V1', 'V1', 0.10155148095909727, 0.038329362869262695]
['CV', 279, 'UV', 22, 'pwd', 'nm', 'V1', 'V3', 0.1504368975767949, 0.9394237995147705]
['BV', 65, 'CV', 188, 'ssh', 'dirname', 'V1', 'V0', 0.11997034440924714, 3.3850765228271484]
['UV', 19, 'CV', 298, 'elfedit', 'seq', 'V2', 'V1', 0.08166969147005443, 0.0216672420501709]
['CV', 47, 'UV', 74, 'od', 'strip', 'V2', 'V0', 0.12823412978933968, 1.1870951652526855]
['BV', 78, 'CV', 239, 'make', 'env', 'V2', 'V0', 0.1467851974364276, 0.17741799354553223]
['CV', 237, 'BV', 40, 'mv', 'lua', 'V0', 'V2', 0.10589916839916835, 0.4405980110168457]
['CV', 60, 'BV', 32, 'hostid', 'perl', 'V2', 'V0', 0.11076521812292284, 2.831202983856201]
['UV', 69, 'CV', 207, 'sdiff', 'sync', 'V0', 'V0', 0.1316176470588235, 0.027442216873168945]
['UV', 4, 'CV', 341, 'cmp', 'uniq', 'V2', 'V1', 0.06864988558352403, 0.028933286666870117]
['UV', 82, 'CV', 130, 'gprof', 'chmod', 'V0', 'V3', 0.12768055213211738, 0.977431058883667]
['CV', 248, 'BV', 42, 'pathchk', 'libvlc.so', 'V0', 'V1', 0.18808777429467083, 0.22480463981628418]
['UV', 34, 'CV', 81, 'elfedit', 'sleep', 'V3', 'V2', 0.07915360501567403, 0.02628803253173828]
['CV', 239, 'UV', 15, 'env', 'ld', 'V0', 'V2', 0.1388442024501918, 1.498288631439209]
['UV', 40, 'CV', 16, 'diff3', 'dd', 'V3', 'V2', 0.028301886792452824, 0.05159616470336914]
['BV', 32, 'UV', 43, 'perl', 'sdiff', 'V0', 'V3', 0.10363696206697937, 2.089167833328247]
['CV', 194, 'BV', 81, 'tee', 'dot', 'V0', 'V1', 0.14197530864197527, 0.011258125305175781]
['BV', 10, 'CV', 331, 'gvmap', 'vdir', 'V2', 'V1', 0.07742843735335525, 0.1964418888092041]
['CV', 327, 'BV', 36, 'link', 'libvlc.so', 'V1', 'V2', 0.20246129416435088, 0.31884193420410156]
['CV', 4, 'BV', 28, 'basename', 'openssl', 'V2', 'V1', 0.10398520861642646, 6.361591339111328]
['BV', 10, 'CV', 259, 'gvmap', 'mknod', 'V2', 'V0', 0.14585834333733494, 0.10851192474365234]
['BV', 19, 'CV', 23, 'cp', 'wc', 'V3', 'V2', 0.10917030567685593, 0.0883185863494873]
['CV', 150, 'BV', 1, 'mv', 'libSDL2-2.0.so', 'V3', 'V3', 0.167423096318709, 6.440244674682617]
['BV', 49, 'CV', 118, 'make', 'sha1sum', 'V3', 'V3', 0.12404510731174967, 0.23213768005371094]
['BV', 7, 'CV', 213, 'libSDL2-2.0.so', 'whoami', 'V0', 'V0', 0.22343782873974338, 2.927288293838501]
['BV', 13, 'CV', 291, 'cp', 'pinky', 'V2', 'V1', 0.11524978089395266, 0.06694340705871582]
['BV', 3, 'CV', 127, 'diff', 'ls', 'V1', 'V3', 0.032657100445324105, 0.17436933517456055]
['CV', 75, 'BV', 50, 'tr', 'sort', 'V2', 'V0', 0.058197747183979964, 0.034017086029052734]
['BV', 52, 'CV', 233, 'libSDL2-2.0.so', 'head', 'V2', 'V0', 0.1936405673611472, 4.018713712692261]
['CV', 62, 'UV', 72, 'unexpand', 'find', 'V2', 'V0', 0.15159155373463595, 0.11491227149963379]
['UV', 68, 'CV', 158, 'diff', '[', 'V0', 'V3', 0.0981481481481481, 0.07686114311218262]
['CV', 245, 'BV', 7, '[', 'libSDL2-2.0.so', 'V0', 'V0', 0.21989710789766403, 3.027255058288574]
['CV', 65, 'BV', 80, 'env', 'cluster', 'V2', 'V1', 0.14570982839313573, 0.1076364517211914]
['CV', 321, 'UV', 14, 'hostid', 'objcopy', 'V1', 'V2', 0.14433378602685987, 1.1283056735992432]
['CV', 22, 'UV', 70, 'kill', 'locate', 'V2', 'V0', 0.11142587346553356, 0.05780458450317383]
['UV', 32, 'CV', 7, 'addr2line', 'dir', 'V3', 'V2', 0.11956521739130432, 1.1983709335327148]
['BV', 83, 'CV', 250, 'git', 'comm', 'V2', 'V0', 0.09418473863883026, 6.43523645401001]
['CV', 167, 'UV', 3, 'uniq', 'diff3', 'V3', 'V2', 0.03715498938428874, 0.04455900192260742]
['CV', 8, 'UV', 57, 'du', 'strings', 'V2', 'V1', 0.11707832304192389, 1.178020715713501]
['BV', 8, 'CV', 272, 'cluster', 'printenv', 'V2', 'V1', 0.15626010999676476, 0.09885597229003906]
['CV', 213, 'BV', 17, 'whoami', 'codeblocks', 'V0', 'V2', 0.18825413774693, 10.088200092315674]
['CV', 158, 'BV', 8, '[', 'cluster', 'V3', 'V2', 0.12174405436013591, 0.12842822074890137]
['CV', 133, 'BV', 38, 'cut', 'ruby', 'V3', 'V2', 0.23122065727699526, 0.011724472045898438]
['CV', 206, 'BV', 5, 'paste', 'libvlccore.so', 'V0', 'V0', 0.1733436481184727, 2.724083185195923]
