['CV', 319, 'BV', 37, 'readlink', 'geany', 'V1', 'V1', 0.18545996977369528, 20.371045112609863]
['CV', 198, 'BV', 76, 'factor', 'diff', 'V0', 'V2', 0.14555765595463144, 0.07574748992919922]
['BV', 79, 'CV', 264, 'bash', 'test', 'V3', 'V1', 0.12795759169072962, 2.3845162391662598]
['CV', 340, 'BV', 18, 'fold', 'sort', 'V1', 'V3', 0.14252153484729835, 0.07063579559326172]
['CV', 3, 'UV', 83, 'test', 'addr2line', 'V2', 'V0', 0.14506086794907536, 0.7908539772033691]
['UV', 75, 'BV', 65, 'readelf', 'ssh', 'V0', 'V1', 0.10013994713108376, 4.267520427703857]
['UV', 49, 'CV', 39, 'xargs', 'whoami', 'V1', 'V2', 0.0684500393391031, 0.02294468879699707]
['CV', 90, 'UV', 78, 'test', 'c++filt', 'V3', 'V0', 0.1399684630368241, 0.7991485595703125]
['BV', 48, 'CV', 179, 'gvmap', 'mkdir', 'V3', 'V0', 0.13475997686524, 0.11399149894714355]
['CV', 276, 'BV', 33, 'uptime', 'openssl', 'V1', 'V0', 0.10332563945546192, 5.353226900100708]
['CV', 314, 'UV', 5, 'tty', 'diff', 'V1', 'V2', 0.1532818532818533, 0.07005000114440918]
['UV', 44, 'CV', 226, 'diff3', 'logname', 'V1', 'V0', 0.11988086373790019, 0.0253903865814209]
['BV', 21, 'CV', 150, 'cp', 'mv', 'V1', 'V3', 0.06637806637806642, 0.12615489959716797]
['BV', 21, 'CV', 328, 'cp', 'uname', 'V1', 'V1', 0.12567204301075274, 0.032012939453125]
['CV', 329, 'BV', 17, 'cat', 'codeblocks', 'V1', 'V2', 0.18764826611935925, 9.727420568466187]
['BV', 49, 'CV', 203, 'make', 'tail', 'V3', 'V0', 0.12598137666605802, 0.2233743667602539]
['CV', 331, 'BV', 28, 'vdir', 'openssl', 'V1', 'V1', 0.09807435903040373, 6.912302255630493]
['UV', 61, 'BV', 12, 'addr2line', 'sort', 'V1', 'V2', 0.11904761904761907, 1.0869975090026855]
['BV', 69, 'CV', 223, 'gvmap', 'tsort', 'V0', 'V0', 0.1427142380793598, 0.17664074897766113]
['UV', 62, 'CV', 213, 'ar', 'whoami', 'V1', 'V0', 0.14973535939900973, 0.887139081954956]
['UV', 58, 'CV', 245, 'objcopy', '[', 'V1', 'V0', 0.13656079473905136, 1.1105258464813232]
['CV', 143, 'UV', 47, 'yes', 'sdiff', 'V3', 'V1', 0.08834586466165417, 0.03404498100280762]
['CV', 56, 'UV', 51, 'yes', 'nm', 'V2', 'V1', 0.14826887498898778, 0.8597164154052734]
['BV', 35, 'CV', 258, 'libvlccore.so', 'rmdir', 'V2', 'V0', 0.16869691822373212, 3.0513854026794434]
['UV', 21, 'CV', 161, 'objdump', 'pathchk', 'V2', 'V3', 0.13721250245724392, 1.3504114151000977]
['BV', 5, 'CV', 210, 'libvlccore.so', 'chroot', 'V0', 'V0', 0.17368450174293149, 2.4524450302124023]
['UV', 3, 'BV', 32, 'diff3', 'perl', 'V2', 'V0', 0.10399769442957718, 2.0246925354003906]
['CV', 290, 'UV', 33, 'tail', 'ar', 'V1', 'V3', 0.14130434782608692, 0.9774930477142334]
['CV', 86, 'UV', 19, 'ln', 'elfedit', 'V2', 'V2', 0.05980707395498397, 0.03589916229248047]
['UV', 29, 'CV', 298, 'objcopy', 'seq', 'V3', 'V1', 0.1438048036599313, 1.047969102859497]
['UV', 8, 'CV', 119, 'strip', 'paste', 'V2', 'V3', 0.13788526765963716, 1.1032721996307373]
['BV', 11, 'CV', 315, 'bash', 'false', 'V1', 'V1', 0.13260715131423162, 2.982351064682007]
['BV', 74, 'UV', 18, 'git', 'ar', 'V1', 'V2', 0.0441195739662692, 9.70381474494934]
['CV', 315, 'UV', 17, 'false', 'addr2line', 'V1', 'V2', 0.1541061478030511, 0.8643608093261719]
['BV', 14, 'CV', 214, 'openssl', 'ls', 'V3', 'V0', 0.27103600441279707, 5.8882880210876465]
['UV', 82, 'CV', 243, 'gprof', 'csplit', 'V0', 'V0', 0.12271707785966035, 0.9840319156646729]
['CV', 85, 'BV', 44, 'mknod', 'make', 'V2', 'V0', 0.13059620004367767, 0.1540355682373047]
['CV', 324, 'BV', 8, 'mv', 'cluster', 'V1', 'V2', 0.08779761904761907, 0.17292428016662598]
['BV', 78, 'UV', 40, 'make', 'diff3', 'V2', 'V3', 0.10751131221719457, 0.23360610008239746]
['UV', 37, 'BV', 65, 'locate', 'ssh', 'V3', 'V1', 0.1020213273913736, 4.428186893463135]
['BV', 47, 'CV', 56, 'dot', 'yes', 'V3', 'V2', 0.12005856515373359, 0.010122537612915039]
['BV', 30, 'CV', 91, 'bash', 'basename', 'V0', 'V3', 0.12928433651515903, 1.910489797592163]
['BV', 73, 'CV', 288, 'geany', 'expr', 'V0', 'V1', 0.18101730930984106, 14.311639547348022]
['BV', 67, 'CV', 61, 'cluster', 'ginstall', 'V0', 'V2', 0.06060606060606055, 0.18545103073120117]
['UV', 83, 'CV', 248, 'addr2line', 'pathchk', 'V0', 'V0', 0.1503645488116656, 0.7532944679260254]
['BV', 19, 'CV', 174, 'cp', 'touch', 'V3', 'V0', 0.1143178410794603, 0.08225369453430176]
['CV', 210, 'UV', 78, 'chroot', 'c++filt', 'V0', 'V0', 0.15098510331571358, 0.7353816032409668]
['UV', 64, 'CV', 45, 'size', 'cp', 'V1', 'V2', 0.1160642570281124, 1.1099355220794678]
['BV', 29, 'CV', 54, 'perl', 'false', 'V3', 'V2', 0.10506780870806565, 2.219066619873047]
['CV', 215, 'UV', 56, 'nice', 'c++filt', 'V0', 'V1', 0.14933820173436785, 0.8200206756591797]
['BV', 75, 'CV', 199, 'cmp', 'expand', 'V2', 'V0', 0.10291595197255576, 0.022708415985107422]
['UV', 34, 'CV', 86, 'elfedit', 'ln', 'V3', 'V2', 0.04923076923076919, 0.03828167915344238]
['UV', 70, 'CV', 233, 'locate', 'head', 'V0', 'V0', 0.11647727272727271, 0.05213117599487305]
['UV', 34, 'CV', 199, 'elfedit', 'expand', 'V3', 'V0', 0.09809027777777779, 0.022121429443359375]
['CV', 221, 'BV', 79, 'od', 'bash', 'V0', 'V3', 0.12594178082191787, 2.4355382919311523]
['BV', 64, 'CV', 174, 'openssl', 'touch', 'V2', 'V0', 0.2843037112700034, 4.4221954345703125]
['CV', 225, 'BV', 5, 'printf', 'libvlccore.so', 'V0', 'V0', 0.17032725675378868, 2.6303722858428955]
['CV', 228, 'BV', 29, 'false', 'perl', 'V0', 'V3', 0.10606277769815109, 2.2495627403259277]
['CV', 163, 'BV', 12, 'comm', 'sort', 'V3', 'V2', 0.08640406607369755, 0.06159377098083496]
['CV', 152, 'UV', 61, 'env', 'addr2line', 'V3', 'V1', 0.14214002642007928, 0.8862762451171875]
['UV', 86, 'CV', 60, 'size', 'hostid', 'V0', 'V2', 0.12737565709664378, 0.7553532123565674]
['UV', 35, 'CV', 285, 'size', 'factor', 'V3', 'V1', 0.1519405450041288, 0.8409528732299805]
['CV', 187, 'BV', 5, 'join', 'libvlccore.so', 'V0', 'V0', 0.16886874863507317, 2.6386094093322754]
['BV', 28, 'CV', 141, 'openssl', 'false', 'V1', 'V3', 0.10346591920270509, 5.9990081787109375]
['CV', 340, 'BV', 80, 'fold', 'cluster', 'V1', 'V1', 0.14759797724399493, 0.10152840614318848]
['UV', 16, 'CV', 61, 'gprof', 'ginstall', 'V2', 'V2', 0.11694747274529238, 1.2471027374267578]
['UV', 45, 'BV', 18, 'cmp', 'sort', 'V1', 'V3', 0.10402219140083213, 0.09259581565856934]
['UV', 48, 'CV', 243, 'locate', 'csplit', 'V1', 'V0', 0.047371638141809336, 0.09982180595397949]
['CV', 52, 'UV', 48, 'logname', 'locate', 'V2', 'V1', 0.1295025728987993, 0.05685162544250488]
['CV', 206, 'UV', 38, 'paste', 'xargs', 'V0', 'V3', 0.16520210896309317, 0.05106401443481445]
['CV', 49, 'UV', 11, 'tsort', 'ranlib', 'V2', 'V2', 0.14713596750994162, 0.9627923965454102]
['UV', 53, 'CV', 268, 'readelf', 'dir', 'V1', 'V1', 0.04807913503565675, 0.15448379516601562]
['UV', 10, 'BV', 63, 'as', 'ruby', 'V2', 'V0', 0.05475042691127796, 19.612772464752197]
['BV', 42, 'CV', 329, 'libvlc.so', 'cat', 'V1', 'V1', 0.1844444444444444, 0.22382330894470215]
['CV', 69, 'BV', 21, 'csplit', 'cp', 'V2', 'V1', 0.0350150602409639, 0.07393717765808105]
['UV', 38, 'CV', 221, 'xargs', 'od', 'V3', 'V0', 0.12429087158329033, 0.06176900863647461]
['BV', 78, 'CV', 86, 'make', 'ln', 'V2', 'V2', 0.11403018446059254, 0.22250604629516602]
['UV', 57, 'CV', 236, 'strings', 'unexpand', 'V1', 'V0', 0.14858277667449005, 0.8187212944030762]
['CV', 210, 'UV', 62, 'chroot', 'ar', 'V0', 'V1', 0.14940273037542662, 0.897007942199707]
['BV', 47, 'CV', 146, 'dot', 'head', 'V3', 'V3', 0.1472868217054264, 0.016414403915405273]
['BV', 4, 'CV', 186, 'geany', 'stty', 'V3', 'V0', 0.1819289269430232, 23.24531602859497]
['UV', 12, 'CV', 12, 'c++filt', 'stty', 'V2', 'V2', 0.14196651229070179, 0.890791654586792]
['CV', 328, 'UV', 9, 'uname', 'readelf', 'V1', 'V2', 0.11099796334012224, 0.09051847457885742]
