['UV', 39, 'CV', 316, 'find', 'nohup', 'V3', 'V1', 0.16162553349415476, 0.2806663513183594]
['BV', 20, 'CV', 278, 'sort', 'mkfifo', 'V1', 'V1', 0.11957247828991313, 0.06407666206359863]
['CV', 235, 'BV', 46, 'ginstall', 'cluster', 'V0', 'V3', 0.0902198635329795, 0.3375706672668457]
['BV', 20, 'CV', 146, 'sort', 'head', 'V1', 'V3', 0.06416275430359941, 0.09457707405090332]
['UV', 54, 'CV', 28, 'as', 'chown', 'V1', 'V2', 0.12205458552297, 3.716872215270996]
['CV', 289, 'UV', 81, 'chown', 'ld', 'V1', 'V0', 0.12896230626953253, 1.932492733001709]
['UV', 59, 'BV', 34, 'ld', 'svn', 'V1', 'V0', 0.07959514567876969, 3.098877429962158]
['CV', 93, 'BV', 3, 'fmt', 'diff', 'V3', 'V1', 0.09832953682612, 0.0830373764038086]
['CV', 321, 'BV', 73, 'hostid', 'geany', 'V1', 'V0', 0.18693551300578037, 14.648540019989014]
['BV', 35, 'CV', 30, 'libvlccore.so', 'pinky', 'V2', 'V2', 0.16343212237093696, 3.39245343208313]
['CV', 22, 'BV', 66, 'kill', 'lua', 'V2', 'V1', 0.13381141287763199, 0.29953694343566895]
['BV', 16, 'CV', 10, 'libvlc.so', 'ptx', 'V3', 'V2', 0.13854379619437018, 0.44295287132263184]
['CV', 224, 'BV', 23, 'cksum', 'diff', 'V0', 'V3', 0.15416825275980206, 0.07279658317565918]
['CV', 90, 'BV', 53, 'test', 'ssh', 'V3', 'V2', 0.11767628258205542, 3.7971863746643066]
['CV', 24, 'BV', 42, 'factor', 'libvlc.so', 'V2', 'V1', 0.17772972972972978, 0.24270415306091309]
['UV', 30, 'CV', 290, 'ld', 'tail', 'V3', 'V1', 0.13938315539739032, 1.8242032527923584]
['BV', 15, 'CV', 218, 'libvlccore.so', 'true', 'V3', 'V0', 0.16886198547215492, 3.1541757583618164]
['CV', 160, 'UV', 4, 'shred', 'cmp', 'V3', 'V2', 0.06269592476489028, 0.0510714054107666]
['CV', 120, 'BV', 40, 'sync', 'lua', 'V3', 'V2', 0.13015647226173543, 0.3312342166900635]
['UV', 10, 'BV', 28, 'as', 'openssl', 'V2', 'V1', 0.040119016479204794, 15.37388825416565]
['UV', 1, 'CV', 16, 'xargs', 'dd', 'V2', 'V2', 0.052888888888888874, 0.06491327285766602]
['CV', 172, 'UV', 3, 'mknod', 'diff3', 'V3', 'V2', 0.06455469216975496, 0.03820490837097168]
['CV', 236, 'BV', 0, 'unexpand', 'bash', 'V0', 'V2', 0.12991153621626472, 2.356924533843994]
['UV', 84, 'CV', 204, 'ar', 'pinky', 'V0', 'V0', 0.1440365360969612, 0.9106807708740234]
['CV', 69, 'UV', 37, 'csplit', 'locate', 'V2', 'V3', 0.0680066079295154, 0.15242481231689453]
['UV', 24, 'CV', 305, 'readelf', 'true', 'V3', 'V1', 0.1261751608114795, 0.2135777473449707]
['UV', 28, 'BV', 54, 'strings', 'lua', 'V3', 'V3', 0.044275957865493654, 2.194348096847534]
['BV', 30, 'CV', 228, 'bash', 'false', 'V0', 'V0', 0.1333132711405356, 2.8187415599823]
['CV', 346, 'BV', 76, 'mknod', 'diff', 'V1', 'V2', 0.1448509996227838, 0.07894492149353027]
['CV', 298, 'UV', 5, 'seq', 'diff', 'V1', 'V2', 0.14527662777568684, 0.07861900329589844]
['BV', 39, 'CV', 60, 'svn', 'hostid', 'V1', 'V2', 0.2230255839822024, 0.3439295291900635]
['CV', 23, 'UV', 15, 'wc', 'ld', 'V2', 'V2', 0.13178952473326866, 1.6371021270751953]
['BV', 56, 'UV', 38, 'ssh', 'xargs', 'V3', 'V3', 0.12680277205469193, 1.6290316581726074]
['CV', 96, 'BV', 63, 'users', 'ruby', 'V3', 'V0', 0.11570792484475767, 9.637160778045654]
['CV', 321, 'UV', 36, 'hostid', 'objdump', 'V1', 'V3', 0.14100218379271678, 1.7075886726379395]
['BV', 39, 'CV', 193, 'svn', 'pr', 'V1', 'V0', 0.20161431830145637, 0.401684045791626]
['UV', 19, 'BV', 70, 'elfedit', 'ssh', 'V2', 'V0', 0.11497730711043874, 3.4413366317749023]
['CV', 279, 'BV', 23, 'pwd', 'diff', 'V1', 'V3', 0.13865391688120632, 0.08192205429077148]
['CV', 74, 'UV', 3, 'pathchk', 'diff3', 'V2', 'V2', 0.09260493004663561, 0.030912399291992188]
['BV', 51, 'CV', 337, 'cp', 'comm', 'V0', 'V1', 0.1008883248730964, 0.03621935844421387]
['CV', 291, 'UV', 78, 'pinky', 'c++filt', 'V1', 'V0', 0.14389438943894395, 0.8368504047393799]
['UV', 13, 'BV', 49, 'strings', 'make', 'V2', 'V3', 0.06713250179585972, 1.9023337364196777]
['CV', 10, 'UV', 49, 'ptx', 'xargs', 'V2', 'V1', 0.0629825274278748, 0.057290077209472656]
['BV', 4, 'CV', 205, 'geany', 'sha1sum', 'V3', 'V0', 0.18212064730781963, 24.62580394744873]
['UV', 46, 'CV', 89, 'diff', 'unlink', 'V1', 'V3', 0.11627906976744184, 0.09041547775268555]
['CV', 155, 'UV', 28, 'cat', 'strings', 'V3', 'V3', 0.14463705308775732, 0.9500291347503662]
['CV', 223, 'UV', 28, 'tsort', 'strings', 'V0', 'V3', 0.15218195266272194, 0.8814482688903809]
['BV', 6, 'CV', 90, 'libvlc.so', 'test', 'V0', 'V3', 0.17491448118586095, 0.24737310409545898]
