['UO', 16, 'BO', 12, 'size', 'libgeany.so.0.0.0', 'O1', 'O0', 0.17222038476379475, 166.59807562828064]
['BO', 5, 'CO', 414, 'libgeany.so.0.0.0', 'mknod', 'O1', 'O0', 0.1772673366206854, 23.3850257396698]
['UO', 32, 'BO', 6, 'strings', 'codeblocks', 'O2', 'O0', 0.15247334821849745, 29.21988582611084]
['CO', 21, 'BO', 12, 'mktemp', 'libgeany.so.0.0.0', 'O3', 'O0', 0.19692628867124173, 128.0401668548584]
['BO', 5, 'CO', 125, 'libgeany.so.0.0.0', 'mktemp', 'O1', 'O1', 0.1821056459390662, 21.948602199554443]
['CO', 291, 'BO', 5, 'csplit', 'libgeany.so.0.0.0', 'O2', 'O1', 0.18220305514746538, 21.971601724624634]
['BO', 5, 'CO', 268, 'libgeany.so.0.0.0', 'base64', 'O1', 'O2', 0.18386717881972003, 22.018364429473877]
['BO', 6, 'CO', 248, 'codeblocks', 'sync', 'O0', 'O2', 0.20818591486350602, 19.703623294830322]
['BO', 12, 'CO', 374, 'libgeany.so.0.0.0', 'printf', 'O0', 'O0', 0.19673454276194002, 127.24820184707642]
['CO', 127, 'BO', 5, 'pr', 'libgeany.so.0.0.0', 'O1', 'O1', 0.18054244540935116, 22.841392993927002]
['BO', 6, 'CO', 166, 'codeblocks', 'printf', 'O0', 'O1', 0.20620390616313977, 20.220819234848022]
['CO', 154, 'BO', 5, 'dircolors', 'libgeany.so.0.0.0', 'O1', 'O1', 0.18293127207641013, 21.78532648086548]
['BO', 6, 'CO', 231, 'codeblocks', 'pr', 'O0', 'O2', 0.20472731295401747, 20.395107984542847]
['BO', 6, 'UO', 26, 'codeblocks', 'nm', 'O0', 'O2', 0.15129446036742944, 29.223610877990723]
['BO', 6, 'CO', 68, 'codeblocks', 'yes', 'O0', 'O3', 0.20784459522260434, 20.15838360786438]
['CO', 84, 'BO', 6, 'vdir', 'codeblocks', 'O3', 'O0', 0.19799421756414892, 22.372249126434326]
['BO', 5, 'UO', 0, 'libgeany.so.0.0.0', 'locate', 'O1', 'O1', 0.17358257376795927, 23.888265132904053]
['CO', 105, 'BO', 5, 'touch', 'libgeany.so.0.0.0', 'O1', 'O1', 0.18067319499984258, 23.073295831680298]
['BO', 6, 'UO', 11, 'codeblocks', 'ld', 'O0', 'O1', 0.12667794860027537, 34.06570100784302]
