['BO', 5, 'CO', 289, 'libgeany.so.0.0.0', 'cat', 'O1', 'O2', 0.18405336721728083, 31.495394706726074]
['CO', 55, 'BO', 5, 'cp', 'libgeany.so.0.0.0', 'O3', 'O1', 0.17649521623842823, 85.89034795761108]
['BO', 5, 'CO', 121, 'libgeany.so.0.0.0', 'stdbuf', 'O1', 'O1', 0.18266734215692482, 86.13680744171143]
['CO', 397, 'BO', 6, '[', 'codeblocks', 'O0', 'O0', 0.20461979118543838, 53.7039155960083]
['BO', 12, 'UO', 80, 'libgeany.so.0.0.0', 'objdump', 'O0', 'O0', 0.14581089676976466, 248.23034715652466]
['UO', 23, 'BO', 12, 'cmp', 'libgeany.so.0.0.0', 'O2', 'O0', 0.1972319364590125, 128.2453932762146]
['CO', 315, 'BO', 5, 'unlink', 'libgeany.so.0.0.0', 'O0', 'O1', 0.18331350622571185, 21.70469832420349]
['UO', 54, 'BO', 6, 'addr2line', 'codeblocks', 'O3', 'O0', 0.15467722347522983, 28.837367057800293]
['BO', 5, 'CO', 206, 'libgeany.so.0.0.0', 'mknod', 'O1', 'O1', 0.18345044173394454, 21.200088024139404]
['UO', 47, 'BO', 12, 'as', 'libgeany.so.0.0.0', 'O3', 'O0', 0.16368199836656638, 165.01706409454346]
['BO', 12, 'CO', 325, 'libgeany.so.0.0.0', 'printenv', 'O0', 'O0', 0.19735056111436644, 126.12240886688232]
['BO', 6, 'CO', 169, 'codeblocks', 'false', 'O0', 'O1', 0.20774241578261676, 20.090839862823486]
['CO', 110, 'BO', 6, 'mkdir', 'codeblocks', 'O1', 'O0', 0.2057055112574695, 20.673126459121704]
['BO', 6, 'CO', 309, 'codeblocks', 'rmdir', 'O0', 'O2', 0.2076987447698745, 20.119028329849243]
['BO', 6, 'CO', 148, 'codeblocks', 'seq', 'O0', 'O1', 0.20642601553664464, 20.15127182006836]
['BO', 5, 'CO', 384, 'libgeany.so.0.0.0', 'head', 'O1', 'O0', 0.18154137414214722, 21.528998851776123]
['CO', 261, 'BO', 6, 'chmod', 'codeblocks', 'O2', 'O0', 0.20485573020441294, 20.573551177978516]
['UO', 44, 'BO', 12, 'nm', 'libgeany.so.0.0.0', 'O3', 'O0', 0.17434695105504494, 157.62923192977905]
['BO', 5, 'CO', 319, 'libgeany.so.0.0.0', 'fmt', 'O1', 'O0', 0.18215601625630562, 21.602774620056152]
