['BO', 5, 'CO', 172, 'libgeany.so.0.0.0', 'yes', 'O1', 'O1', 0.1838374216083194, 34.91179919242859]
['CO', 73, 'BO', 6, 'hostid', 'codeblocks', 'O3', 'O0', 0.20793588813893382, 80.0530366897583]
['BO', 6, 'UO', 36, 'codeblocks', 'addr2line', 'O0', 'O2', 0.15223027008342893, 112.08317637443542]
['CO', 264, 'BO', 12, 'cut', 'libgeany.so.0.0.0', 'O2', 'O0', 0.1974697061833499, 241.8475694656372]
['CO', 29, 'BO', 5, 'nproc', 'libgeany.so.0.0.0', 'O3', 'O1', 0.1837815552454649, 21.62379264831543]
['BO', 5, 'UO', 2, 'libgeany.so.0.0.0', 'find', 'O1', 'O1', 0.15878218757382467, 26.80371069908142]
['UO', 53, 'BO', 6, 'gprof', 'codeblocks', 'O3', 'O0', 0.15168880514505512, 29.754400491714478]
['UO', 69, 'BO', 5, 'as', 'libgeany.so.0.0.0', 'O0', 'O1', 0.0943055379765042, 43.07973051071167]
['CO', 258, 'BO', 6, 'dircolors', 'codeblocks', 'O2', 'O0', 0.20728286112401295, 20.71110725402832]
['CO', 233, 'BO', 12, 'chgrp', 'libgeany.so.0.0.0', 'O2', 'O0', 0.19622825556820023, 130.24136090278625]
['BO', 6, 'CO', 49, 'codeblocks', 'nice', 'O0', 'O3', 0.2076744402118369, 20.320183992385864]
['BO', 5, 'CO', 78, 'libgeany.so.0.0.0', 'chcon', 'O1', 'O3', 0.18080090526183445, 21.248426914215088]
['CO', 331, 'BO', 12, 'dd', 'libgeany.so.0.0.0', 'O0', 'O0', 0.19514856595148566, 139.04715609550476]
['BO', 6, 'CO', 218, 'codeblocks', 'users', 'O0', 'O2', 0.20787436737124143, 20.125348567962646]
['BO', 6, 'CO', 338, 'codeblocks', 'kill', 'O0', 'O0', 0.20589434661723816, 19.961891412734985]
['BO', 12, 'CO', 169, 'libgeany.so.0.0.0', 'false', 'O0', 'O1', 0.19777193919962, 126.87176966667175]
['CO', 163, 'BO', 5, 'tsort', 'libgeany.so.0.0.0', 'O1', 'O1', 0.18314635228497178, 21.884807348251343]
['BO', 12, 'CO', 62, 'libgeany.so.0.0.0', 'printf', 'O0', 'O3', 0.1972418288067428, 129.21311020851135]
['CO', 220, 'BO', 5, 'ptx', 'libgeany.so.0.0.0', 'O2', 'O1', 0.18152023194251865, 21.714296102523804]
['UO', 81, 'BO', 5, 'diff3', 'libgeany.so.0.0.0', 'O0', 'O1', 0.17978674957993745, 23.7533278465271]
['CO', 142, 'BO', 5, 'sha1sum', 'libgeany.so.0.0.0', 'O1', 'O1', 0.18282022044849866, 21.577281951904297]
['CO', 68, 'BO', 6, 'yes', 'codeblocks', 'O3', 'O0', 0.20784459522260434, 20.37263822555542]
['BO', 5, 'CO', 76, 'libgeany.so.0.0.0', 'md5sum', 'O1', 'O3', 0.18309012060396945, 21.369720458984375]
['CO', 414, 'BO', 5, 'mknod', 'libgeany.so.0.0.0', 'O0', 'O1', 0.1772673366206854, 23.684073209762573]
['BO', 5, 'CO', 26, 'libgeany.so.0.0.0', 'kill', 'O1', 'O3', 0.18358192394870732, 21.509975910186768]
['CO', 358, 'BO', 12, 'whoami', 'libgeany.so.0.0.0', 'O0', 'O0', 0.1972886987088689, 132.11808109283447]
['CO', 72, 'BO', 5, 'head', 'libgeany.so.0.0.0', 'O3', 'O1', 0.18306896715322696, 21.8458411693573]
['BO', 6, 'UO', 69, 'codeblocks', 'as', 'O0', 'O0', 0.10079674608384503, 41.153223752975464]
['BO', 6, 'CO', 340, 'codeblocks', 'factor', 'O0', 'O0', 0.20147519080476606, 21.95213794708252]
['CO', 1, 'BO', 5, 'touch', 'libgeany.so.0.0.0', 'O3', 'O1', 0.18108588599927633, 22.149882316589355]
['CO', 8, 'BO', 12, 'dir', 'libgeany.so.0.0.0', 'O3', 'O0', 0.1937423906825283, 138.95590925216675]
['CO', 207, 'BO', 6, 'ln', 'codeblocks', 'O1', 'O0', 0.20223977712201469, 22.386837244033813]
['CO', 160, 'BO', 5, 'cut', 'libgeany.so.0.0.0', 'O1', 'O1', 0.18277407401542378, 22.009631872177124]
