['CO', 383, 'BO', 6, 'readlink', 'codeblocks', 'O0', 'O0', 0.20427961638671766, 34.6770224571228]
['BO', 5, 'UO', 8, 'libgeany.so.0.0.0', 'c++filt', 'O1', 'O1', 0.13594992756990187, 82.45883584022522]
['CO', 217, 'BO', 6, 'du', 'codeblocks', 'O2', 'O0', 0.19983262380380595, 51.71288347244263]
['CO', 379, 'BO', 5, 'nohup', 'libgeany.so.0.0.0', 'O0', 'O1', 0.1826402305767586, 38.42454290390015]
['CO', 295, 'BO', 5, 'id', 'libgeany.so.0.0.0', 'O2', 'O1', 0.18348420234943486, 52.461589336395264]
['CO', 44, 'BO', 12, 'seq', 'libgeany.so.0.0.0', 'O3', 'O0', 0.19733127857095223, 214.4895040988922]
['UO', 64, 'BO', 6, 'diff', 'codeblocks', 'O3', 'O0', 0.19779328249229278, 22.842410564422607]
['CO', 187, 'BO', 12, 'csplit', 'libgeany.so.0.0.0', 'O1', 'O0', 0.19656766653105007, 129.52432465553284]
['BO', 5, 'CO', 79, 'libgeany.so.0.0.0', 'link', 'O1', 'O3', 0.18414788955887018, 20.819510459899902]
['CO', 205, 'BO', 6, 'rmdir', 'codeblocks', 'O1', 'O0', 0.2069023131474399, 20.223305225372314]
['CO', 53, 'BO', 5, 'chmod', 'libgeany.so.0.0.0', 'O3', 'O1', 0.1814676068752754, 21.52086114883423]
['CO', 68, 'BO', 12, 'yes', 'libgeany.so.0.0.0', 'O3', 'O0', 0.19778785023849976, 127.26180791854858]
['CO', 287, 'BO', 6, 'link', 'codeblocks', 'O2', 'O0', 0.20844514013118665, 19.732564449310303]
['CO', 374, 'BO', 5, 'printf', 'libgeany.so.0.0.0', 'O0', 'O1', 0.18208403148809715, 21.71006941795349]
['BO', 6, 'CO', 46, 'codeblocks', 'whoami', 'O0', 'O3', 0.20785232279292842, 20.069581031799316]
['BO', 5, 'CO', 312, 'libgeany.so.0.0.0', 'sha384sum', 'O1', 'O0', 0.181622953149426, 21.65007448196411]
['UO', 62, 'BO', 5, 'diff3', 'libgeany.so.0.0.0', 'O3', 'O1', 0.18173796580792567, 21.846051692962646]
['UO', 22, 'BO', 6, 'diff3', 'codeblocks', 'O2', 'O0', 0.2055341079114099, 20.5884006023407]
['UO', 79, 'BO', 5, 'size', 'libgeany.so.0.0.0', 'O0', 'O1', 0.11532357385000191, 37.28126549720764]
['CO', 128, 'BO', 5, 'tee', 'libgeany.so.0.0.0', 'O1', 'O1', 0.1830222757375075, 21.307762622833252]
