['BO', 12, 'CO', 197, 'libgeany.so.0.0.0', 'nl', 'O0', 'O1', 0.19729595505118258, 139.02996587753296]
['UO', 77, 'BO', 5, 'ar', 'libgeany.so.0.0.0', 'O0', 'O1', 0.11315388777731639, 37.838372230529785]
['CO', 404, 'BO', 5, 'sha512sum', 'libgeany.so.0.0.0', 'O0', 'O1', 0.181622953149426, 21.942183017730713]
['CO', 33, 'BO', 5, 'chown', 'libgeany.so.0.0.0', 'O3', 'O1', 0.18073576073638908, 21.564319849014282]
['BO', 6, 'CO', 402, 'codeblocks', 'tr', 'O0', 'O0', 0.20421755654772888, 20.369282484054565]
['CO', 64, 'BO', 12, 'tty', 'libgeany.so.0.0.0', 'O3', 'O0', 0.1978084752804321, 127.2778115272522]
['CO', 28, 'BO', 6, 'factor', 'codeblocks', 'O3', 'O0', 0.2051598864013573, 21.42138409614563]
['CO', 339, 'BO', 5, 'wc', 'libgeany.so.0.0.0', 'O0', 'O1', 0.1810539265942177, 23.266794681549072]
['CO', 289, 'BO', 12, 'cat', 'libgeany.so.0.0.0', 'O2', 'O0', 0.1977617478552558, 127.8219006061554]
['BO', 12, 'CO', 63, 'libgeany.so.0.0.0', 'logname', 'O0', 'O3', 0.19780994280033537, 127.70194959640503]
['CO', 174, 'BO', 6, 'b2sum', 'codeblocks', 'O1', 'O0', 0.2054624801213063, 20.653491258621216]
['CO', 43, 'BO', 12, 'chroot', 'libgeany.so.0.0.0', 'O3', 'O0', 0.19726500285204196, 128.97170901298523]
['CO', 53, 'BO', 6, 'chmod', 'codeblocks', 'O3', 'O0', 0.20466178149280112, 20.655099868774414]
['UO', 41, 'BO', 5, 'locate', 'libgeany.so.0.0.0', 'O2', 'O1', 0.17404617930437205, 24.966022491455078]
['CO', 327, 'BO', 12, 'join', 'libgeany.so.0.0.0', 'O0', 'O0', 0.19627944820444543, 130.36658358573914]
['CO', 0, 'BO', 5, 'sha384sum', 'libgeany.so.0.0.0', 'O3', 'O1', 0.18301656881517936, 22.50064206123352]
['CO', 267, 'BO', 5, 'tsort', 'libgeany.so.0.0.0', 'O2', 'O1', 0.18382341272989833, 21.717735052108765]
['CO', 150, 'BO', 12, 'whoami', 'libgeany.so.0.0.0', 'O1', 'O0', 0.197658284671262, 129.6163010597229]
['BO', 5, 'UO', 52, 'libgeany.so.0.0.0', 'ld', 'O1', 'O3', 0.12058347252859347, 34.567665576934814]
