['BO', 12, 'CO', 269, 'libgeany.so.0.0.0', 'cksum', 'O0', 'O2', 0.19794218520333173, 136.21781253814697]
['BO', 5, 'CO', 123, 'libgeany.so.0.0.0', 'dd', 'O1', 'O1', 0.1803051971523314, 23.168248414993286]
['CO', 263, 'BO', 5, 'cp', 'libgeany.so.0.0.0', 'O2', 'O1', 0.1766067516972456, 23.878093481063843]
['CO', 146, 'BO', 12, 'sum', 'libgeany.so.0.0.0', 'O1', 'O0', 0.19716180666197336, 127.45417070388794]
['BO', 12, 'CO', 184, 'libgeany.so.0.0.0', 'uname', 'O0', 'O1', 0.1976850306065665, 129.93980598449707]
['BO', 5, 'CO', 353, 'libgeany.so.0.0.0', 'echo', 'O1', 'O0', 0.18331085904656141, 21.389583826065063]
['CO', 8, 'BO', 6, 'dir', 'codeblocks', 'O3', 'O0', 0.19799421756414892, 22.53692889213562]
['CO', 36, 'BO', 12, 'pinky', 'libgeany.so.0.0.0', 'O3', 'O0', 0.19717517053408096, 128.09503698349]
['CO', 317, 'BO', 6, 'basename', 'codeblocks', 'O0', 'O0', 0.20640873310559926, 20.491564750671387]
['BO', 5, 'CO', 311, 'libgeany.so.0.0.0', 'ln', 'O1', 'O2', 0.17994003045573714, 23.18248724937439]
['CO', 273, 'BO', 5, 'false', 'libgeany.so.0.0.0', 'O2', 'O1', 0.18475147966651817, 21.064983129501343]
['BO', 6, 'CO', 120, 'codeblocks', 'dirname', 'O0', 'O1', 0.20760473249497724, 19.919636726379395]
['BO', 12, 'UO', 67, 'libgeany.so.0.0.0', 'strip', 'O0', 'O0', 0.15507046289301618, 170.12480115890503]
['BO', 12, 'CO', 400, 'libgeany.so.0.0.0', 'shred', 'O0', 'O0', 0.19534962661235578, 134.63392996788025]
['UO', 47, 'BO', 6, 'as', 'codeblocks', 'O3', 'O0', 0.13264939580729052, 32.82099223136902]
['BO', 12, 'UO', 48, 'libgeany.so.0.0.0', 'ranlib', 'O0', 'O3', 0.17351469108056317, 151.14702486991882]
['CO', 19, 'BO', 6, 'dd', 'codeblocks', 'O3', 'O0', 0.20342494637062025, 21.00917410850525]
['BO', 5, 'CO', 80, 'libgeany.so.0.0.0', 'uname', 'O1', 'O3', 0.18415247647310873, 21.248467683792114]
['CO', 181, 'BO', 6, 'env', 'codeblocks', 'O1', 'O0', 0.20724705007897426, 20.632341861724854]
['BO', 12, 'CO', 243, 'libgeany.so.0.0.0', 'base32', 'O0', 'O2', 0.1976704503301432, 127.17865228652954]
['CO', 279, 'BO', 5, 'readlink', 'libgeany.so.0.0.0', 'O2', 'O1', 0.18318675223833292, 21.88266897201538]
['BO', 12, 'CO', 64, 'libgeany.so.0.0.0', 'tty', 'O0', 'O3', 0.1978084752804321, 126.6198661327362]
['CO', 311, 'BO', 12, 'ln', 'libgeany.so.0.0.0', 'O2', 'O0', 0.19575309808321095, 138.15454244613647]
