['BO', 12, 'CO', 174, 'libgeany.so.0.0.0', 'b2sum', 'O0', 'O1', 0.19678126202955193, 137.0551950931549]
['CO', 276, 'BO', 12, 'yes', 'libgeany.so.0.0.0', 'O2', 'O0', 0.1979967181223502, 129.49735689163208]
['CO', 307, 'BO', 6, 'sort', 'codeblocks', 'O2', 'O0', 0.1989549693385101, 22.56607413291931]
['CO', 15, 'BO', 6, 'join', 'codeblocks', 'O3', 'O0', 0.20547742959436022, 20.457178831100464]
['BO', 5, 'CO', 35, 'libgeany.so.0.0.0', 'base32', 'O1', 'O3', 0.1834568839891022, 21.092840671539307]
['BO', 6, 'CO', 316, 'codeblocks', 'test', 'O0', 'O0', 0.20484467455621302, 20.299630403518677]
['BO', 6, 'CO', 404, 'codeblocks', 'sha512sum', 'O0', 'O0', 0.2047458002993846, 20.545398950576782]
['BO', 12, 'CO', 52, 'libgeany.so.0.0.0', 'sha256sum', 'O0', 'O3', 0.1973267935600027, 128.74344873428345]
['BO', 5, 'UO', 58, 'libgeany.so.0.0.0', 'objdump', 'O1', 'O3', 0.12032748715612585, 33.58014392852783]
['BO', 6, 'CO', 393, 'codeblocks', 'cat', 'O0', 'O0', 0.20559466469062615, 20.50499153137207]
['BO', 12, 'UO', 83, 'libgeany.so.0.0.0', 'diff', 'O0', 'O0', 0.1916317258104574, 136.43887162208557]
['CO', 145, 'BO', 6, 'echo', 'codeblocks', 'O1', 'O0', 0.20760543989879254, 20.579816818237305]
['BO', 12, 'CO', 253, 'libgeany.so.0.0.0', 'split', 'O0', 'O2', 0.19679811706190597, 127.27227210998535]
['BO', 6, 'UO', 10, 'codeblocks', 'objcopy', 'O0', 'O1', 0.14095083005382913, 31.594929933547974]
['BO', 5, 'CO', 389, 'libgeany.so.0.0.0', 'env', 'O1', 'O0', 0.1824900691597955, 21.837140798568726]
['UO', 34, 'BO', 6, 'ld', 'codeblocks', 'O2', 'O0', 0.1293939393939394, 33.29698944091797]
['CO', 408, 'BO', 12, 'fold', 'libgeany.so.0.0.0', 'O0', 'O0', 0.19700337897919262, 128.63516879081726]
['BO', 12, 'CO', 204, 'libgeany.so.0.0.0', 'tac', 'O0', 'O1', 0.19713227121155985, 127.87630033493042]
['CO', 408, 'BO', 6, 'fold', 'codeblocks', 'O0', 'O0', 0.2058169280391502, 20.524891138076782]
['BO', 12, 'CO', 408, 'libgeany.so.0.0.0', 'fold', 'O0', 'O0', 0.19700337897919262, 127.05765342712402]
['BO', 6, 'CO', 84, 'codeblocks', 'vdir', 'O0', 'O3', 0.19799421756414892, 22.007210731506348]
['BO', 12, 'CO', 314, 'libgeany.so.0.0.0', 'stat', 'O0', 'O0', 0.19449516965127245, 136.2929129600525]
['BO', 6, 'CO', 362, 'codeblocks', 'dircolors', 'O0', 'O0', 0.20562305526744706, 20.424848318099976]
['UO', 20, 'BO', 6, 'diff', 'codeblocks', 'O1', 'O0', 0.19681675619164352, 22.814954042434692]
['CO', 119, 'BO', 5, 'join', 'libgeany.so.0.0.0', 'O1', 'O1', 0.18212993252105758, 22.007283210754395]
['CO', 295, 'BO', 6, 'id', 'codeblocks', 'O2', 'O0', 0.20718144854347298, 20.60683846473694]
['BO', 5, 'CO', 37, 'libgeany.so.0.0.0', 'truncate', 'O1', 'O3', 0.1837595320005707, 21.32219624519348]
['CO', 369, 'BO', 12, 'od', 'libgeany.so.0.0.0', 'O0', 'O0', 0.19589388219475623, 136.2076277732849]
['BO', 6, 'CO', 310, 'codeblocks', 'mknod', 'O0', 'O2', 0.20792392437099894, 20.026485681533813]
['BO', 6, 'CO', 337, 'codeblocks', 'chgrp', 'O0', 'O0', 0.20116068322867653, 22.050291776657104]
['BO', 6, 'CO', 408, 'codeblocks', 'fold', 'O0', 'O0', 0.2058169280391502, 20.46660351753235]
['CO', 270, 'BO', 12, 'printf', 'libgeany.so.0.0.0', 'O2', 'O0', 0.19745846277033485, 130.03964948654175]
['BO', 5, 'UO', 73, 'libgeany.so.0.0.0', 'objcopy', 'O1', 'O0', 0.1073035906467078, 38.05171251296997]
