['BO', 6, 'UO', 48, 'codeblocks', 'ranlib', 'O0', 'O3', 0.15222957781663748, 39.881558656692505]
['BO', 5, 'CO', 272, 'libgeany.so.0.0.0', 'tty', 'O1', 'O2', 0.1845591158463863, 74.99826312065125]
['CO', 103, 'BO', 6, 'ln', 'codeblocks', 'O3', 'O0', 0.20248183465417213, 53.66873526573181]
['BO', 5, 'CO', 335, 'libgeany.so.0.0.0', 'pr', 'O1', 'O0', 0.17903005785784842, 38.87760615348816]
['CO', 301, 'BO', 5, 'nl', 'libgeany.so.0.0.0', 'O2', 'O1', 0.1838117452912521, 51.76256608963013]
['BO', 6, 'CO', 225, 'codeblocks', 'stdbuf', 'O0', 'O2', 0.2071449792038027, 38.52536129951477]
['UO', 63, 'BO', 5, 'cmp', 'libgeany.so.0.0.0', 'O3', 'O1', 0.18298512187401073, 26.914918899536133]
['CO', 395, 'BO', 6, 'csplit', 'codeblocks', 'O0', 'O0', 0.20292091485257646, 28.602160692214966]
['BO', 12, 'UO', 72, 'libgeany.so.0.0.0', 'strings', 'O0', 'O0', 0.16042112539380804, 215.98553824424744]
['BO', 6, 'CO', 124, 'codeblocks', 'mkfifo', 'O0', 'O1', 0.20743701775587986, 20.194555044174194]
['BO', 5, 'UO', 64, 'libgeany.so.0.0.0', 'diff', 'O1', 'O3', 0.1754347994125377, 23.543086051940918]
['CO', 411, 'BO', 12, 'sort', 'libgeany.so.0.0.0', 'O0', 'O0', 0.19180014029344716, 141.5130171775818]
['CO', 51, 'BO', 6, 'realpath', 'codeblocks', 'O3', 'O0', 0.20599985203817417, 20.378052711486816]
['BO', 5, 'UO', 53, 'libgeany.so.0.0.0', 'gprof', 'O1', 'O3', 0.13745489208143258, 30.2031307220459]
['BO', 6, 'CO', 86, 'codeblocks', 'timeout', 'O0', 'O3', 0.20621055943150068, 20.212599277496338]
['BO', 5, 'CO', 331, 'libgeany.so.0.0.0', 'dd', 'O1', 'O0', 0.17891043513674387, 23.023604154586792]
['BO', 5, 'CO', 338, 'libgeany.so.0.0.0', 'kill', 'O1', 'O0', 0.18254495947315097, 21.461118936538696]
['BO', 6, 'CO', 354, 'codeblocks', 'sum', 'O0', 'O0', 0.2049565378213427, 20.25312113761902]
['CO', 95, 'BO', 6, 'sha224sum', 'codeblocks', 'O3', 'O0', 0.20673424383373795, 20.42261528968811]
['CO', 181, 'BO', 12, 'env', 'libgeany.so.0.0.0', 'O1', 'O0', 0.19753599216739226, 127.42836165428162]
['CO', 230, 'BO', 6, 'pwd', 'codeblocks', 'O2', 'O0', 0.20759277162192313, 20.19611430168152]
['UO', 12, 'BO', 12, 'gprof', 'libgeany.so.0.0.0', 'O1', 'O0', 0.17083736009157025, 162.54966616630554]
