['BO', 12, 'CO', 222, 'libgeany.so.0.0.0', 'stty', 'O0', 'O2', 0.19721722122202223, 139.95670008659363]
['BO', 12, 'CO', 124, 'libgeany.so.0.0.0', 'mkfifo', 'O0', 'O1', 0.19760963269060994, 128.5709888935089]
['CO', 274, 'BO', 12, 'runcon', 'libgeany.so.0.0.0', 'O2', 'O0', 0.19808392127738583, 129.5724160671234]
['BO', 12, 'CO', 75, 'libgeany.so.0.0.0', 'mv', 'O0', 'O3', 0.19342389513382885, 143.29735827445984]
['BO', 12, 'CO', 362, 'libgeany.so.0.0.0', 'dircolors', 'O0', 'O0', 0.19686958325308523, 128.13834285736084]
['BO', 12, 'CO', 194, 'libgeany.so.0.0.0', 'tr', 'O0', 'O1', 0.1971579501085402, 128.37784147262573]
['UO', 7, 'BO', 5, 'ranlib', 'libgeany.so.0.0.0', 'O1', 'O1', 0.13301258227129598, 33.26614260673523]
['CO', 352, 'BO', 12, 'sync', 'libgeany.so.0.0.0', 'O0', 'O0', 0.19720043298388168, 130.77198696136475]
['BO', 6, 'CO', 22, 'codeblocks', 'pwd', 'O0', 'O3', 0.2070551578322638, 20.170315265655518]
['BO', 6, 'CO', 264, 'codeblocks', 'cut', 'O0', 'O2', 0.20722511144130762, 20.032896041870117]
['BO', 5, 'CO', 222, 'libgeany.so.0.0.0', 'stty', 'O1', 'O2', 0.18290733560180428, 21.615200519561768]
['CO', 216, 'BO', 5, 'dir', 'libgeany.so.0.0.0', 'O2', 'O1', 0.17624580589039396, 23.715665340423584]
['BO', 6, 'CO', 243, 'codeblocks', 'base32', 'O0', 'O2', 0.20755243195002238, 20.026909112930298]
['UO', 72, 'BO', 5, 'strings', 'libgeany.so.0.0.0', 'O0', 'O1', 0.11565352248747873, 36.358479022979736]
['CO', 395, 'BO', 5, 'csplit', 'libgeany.so.0.0.0', 'O0', 'O1', 0.18005435721804153, 23.58779001235962]
['BO', 12, 'CO', 168, 'libgeany.so.0.0.0', 'tty', 'O0', 'O1', 0.1976908122226675, 127.52173018455505]
