['BO', 6, 'CO', 371, 'codeblocks', 'tsort', 'O0', 'O0', 0.205624096921196, 28.74668550491333]
['BO', 5, 'CO', 413, 'libgeany.so.0.0.0', 'rmdir', 'O1', 'O0', 0.18271804374336797, 87.7137393951416]
['CO', 20, 'BO', 5, 'mkfifo', 'libgeany.so.0.0.0', 'O3', 'O1', 0.1839291945563557, 87.32980871200562]
['CO', 344, 'BO', 5, 'expr', 'libgeany.so.0.0.0', 'O0', 'O1', 0.18104032397850645, 53.45082950592041]
['CO', 373, 'BO', 5, 'cksum', 'libgeany.so.0.0.0', 'O0', 'O1', 0.18291291671948284, 40.814263343811035]
['BO', 5, 'UO', 61, 'libgeany.so.0.0.0', 'find', 'O1', 'O3', 0.1616059629690122, 41.53680467605591]
['BO', 6, 'UO', 75, 'codeblocks', 'gprof', 'O0', 'O0', 0.12288834537284565, 63.68017268180847]
['CO', 313, 'BO', 5, 'touch', 'libgeany.so.0.0.0', 'O0', 'O1', 0.17941190322935152, 27.444222927093506]
['BO', 6, 'CO', 313, 'codeblocks', 'touch', 'O0', 'O0', 0.2022614218322656, 26.950709342956543]
['CO', 372, 'BO', 5, 'base64', 'libgeany.so.0.0.0', 'O0', 'O1', 0.18202367967626187, 22.483412742614746]
['BO', 5, 'CO', 21, 'libgeany.so.0.0.0', 'mktemp', 'O1', 'O3', 0.18234243913228954, 21.67704749107361]
['CO', 318, 'BO', 12, 'mkdir', 'libgeany.so.0.0.0', 'O0', 'O0', 0.19400252896547665, 138.43850135803223]
['CO', 69, 'BO', 5, 'who', 'libgeany.so.0.0.0', 'O3', 'O1', 0.18253943167809838, 21.47650170326233]
['CO', 104, 'BO', 6, 'sha384sum', 'codeblocks', 'O1', 'O0', 0.2063224251413739, 20.540632724761963]
['BO', 5, 'CO', 329, 'libgeany.so.0.0.0', 'stdbuf', 'O1', 'O0', 0.1819302627003445, 21.045915365219116]
['BO', 5, 'CO', 73, 'libgeany.so.0.0.0', 'hostid', 'O1', 'O3', 0.18422514643089571, 21.149733781814575]
['CO', 326, 'BO', 12, 'stty', 'libgeany.so.0.0.0', 'O0', 'O0', 0.19635182815424101, 128.55679416656494]
['CO', 310, 'BO', 5, 'mknod', 'libgeany.so.0.0.0', 'O2', 'O1', 0.1841344473742733, 21.38418698310852]
['BO', 12, 'CO', 120, 'libgeany.so.0.0.0', 'dirname', 'O0', 'O1', 0.19770410056247312, 125.4458839893341]
['BO', 6, 'UO', 78, 'codeblocks', 'elfedit', 'O0', 'O0', 0.20571248750509052, 20.06594944000244]
['BO', 6, 'CO', 246, 'codeblocks', 'sha1sum', 'O0', 'O2', 0.2073347452903801, 19.7420973777771]
['CO', 162, 'BO', 5, 'df', 'libgeany.so.0.0.0', 'O1', 'O1', 0.1788784666217761, 23.440564393997192]
['CO', 332, 'BO', 6, 'mkfifo', 'codeblocks', 'O0', 'O0', 0.1998941876163024, 22.11046051979065]
