['CO', 344, 'BO', 12, 'expr', 'libgeany.so.0.0.0', 'O0', 'O0', 0.19623804981922233, 147.1946804523468]
['BO', 12, 'CO', 224, 'libgeany.so.0.0.0', 'dirname', 'O0', 'O2', 0.19801296473680696, 128.19754695892334]
['BO', 6, 'CO', 114, 'codeblocks', 'users', 'O0', 'O1', 0.20707718027305655, 20.380333423614502]
['BO', 12, 'UO', 73, 'libgeany.so.0.0.0', 'objcopy', 'O0', 'O0', 0.15507046289301618, 173.72276782989502]
['CO', 180, 'BO', 5, 'md5sum', 'libgeany.so.0.0.0', 'O1', 'O1', 0.18285053611872215, 21.936800003051758]
['CO', 368, 'BO', 12, 'cut', 'libgeany.so.0.0.0', 'O0', 'O0', 0.19656512566162043, 129.71714115142822]
['CO', 411, 'BO', 5, 'sort', 'libgeany.so.0.0.0', 'O0', 'O1', 0.17211225179811884, 24.73367404937744]
['BO', 6, 'CO', 76, 'codeblocks', 'md5sum', 'O0', 'O3', 0.2067489437402713, 20.473127603530884]
['BO', 12, 'CO', 176, 'libgeany.so.0.0.0', 'head', 'O0', 'O1', 0.19713760815455728, 126.51353907585144]
['BO', 6, 'CO', 188, 'codeblocks', 'vdir', 'O0', 'O1', 0.19754001989689796, 22.90443706512451]
['BO', 6, 'CO', 25, 'codeblocks', 'chgrp', 'O0', 'O3', 0.20403962434066636, 20.800153255462646]
['CO', 177, 'BO', 5, 'hostid', 'libgeany.so.0.0.0', 'O1', 'O1', 0.18393597255966843, 21.76745343208313]
['UO', 55, 'BO', 12, 'ar', 'libgeany.so.0.0.0', 'O3', 'O0', 0.17351469108056317, 159.31700325012207]
['BO', 6, 'CO', 162, 'codeblocks', 'df', 'O0', 'O1', 0.2017898647535733, 21.989302396774292]
['UO', 63, 'BO', 12, 'cmp', 'libgeany.so.0.0.0', 'O3', 'O0', 0.1972541639499733, 129.35461616516113]
['CO', 190, 'BO', 12, 'timeout', 'libgeany.so.0.0.0', 'O1', 'O0', 0.19699303806843427, 130.6643660068512]
['CO', 244, 'BO', 12, 'pinky', 'libgeany.so.0.0.0', 'O2', 'O0', 0.19742715207236594, 127.98669791221619]
['BO', 12, 'UO', 75, 'libgeany.so.0.0.0', 'gprof', 'O0', 'O0', 0.1589440296041763, 167.52287077903748]
['UO', 18, 'BO', 6, 'diff3', 'codeblocks', 'O1', 'O0', 0.20466068103464163, 21.07533097267151]
['BO', 5, 'CO', 282, 'libgeany.so.0.0.0', 'unexpand', 'O1', 'O2', 0.18389272395461398, 21.70540976524353]
