['CO', 207, 'BO', 5, 'ln', 'libgeany.so.0.0.0', 'O1', 'O1', 0.1792966116311523, 37.232786655426025]
['CO', 126, 'BO', 6, 'pwd', 'codeblocks', 'O1', 'O0', 0.20682678743782024, 78.70940637588501]
['BO', 5, 'CO', 95, 'libgeany.so.0.0.0', 'sha224sum', 'O1', 'O3', 0.1830771909276523, 52.89186668395996]
['BO', 6, 'CO', 398, 'codeblocks', 'timeout', 'O0', 'O0', 0.20454335580386007, 38.6751492023468]
['BO', 5, 'CO', 51, 'libgeany.so.0.0.0', 'realpath', 'O1', 'O3', 0.18258382580665544, 52.165956258773804]
['UO', 10, 'BO', 6, 'objcopy', 'codeblocks', 'O1', 'O0', 0.14095083005382913, 58.781760931015015]
['UO', 28, 'BO', 12, 'readelf', 'libgeany.so.0.0.0', 'O2', 'O0', 0.18589445853728248, 196.12164425849915]
['CO', 398, 'BO', 12, 'timeout', 'libgeany.so.0.0.0', 'O0', 'O0', 0.19641734060421312, 139.20028066635132]
['BO', 12, 'CO', 406, 'libgeany.so.0.0.0', 'rm', 'O0', 'O0', 0.1947857732201792, 135.7612419128418]
['BO', 5, 'CO', 399, 'libgeany.so.0.0.0', 'id', 'O1', 'O0', 0.18175070669425009, 21.888766050338745]
['CO', 191, 'BO', 6, 'id', 'codeblocks', 'O1', 'O0', 0.20639481000926785, 20.42855978012085]
['CO', 74, 'BO', 5, 'unexpand', 'libgeany.so.0.0.0', 'O3', 'O1', 0.1834998970525349, 21.5710871219635]
['CO', 276, 'BO', 5, 'yes', 'libgeany.so.0.0.0', 'O2', 'O1', 0.18454150832392546, 21.437089681625366]
['UO', 29, 'BO', 6, 'as', 'codeblocks', 'O2', 'O0', 0.12944960686204432, 33.29526472091675]
['BO', 6, 'CO', 73, 'codeblocks', 'hostid', 'O0', 'O3', 0.20793588813893382, 20.112459659576416]
['UO', 30, 'BO', 6, 'ranlib', 'codeblocks', 'O2', 'O0', 0.14956148535174474, 29.841663122177124]
['BO', 12, 'UO', 34, 'libgeany.so.0.0.0', 'ld', 'O0', 'O2', 0.1622157465437175, 163.6054766178131]
['CO', 321, 'BO', 6, 'du', 'codeblocks', 'O0', 'O0', 0.19556197005231823, 23.296898126602173]
['BO', 5, 'CO', 33, 'libgeany.so.0.0.0', 'chown', 'O1', 'O3', 0.18073576073638908, 21.49328851699829]
['CO', 392, 'BO', 12, 'uname', 'libgeany.so.0.0.0', 'O0', 'O0', 0.1973139729765807, 128.22028636932373]
['UO', 19, 'BO', 6, 'cmp', 'codeblocks', 'O1', 'O0', 0.20647360717395735, 20.726197719573975]
['BO', 5, 'CO', 227, 'libgeany.so.0.0.0', 'dd', 'O1', 'O2', 0.18099269797305806, 21.60220980644226]
['BO', 5, 'CO', 360, 'libgeany.so.0.0.0', 'ls', 'O1', 'O0', 0.17088015699020342, 24.8307626247406]
['BO', 12, 'CO', 298, 'libgeany.so.0.0.0', 'tr', 'O0', 'O2', 0.19746597076006056, 128.16165280342102]
['CO', 363, 'BO', 5, 'realpath', 'libgeany.so.0.0.0', 'O0', 'O1', 0.18092759110269763, 23.18388080596924]
['BO', 12, 'UO', 24, 'libgeany.so.0.0.0', 'diff', 'O0', 'O2', 0.19347673088765727, 142.3128113746643]
['CO', 226, 'BO', 5, 'uptime', 'libgeany.so.0.0.0', 'O2', 'O1', 0.18284167022944275, 21.95842456817627]
['CO', 134, 'BO', 6, 'expand', 'codeblocks', 'O1', 'O0', 0.206807594513836, 20.808865785598755]
['BO', 6, 'CO', 320, 'codeblocks', 'dir', 'O0', 'O0', 0.19191558499526862, 23.471139430999756]
['CO', 137, 'BO', 6, 'chown', 'codeblocks', 'O1', 'O0', 0.20318212717485162, 21.935442447662354]
['BO', 12, 'CO', 112, 'libgeany.so.0.0.0', 'dir', 'O0', 'O1', 0.1935564343940539, 139.69993901252747]
['BO', 6, 'CO', 353, 'codeblocks', 'echo', 'O0', 'O0', 0.20673764795510707, 20.51003122329712]
['BO', 12, 'UO', 60, 'libgeany.so.0.0.0', 'xargs', 'O0', 'O3', 0.19536633955581784, 134.84647727012634]
