['UO', 21, 'CO', 270, 'sdiff', 'printf', 'O1', 'O2', 0.9083728278041074, 0.20469212532043457]
['BO', 69, 'CO', 229, 'cmp', 'mktemp', 'O3', 'O2', 0.9100719424460432, 0.14321613311767578]
['UO', 60, 'CO', 38, 'xargs', 'sha1sum', 'O3', 'O3', 0.9847133757961783, 0.3011326789855957]
['CO', 19, 'BO', 81, 'dd', 'sort', 'O3', 'O3', 0.886444286728176, 0.7214934825897217]
['BO', 56, 'CO', 60, 'libvlc.so.12.0.0', 'base64', 'O3', 'O3', 0.996144578313253, 1.072695016860962]
['CO', 171, 'BO', 58, 'nohup', 'svn', 'O1', 'O1', 0.9777869189633895, 1.4152905941009521]
['BO', 45, 'UO', 8, 'diff', 'c++filt', 'O2', 'O1', 0.9623625861747718, 6.70033073425293]
['CO', 178, 'UO', 62, 'unexpand', 'diff3', 'O1', 'O3', 0.9066265060240963, 0.21035170555114746]
['CO', 241, 'BO', 19, 'chown', 'libvlccore.so.9.0.0', 'O2', 'O1', 0.9873321989033844, 7.4414963722229]
['BO', 22, 'UO', 29, 'perl', 'as', 'O0', 'O2', 0.9808580858085809, 77.86916160583496]
['CO', 264, 'UO', 11, 'cut', 'ld', 'O2', 'O1', 0.9819894707675256, 1.563854694366455]
['CO', 355, 'BO', 16, 'chroot', 'make', 'O0', 'O0', 0.9670550421856167, 0.6793529987335205]
['CO', 101, 'UO', 2, 'rmdir', 'find', 'O3', 'O1', 0.9661436829066887, 0.5532548427581787]
['UO', 40, 'CO', 378, 'objdump', 'runcon', 'O2', 'O0', 0.9967422288584227, 2.270554542541504]
['CO', 57, 'UO', 27, 'od', 'strip', 'O3', 'O2', 0.9729127378707355, 2.083696126937866]
['UO', 74, 'CO', 33, 'ld', 'chown', 'O0', 'O3', 0.9965234186383389, 4.0275654792785645]
['CO', 219, 'UO', 31, 'groups', 'c++filt', 'O2', 'O2', 0.9770216526734423, 0.914168119430542]
['BO', 80, 'CO', 213, 'ssh', 'basename', 'O3', 'O2', 0.9967271645343647, 1.0356247425079346]
['CO', 5, 'UO', 59, 'basename', 'locate', 'O3', 'O3', 0.9660056657223796, 0.1994645595550537]
['CO', 50, 'BO', 53, 'dircolors', 'bash', 'O3', 'O0', 0.9892236100906197, 3.282494306564331]
['UO', 44, 'CO', 291, 'nm', 'csplit', 'O3', 'O2', 0.9919729615547106, 1.2665493488311768]
['CO', 203, 'UO', 17, 'sort', 'objdump', 'O1', 'O1', 0.9667978357107723, 5.102964401245117]
['UO', 67, 'CO', 176, 'strip', 'head', 'O0', 'O1', 0.9950506716945557, 2.135735034942627]
['UO', 29, 'BO', 39, 'as', 'codeblocks', 'O2', 'O3', 0.9814767172626704, 103.81641864776611]
['CO', 411, 'BO', 22, 'sort', 'perl', 'O0', 'O0', 0.9789669861554846, 13.061925888061523]
['CO', 253, 'UO', 26, 'split', 'nm', 'O2', 'O2', 0.9658901830282862, 1.4690380096435547]
['BO', 29, 'CO', 376, 'libvlc.so.12.0.0', 'tty', 'O2', 'O0', 0.9927083333333333, 0.47642040252685547]
['CO', 220, 'BO', 67, 'ptx', 'libSDL2-2.0.so.0.16.0', 'O2', 'O1', 0.9708784596871239, 3.411383867263794]
['CO', 125, 'BO', 40, 'mktemp', 'lua', 'O1', 'O0', 0.9773548542519874, 1.1694855690002441]
['CO', 149, 'BO', 72, 'split', 'make', 'O1', 'O2', 0.9477674810446504, 0.6727535724639893]
['CO', 327, 'BO', 20, 'join', 'sort', 'O0', 'O1', 0.901213171577123, 0.284282922744751]
['CO', 261, 'UO', 81, 'chmod', 'diff3', 'O2', 'O0', 0.9256678281068524, 0.18970274925231934]
['BO', 6, 'UO', 22, 'codeblocks', 'diff3', 'O0', 'O2', 0.9989065062875888, 7.680889129638672]
['CO', 104, 'BO', 56, 'sha384sum', 'libvlc.so.12.0.0', 'O1', 'O3', 0.9874152952565344, 0.6310467720031738]
['UO', 5, 'CO', 100, 'readelf', 'tac', 'O1', 'O3', 0.9881615598885793, 0.7000341415405273]
['CO', 403, 'UO', 23, 'comm', 'cmp', 'O0', 'O2', 0.9303135888501742, 0.08778190612792969]
['BO', 79, 'CO', 204, 'bash', 'tac', 'O3', 'O1', 0.996436843042936, 2.541111707687378]
['CO', 214, 'UO', 85, 'mkdir', 'locate', 'O2', 'O0', 0.9605978260869565, 0.39574527740478516]
['CO', 36, 'BO', 52, 'pinky', 'svn', 'O3', 'O3', 0.9868319132455461, 0.8867089748382568]
['UO', 40, 'CO', 171, 'objdump', 'nohup', 'O2', 'O1', 0.9972744617061869, 1.474261999130249]
['UO', 87, 'CO', 65, 'find', 'false', 'O0', 'O3', 0.9959541469993257, 0.5152850151062012]
