['UO', 13, 'CO', 279, 'addr2line', 'readlink', 'O1', 'O2', 0.9929269814853339, 1.2023437023162842]
['UO', 49, 'CO', 400, 'c++filt', 'shred', 'O3', 'O0', 0.987363100252738, 2.8359193801879883]
['UO', 8, 'CO', 221, 'c++filt', 'printenv', 'O1', 'O2', 0.995264743865691, 0.7437314987182617]
['BO', 51, 'CO', 288, 'lua', 'uname', 'O1', 'O2', 0.9938931297709923, 0.5382468700408936]
['BO', 21, 'CO', 335, 'cp', 'pr', 'O1', 'O0', 0.9647779479326187, 0.378079891204834]
['CO', 119, 'BO', 12, 'join', 'libgeany.so.0.0.0', 'O1', 'O0', 0.9938176197836167, 8.617445945739746]
['UO', 37, 'CO', 110, 'ar', 'mkdir', 'O2', 'O1', 0.9939867708959711, 1.2914776802062988]
['BO', 72, 'CO', 413, 'make', 'rmdir', 'O2', 'O0', 0.9849557522123894, 0.49625277519226074]
['BO', 22, 'UO', 45, 'perl', 'strip', 'O0', 'O3', 0.9848069867190327, 55.31786060333252]
['UO', 29, 'CO', 329, 'as', 'stdbuf', 'O2', 'O0', 0.998138545406196, 1.8022456169128418]
['CO', 365, 'UO', 31, 'chmod', 'c++filt', 'O0', 'O2', 0.958997722095672, 1.9701733589172363]
['UO', 17, 'CO', 337, 'objdump', 'chgrp', 'O1', 'O0', 0.994159471813103, 3.1979029178619385]
['UO', 66, 'BO', 61, 'nm', 'git', 'O0', 'O1', 0.9681133152082704, 118.3901777267456]
['BO', 25, 'CO', 380, 'dot', 'yes', 'O3', 'O0', 0.9797297297297297, 0.033277034759521484]
['UO', 81, 'BO', 13, 'diff3', 'ruby', 'O0', 'O1', 0.9867419758514561, 10.520869970321655]
['CO', 354, 'BO', 3, 'sum', 'openssl', 'O0', 'O1', 0.9924870180090598, 3.6406989097595215]
['CO', 119, 'BO', 17, 'join', 'codeblocks', 'O1', 'O2', 0.9922111639982691, 5.829011678695679]
['BO', 34, 'CO', 272, 'cp', 'tty', 'O2', 'O2', 0.974304068522484, 0.11237025260925293]
['CO', 178, 'UO', 29, 'unexpand', 'as', 'O1', 'O2', 0.9737511718226864, 1.600764274597168]
['UO', 81, 'CO', 180, 'diff3', 'md5sum', 'O0', 'O1', 0.937584803256445, 0.12498760223388672]
['UO', 28, 'CO', 92, 'readelf', 'sha512sum', 'O2', 'O3', 0.9884559884559885, 0.5971934795379639]
['UO', 46, 'CO', 316, 'readelf', 'test', 'O3', 'O0', 0.9818625741192885, 0.7200517654418945]
