['UO', 10, 'BO', 52, 'objcopy', 'svn', 'O1', 'O3', 0.9843969817112163, 11.74317717552185]
['BO', 33, 'CO', 350, 'sort', 'sha1sum', 'O2', 'O0', 0.9756554307116105, 0.2154371738433838]
['CO', 369, 'BO', 51, 'od', 'lua', 'O0', 'O1', 0.9412097230073488, 1.1056594848632812]
['CO', 406, 'BO', 40, 'rm', 'lua', 'O0', 'O0', 0.9643582224227385, 1.9650671482086182]
['BO', 60, 'CO', 216, 'openssl', 'dir', 'O0', 'O2', 0.9938960419647115, 6.970342397689819]
['CO', 218, 'UO', 37, 'users', 'ar', 'O2', 'O2', 0.9794619018278907, 0.8338367938995361]
['UO', 51, 'BO', 32, 'objcopy', 'ruby', 'O3', 'O2', 0.9718584473402008, 108.94151306152344]
['UO', 30, 'CO', 32, 'ranlib', 'expr', 'O2', 'O3', 0.9956192751891677, 1.3373169898986816]
['CO', 321, 'UO', 51, 'du', 'objcopy', 'O0', 'O3', 0.9684176603287141, 4.050739526748657]
['CO', 270, 'UO', 70, 'printf', 'ranlib', 'O2', 'O0', 0.9924324324324324, 1.9878854751586914]
['CO', 165, 'BO', 5, 'cksum', 'libgeany.so.0.0.0', 'O1', 'O1', 0.9938330351364727, 7.062560319900513]
['UO', 26, 'CO', 385, 'nm', 'hostid', 'O2', 'O0', 0.9918924685299765, 0.9473140239715576]
['CO', 17, 'UO', 40, 'stdbuf', 'objdump', 'O3', 'O2', 0.9808159956768441, 1.9346697330474854]
['CO', 189, 'BO', 80, '[', 'ssh', 'O1', 'O3', 0.9807467911318553, 1.8444273471832275]
['BO', 6, 'UO', 9, 'codeblocks', 'strings', 'O0', 'O1', 0.9882861845882939, 80.3233163356781]
['CO', 218, 'UO', 58, 'users', 'objdump', 'O2', 'O3', 0.9864645370871684, 1.3367459774017334]
['CO', 120, 'BO', 3, 'dirname', 'openssl', 'O1', 'O1', 0.9941801902630106, 2.342741012573242]
['UO', 75, 'CO', 39, 'gprof', 'paste', 'O0', 'O3', 0.9981240787886909, 1.608936071395874]
['UO', 26, 'CO', 21, 'nm', 'mktemp', 'O2', 'O3', 0.992089925062448, 1.2690460681915283]
['CO', 14, 'BO', 46, 'stty', 'ruby', 'O3', 'O3', 0.9893346014062022, 8.176689863204956]
['UO', 17, 'CO', 61, 'objdump', 'cksum', 'O1', 'O3', 0.9968366943455912, 1.50508713722229]
['UO', 0, 'CO', 170, 'locate', 'runcon', 'O1', 'O1', 0.979890310786106, 0.19033074378967285]
['UO', 64, 'BO', 22, 'diff', 'perl', 'O3', 'O0', 0.9860571122134334, 11.129799604415894]
['CO', 331, 'UO', 3, 'dd', 'nm', 'O0', 'O1', 0.9617539115317751, 2.2689926624298096]
['UO', 10, 'CO', 376, 'objcopy', 'tty', 'O1', 'O0', 0.9920221990981616, 1.164430856704712]
['UO', 69, 'CO', 344, 'as', 'expr', 'O0', 'O0', 0.9983425414364641, 3.3588926792144775]
['CO', 265, 'UO', 41, 'od', 'locate', 'O2', 'O2', 0.9626320064987814, 0.32706689834594727]
['CO', 189, 'UO', 22, '[', 'diff3', 'O1', 'O2', 0.9099099099099099, 0.1029810905456543]
['CO', 74, 'UO', 25, 'unexpand', 'sdiff', 'O3', 'O2', 0.8926380368098159, 0.09564733505249023]
['CO', 98, 'UO', 22, 'sleep', 'diff3', 'O3', 'O2', 0.9191919191919192, 0.08178114891052246]
['BO', 57, 'CO', 153, 'libvlccore.so.9.0.0', 'nice', 'O3', 'O1', 0.99771776340814, 2.0577638149261475]
['BO', 49, 'CO', 158, 'svn', 'true', 'O0', 'O1', 0.9878971255673222, 0.5610959529876709]
['CO', 22, 'BO', 0, 'pwd', 'codeblocks', 'O3', 'O1', 0.9947871416159861, 4.251582622528076]
['CO', 410, 'BO', 69, 'sleep', 'cmp', 'O0', 'O3', 0.8963531669865643, 0.13571786880493164]
['BO', 39, 'UO', 6, 'codeblocks', 'as', 'O3', 'O1', 0.9852461101454191, 93.22637271881104]
['UO', 53, 'CO', 322, 'gprof', 'users', 'O3', 'O0', 0.9931229773462783, 1.109570026397705]
['BO', 57, 'CO', 160, 'libvlccore.so.9.0.0', 'cut', 'O3', 'O1', 0.9981078524124882, 2.599390745162964]
['CO', 39, 'UO', 47, 'paste', 'as', 'O3', 'O3', 0.9775341724184599, 1.5470454692840576]
['BO', 18, 'CO', 336, 'libvlc.so.12.0.0', 'tee', 'O1', 'O0', 0.9910269192422732, 0.6273424625396729]
['UO', 58, 'CO', 32, 'objdump', 'expr', 'O3', 'O3', 0.9970826150377934, 1.9814634323120117]
['CO', 198, 'UO', 70, 'rm', 'ranlib', 'O1', 'O0', 0.9804075235109718, 3.4191067218780518]
['UO', 44, 'CO', 31, 'nm', 'date', 'O3', 'O3', 0.9925910681210126, 1.626783847808838]
['CO', 169, 'BO', 62, 'false', 'bash', 'O1', 'O1', 0.9850861901994964, 1.8153355121612549]
['BO', 10, 'CO', 276, 'openssl', 'yes', 'O3', 'O2', 0.9988821819807735, 1.7952702045440674]
['UO', 35, 'CO', 39, 'gprof', 'paste', 'O2', 'O3', 0.9952314722829326, 1.053119421005249]
['CO', 340, 'UO', 54, 'factor', 'addr2line', 'O0', 'O3', 0.9732840115084258, 2.2140145301818848]
['BO', 8, 'UO', 83, 'cp', 'diff', 'O0', 'O0', 0.9608865710560626, 1.0859031677246094]
['UO', 33, 'BO', 19, 'objcopy', 'libvlccore.so.9.0.0', 'O2', 'O1', 0.9753992787223081, 44.33442521095276]
['CO', 246, 'UO', 80, 'sha1sum', 'objdump', 'O2', 'O0', 0.9932685115931189, 2.686652183532715]
['UO', 8, 'CO', 373, 'c++filt', 'cksum', 'O1', 'O0', 0.9919712655820833, 1.0942606925964355]
['UO', 69, 'CO', 100, 'as', 'tac', 'O0', 'O3', 0.9979605080189117, 2.807938814163208]
['CO', 85, 'UO', 86, '[', 'xargs', 'O3', 'O0', 0.9696969696969697, 0.21949148178100586]
['UO', 28, 'CO', 391, 'readelf', 'link', 'O2', 'O0', 0.9858893427404382, 0.5188488960266113]
['UO', 55, 'CO', 347, 'ar', 'base32', 'O3', 'O0', 0.99185667752443, 1.2845940589904785]
['CO', 17, 'BO', 74, 'stdbuf', 'dot', 'O3', 'O1', 1.0, 0.03603935241699219]
