['CO', 378, 'UO', 74, 'runcon', 'ld', 'O0', 'O0', 0.9920932990709627, 6.011308431625366]
['BO', 4, 'CO', 229, 'libgeany.so.0.0.0', 'mktemp', 'O2', 'O2', 0.9991670137442732, 6.3288414478302]
['UO', 42, 'BO', 43, 'xargs', 'diff', 'O2', 'O1', 0.9581831290555155, 0.43994736671447754]
['BO', 55, 'CO', 190, 'make', 'timeout', 'O1', 'O1', 0.9827820570910739, 0.5258522033691406]
['CO', 262, 'UO', 40, 'true', 'objdump', 'O2', 'O2', 0.9862202011850627, 1.062279224395752]
['CO', 83, 'UO', 64, 'csplit', 'diff', 'O3', 'O3', 0.9080633006782215, 0.2877511978149414]
['UO', 38, 'CO', 357, 'elfedit', 'split', 'O2', 'O0', 0.9787798408488063, 0.16093993186950684]
['UO', 50, 'CO', 407, 'strings', 'sha224sum', 'O3', 'O0', 0.9909287257019438, 1.2684261798858643]
['CO', 314, 'BO', 73, 'stat', 'cluster', 'O0', 'O1', 0.9465116279069767, 0.6447210311889648]
['UO', 60, 'CO', 154, 'xargs', 'dircolors', 'O3', 'O1', 0.9628647214854111, 0.15414857864379883]
['CO', 329, 'UO', 59, 'stdbuf', 'locate', 'O0', 'O3', 0.9593998234774934, 0.2912764549255371]
['BO', 83, 'CO', 304, 'lua', 'fold', 'O2', 'O2', 0.9929958611907036, 0.5438508987426758]
['CO', 332, 'BO', 43, 'mkfifo', 'diff', 'O0', 'O1', 0.8939695162359178, 0.5223500728607178]
['UO', 11, 'CO', 239, 'ld', 'date', 'O1', 'O2', 0.9951239333604226, 2.3974828720092773]
['UO', 71, 'BO', 46, 'c++filt', 'ruby', 'O0', 'O3', 0.9751164672078556, 176.59419870376587]
['CO', 235, 'BO', 80, 'wc', 'ssh', 'O2', 'O3', 0.9862109432301599, 1.6994383335113525]
['BO', 30, 'CO', 122, 'libvlccore.so.9.0.0', 'uptime', 'O2', 'O1', 0.9973368841544608, 2.802611827850342]
['UO', 44, 'BO', 63, 'nm', 'cluster', 'O3', 'O0', 0.9734556775356382, 5.51252007484436]
['UO', 11, 'CO', 266, 'ld', 'df', 'O1', 'O2', 0.9917520287348677, 3.1056015491485596]
['UO', 6, 'CO', 307, 'as', 'sort', 'O1', 'O2', 0.9893035128236295, 4.5186262130737305]
['UO', 5, 'CO', 148, 'readelf', 'seq', 'O1', 'O1', 0.9858657243816255, 0.6119661331176758]
['BO', 4, 'CO', 316, 'libgeany.so.0.0.0', 'test', 'O2', 'O0', 0.99969763398594, 7.239892482757568]
['UO', 13, 'CO', 65, 'addr2line', 'false', 'O1', 'O3', 0.9974816369359916, 0.8066372871398926]
['CO', 286, 'BO', 41, 'chcon', 'libSDL2-2.0.so.0.16.0', 'O2', 'O2', 0.9718516705421613, 3.4703264236450195]
['UO', 0, 'CO', 338, 'locate', 'kill', 'O1', 'O0', 0.9726495726495726, 0.2666196823120117]
['CO', 277, 'UO', 55, 'who', 'ar', 'O2', 'O3', 0.9745693191140279, 1.1418814659118652]
['CO', 141, 'UO', 83, 'truncate', 'diff', 'O1', 'O0', 0.9198743126472899, 0.2480013370513916]
['BO', 74, 'CO', 154, 'dot', 'dircolors', 'O1', 'O1', 0.9818731117824774, 0.03606748580932617]
['BO', 69, 'UO', 82, 'cmp', 'cmp', 'O3', 'O0', 0.9293739967897271, 0.0892019271850586]
['BO', 83, 'CO', 369, 'lua', 'od', 'O2', 'O0', 0.984, 1.0945541858673096]
['CO', 146, 'BO', 77, 'sum', 'libSDL2-2.0.so.0.16.0', 'O1', 'O3', 0.9802832861189802, 2.5061416625976562]
['CO', 387, 'UO', 73, 'mv', 'objcopy', 'O0', 'O0', 0.976557550158395, 8.998446702957153]
['CO', 49, 'BO', 25, 'nice', 'dot', 'O3', 'O3', 1.0, 0.029003620147705078]
['CO', 203, 'BO', 45, 'sort', 'diff', 'O1', 'O2', 0.9172661870503597, 0.5681557655334473]
['CO', 69, 'BO', 80, 'who', 'ssh', 'O3', 'O3', 0.9822648640790813, 1.8904669284820557]
['CO', 52, 'UO', 30, 'sha256sum', 'ranlib', 'O3', 'O2', 0.9633655394524959, 1.1731235980987549]
['CO', 326, 'UO', 4, 'stty', 'strip', 'O0', 'O1', 0.9661533254357759, 1.804302453994751]
['CO', 146, 'BO', 41, 'sum', 'libSDL2-2.0.so.0.16.0', 'O1', 'O2', 0.9790262172284644, 2.4823415279388428]
['UO', 58, 'CO', 226, 'objdump', 'uptime', 'O3', 'O2', 0.9962461455959244, 1.6785507202148438]
