['CO', 118, 'UO', 68, 'stty', 'readelf', 'O1', 'O0', 0.9729315628192032, 2.2181637287139893]
['UO', 86, 'CO', 287, 'xargs', 'link', 'O0', 'O2', 0.9716129032258064, 0.26546573638916016]
['UO', 53, 'CO', 305, 'gprof', 'uniq', 'O3', 'O2', 0.992749244712991, 1.2912406921386719]
['BO', 23, 'CO', 182, 'git', 'chcon', 'O2', 'O1', 0.9981999742853469, 8.171879291534424]
['UO', 17, 'CO', 303, 'objdump', 'sha224sum', 'O1', 'O2', 0.9955121436114044, 1.541672945022583]
['BO', 14, 'CO', 148, 'cmp', 'seq', 'O0', 'O1', 0.9177631578947368, 0.09371018409729004]
['UO', 77, 'CO', 391, 'ar', 'link', 'O0', 'O0', 0.998914223669924, 1.4112286567687988]
['CO', 97, 'UO', 79, 'uniq', 'size', 'O3', 'O0', 0.9905516187300264, 2.3468565940856934]
['CO', 254, 'BO', 66, 'whoami', 'svn', 'O2', 'O2', 0.9823232323232324, 0.49757814407348633]
['BO', 7, 'CO', 126, 'sort', 'pwd', 'O0', 'O1', 0.9528301886792453, 0.2512848377227783]
['BO', 29, 'UO', 7, 'libvlc.so.12.0.0', 'ranlib', 'O2', 'O1', 0.9645747442357612, 8.546086311340332]
['UO', 75, 'CO', 28, 'gprof', 'factor', 'O0', 'O3', 0.9965834428383705, 2.383795976638794]
['CO', 31, 'BO', 4, 'date', 'libgeany.so.0.0.0', 'O3', 'O2', 0.9905266719296267, 11.981600046157837]
['UO', 34, 'CO', 233, 'ld', 'chgrp', 'O2', 'O2', 0.9947723208144174, 2.2938215732574463]
['BO', 48, 'CO', 310, 'libvlccore.so.9.0.0', 'mknod', 'O0', 'O2', 0.9989914271306102, 2.7627055644989014]
['BO', 20, 'CO', 399, 'sort', 'id', 'O1', 'O0', 0.9785522788203753, 0.23902535438537598]
['CO', 99, 'UO', 30, 'sort', 'ranlib', 'O3', 'O2', 0.950920245398773, 3.3444180488586426]
['CO', 196, 'BO', 52, 'sha512sum', 'svn', 'O1', 'O3', 0.9873866771777691, 0.7370829582214355]
['CO', 225, 'BO', 57, 'stdbuf', 'libvlccore.so.9.0.0', 'O2', 'O3', 0.9922245401099943, 2.729625701904297]
['CO', 204, 'BO', 21, 'tac', 'cp', 'O1', 'O1', 0.8910798122065727, 0.20049333572387695]
['CO', 241, 'UO', 54, 'chown', 'addr2line', 'O2', 'O3', 0.9660020986358867, 1.6731512546539307]
['BO', 59, 'CO', 239, 'libgeany.so.0.0.0', 'date', 'O3', 'O2', 0.9991191044228299, 10.071446418762207]
['BO', 26, 'CO', 362, 'gvmap', 'dircolors', 'O3', 'O0', 0.9644322845417237, 0.35123777389526367]
