['CO', 72, 'UO', 23, 'head', 'cmp', 'O3', 'O2', 0.8879736408566722, 0.14820480346679688]
['CO', 289, 'UO', 48, 'cat', 'ranlib', 'O2', 'O3', 0.9850093691442848, 1.8561499118804932]
['BO', 75, 'CO', 54, 'gvmap', 'true', 'O1', 'O3', 0.978708303761533, 0.5171151161193848]
['BO', 19, 'CO', 348, 'libvlccore.so.9.0.0', 'pinky', 'O1', 'O0', 0.9969366264598889, 2.7115235328674316]
['CO', 41, 'BO', 79, 'echo', 'bash', 'O3', 'O3', 0.9871140939597316, 1.5863332748413086]
['CO', 16, 'BO', 28, 'dirname', 'ruby', 'O3', 'O0', 0.9930067556098721, 4.139049530029297]
['CO', 127, 'UO', 58, 'pr', 'objdump', 'O1', 'O3', 0.9732599292174597, 2.5661728382110596]
['CO', 258, 'UO', 77, 'dircolors', 'ar', 'O2', 'O0', 0.9899674620390455, 1.804847002029419]
['CO', 235, 'UO', 40, 'wc', 'objdump', 'O2', 'O2', 0.9802033898305085, 1.7476887702941895]
['CO', 220, 'BO', 17, 'ptx', 'codeblocks', 'O2', 'O2', 0.993357525063042, 6.014435768127441]
['UO', 12, 'CO', 176, 'gprof', 'head', 'O1', 'O1', 0.991169130351315, 1.2268006801605225]
['BO', 47, 'CO', 204, 'libvlc.so.12.0.0', 'tac', 'O0', 'O1', 0.9910873440285205, 0.6490259170532227]
['BO', 65, 'CO', 150, 'gvmap', 'whoami', 'O0', 'O1', 0.9762519359834796, 0.36780309677124023]
['CO', 153, 'UO', 57, 'nice', 'size', 'O1', 'O3', 0.9749119718309859, 0.8833587169647217]
['CO', 148, 'UO', 63, 'seq', 'cmp', 'O1', 'O3', 0.881508078994614, 0.07419776916503906]
['CO', 35, 'BO', 69, 'base32', 'cmp', 'O3', 'O3', 0.8928571428571429, 0.07488131523132324]
['CO', 106, 'BO', 7, 'stat', 'sort', 'O1', 'O0', 0.9395532194480947, 0.4661552906036377]
['CO', 142, 'UO', 34, 'sha1sum', 'ld', 'O1', 'O2', 0.9802900183021258, 1.7564387321472168]
['UO', 15, 'CO', 405, 'elfedit', 'nl', 'O1', 'O0', 0.9761904761904762, 0.10950732231140137]
['CO', 205, 'BO', 22, 'rmdir', 'perl', 'O1', 'O0', 0.9932560590094837, 3.32757830619812]
['CO', 40, 'UO', 30, 'sync', 'ranlib', 'O3', 'O2', 0.9792598617324115, 1.0072016716003418]
['BO', 12, 'UO', 70, 'libgeany.so.0.0.0', 'ranlib', 'O0', 'O0', 0.9940439440711821, 128.82341408729553]
['UO', 24, 'CO', 190, 'diff', 'timeout', 'O2', 'O1', 0.9692832764505119, 0.23582768440246582]
['UO', 80, 'CO', 399, 'objdump', 'id', 'O0', 'O0', 0.9983328702417338, 2.9928998947143555]
['UO', 73, 'CO', 96, 'objcopy', 'fold', 'O0', 'O3', 0.9978705784928428, 1.8653838634490967]
