['CO', 370, 'UO', 54, 'df', 'addr2line', 'O0', 'O3', 0.9619009424503709, 4.077288389205933]
['CO', 33, 'UO', 60, 'chown', 'xargs', 'O3', 'O3', 0.9758308157099698, 0.256986141204834]
['CO', 279, 'UO', 19, 'readlink', 'cmp', 'O2', 'O1', 0.8701298701298701, 0.07842874526977539]
['CO', 203, 'BO', 32, 'sort', 'ruby', 'O1', 'O2', 0.9814560439560439, 15.061161518096924]
['CO', 83, 'UO', 43, 'csplit', 'find', 'O3', 'O2', 0.960081466395112, 0.6701722145080566]
['CO', 228, 'UO', 2, 'mkfifo', 'find', 'O2', 'O1', 0.9750322858372794, 0.3475806713104248]
['UO', 28, 'CO', 70, 'readelf', 'b2sum', 'O2', 'O3', 0.9894179894179894, 0.6201756000518799]
['UO', 78, 'CO', 178, 'elfedit', 'unexpand', 'O0', 'O1', 0.9677996422182469, 0.09070491790771484]
['UO', 29, 'CO', 68, 'as', 'yes', 'O2', 'O3', 0.9975812953507122, 1.1936421394348145]
['BO', 21, 'CO', 53, 'cp', 'chmod', 'O1', 'O3', 0.9484702093397746, 0.2547566890716553]
['BO', 35, 'CO', 213, 'make', 'basename', 'O3', 'O2', 0.9844108207244383, 0.31149721145629883]
['CO', 31, 'UO', 39, 'date', 'size', 'O3', 'O2', 0.9670714138711669, 1.6632680892944336]
['BO', 27, 'CO', 300, 'perl', 'sha512sum', 'O3', 'O2', 0.9979437090348284, 2.744624137878418]
['CO', 87, 'BO', 5, 'id', 'libgeany.so.0.0.0', 'O3', 'O1', 0.9926378505559561, 7.9231345653533936]
['CO', 372, 'UO', 28, 'base64', 'readelf', 'O0', 'O2', 0.9632829373650108, 0.6436989307403564]
['UO', 87, 'CO', 313, 'find', 'touch', 'O0', 'O0', 0.9938137952366223, 1.1920201778411865]
['UO', 29, 'CO', 132, 'as', 'factor', 'O2', 'O1', 0.9963182117028271, 2.2883670330047607]
['CO', 88, 'UO', 15, 'shred', 'elfedit', 'O3', 'O1', 0.9730820995962315, 0.1423802375793457]
['BO', 13, 'CO', 351, 'ruby', 'paste', 'O1', 'O0', 0.9994550037468493, 5.778704404830933]
['CO', 318, 'UO', 87, 'mkdir', 'find', 'O0', 'O0', 0.9704004643064422, 1.8643519878387451]
['CO', 127, 'UO', 56, 'pr', 'elfedit', 'O1', 'O3', 0.9858156028368794, 0.13746905326843262]
['UO', 6, 'CO', 389, 'as', 'env', 'O1', 'O0', 0.9976792160907685, 1.6887388229370117]
['CO', 149, 'UO', 59, 'split', 'locate', 'O1', 'O3', 0.964824120603015, 0.3207426071166992]
['CO', 328, 'BO', 46, 'dirname', 'ruby', 'O0', 'O3', 0.9931079190692279, 6.44287371635437]
['UO', 3, 'CO', 381, 'nm', 'who', 'O1', 'O0', 0.9895666131621188, 1.4582643508911133]
['CO', 147, 'UO', 73, 'chroot', 'objcopy', 'O1', 'O0', 0.9905482041587902, 2.4455766677856445]
['CO', 229, 'UO', 82, 'mktemp', 'cmp', 'O2', 'O0', 0.9011532125205931, 0.09372615814208984]
['CO', 231, 'UO', 8, 'pr', 'c++filt', 'O2', 'O1', 0.9672600777573154, 1.5923840999603271]
['CO', 196, 'UO', 84, 'sha512sum', 'sdiff', 'O1', 'O0', 0.9134078212290503, 0.12237143516540527]
['BO', 40, 'CO', 80, 'lua', 'uname', 'O0', 'O3', 0.9955839057899902, 0.7781112194061279]
['UO', 63, 'BO', 28, 'cmp', 'ruby', 'O3', 'O0', 0.9916675134640789, 5.926238536834717]
['UO', 37, 'CO', 309, 'ar', 'rmdir', 'O2', 'O2', 0.9967226546497338, 0.9060313701629639]
