['CO', 188, 'UO', 73, 'vdir', 'objcopy', 'O1', 'O0', 0.9797867614393603, 11.260869026184082]
['BO', 69, 'CO', 70, 'cmp', 'b2sum', 'O3', 'O3', 0.9195046439628483, 0.09169936180114746]
['UO', 27, 'CO', 43, 'strip', 'chroot', 'O2', 'O3', 0.9964881474978051, 1.2912259101867676]
['CO', 142, 'UO', 84, 'sha1sum', 'sdiff', 'O1', 'O0', 0.9159663865546218, 0.1178741455078125]
['CO', 238, 'BO', 30, 'expand', 'libvlccore.so.9.0.0', 'O2', 'O2', 0.9909866717806117, 2.181102991104126]
['UO', 27, 'CO', 123, 'strip', 'dd', 'O2', 'O1', 0.9928339873741683, 1.9913766384124756]
['CO', 289, 'BO', 25, 'cat', 'dot', 'O2', 'O3', 1.0, 0.02694988250732422]
['UO', 25, 'CO', 164, 'sdiff', 'base64', 'O2', 'O1', 0.9073482428115016, 0.09222912788391113]
['CO', 395, 'UO', 10, 'csplit', 'objcopy', 'O0', 'O1', 0.9644341033737743, 2.3255083560943604]
['CO', 318, 'UO', 70, 'mkdir', 'ranlib', 'O0', 'O0', 0.9793420045906657, 4.666750431060791]
['CO', 95, 'BO', 63, 'sha224sum', 'cluster', 'O3', 'O0', 0.9639459188783175, 0.4454479217529297]
['UO', 59, 'BO', 80, 'locate', 'ssh', 'O3', 'O3', 0.9590508474576271, 4.125246286392212]
['CO', 193, 'BO', 2, 'pathchk', 'perl', 'O1', 'O1', 0.9908067111008964, 2.5345139503479004]
['BO', 55, 'CO', 42, 'make', 'sum', 'O1', 'O3', 0.9855660802886784, 0.4979426860809326]
['UO', 53, 'CO', 169, 'gprof', 'false', 'O3', 'O1', 0.9934439664003278, 0.8308002948760986]
['CO', 371, 'BO', 68, 'tsort', 'git', 'O0', 'O3', 0.9895364925631269, 7.227354288101196]
['UO', 26, 'CO', 75, 'nm', 'mv', 'O2', 'O3', 0.9841591453306318, 3.3109543323516846]
['CO', 307, 'UO', 85, 'sort', 'locate', 'O2', 'O0', 0.9700722394220846, 0.871058464050293]
['BO', 17, 'CO', 67, 'codeblocks', 'nohup', 'O2', 'O3', 0.9987594591241782, 3.6511549949645996]
['CO', 9, 'UO', 49, 'du', 'c++filt', 'O3', 'O3', 0.9652694610778443, 2.593496561050415]
['CO', 347, 'UO', 58, 'base32', 'objdump', 'O0', 'O3', 0.9797198132088059, 1.965345859527588]
