['UO', 39, 'CO', 328, 'size', 'dirname', 'O2', 'O0', 0.9922061052175796, 1.9703574180603027]
['CO', 331, 'BO', 70, 'dd', 'diff', 'O0', 'O3', 0.912568306010929, 0.7541768550872803]
['CO', 342, 'UO', 29, 'expand', 'as', 'O0', 'O2', 0.9754470242860955, 3.5804924964904785]
['UO', 37, 'CO', 35, 'ar', 'base32', 'O2', 'O3', 0.9959587795514245, 2.0525803565979004]
['BO', 76, 'CO', 145, 'openssl', 'echo', 'O2', 'O1', 0.9975501113585746, 3.1979033946990967]
['UO', 4, 'CO', 47, 'strip', 'numfmt', 'O1', 'O3', 0.9921941286271848, 1.5027694702148438]
['UO', 56, 'CO', 305, 'elfedit', 'uniq', 'O3', 'O2', 0.9851851851851852, 0.08721089363098145]
['UO', 60, 'CO', 236, 'xargs', 'factor', 'O3', 'O2', 0.9719953325554259, 0.18769216537475586]
['CO', 237, 'UO', 86, 'nproc', 'xargs', 'O2', 'O0', 0.965, 0.15200066566467285]
['UO', 68, 'BO', 1, 'readelf', 'ssh', 'O0', 'O2', 0.9662055335968379, 17.907695055007935]
['UO', 8, 'CO', 380, 'c++filt', 'yes', 'O1', 'O0', 0.9915146372507425, 0.988537073135376]
['BO', 53, 'CO', 380, 'bash', 'yes', 'O0', 'O0', 0.9968821791926485, 3.527769088745117]
['BO', 77, 'CO', 184, 'libSDL2-2.0.so.0.16.0', 'uname', 'O3', 'O1', 0.9947488584474886, 1.6470961570739746]
['CO', 295, 'UO', 51, 'id', 'objcopy', 'O2', 'O3', 0.9839228295819936, 1.2166407108306885]
['CO', 241, 'UO', 65, 'chown', 'sdiff', 'O2', 'O3', 0.9403341288782816, 0.1635267734527588]
['CO', 106, 'BO', 58, 'stat', 'svn', 'O1', 'O1', 0.9814264487369985, 1.267946720123291]
['UO', 68, 'CO', 231, 'readelf', 'pr', 'O0', 'O2', 0.9924793181248434, 1.2497360706329346]
['CO', 83, 'UO', 32, 'csplit', 'strings', 'O3', 'O2', 0.9622404027690371, 1.525153636932373]
['CO', 395, 'BO', 81, 'csplit', 'sort', 'O0', 'O3', 0.9102468212415856, 0.34150171279907227]
['UO', 45, 'CO', 128, 'strip', 'tee', 'O3', 'O1', 0.9910873440285205, 1.1887378692626953]
['UO', 27, 'BO', 71, 'strip', 'libSDL2-2.0.so.0.16.0', 'O2', 'O0', 0.9821391770282338, 43.00485062599182]
['BO', 9, 'CO', 144, 'git', 'sync', 'O0', 'O1', 0.998959236773634, 3.813472032546997]
['UO', 52, 'CO', 229, 'ld', 'mktemp', 'O3', 'O2', 0.9949565704679182, 1.562220811843872]
['BO', 12, 'CO', 106, 'libgeany.so.0.0.0', 'stat', 'O0', 'O1', 0.9978923165357348, 10.395385980606079]
['CO', 59, 'UO', 3, 'tsort', 'nm', 'O3', 'O1', 0.9796747967479675, 1.195404291152954]
['BO', 43, 'CO', 351, 'diff', 'paste', 'O1', 'O0', 0.9726261762189906, 0.23180222511291504]
['CO', 121, 'UO', 7, 'stdbuf', 'ranlib', 'O1', 'O1', 0.970703125, 1.3047473430633545]
['UO', 54, 'CO', 83, 'addr2line', 'csplit', 'O3', 'O3', 0.9911111111111112, 1.4126152992248535]
['CO', 217, 'BO', 45, 'du', 'diff', 'O2', 'O2', 0.9399744572158365, 0.5103137493133545]
['UO', 22, 'BO', 4, 'diff3', 'libgeany.so.0.0.0', 'O2', 'O2', 0.991169478093513, 9.89065670967102]
['UO', 13, 'CO', 373, 'addr2line', 'cksum', 'O1', 'O0', 0.9929137140475198, 1.0596041679382324]
['UO', 43, 'CO', 17, 'find', 'stdbuf', 'O2', 'O3', 0.9889220281210055, 0.5555930137634277]
['UO', 77, 'CO', 213, 'ar', 'basename', 'O0', 'O2', 0.9972692517749864, 1.2448458671569824]
['BO', 40, 'UO', 43, 'lua', 'find', 'O0', 'O2', 0.9664463650228775, 5.992024183273315]
['BO', 66, 'UO', 6, 'svn', 'as', 'O2', 'O1', 0.9624316234905563, 14.251549482345581]
['CO', 237, 'UO', 41, 'nproc', 'locate', 'O2', 'O2', 0.9624765478424016, 0.19747114181518555]
['CO', 358, 'UO', 19, 'whoami', 'cmp', 'O0', 'O1', 0.9409448818897638, 0.07283616065979004]
