['BO', 0, 'CO', 86, 'codeblocks', 'timeout', 'O1', 'O3', 0.9978956489447298, 6.324275255203247]
['CO', 378, 'UO', 10, 'runcon', 'objcopy', 'O0', 'O1', 0.9796831955922864, 1.5076050758361816]
['UO', 45, 'CO', 352, 'strip', 'sync', 'O3', 'O0', 0.99391771019678, 1.1023035049438477]
['BO', 51, 'CO', 327, 'lua', 'join', 'O1', 'O0', 0.9965417867435159, 0.9954359531402588]
['BO', 35, 'CO', 316, 'make', 'test', 'O3', 'O0', 0.9819277108433735, 0.6197433471679688]
['BO', 47, 'CO', 234, 'libvlc.so.12.0.0', 'kill', 'O0', 'O2', 0.9954001839926403, 0.5226507186889648]
['CO', 369, 'UO', 7, 'od', 'ranlib', 'O0', 'O1', 0.9666603523394582, 1.91729736328125]
['UO', 7, 'CO', 332, 'ranlib', 'mkfifo', 'O1', 'O0', 0.9864344637946838, 2.5373222827911377]
['CO', 156, 'BO', 19, 'sha256sum', 'libvlccore.so.9.0.0', 'O1', 'O1', 0.9890374074430234, 2.9425814151763916]
['BO', 44, 'UO', 57, 'cmp', 'size', 'O2', 'O3', 0.9731543624161074, 1.1826426982879639]
['UO', 23, 'CO', 192, 'cmp', 'shred', 'O2', 'O1', 0.9008746355685131, 0.11548089981079102]
['BO', 35, 'CO', 347, 'make', 'base32', 'O3', 'O0', 0.9844020797227037, 0.5739188194274902]
['UO', 12, 'CO', 290, 'gprof', 'shuf', 'O1', 'O2', 0.9950617283950617, 1.5491712093353271]
['UO', 40, 'BO', 26, 'objdump', 'gvmap', 'O2', 'O3', 0.9852763697803524, 5.854053974151611]
['BO', 83, 'UO', 44, 'lua', 'nm', 'O2', 'O3', 0.9651368650415362, 9.464519500732422]
['BO', 32, 'UO', 28, 'ruby', 'readelf', 'O2', 'O2', 0.997490319804962, 42.93151903152466]
['UO', 37, 'CO', 212, 'ar', 'test', 'O2', 'O2', 0.9951169888097661, 1.0054986476898193]
['UO', 34, 'BO', 34, 'ld', 'cp', 'O2', 'O2', 0.9926412614980289, 4.099843263626099]
['CO', 55, 'UO', 19, 'cp', 'cmp', 'O3', 'O1', 0.9626334519572953, 0.20592927932739258]
['CO', 265, 'UO', 42, 'od', 'xargs', 'O2', 'O2', 0.9713945172824792, 0.2129664421081543]
['UO', 47, 'BO', 53, 'as', 'bash', 'O3', 'O0', 0.9786286731967943, 69.69209623336792]
['UO', 15, 'CO', 23, 'elfedit', 'pr', 'O1', 'O3', 0.9812583668005355, 0.22785186767578125]
['UO', 25, 'CO', 172, 'sdiff', 'yes', 'O2', 'O1', 0.9409722222222222, 0.08049225807189941]
['UO', 36, 'CO', 178, 'addr2line', 'unexpand', 'O2', 'O1', 0.994823123382226, 1.043463945388794]
['CO', 146, 'UO', 35, 'sum', 'gprof', 'O1', 'O2', 0.9694323144104804, 1.297588586807251]
['BO', 8, 'UO', 45, 'cp', 'strip', 'O0', 'O3', 0.9557977596124735, 5.562249660491943]
['CO', 256, 'UO', 81, 'ls', 'diff3', 'O2', 'O0', 0.9501206757843926, 0.33997273445129395]
['CO', 392, 'UO', 36, 'uname', 'addr2line', 'O0', 'O2', 0.9700455828087693, 1.0434215068817139]
['UO', 66, 'CO', 149, 'nm', 'split', 'O0', 'O1', 0.9937081110655177, 2.4260482788085938]
['CO', 183, 'BO', 53, 'link', 'bash', 'O1', 'O0', 0.9883242887682947, 2.4368832111358643]
