['UO', 83, 'CO', 348, 'diff', 'pinky', 'O0', 'O0', 0.9823917828319882, 0.5824024677276611]
['CO', 149, 'BO', 51, 'split', 'lua', 'O1', 'O1', 0.9458837075417387, 2.0637073516845703]
['BO', 47, 'CO', 241, 'libvlc.so.12.0.0', 'chown', 'O0', 'O2', 0.9867713931376602, 1.761031150817871]
['UO', 28, 'CO', 296, 'readelf', 'shred', 'O2', 'O2', 0.9852424455375967, 0.8365621566772461]
['CO', 69, 'BO', 40, 'who', 'lua', 'O3', 'O0', 0.9866060751016503, 1.3241982460021973]
['UO', 86, 'CO', 238, 'xargs', 'expand', 'O0', 'O2', 0.9659781287970839, 0.16742944717407227]
['CO', 276, 'UO', 41, 'yes', 'locate', 'O2', 'O2', 0.9598086124401914, 0.18773674964904785]
['UO', 29, 'CO', 327, 'as', 'join', 'O2', 'O0', 0.9968329374505146, 2.20546293258667]
['CO', 395, 'BO', 40, 'csplit', 'lua', 'O0', 'O0', 0.9671296296296297, 1.68770432472229]
['CO', 383, 'BO', 76, 'readlink', 'openssl', 'O0', 'O2', 0.990999890242564, 4.39719033241272]
['BO', 56, 'CO', 312, 'libvlc.so.12.0.0', 'sha384sum', 'O3', 'O0', 0.9943714821763602, 0.645073413848877]
['CO', 296, 'BO', 57, 'shred', 'libvlccore.so.9.0.0', 'O2', 'O3', 0.9895101620305329, 4.8843982219696045]
['CO', 294, 'BO', 40, 'timeout', 'lua', 'O2', 'O0', 0.9873540856031129, 0.9689538478851318]
['UO', 58, 'CO', 413, 'objdump', 'rmdir', 'O3', 'O0', 0.9948972740700953, 1.477468490600586]
['BO', 37, 'CO', 409, 'gvmap', 'uniq', 'O2', 'O0', 0.9681908548707754, 0.3899810314178467]
['CO', 29, 'UO', 14, 'nproc', 'ar', 'O3', 'O1', 0.9772236402905949, 1.05403470993042]
['BO', 35, 'CO', 192, 'make', 'shred', 'O3', 'O1', 0.973421926910299, 0.733288049697876]
['BO', 74, 'CO', 362, 'dot', 'dircolors', 'O1', 'O0', 0.9830508474576272, 0.04770350456237793]
['UO', 42, 'CO', 132, 'xargs', 'factor', 'O2', 'O1', 0.9748571428571429, 0.20399880409240723]
['CO', 301, 'UO', 25, 'nl', 'sdiff', 'O2', 'O2', 0.8409475465313029, 0.07912564277648926]
['CO', 193, 'UO', 49, 'pathchk', 'c++filt', 'O1', 'O3', 0.9762810472141419, 0.8605237007141113]
['CO', 276, 'BO', 27, 'yes', 'perl', 'O2', 'O3', 0.9936753791545659, 2.194575309753418]
['CO', 107, 'BO', 54, 'unlink', 'lua', 'O1', 'O3', 0.9672025723472669, 0.5158498287200928]
['CO', 134, 'UO', 9, 'expand', 'strings', 'O1', 'O1', 0.9648535564853556, 1.0699353218078613]
['CO', 354, 'BO', 56, 'sum', 'libvlc.so.12.0.0', 'O0', 'O3', 0.9858021769995268, 0.7430856227874756]
['BO', 68, 'CO', 225, 'git', 'stdbuf', 'O3', 'O2', 0.9989605439819828, 3.956655263900757]
['BO', 72, 'CO', 74, 'make', 'unexpand', 'O2', 'O3', 0.9833698030634573, 0.46977972984313965]
['BO', 39, 'CO', 316, 'codeblocks', 'test', 'O3', 'O0', 0.9980516317584024, 4.8275532722473145]
['BO', 9, 'CO', 207, 'git', 'ln', 'O0', 'O1', 0.9980313275699735, 8.736702919006348]
