['BO', 71, 'CO', 408, 'libSDL2-2.0.so.0.16.0', 'fold', 'O0', 'O0', 0.9976662777129521, 2.9608242511749268]
['BO', 82, 'CO', 378, 'cp', 'runcon', 'O3', 'O0', 0.9599271402550091, 0.22786617279052734]
['BO', 37, 'CO', 193, 'gvmap', 'pathchk', 'O2', 'O1', 0.9724037763253449, 0.2764401435852051]
['CO', 169, 'UO', 76, 'false', 'addr2line', 'O1', 'O0', 0.991987408785234, 1.5243868827819824]
['CO', 8, 'BO', 58, 'dir', 'svn', 'O3', 'O1', 0.9771092217135383, 2.155979871749878]
['BO', 14, 'CO', 53, 'cmp', 'chmod', 'O0', 'O3', 0.9386973180076629, 0.14044880867004395]
['UO', 22, 'BO', 12, 'diff3', 'libgeany.so.0.0.0', 'O2', 'O0', 0.9957571958921942, 9.304805040359497]
['CO', 187, 'UO', 25, 'csplit', 'sdiff', 'O1', 'O2', 0.9165545087483177, 0.1221170425415039]
['BO', 53, 'UO', 52, 'bash', 'ld', 'O0', 'O3', 0.9761045029736618, 61.41904139518738]
['CO', 231, 'BO', 49, 'pr', 'svn', 'O2', 'O0', 0.9782837127845885, 1.1005845069885254]
['BO', 15, 'CO', 281, 'diff', 'hostid', 'O0', 'O2', 0.9686985172981878, 0.16108131408691406]
['UO', 7, 'BO', 37, 'ranlib', 'gvmap', 'O1', 'O2', 0.9770687936191426, 4.143526077270508]
['CO', 160, 'UO', 43, 'cut', 'find', 'O1', 'O2', 0.9637149028077754, 0.5705397129058838]
['BO', 22, 'CO', 41, 'perl', 'echo', 'O0', 'O3', 0.999014986280166, 2.413846254348755]
['BO', 41, 'CO', 95, 'libSDL2-2.0.so.0.16.0', 'sha224sum', 'O2', 'O3', 0.9962667994026879, 1.864673376083374]
['BO', 9, 'UO', 41, 'git', 'locate', 'O0', 'O2', 0.9989884514878192, 13.745908975601196]
['UO', 0, 'BO', 36, 'locate', 'cluster', 'O1', 'O2', 0.9458103361766181, 0.8346271514892578]
['UO', 59, 'CO', 296, 'locate', 'shred', 'O3', 'O2', 0.9749582637729549, 0.3211369514465332]
