['CO', 271, 'BO', 68, 'logname', 'git', 'O2', 'O3', 0.9953070003910833, 6.847107887268066]
['BO', 37, 'UO', 22, 'gvmap', 'diff3', 'O2', 'O2', 0.9620418848167539, 0.8081872463226318]
['CO', 405, 'BO', 61, 'nl', 'git', 'O0', 'O1', 0.9910147306579118, 6.354769468307495]
['CO', 213, 'BO', 58, 'basename', 'svn', 'O2', 'O1', 0.9839865149599663, 0.49248790740966797]
['CO', 202, 'BO', 11, 'sleep', 'ssh', 'O1', 'O1', 0.9795221843003413, 1.2600855827331543]
['BO', 64, 'CO', 170, 'dot', 'runcon', 'O0', 'O1', 0.9771863117870723, 0.027055025100708008]
['UO', 28, 'BO', 34, 'readelf', 'cp', 'O2', 'O2', 0.9765793528505393, 1.492659091949463]
['UO', 80, 'CO', 266, 'objdump', 'df', 'O0', 'O2', 0.9965451404673152, 4.386765241622925]
['BO', 16, 'UO', 10, 'make', 'objcopy', 'O0', 'O1', 0.9471844660194175, 9.29799485206604]
['BO', 40, 'CO', 189, 'lua', '[', 'O0', 'O1', 0.987012987012987, 1.0997364521026611]
['CO', 347, 'UO', 43, 'base32', 'find', 'O0', 'O2', 0.9608843537414966, 0.6179325580596924]
['UO', 41, 'CO', 353, 'locate', 'echo', 'O2', 'O0', 0.9761467889908257, 0.3778705596923828]
['BO', 24, 'CO', 397, 'cluster', '[', 'O3', 'O0', 0.9411764705882353, 0.680851936340332]
['CO', 72, 'UO', 32, 'head', 'strings', 'O3', 'O2', 0.9718249733191036, 1.7082185745239258]
['CO', 281, 'BO', 58, 'hostid', 'svn', 'O2', 'O1', 0.983065198983912, 0.45298171043395996]
['BO', 77, 'CO', 243, 'libSDL2-2.0.so.0.16.0', 'base32', 'O3', 'O2', 0.9954379562043796, 1.5998523235321045]
['UO', 83, 'CO', 58, 'diff', 'df', 'O0', 'O3', 0.9523227383863081, 0.5090460777282715]
['BO', 48, 'CO', 169, 'libvlccore.so.9.0.0', 'false', 'O0', 'O1', 0.9984145286826175, 2.831777811050415]
['BO', 46, 'CO', 326, 'ruby', 'stty', 'O3', 'O0', 0.999320905911514, 7.688827276229858]
['UO', 59, 'CO', 144, 'locate', 'sync', 'O3', 'O1', 0.9788053949903661, 0.18395376205444336]
['UO', 86, 'CO', 187, 'xargs', 'csplit', 'O0', 'O1', 0.9571428571428572, 0.24757814407348633]
['UO', 75, 'CO', 278, 'gprof', 'b2sum', 'O0', 'O2', 0.9967944437024175, 1.8700110912322998]
['UO', 39, 'CO', 235, 'size', 'wc', 'O2', 'O2', 0.99528706083976, 1.077402114868164]
['BO', 68, 'CO', 355, 'git', 'chroot', 'O3', 'O0', 0.9993955094991365, 5.397181272506714]
['CO', 162, 'UO', 54, 'df', 'addr2line', 'O1', 'O3', 0.9618383258104226, 2.085315465927124]
['UO', 54, 'CO', 353, 'addr2line', 'echo', 'O3', 'O0', 0.9951477723864137, 0.864835262298584]
['UO', 9, 'CO', 303, 'strings', 'sha224sum', 'O1', 'O2', 0.9932885906040269, 1.0088279247283936]
['UO', 70, 'CO', 65, 'ranlib', 'false', 'O0', 'O3', 0.9980983428416191, 1.3218293190002441]
['BO', 60, 'CO', 50, 'openssl', 'dircolors', 'O0', 'O3', 0.9984004798560432, 2.8280704021453857]
['UO', 21, 'CO', 363, 'sdiff', 'realpath', 'O1', 'O0', 0.9373297002724795, 0.1451714038848877]
['BO', 26, 'CO', 92, 'gvmap', 'sha512sum', 'O3', 'O3', 0.981042654028436, 0.32763028144836426]
['CO', 398, 'BO', 14, 'timeout', 'cmp', 'O0', 'O0', 0.9261447562776957, 0.11530804634094238]
['BO', 6, 'UO', 79, 'codeblocks', 'size', 'O0', 'O0', 0.9955683736634777, 121.67626667022705]
['CO', 137, 'BO', 51, 'chown', 'lua', 'O1', 'O1', 0.9457646072127481, 1.2739331722259521]
['BO', 7, 'CO', 68, 'sort', 'yes', 'O0', 'O3', 0.9808917197452229, 0.19984078407287598]
['UO', 9, 'CO', 251, 'strings', 'chroot', 'O1', 'O2', 0.9953926701570681, 1.079620599746704]
['CO', 139, 'UO', 51, 'base32', 'objcopy', 'O1', 'O3', 0.9718259629101283, 1.2068593502044678]
['UO', 16, 'CO', 373, 'size', 'cksum', 'O1', 'O0', 0.9904246461282264, 1.1143221855163574]
['CO', 307, 'BO', 62, 'sort', 'bash', 'O2', 'O1', 0.9671167447414347, 6.417201519012451]
['UO', 15, 'CO', 79, 'elfedit', 'link', 'O1', 'O3', 0.976878612716763, 0.08267688751220703]
['CO', 319, 'UO', 35, 'fmt', 'gprof', 'O0', 'O2', 0.9687993680884677, 1.3927001953125]
['CO', 52, 'BO', 59, 'sha256sum', 'libgeany.so.0.0.0', 'O3', 'O3', 0.9939577039274925, 9.617557764053345]
['BO', 25, 'UO', 4, 'dot', 'strip', 'O3', 'O1', 0.9928812956042, 0.5116918087005615]
['BO', 71, 'CO', 95, 'libSDL2-2.0.so.0.16.0', 'sha224sum', 'O0', 'O3', 0.9966159052453468, 2.6615793704986572]
['BO', 41, 'UO', 8, 'libSDL2-2.0.so.0.16.0', 'c++filt', 'O2', 'O1', 0.9766206163655685, 27.889352560043335]
['CO', 279, 'BO', 42, 'readlink', 'cmp', 'O2', 'O1', 0.8701298701298701, 0.07752871513366699]
['UO', 5, 'CO', 61, 'readelf', 'cksum', 'O1', 'O3', 0.9921568627450981, 0.5393083095550537]
['UO', 10, 'CO', 56, 'objcopy', 'cut', 'O1', 'O3', 0.9931518575586372, 1.3872222900390625]
['UO', 69, 'CO', 73, 'as', 'hostid', 'O0', 'O3', 0.9981299672744273, 1.9459097385406494]
