['BO', 52, 'CO', 245, 'svn', 'truncate', 'O3', 'O2', 0.9975619666802112, 1.0206692218780518]
['CO', 161, 'BO', 33, 'od', 'sort', 'O1', 'O2', 0.908289241622575, 0.5470099449157715]
['CO', 197, 'UO', 6, 'nl', 'as', 'O1', 'O1', 0.9777576619681883, 3.597102403640747]
['CO', 202, 'UO', 54, 'sleep', 'addr2line', 'O1', 'O3', 0.9761747187293184, 1.779419183731079]
['CO', 332, 'UO', 28, 'mkfifo', 'readelf', 'O0', 'O2', 0.9519792342634653, 1.47141432762146]
['UO', 3, 'CO', 65, 'nm', 'false', 'O1', 'O3', 0.9950474618241849, 0.763230562210083]
['BO', 5, 'CO', 28, 'libgeany.so.0.0.0', 'factor', 'O1', 'O3', 0.9992442563482467, 7.9966442584991455]
['BO', 72, 'CO', 328, 'make', 'dirname', 'O2', 'O0', 0.9865289627301302, 0.613706111907959]
['UO', 78, 'BO', 39, 'elfedit', 'codeblocks', 'O0', 'O3', 0.9876934324357256, 6.696526288986206]
['CO', 257, 'BO', 36, 'nice', 'cluster', 'O2', 'O2', 0.9699604743083003, 0.20255160331726074]
['CO', 287, 'BO', 47, 'link', 'libvlc.so.12.0.0', 'O2', 'O0', 0.9831697054698457, 0.4688990116119385]
['UO', 36, 'CO', 193, 'addr2line', 'pathchk', 'O2', 'O1', 0.9952080156828578, 0.8674259185791016]
['UO', 20, 'CO', 311, 'diff', 'ln', 'O1', 'O2', 0.9483129935391242, 0.3837771415710449]
['UO', 26, 'CO', 399, 'nm', 'id', 'O2', 'O0', 0.9912463526469362, 1.3287115097045898]
['UO', 73, 'BO', 79, 'objcopy', 'bash', 'O0', 'O3', 0.9582201796532275, 63.13849115371704]
['BO', 75, 'CO', 124, 'gvmap', 'mkfifo', 'O1', 'O1', 0.9658848614072495, 0.2689635753631592]
['UO', 24, 'CO', 218, 'diff', 'users', 'O2', 'O2', 0.9869281045751634, 0.16900324821472168]
['CO', 36, 'BO', 73, 'pinky', 'cluster', 'O3', 'O1', 0.9622377622377623, 0.5879037380218506]
['CO', 170, 'BO', 14, 'runcon', 'cmp', 'O1', 'O0', 0.8977272727272727, 0.07426786422729492]
['CO', 60, 'BO', 81, 'base64', 'sort', 'O3', 'O3', 0.901840490797546, 0.20120000839233398]
['UO', 61, 'CO', 165, 'find', 'cksum', 'O3', 'O1', 0.9883772910147519, 0.5197770595550537]
['CO', 42, 'UO', 10, 'sum', 'objcopy', 'O3', 'O1', 0.9726589200273411, 1.908374309539795]
['UO', 14, 'CO', 15, 'ar', 'join', 'O1', 'O3', 0.9931323922167111, 1.5386004447937012]
['UO', 77, 'CO', 293, 'ar', '[', 'O0', 'O2', 0.9959519632978006, 1.7070484161376953]
['UO', 80, 'CO', 110, 'objdump', 'mkdir', 'O0', 'O1', 0.9966614114810349, 2.9611451625823975]
['CO', 128, 'BO', 31, 'tee', 'bash', 'O1', 'O2', 0.98286736326838, 2.4950785636901855]
['BO', 46, 'UO', 41, 'ruby', 'locate', 'O3', 'O2', 0.9985984115330708, 19.114554166793823]
['UO', 28, 'CO', 9, 'readelf', 'du', 'O2', 'O3', 0.985107043127521, 1.4249262809753418]
['CO', 284, 'UO', 82, 'md5sum', 'cmp', 'O2', 'O0', 0.9076376554174067, 0.07819604873657227]
['UO', 72, 'BO', 72, 'strings', 'make', 'O0', 'O2', 0.979793393120672, 9.741344451904297]
['CO', 396, 'BO', 71, 'vdir', 'libSDL2-2.0.so.0.16.0', 'O0', 'O0', 0.9750195160031225, 11.24548625946045]
['CO', 57, 'BO', 56, 'od', 'libvlc.so.12.0.0', 'O3', 'O3', 0.9901785714285715, 0.8808972835540771]
['BO', 18, 'CO', 385, 'libvlc.so.12.0.0', 'hostid', 'O1', 'O0', 0.9927946474523932, 0.5046613216400146]
['BO', 52, 'CO', 259, 'svn', 'realpath', 'O3', 'O2', 0.9929161747343566, 0.689133882522583]
['BO', 61, 'CO', 28, 'git', 'factor', 'O1', 'O3', 0.9987101212486026, 6.419754266738892]
['BO', 16, 'CO', 149, 'make', 'split', 'O0', 'O1', 0.9756385068762279, 0.6758990287780762]
['BO', 80, 'CO', 275, 'ssh', 'nohup', 'O3', 'O2', 0.9967397747480735, 1.1484577655792236]
['UO', 37, 'CO', 167, 'ar', 'logname', 'O2', 'O1', 0.9963061768930843, 0.8996989727020264]
['CO', 215, 'BO', 75, 'fmt', 'gvmap', 'O2', 'O1', 0.9576570218772054, 0.2703883647918701]
['CO', 133, 'UO', 45, 'nproc', 'strip', 'O1', 'O3', 0.9792114695340501, 1.1562323570251465]
['BO', 76, 'CO', 398, 'openssl', 'timeout', 'O2', 'O0', 0.9960552268244576, 3.54036545753479]
['BO', 29, 'CO', 3, 'libvlc.so.12.0.0', 'unlink', 'O2', 'O3', 0.9948213360952874, 0.40454864501953125]
['CO', 159, 'BO', 69, 'cp', 'cmp', 'O1', 'O3', 0.9685767097966729, 0.19748330116271973]
['CO', 99, 'UO', 11, 'sort', 'ld', 'O3', 'O1', 0.9623121976063153, 5.147008419036865]
['CO', 183, 'UO', 29, 'link', 'as', 'O1', 'O2', 0.9811142587346553, 1.340165376663208]
['CO', 308, 'BO', 13, 'tac', 'ruby', 'O2', 'O1', 0.9929762351256436, 5.848055839538574]
['CO', 46, 'UO', 4, 'whoami', 'strip', 'O3', 'O1', 0.9830214830214831, 1.1145861148834229]
['CO', 205, 'UO', 7, 'rmdir', 'ranlib', 'O1', 'O1', 0.9720911949685535, 1.1820366382598877]
['UO', 32, 'CO', 139, 'strings', 'base32', 'O2', 'O1', 0.9952329360780064, 1.0446727275848389]
['UO', 20, 'CO', 172, 'diff', 'yes', 'O1', 'O1', 0.9836956521739131, 0.17237114906311035]
['CO', 415, 'BO', 65, 'ln', 'gvmap', 'O0', 'O0', 0.958974358974359, 0.9913325309753418]
['CO', 66, 'UO', 34, 'runcon', 'ld', 'O3', 'O2', 0.9824238128986534, 1.3957760334014893]
['CO', 240, 'BO', 52, 'expr', 'svn', 'O2', 'O3', 0.9867961165048543, 0.9115369319915771]
['BO', 19, 'CO', 94, 'libvlccore.so.9.0.0', 'rm', 'O1', 'O3', 0.9975589146559009, 4.344400882720947]
['BO', 8, 'CO', 382, 'cp', 'b2sum', 'O0', 'O0', 0.9817850637522769, 0.41332221031188965]
['CO', 409, 'BO', 18, 'uniq', 'libvlc.so.12.0.0', 'O0', 'O1', 0.9796610169491525, 0.795947790145874]
['CO', 246, 'BO', 31, 'sha1sum', 'bash', 'O2', 'O2', 0.9856549641374104, 2.1477742195129395]
['CO', 30, 'UO', 14, 'expand', 'ar', 'O3', 'O1', 0.9730521382542472, 1.207836389541626]
['BO', 83, 'CO', 294, 'lua', 'timeout', 'O2', 'O2', 0.9893948845913911, 0.7562065124511719]
['CO', 48, 'UO', 78, 'ls', 'elfedit', 'O3', 'O0', 0.9879931389365352, 0.2806692123413086]
['CO', 285, 'BO', 11, 'env', 'ssh', 'O2', 'O1', 0.9854036341971999, 1.1868960857391357]
