['CO', 369, 'BO', 60, 'od', 'openssl', 'O0', 'O0', 0.9891614937432259, 7.42451548576355]
['CO', 25, 'UO', 3, 'chgrp', 'nm', 'O3', 'O1', 0.962890625, 1.861626386642456]
['CO', 118, 'UO', 31, 'stty', 'c++filt', 'O1', 'O2', 0.9638631963863197, 1.3388926982879639]
['CO', 188, 'BO', 82, 'vdir', 'cp', 'O1', 'O3', 0.9151515151515152, 0.5254795551300049]
['BO', 28, 'CO', 163, 'ruby', 'tsort', 'O0', 'O1', 0.9985078170041035, 5.414687633514404]
['UO', 76, 'CO', 216, 'addr2line', 'dir', 'O0', 'O2', 0.9904887714663144, 4.566481113433838]
['BO', 54, 'CO', 363, 'lua', 'realpath', 'O3', 'O0', 0.9809874271695799, 0.9177567958831787]
['CO', 197, 'UO', 86, 'nl', 'xargs', 'O1', 'O0', 0.9444444444444444, 0.19208431243896484]
['UO', 53, 'CO', 11, 'gprof', 'groups', 'O3', 'O3', 0.9959620432061377, 1.2856428623199463]
['CO', 359, 'BO', 1, 'numfmt', 'ssh', 'O0', 'O2', 0.9735594194568185, 2.352977752685547]
['CO', 264, 'UO', 50, 'cut', 'strings', 'O2', 'O3', 0.9766004415011037, 0.988215446472168]
['UO', 87, 'CO', 381, 'find', 'who', 'O0', 'O0', 0.9922680412371134, 0.9037790298461914]
['BO', 36, 'CO', 84, 'cluster', 'vdir', 'O2', 'O3', 0.9548486403283736, 0.8366377353668213]
['UO', 78, 'CO', 313, 'elfedit', 'touch', 'O0', 'O0', 0.9566326530612245, 0.17145419120788574]
['BO', 3, 'CO', 357, 'openssl', 'split', 'O1', 'O0', 0.9954397394136808, 4.930918455123901]
['BO', 66, 'CO', 354, 'svn', 'sum', 'O2', 'O0', 0.9857199523998413, 0.8315138816833496]
['UO', 15, 'CO', 356, 'elfedit', 'seq', 'O1', 'O0', 0.9726962457337884, 0.11069226264953613]
['BO', 75, 'CO', 207, 'gvmap', 'ln', 'O1', 'O1', 0.9382284382284383, 0.595590353012085]
['CO', 39, 'BO', 6, 'paste', 'codeblocks', 'O3', 'O0', 0.9964305326743548, 7.201819896697998]
['CO', 212, 'BO', 23, 'test', 'git', 'O2', 'O2', 0.9932435358828879, 4.530880689620972]
['BO', 14, 'CO', 390, 'cmp', 'chcon', 'O0', 'O0', 0.9116719242902208, 0.19656085968017578]
['CO', 408, 'UO', 29, 'fold', 'as', 'O0', 'O2', 0.9786067656103757, 2.328406810760498]
['UO', 50, 'CO', 289, 'strings', 'cat', 'O3', 'O2', 0.995546648853262, 0.7569856643676758]
['CO', 329, 'UO', 87, 'stdbuf', 'find', 'O0', 'O0', 0.9745264532984977, 0.9323902130126953]
['UO', 40, 'CO', 111, 'objdump', 'fmt', 'O2', 'O1', 0.9970108695652173, 1.5963735580444336]
['UO', 15, 'BO', 9, 'elfedit', 'git', 'O1', 'O0', 0.9897134459955915, 4.740581274032593]
['UO', 31, 'CO', 343, 'c++filt', 'date', 'O2', 'O0', 0.9879717959352966, 1.8610272407531738]
['BO', 10, 'CO', 377, 'openssl', 'false', 'O3', 'O0', 0.9984415006122677, 2.206131935119629]
['CO', 186, 'BO', 56, 'shuf', 'libvlc.so.12.0.0', 'O1', 'O3', 0.9799818016378526, 0.8388998508453369]
['CO', 400, 'BO', 77, 'shred', 'libSDL2-2.0.so.0.16.0', 'O0', 'O3', 0.9734630694383016, 4.372211456298828]
['CO', 141, 'UO', 76, 'truncate', 'addr2line', 'O1', 'O0', 0.9880427046263345, 1.6398611068725586]
['CO', 38, 'UO', 29, 'sha1sum', 'as', 'O3', 'O2', 0.9754830113257829, 1.8205108642578125]
['CO', 247, 'BO', 22, 'paste', 'perl', 'O2', 'O0', 0.9953491649637094, 3.1571812629699707]
['CO', 47, 'BO', 71, 'numfmt', 'libSDL2-2.0.so.0.16.0', 'O3', 'O0', 0.9873803764854349, 3.5139100551605225]
['BO', 33, 'CO', 108, 'sort', 'test', 'O2', 'O1', 0.9438528557599225, 0.1907026767730713]
['BO', 41, 'CO', 83, 'libSDL2-2.0.so.0.16.0', 'csplit', 'O2', 'O3', 0.9950902172578864, 2.4263505935668945]
['BO', 68, 'CO', 4, 'git', 'test', 'O3', 'O3', 0.9991357331143857, 4.717493057250977]
['CO', 355, 'UO', 35, 'chroot', 'gprof', 'O0', 'O2', 0.9704840613931524, 1.460054874420166]
['CO', 388, 'BO', 0, 'md5sum', 'codeblocks', 'O0', 'O1', 0.9919539518474965, 5.217928886413574]
['BO', 3, 'CO', 140, 'openssl', 'pinky', 'O1', 'O1', 0.9968926867162358, 2.792020320892334]
['BO', 46, 'CO', 72, 'ruby', 'head', 'O3', 'O3', 0.9993879840875862, 6.430966377258301]
['UO', 26, 'CO', 387, 'nm', 'mv', 'O2', 'O0', 0.9770394851278483, 4.665593862533569]
['CO', 232, 'UO', 13, 'tee', 'addr2line', 'O2', 'O1', 0.9761306532663316, 0.9919562339782715]
['BO', 60, 'CO', 241, 'openssl', 'chown', 'O0', 'O2', 0.9946860854162567, 4.443463087081909]
['BO', 76, 'CO', 306, 'openssl', 'sleep', 'O2', 'O2', 0.9979919678714859, 1.8507261276245117]
['CO', 10, 'BO', 10, 'users', 'openssl', 'O3', 'O3', 0.994468414647638, 2.9614498615264893]
['CO', 116, 'UO', 25, 'ptx', 'sdiff', 'O1', 'O2', 0.9052369077306733, 0.13926100730895996]
['BO', 69, 'CO', 189, 'cmp', '[', 'O3', 'O1', 0.8855218855218855, 0.08654165267944336]
['CO', 79, 'UO', 3, 'link', 'nm', 'O3', 'O1', 0.9810971851243065, 0.9572291374206543]
['UO', 40, 'CO', 311, 'objdump', 'ln', 'O2', 'O2', 0.9928919310254047, 2.8741583824157715]
['CO', 29, 'BO', 19, 'nproc', 'libvlccore.so.9.0.0', 'O3', 'O1', 0.9938337026688505, 2.5629806518554688]
['CO', 87, 'UO', 63, 'id', 'cmp', 'O3', 'O3', 0.9140893470790378, 0.07723832130432129]
['CO', 159, 'BO', 41, 'cp', 'libSDL2-2.0.so.0.16.0', 'O1', 'O2', 0.9735332006089706, 6.771610736846924]
['CO', 114, 'BO', 83, 'users', 'lua', 'O1', 'O2', 0.9602649006622517, 0.6205589771270752]
['CO', 329, 'BO', 17, 'stdbuf', 'codeblocks', 'O0', 'O2', 0.9902239821804232, 5.843130111694336]
['CO', 68, 'BO', 19, 'yes', 'libvlccore.so.9.0.0', 'O3', 'O1', 0.9918926744522729, 2.4255638122558594]
['UO', 63, 'CO', 59, 'cmp', 'tsort', 'O3', 'O3', 0.9087719298245613, 0.07277560234069824]
['UO', 51, 'CO', 345, 'objcopy', 'chown', 'O3', 'O0', 0.9898322318251144, 2.417649507522583]
['CO', 184, 'BO', 15, 'uname', 'diff', 'O1', 'O0', 0.9201915403032721, 0.22785520553588867]
['CO', 325, 'UO', 49, 'printenv', 'c++filt', 'O0', 'O3', 0.9763075547608404, 0.9248383045196533]
['CO', 381, 'BO', 16, 'who', 'make', 'O0', 'O0', 0.9659540775930324, 0.7103416919708252]
