['CO', 202, 'UO', 30, 'sleep', 'ranlib', 'O1', 'O2', 0.9762635563740536, 1.9708154201507568]
['BO', 18, 'CO', 182, 'libvlc.so.12.0.0', 'chcon', 'O1', 'O1', 0.9864253393665159, 1.0002765655517578]
['BO', 76, 'CO', 383, 'openssl', 'readlink', 'O2', 'O0', 0.9962682471737461, 2.9899654388427734]
['BO', 68, 'CO', 401, 'git', 'pathchk', 'O3', 'O0', 0.999480317006626, 3.8504538536071777]
['UO', 69, 'CO', 171, 'as', 'nohup', 'O0', 'O1', 0.9958901550532412, 2.2062530517578125]
['BO', 69, 'CO', 82, 'cmp', 'shuf', 'O3', 'O3', 0.8959537572254335, 0.10378575325012207]
['CO', 391, 'BO', 58, 'link', 'svn', 'O0', 'O1', 0.9817956143980141, 0.6107974052429199]
['CO', 354, 'UO', 12, 'sum', 'gprof', 'O0', 'O1', 0.9701492537313433, 1.437424898147583]
['BO', 61, 'CO', 144, 'git', 'sync', 'O1', 'O1', 0.998959236773634, 3.7432868480682373]
['UO', 17, 'CO', 368, 'objdump', 'cut', 'O1', 'O0', 0.9950372208436724, 1.7718939781188965]
['UO', 70, 'CO', 35, 'ranlib', 'base32', 'O0', 'O3', 0.9973067600323189, 1.532494306564331]
['CO', 352, 'UO', 73, 'sync', 'objcopy', 'O0', 'O0', 0.9912166172106824, 2.029993772506714]
['BO', 2, 'CO', 48, 'perl', 'ls', 'O1', 'O3', 0.9966770048737262, 9.871808290481567]
['CO', 351, 'UO', 5, 'paste', 'readelf', 'O0', 'O1', 0.9603680113234253, 0.673290491104126]
['CO', 121, 'BO', 80, 'stdbuf', 'ssh', 'O1', 'O3', 0.9818181818181818, 1.6061294078826904]
['BO', 30, 'CO', 3, 'libvlccore.so.9.0.0', 'unlink', 'O2', 'O3', 0.9990427874030823, 1.9297587871551514]
['UO', 26, 'CO', 194, 'nm', 'tr', 'O2', 'O1', 0.9932688262515776, 1.1436095237731934]
['UO', 21, 'CO', 137, 'sdiff', 'chown', 'O1', 'O1', 0.9134502923976608, 0.17209935188293457]
['CO', 249, 'UO', 10, 'echo', 'objcopy', 'O2', 'O1', 0.9842271293375394, 0.892770528793335]
