['BO', 31, 'CO', 199, 'bash', 'sha224sum', 'O2', 'O1', 0.9973669362422418, 4.543176174163818]
['CO', 274, 'UO', 57, 'runcon', 'size', 'O2', 'O3', 0.9848552338530067, 1.3502864837646484]
['BO', 56, 'UO', 70, 'libvlc.so.12.0.0', 'ranlib', 'O3', 'O0', 0.9722997877806322, 12.324032545089722]
['UO', 45, 'CO', 167, 'strip', 'logname', 'O3', 'O1', 0.9938782859200577, 0.9946193695068359]
['BO', 21, 'CO', 47, 'cp', 'numfmt', 'O1', 'O3', 0.9492119089316988, 0.22145605087280273]
['CO', 295, 'UO', 63, 'id', 'cmp', 'O2', 'O3', 0.8977272727272727, 0.06714367866516113]
['UO', 53, 'BO', 37, 'gprof', 'gvmap', 'O3', 'O2', 0.9836317135549872, 3.8897011280059814]
['BO', 46, 'CO', 329, 'ruby', 'stdbuf', 'O3', 'O0', 0.9993876509610478, 6.569118022918701]
['CO', 86, 'BO', 63, 'timeout', 'cluster', 'O3', 'O0', 0.9683481701285855, 0.5339701175689697]
['CO', 387, 'BO', 61, 'mv', 'git', 'O0', 'O1', 0.9762102122015915, 20.924437284469604]
['CO', 140, 'UO', 71, 'pinky', 'c++filt', 'O1', 'O0', 0.9917496443812234, 2.15732741355896]
['CO', 297, 'BO', 12, 'pathchk', 'libgeany.so.0.0.0', 'O2', 'O0', 0.9974708171206226, 4.964223146438599]
['UO', 79, 'BO', 17, 'size', 'codeblocks', 'O0', 'O2', 0.9807031456515992, 94.9700722694397]
['CO', 162, 'BO', 68, 'df', 'git', 'O1', 'O3', 0.9851294761131527, 10.951560974121094]
['CO', 58, 'UO', 74, 'df', 'ld', 'O3', 'O0', 0.9890825512353956, 5.108449459075928]
['CO', 103, 'BO', 66, 'ln', 'svn', 'O3', 'O2', 0.9769701331414178, 1.3919103145599365]
['BO', 9, 'UO', 54, 'git', 'addr2line', 'O0', 'O3', 0.9953625322046374, 65.10770153999329]
['BO', 57, 'CO', 81, 'libvlccore.so.9.0.0', 'cat', 'O3', 'O3', 0.9988649262202043, 2.3086376190185547]
['BO', 22, 'UO', 23, 'perl', 'cmp', 'O0', 'O2', 0.9990196078431373, 3.2086570262908936]
['UO', 62, 'CO', 356, 'diff3', 'seq', 'O3', 'O0', 0.9154929577464789, 0.1188194751739502]
['UO', 34, 'CO', 305, 'ld', 'uniq', 'O2', 'O2', 0.9969057665260197, 1.518118143081665]
['CO', 341, 'BO', 67, 'nproc', 'libSDL2-2.0.so.0.16.0', 'O0', 'O1', 0.9727807748896518, 2.2965307235717773]
['UO', 79, 'CO', 207, 'size', 'ln', 'O0', 'O1', 0.9921184943606468, 3.1952176094055176]
['CO', 151, 'BO', 16, 'numfmt', 'make', 'O1', 'O0', 0.9703644373247897, 0.6610915660858154]
['CO', 13, 'BO', 13, 'printenv', 'ruby', 'O3', 'O1', 0.992424759434928, 4.55888032913208]
['UO', 72, 'CO', 394, 'strings', 'shuf', 'O0', 'O0', 0.9978040076859731, 3.132373809814453]
['CO', 247, 'BO', 20, 'paste', 'sort', 'O2', 'O1', 0.916919959473151, 0.15296578407287598]
['CO', 86, 'UO', 55, 'timeout', 'ar', 'O3', 'O3', 0.9764658145668492, 1.551973819732666]
['UO', 58, 'CO', 87, 'objdump', 'id', 'O3', 'O3', 0.9975967957276368, 2.4107563495635986]
['UO', 57, 'CO', 175, 'size', 'readlink', 'O3', 'O1', 0.9891751461355272, 1.1225364208221436]
['CO', 86, 'UO', 22, 'timeout', 'diff3', 'O3', 'O2', 0.9023668639053255, 0.10469365119934082]
['BO', 69, 'UO', 74, 'cmp', 'ld', 'O3', 'O0', 0.9944789510006902, 3.213482141494751]
['BO', 64, 'CO', 371, 'dot', 'tsort', 'O0', 'O0', 0.9772079772079773, 0.04317450523376465]
['BO', 20, 'CO', 10, 'sort', 'users', 'O1', 'O3', 0.9657794676806084, 0.1701507568359375]
['CO', 306, 'BO', 49, 'sleep', 'svn', 'O2', 'O0', 0.9878603945371776, 0.5871119499206543]
['CO', 143, 'UO', 53, 'paste', 'gprof', 'O1', 'O3', 0.9809253246753247, 1.0752699375152588]
['BO', 26, 'CO', 386, 'gvmap', 'unexpand', 'O3', 'O0', 0.9618008185538881, 0.3547525405883789]
['CO', 212, 'BO', 44, 'test', 'cmp', 'O2', 'O2', 0.9161904761904762, 0.06512308120727539]
['CO', 4, 'UO', 9, 'test', 'strings', 'O3', 'O1', 0.9751295336787564, 1.1898939609527588]
['BO', 76, 'CO', 229, 'openssl', 'mktemp', 'O2', 'O2', 0.9964664310954063, 2.795353651046753]
['UO', 72, 'CO', 309, 'strings', 'rmdir', 'O0', 'O2', 0.996575831074333, 2.2606630325317383]
['CO', 256, 'BO', 70, 'ls', 'diff', 'O2', 'O3', 0.9266272189349113, 0.6165390014648438]
['CO', 75, 'UO', 77, 'mv', 'ar', 'O3', 'O0', 0.9800221975582686, 6.089216232299805]
['CO', 14, 'UO', 55, 'stty', 'ar', 'O3', 'O3', 0.9705823090872456, 1.3847503662109375]
['UO', 62, 'CO', 321, 'diff3', 'du', 'O3', 'O0', 0.9318541996830427, 0.3256521224975586]
['BO', 53, 'CO', 70, 'bash', 'b2sum', 'O0', 'O3', 0.997078870496592, 3.855468511581421]
['CO', 164, 'BO', 50, 'base64', 'perl', 'O1', 'O2', 0.9887736908142376, 2.7940189838409424]
['CO', 3, 'BO', 10, 'unlink', 'openssl', 'O3', 'O3', 0.9915630550621669, 2.507511854171753]
['CO', 405, 'UO', 46, 'nl', 'readelf', 'O0', 'O3', 0.968421052631579, 0.6994469165802002]
['UO', 61, 'CO', 45, 'find', 'split', 'O3', 'O3', 0.9821138211382113, 0.7399144172668457]
['BO', 28, 'CO', 52, 'ruby', 'sha256sum', 'O0', 'O3', 0.9994581781239418, 6.108114719390869]
['UO', 71, 'CO', 325, 'c++filt', 'printenv', 'O0', 'O0', 0.9985652797704447, 1.3299813270568848]
['UO', 60, 'CO', 178, 'xargs', 'unexpand', 'O3', 'O1', 0.9491298527443106, 0.14661478996276855]
['UO', 20, 'CO', 91, 'diff', 'comm', 'O1', 'O3', 0.9750208159866778, 0.21642112731933594]
['BO', 5, 'CO', 161, 'libgeany.so.0.0.0', 'od', 'O1', 'O1', 0.9990923530746539, 8.472613334655762]
['BO', 26, 'CO', 143, 'gvmap', 'paste', 'O3', 'O1', 0.9759377211606511, 0.2843513488769531]
['CO', 371, 'BO', 42, 'tsort', 'cmp', 'O0', 'O1', 0.9222614840989399, 0.08167695999145508]
