['CO', 221, 'UO', 12, 'printenv', 'gprof', 'O2', 'O1', 0.9850098619329388, 1.7104146480560303]
['UO', 80, 'CO', 297, 'objdump', 'pathchk', 'O0', 'O2', 0.9981213601352621, 3.432677984237671]
['UO', 23, 'CO', 324, 'cmp', 'ptx', 'O2', 'O0', 0.900497512437811, 0.14718198776245117]
['UO', 75, 'CO', 214, 'gprof', 'mkdir', 'O0', 'O2', 0.9962576851109329, 1.9635846614837646]
['CO', 67, 'BO', 64, 'nohup', 'dot', 'O3', 'O0', 1.0, 0.03302359580993652]
['UO', 28, 'CO', 97, 'readelf', 'uniq', 'O2', 'O3', 0.9936395759717315, 0.6864099502563477]
['BO', 30, 'CO', 319, 'libvlccore.so.9.0.0', 'fmt', 'O2', 'O0', 0.9979067554709801, 2.7628977298736572]
['UO', 9, 'CO', 310, 'strings', 'mknod', 'O1', 'O2', 0.993649449618967, 0.8071608543395996]
['UO', 47, 'BO', 25, 'as', 'dot', 'O3', 'O3', 0.998610918183081, 0.45995044708251953]
['BO', 61, 'CO', 131, 'git', 'wc', 'O1', 'O1', 0.9987041596475315, 5.11565089225769]
['CO', 114, 'UO', 20, 'users', 'diff', 'O1', 'O1', 0.9096545615589017, 0.19568181037902832]
['CO', 281, 'UO', 30, 'hostid', 'ranlib', 'O2', 'O2', 0.982637453493179, 0.8017921447753906]
['CO', 336, 'UO', 25, 'tee', 'sdiff', 'O0', 'O2', 0.8929663608562691, 0.10965728759765625]
['CO', 367, 'BO', 80, 'cp', 'ssh', 'O0', 'O3', 0.9625545011541421, 6.817605018615723]
['UO', 70, 'CO', 251, 'ranlib', 'chroot', 'O0', 'O2', 0.9964836353800378, 1.646615982055664]
['CO', 160, 'BO', 30, 'cut', 'libvlccore.so.9.0.0', 'O1', 'O2', 0.9860700314855453, 2.7545952796936035]
['BO', 39, 'CO', 216, 'codeblocks', 'dir', 'O3', 'O2', 0.996325708190115, 11.401259660720825]
['CO', 205, 'BO', 66, 'rmdir', 'svn', 'O1', 'O2', 0.9812168231931401, 0.6894326210021973]
['UO', 70, 'CO', 168, 'ranlib', 'tty', 'O0', 'O1', 0.9953741496598639, 1.3949263095855713]
['CO', 157, 'BO', 39, 'chmod', 'codeblocks', 'O1', 'O3', 0.990559186637618, 7.5381083488464355]
['UO', 54, 'BO', 18, 'addr2line', 'libvlc.so.12.0.0', 'O3', 'O1', 0.9854473292541757, 5.954620122909546]
['CO', 397, 'BO', 33, '[', 'sort', 'O0', 'O2', 0.9258572752548656, 0.2420055866241455]
['CO', 227, 'BO', 76, 'dd', 'openssl', 'O2', 'O2', 0.9895912392930717, 5.249691009521484]
['BO', 30, 'CO', 114, 'libvlccore.so.9.0.0', 'users', 'O2', 'O1', 0.997893527384144, 2.1782772541046143]
['CO', 315, 'UO', 40, 'unlink', 'objdump', 'O0', 'O2', 0.9825232113599126, 1.5681962966918945]
['UO', 40, 'BO', 4, 'objdump', 'libgeany.so.0.0.0', 'O2', 'O2', 0.980208740638253, 157.59464073181152]
['CO', 386, 'BO', 56, 'unexpand', 'libvlc.so.12.0.0', 'O0', 'O3', 0.9846669861044561, 0.6681835651397705]
['UO', 25, 'CO', 285, 'sdiff', 'env', 'O2', 'O2', 0.9393939393939394, 0.06804442405700684]
['UO', 70, 'CO', 336, 'ranlib', 'tee', 'O0', 'O0', 0.9983853606027987, 1.7702233791351318]
['BO', 46, 'CO', 295, 'ruby', 'id', 'O3', 'O2', 0.9994545020626641, 6.31474757194519]
['BO', 2, 'CO', 140, 'perl', 'pinky', 'O1', 'O1', 0.9974812525044364, 3.612194299697876]
['BO', 15, 'CO', 98, 'diff', 'sleep', 'O0', 'O3', 0.9735819735819736, 0.22526836395263672]
['CO', 219, 'BO', 50, 'groups', 'perl', 'O2', 'O2', 0.991121123774185, 2.363797903060913]
['CO', 27, 'BO', 59, 'wc', 'libgeany.so.0.0.0', 'O3', 'O3', 0.9936001176989848, 10.481315851211548]
['UO', 47, 'CO', 144, 'as', 'sync', 'O3', 'O1', 0.9956391387298992, 1.3699371814727783]
['BO', 68, 'CO', 274, 'git', 'runcon', 'O3', 'O2', 0.9991306237774397, 2.7960448265075684]
['BO', 43, 'UO', 26, 'diff', 'nm', 'O1', 'O2', 0.956813104988831, 3.4177064895629883]
['UO', 63, 'CO', 223, 'cmp', 'join', 'O3', 'O2', 0.9370629370629371, 0.07796525955200195]
['UO', 16, 'CO', 133, 'size', 'nproc', 'O1', 'O1', 0.9916405433646813, 1.0012643337249756]
['CO', 339, 'BO', 51, 'wc', 'lua', 'O0', 'O1', 0.9508670520231214, 1.0181427001953125]
['UO', 14, 'BO', 38, 'ar', 'acyclic', 'O1', 'O2', 0.9975674032029191, 0.3827521800994873]
['CO', 362, 'UO', 49, 'dircolors', 'c++filt', 'O0', 'O3', 0.9731514084507042, 1.191927194595337]
['BO', 38, 'CO', 35, 'acyclic', 'base32', 'O2', 'O3', 0.9888579387186629, 0.04613971710205078]
['UO', 29, 'CO', 276, 'as', 'yes', 'O2', 'O2', 0.9970201814980361, 1.0830540657043457]
['CO', 367, 'BO', 60, 'cp', 'openssl', 'O0', 'O0', 0.988147337709701, 14.895044565200806]
['CO', 73, 'UO', 67, 'hostid', 'strip', 'O3', 'O0', 0.9931050879695673, 1.8899078369140625]
['BO', 76, 'CO', 189, 'openssl', '[', 'O2', 'O1', 0.9964811963932263, 2.9668524265289307]
['BO', 35, 'CO', 329, 'make', 'stdbuf', 'O3', 'O0', 0.9827064418504107, 0.5746250152587891]
['CO', 203, 'BO', 72, 'sort', 'make', 'O1', 'O2', 0.9421015010721945, 1.3365356922149658]
['CO', 242, 'BO', 68, 'tail', 'git', 'O2', 'O3', 0.9896876208481932, 8.42081594467163]
['CO', 363, 'BO', 54, 'realpath', 'lua', 'O0', 'O3', 0.9589083103342533, 0.8865303993225098]
['BO', 65, 'UO', 13, 'gvmap', 'addr2line', 'O0', 'O1', 0.9513590844062947, 6.305186748504639]
['BO', 69, 'CO', 108, 'cmp', 'test', 'O3', 'O1', 0.8986013986013986, 0.08185100555419922]
['CO', 341, 'BO', 7, 'nproc', 'sort', 'O0', 'O0', 0.9280125195618153, 0.2537569999694824]
['UO', 6, 'CO', 223, 'as', 'join', 'O1', 'O2', 0.9948493432912696, 1.8051536083221436]
['BO', 57, 'UO', 67, 'libvlccore.so.9.0.0', 'strip', 'O3', 'O0', 0.9839974049845921, 69.79320192337036]
['CO', 212, 'UO', 2, 'test', 'find', 'O2', 'O1', 0.9581414817915446, 0.4921567440032959]
['CO', 351, 'UO', 57, 'paste', 'size', 'O0', 'O3', 0.9739187133231906, 1.1222362518310547]
['UO', 25, 'CO', 215, 'sdiff', 'fmt', 'O2', 'O2', 0.9459459459459459, 0.0774240493774414]
['UO', 35, 'BO', 59, 'gprof', 'libgeany.so.0.0.0', 'O2', 'O3', 0.9782416192283365, 119.05522680282593]
['UO', 70, 'CO', 52, 'ranlib', 'sha256sum', 'O0', 'O3', 0.9983881799865681, 1.8081791400909424]
['UO', 26, 'CO', 335, 'nm', 'pr', 'O2', 'O0', 0.98714859437751, 1.978214979171753]
['BO', 67, 'CO', 195, 'libSDL2-2.0.so.0.16.0', 'comm', 'O1', 'O1', 0.9924103317419513, 2.224341630935669]
['CO', 32, 'BO', 15, 'expr', 'diff', 'O3', 'O0', 0.9298998569384835, 0.3338906764984131]
['CO', 27, 'UO', 15, 'wc', 'elfedit', 'O3', 'O1', 0.9617224880382775, 0.16330218315124512]
['UO', 68, 'CO', 104, 'readelf', 'sha384sum', 'O0', 'O1', 0.990666320974851, 1.2363028526306152]
['BO', 65, 'UO', 25, 'gvmap', 'sdiff', 'O0', 'O2', 0.9876777251184834, 0.6073708534240723]
['CO', 120, 'BO', 15, 'dirname', 'diff', 'O1', 'O0', 0.9262229350441058, 0.22372913360595703]
['CO', 192, 'BO', 8, 'shred', 'cp', 'O1', 'O0', 0.9285281647486372, 0.44575071334838867]
['BO', 78, 'CO', 80, 'ssh', 'uname', 'O0', 'O3', 0.9967016138532219, 1.5668344497680664]
['CO', 216, 'BO', 12, 'dir', 'libgeany.so.0.0.0', 'O2', 'O0', 0.9911111111111112, 18.603002786636353]
['CO', 292, 'BO', 52, 'vdir', 'svn', 'O2', 'O3', 0.9888121092464627, 1.8923399448394775]
['CO', 153, 'UO', 45, 'nice', 'strip', 'O1', 'O3', 0.9770032339202299, 1.0530972480773926]
['UO', 19, 'BO', 25, 'cmp', 'dot', 'O1', 'O3', 1.0, 0.03599071502685547]
