['CO', 292, 'BO', 1, 'vdir', 'ssh', 'O2', 'O2', 0.9665524331734064, 7.949152708053589]
['CO', 95, 'UO', 53, 'sha224sum', 'gprof', 'O3', 'O3', 0.9679230152365678, 2.337481737136841]
['CO', 208, 'UO', 65, 'sha384sum', 'sdiff', 'O2', 'O3', 0.9077901430842608, 0.17017388343811035]
['UO', 32, 'CO', 188, 'strings', 'vdir', 'O2', 'O1', 0.9837712519319938, 5.552135705947876]
['UO', 38, 'CO', 361, 'elfedit', 'nice', 'O2', 'O0', 0.9769673704414588, 0.16707277297973633]
['CO', 206, 'BO', 27, 'mknod', 'perl', 'O1', 'O3', 0.9906121399176955, 2.961597442626953]
['UO', 14, 'CO', 127, 'ar', 'pr', 'O1', 'O1', 0.9886428165814878, 1.9186384677886963]
['BO', 11, 'CO', 34, 'ssh', 'tail', 'O1', 'O3', 0.9934407528874947, 2.459528923034668]
['BO', 7, 'CO', 332, 'sort', 'mkfifo', 'O0', 'O0', 0.9621026894865525, 0.5388174057006836]
['BO', 33, 'CO', 288, 'sort', 'uname', 'O2', 'O2', 0.9759562841530055, 0.10915684700012207]
['CO', 28, 'BO', 3, 'factor', 'openssl', 'O3', 'O1', 0.9923480542195016, 3.858163595199585]
['BO', 14, 'CO', 333, 'cmp', 'mktemp', 'O0', 'O0', 0.9350073855243722, 0.1169745922088623]
['CO', 360, 'BO', 72, 'ls', 'make', 'O0', 'O2', 0.9527813712807245, 1.8553216457366943]
['BO', 67, 'CO', 136, 'libSDL2-2.0.so.0.16.0', 'expr', 'O1', 'O1', 0.9922396022796168, 2.7260313034057617]
['CO', 374, 'UO', 74, 'printf', 'ld', 'O0', 'O0', 0.9901594174375123, 3.265354633331299]
['CO', 236, 'BO', 0, 'factor', 'codeblocks', 'O2', 'O1', 0.9928399481513487, 5.286997556686401]
['CO', 267, 'UO', 20, 'tsort', 'diff', 'O2', 'O1', 0.9213583556747096, 0.18724942207336426]
['BO', 74, 'UO', 2, 'dot', 'find', 'O1', 'O1', 0.9882935614588023, 0.20572924613952637]
['BO', 80, 'CO', 367, 'ssh', 'cp', 'O3', 'O0', 0.9838420107719928, 6.440062046051025]
['CO', 383, 'BO', 83, 'readlink', 'lua', 'O0', 'O2', 0.944937289691037, 1.6995007991790771]
['BO', 70, 'CO', 233, 'diff', 'chgrp', 'O3', 'O2', 0.9674556213017751, 0.36795639991760254]
['CO', 189, 'UO', 62, '[', 'diff3', 'O1', 'O3', 0.9333333333333333, 0.11413431167602539]
['CO', 189, 'UO', 32, '[', 'strings', 'O1', 'O2', 0.9700278312995076, 1.2764406204223633]
['UO', 80, 'CO', 301, 'objdump', 'nl', 'O0', 'O2', 0.9977540707467715, 2.2038092613220215]
['BO', 50, 'CO', 276, 'perl', 'yes', 'O2', 'O2', 0.9985390796201608, 1.950730562210083]
['BO', 29, 'CO', 125, 'libvlc.so.12.0.0', 'mktemp', 'O2', 'O1', 0.989010989010989, 0.597557544708252]
['BO', 74, 'CO', 48, 'dot', 'ls', 'O1', 'O3', 0.99140708915145, 0.09452605247497559]
['UO', 78, 'CO', 281, 'elfedit', 'hostid', 'O0', 'O2', 0.9829787234042553, 0.06579208374023438]
['BO', 41, 'CO', 334, 'libSDL2-2.0.so.0.16.0', 'pwd', 'O2', 'O0', 0.9950130906370777, 1.997157096862793]
['CO', 65, 'UO', 25, 'false', 'sdiff', 'O3', 'O2', 0.8904109589041096, 0.07758355140686035]
['BO', 55, 'CO', 334, 'make', 'pwd', 'O1', 'O0', 0.9863013698630136, 0.5048530101776123]
['CO', 18, 'UO', 20, 'uptime', 'diff', 'O3', 'O1', 0.8942229454841335, 0.24868440628051758]
['CO', 50, 'UO', 69, 'dircolors', 'as', 'O3', 'O0', 0.992936146482015, 3.386754274368286]
['CO', 287, 'UO', 31, 'link', 'c++filt', 'O2', 'O2', 0.9817331254176876, 0.765676736831665]
['UO', 10, 'CO', 175, 'objcopy', 'readlink', 'O1', 'O1', 0.9924554183813443, 1.4307451248168945]
['UO', 15, 'BO', 17, 'elfedit', 'codeblocks', 'O1', 'O2', 0.9847621407333994, 4.2264087200164795]
['BO', 1, 'CO', 90, 'ssh', 'tr', 'O2', 'O3', 0.9967831554320807, 1.5964703559875488]
['CO', 267, 'BO', 57, 'tsort', 'libvlccore.so.9.0.0', 'O2', 'O3', 0.9916373657702177, 2.647167444229126]
['UO', 70, 'CO', 313, 'ranlib', 'touch', 'O0', 'O0', 0.9979027395464675, 2.883450746536255]
['CO', 140, 'UO', 83, 'pinky', 'diff', 'O1', 'O0', 0.9259259259259259, 0.30211663246154785]
['CO', 380, 'BO', 55, 'yes', 'make', 'O0', 'O1', 0.9625468164794008, 0.41980791091918945]
['BO', 9, 'CO', 86, 'git', 'timeout', 'O0', 'O3', 0.9991367030690206, 5.167082786560059]
['CO', 53, 'UO', 77, 'chmod', 'ar', 'O3', 'O0', 0.9870984728804634, 2.9621620178222656]
['CO', 261, 'BO', 0, 'chmod', 'codeblocks', 'O2', 'O1', 0.9901380670611439, 5.661811590194702]
['CO', 183, 'UO', 84, 'link', 'sdiff', 'O1', 'O0', 0.9106317411402157, 0.09936141967773438]
['UO', 36, 'CO', 239, 'addr2line', 'date', 'O2', 'O2', 0.9937238493723849, 1.4721453189849854]
['UO', 24, 'CO', 136, 'diff', 'expr', 'O2', 'O1', 0.9654889071487264, 0.2529120445251465]
['BO', 72, 'CO', 386, 'make', 'unexpand', 'O2', 'O0', 0.98430004361099, 0.5498766899108887]
['CO', 284, 'BO', 0, 'md5sum', 'codeblocks', 'O2', 'O1', 0.9950202303143479, 3.654733180999756]
['UO', 12, 'CO', 252, 'gprof', 'seq', 'O1', 'O2', 0.9953443258971872, 1.0839171409606934]
['BO', 34, 'CO', 207, 'cp', 'ln', 'O2', 'O1', 0.9254079254079254, 0.3246498107910156]
['UO', 26, 'CO', 230, 'nm', 'pwd', 'O2', 'O2', 0.9953001495406965, 0.8736467361450195]
['BO', 72, 'CO', 290, 'make', 'shuf', 'O2', 'O2', 0.9737065309584394, 0.6303484439849854]
['CO', 219, 'UO', 0, 'groups', 'locate', 'O2', 'O1', 0.9510869565217391, 0.20033860206604004]
['CO', 283, 'BO', 37, 'mv', 'gvmap', 'O2', 'O2', 0.9588122605363985, 0.9381768703460693]
['CO', 347, 'UO', 34, 'base32', 'ld', 'O0', 'O2', 0.9761938103907016, 2.0030553340911865]
['CO', 213, 'BO', 65, 'basename', 'gvmap', 'O2', 'O0', 0.9727748691099476, 0.3279457092285156]
['UO', 22, 'CO', 246, 'diff3', 'sha1sum', 'O2', 'O2', 0.9418803418803419, 0.07693243026733398]
['BO', 34, 'UO', 26, 'cp', 'nm', 'O2', 'O2', 0.9633587786259542, 2.903362989425659]
['CO', 132, 'BO', 62, 'factor', 'bash', 'O1', 'O1', 0.9777777777777777, 3.294548511505127]
['UO', 67, 'BO', 71, 'strip', 'libSDL2-2.0.so.0.16.0', 'O0', 'O0', 0.9872075602166648, 62.84048581123352]
['CO', 129, 'BO', 25, 'chgrp', 'dot', 'O1', 'O3', 0.9924098671726755, 0.05416154861450195]
['CO', 284, 'UO', 14, 'md5sum', 'ar', 'O2', 'O1', 0.977532518722901, 1.058560848236084]
['BO', 32, 'CO', 305, 'ruby', 'uniq', 'O2', 'O2', 0.9995328376221435, 5.060043096542358]
['UO', 9, 'CO', 136, 'strings', 'expr', 'O1', 'O1', 0.9889185306792531, 1.3696269989013672]
['CO', 149, 'BO', 9, 'split', 'git', 'O1', 'O0', 0.9867332873880083, 6.334456920623779]
['BO', 71, 'CO', 337, 'libSDL2-2.0.so.0.16.0', 'chgrp', 'O0', 'O0', 0.9962878944112188, 4.586828947067261]
['UO', 71, 'CO', 161, 'c++filt', 'od', 'O0', 'O1', 0.994961511546536, 2.347130060195923]
['CO', 106, 'BO', 70, 'stat', 'diff', 'O1', 'O3', 0.9194915254237288, 0.3728964328765869]
['CO', 26, 'BO', 55, 'kill', 'make', 'O3', 'O1', 0.9483156437471159, 0.43309760093688965]
['CO', 373, 'UO', 70, 'cksum', 'ranlib', 'O0', 'O0', 0.9889114266396214, 1.9659550189971924]
['CO', 90, 'UO', 21, 'tr', 'sdiff', 'O3', 'O1', 0.9051724137931034, 0.10614228248596191]
['CO', 10, 'UO', 30, 'users', 'ranlib', 'O3', 'O2', 0.9752836304700162, 1.0879957675933838]
