['CO', 92, 'UO', 18, 'sha512sum', 'diff3', 'O3', 'O1', 0.8816738816738817, 0.20955944061279297]
['BO', 17, 'CO', 330, 'codeblocks', 'uptime', 'O2', 'O0', 0.9980233491877201, 5.349252462387085]
['CO', 390, 'BO', 72, 'chcon', 'make', 'O0', 'O2', 0.9450591377336894, 0.9613592624664307]
['CO', 241, 'UO', 30, 'chown', 'ranlib', 'O2', 'O2', 0.9656182848212541, 1.6217145919799805]
['CO', 367, 'UO', 76, 'cp', 'addr2line', 'O0', 'O0', 0.975164534955917, 6.96564507484436]
['CO', 240, 'BO', 33, 'expr', 'sort', 'O2', 'O2', 0.8723809523809524, 0.19646334648132324]
['UO', 41, 'CO', 311, 'locate', 'ln', 'O2', 'O2', 0.9678362573099415, 0.4266502857208252]
['BO', 72, 'CO', 244, 'make', 'pinky', 'O2', 'O2', 0.9821905609973286, 0.4426398277282715]
['CO', 221, 'UO', 18, 'printenv', 'diff3', 'O2', 'O1', 0.8804347826086957, 0.06611490249633789]
['UO', 11, 'CO', 223, 'ld', 'join', 'O1', 'O2', 0.9956001649938128, 1.660592794418335]
['UO', 73, 'CO', 120, 'objcopy', 'dirname', 'O0', 'O1', 0.9957076427804936, 1.3836312294006348]
['BO', 31, 'CO', 239, 'bash', 'date', 'O2', 'O2', 0.9960984672549931, 2.9257302284240723]
['UO', 17, 'CO', 131, 'objdump', 'wc', 'O1', 'O1', 0.9952898076671464, 1.814100742340088]
['BO', 14, 'CO', 30, 'cmp', 'expand', 'O0', 'O3', 0.9278688524590164, 0.08473801612854004]
['CO', 226, 'BO', 11, 'uptime', 'ssh', 'O2', 'O1', 0.9817432273262662, 1.6038048267364502]
['CO', 65, 'UO', 24, 'false', 'diff', 'O3', 'O2', 0.9172033118675254, 0.1675262451171875]
['CO', 286, 'UO', 25, 'chcon', 'sdiff', 'O2', 'O2', 0.9351620947630923, 0.14713692665100098]
['UO', 71, 'CO', 238, 'c++filt', 'expand', 'O0', 'O2', 0.9962697274031563, 1.3826007843017578]
['BO', 68, 'UO', 39, 'git', 'size', 'O3', 'O2', 0.9935408103347034, 68.55714821815491]
['UO', 43, 'CO', 193, 'find', 'pathchk', 'O2', 'O1', 0.9875996457041629, 0.43958258628845215]
