['UO', 6, 'BO', 59, 'as', 'libgeany.so.0.0.0', 'O1', 'O3', 0.9810073116024353, 187.80521821975708]
['BO', 66, 'UO', 36, 'svn', 'addr2line', 'O2', 'O2', 0.955407250113757, 9.018641948699951]
['BO', 34, 'CO', 196, 'cp', 'sha512sum', 'O2', 'O1', 0.9555555555555556, 0.1874232292175293]
['BO', 53, 'CO', 111, 'bash', 'fmt', 'O0', 'O1', 0.9957439842854804, 2.7420666217803955]
['UO', 43, 'CO', 410, 'find', 'sleep', 'O2', 'O0', 0.9868766404199475, 0.5174388885498047]
['UO', 78, 'CO', 189, 'elfedit', '[', 'O0', 'O1', 0.9479674796747968, 0.11846518516540527]
['UO', 63, 'CO', 369, 'cmp', 'od', 'O3', 'O0', 0.9191073919107392, 0.1297919750213623]
['CO', 114, 'BO', 51, 'users', 'lua', 'O1', 'O1', 0.9580083983203359, 0.6670548915863037]
['BO', 64, 'CO', 352, 'dot', 'sync', 'O0', 'O0', 0.9738562091503268, 0.03883647918701172]
['UO', 38, 'BO', 36, 'elfedit', 'cluster', 'O2', 'O2', 0.9184268026219956, 0.2742307186126709]
['BO', 25, 'CO', 234, 'dot', 'kill', 'O3', 'O2', 0.992619926199262, 0.029738187789916992]
['CO', 398, 'UO', 87, 'timeout', 'find', 'O0', 'O0', 0.9709302325581395, 1.0487585067749023]
['CO', 140, 'BO', 71, 'pinky', 'libSDL2-2.0.so.0.16.0', 'O1', 'O0', 0.9877053524112348, 3.269679069519043]
['UO', 37, 'BO', 5, 'ar', 'libgeany.so.0.0.0', 'O2', 'O1', 0.9716889033517735, 110.54809236526489]
['UO', 32, 'BO', 13, 'strings', 'ruby', 'O2', 'O1', 0.9800322831350511, 104.03338980674744]
['BO', 56, 'CO', 152, 'libvlc.so.12.0.0', 'ls', 'O3', 'O1', 0.9869931140015302, 1.517057180404663]
['CO', 209, 'UO', 22, 'touch', 'diff3', 'O2', 'O2', 0.9597315436241611, 0.1279752254486084]
['CO', 326, 'BO', 76, 'stty', 'openssl', 'O0', 'O2', 0.989943156974202, 5.040872812271118]
['UO', 5, 'CO', 33, 'readelf', 'chown', 'O1', 'O3', 0.9882237487733072, 1.0363171100616455]
['BO', 59, 'CO', 61, 'libgeany.so.0.0.0', 'cksum', 'O3', 'O3', 0.9997785569293227, 5.69461464881897]
['CO', 215, 'UO', 68, 'fmt', 'readelf', 'O2', 'O0', 0.984251968503937, 0.8024392127990723]
['CO', 345, 'BO', 34, 'chown', 'cp', 'O0', 'O2', 0.8889733840304183, 0.3756883144378662]
['BO', 42, 'CO', 136, 'cmp', 'expr', 'O1', 'O1', 0.8660287081339713, 0.09534931182861328]
['BO', 54, 'CO', 260, 'lua', 'sha256sum', 'O3', 'O2', 0.9898315856371147, 0.6421184539794922]
['UO', 2, 'CO', 102, 'find', 'mknod', 'O1', 'O3', 0.9933719966859983, 0.5139052867889404]
['BO', 22, 'CO', 362, 'perl', 'dircolors', 'O0', 'O0', 0.9991594872872452, 3.3189268112182617]
['BO', 12, 'CO', 308, 'libgeany.so.0.0.0', 'tac', 'O0', 'O2', 0.9990301149313806, 5.3089799880981445]
['BO', 80, 'UO', 61, 'ssh', 'find', 'O3', 'O3', 0.9845992299614981, 9.61909794807434]
['BO', 15, 'CO', 403, 'diff', 'comm', 'O0', 'O0', 0.9850746268656716, 0.27226924896240234]
['CO', 109, 'UO', 10, 'basename', 'objcopy', 'O1', 'O1', 0.9735790022596906, 1.1317663192749023]
['CO', 354, 'BO', 55, 'sum', 'make', 'O0', 'O1', 0.954136690647482, 0.5752015113830566]
['BO', 39, 'CO', 217, 'codeblocks', 'du', 'O3', 'O2', 0.9966658728268636, 9.770345687866211]
['UO', 17, 'CO', 381, 'objdump', 'who', 'O1', 'O0', 0.9960983222785798, 2.238642692565918]
['CO', 45, 'BO', 15, 'split', 'diff', 'O3', 'O0', 0.8924731182795699, 0.39630579948425293]
['BO', 53, 'UO', 47, 'bash', 'as', 'O0', 'O3', 0.9776858205437117, 61.279674768447876]
['CO', 68, 'UO', 21, 'yes', 'sdiff', 'O3', 'O1', 0.9019607843137255, 0.08594751358032227]
['UO', 75, 'CO', 294, 'gprof', 'timeout', 'O0', 'O2', 0.9967841350663272, 1.8568611145019531]
['CO', 168, 'UO', 49, 'tty', 'c++filt', 'O1', 'O3', 0.97847533632287, 0.8522994518280029]
['BO', 79, 'CO', 400, 'bash', 'shred', 'O3', 'O0', 0.9921349296513152, 4.345391273498535]
['CO', 370, 'BO', 52, 'df', 'svn', 'O0', 'O3', 0.9918311776718857, 1.7859961986541748]
['BO', 17, 'CO', 93, 'codeblocks', 'nl', 'O2', 'O3', 0.9987606890568844, 3.953193426132202]
['UO', 48, 'CO', 110, 'ranlib', 'mkdir', 'O3', 'O1', 0.9906598984771574, 1.3173320293426514]
['CO', 209, 'BO', 2, 'touch', 'perl', 'O2', 'O1', 0.986351228389445, 4.613993406295776]
['UO', 77, 'CO', 75, 'ar', 'mv', 'O0', 'O3', 0.9926008139104698, 5.513370513916016]
['BO', 34, 'CO', 329, 'cp', 'stdbuf', 'O2', 'O0', 0.9795539033457249, 0.21886396408081055]
['BO', 8, 'CO', 333, 'cp', 'mktemp', 'O0', 'O0', 0.9823899371069182, 0.3613126277923584]
['CO', 196, 'UO', 44, 'sha512sum', 'nm', 'O1', 'O3', 0.9721269296740995, 1.1505992412567139]
['UO', 3, 'CO', 203, 'nm', 'sort', 'O1', 'O1', 0.9837847798046803, 3.1827049255371094]
['BO', 0, 'CO', 95, 'codeblocks', 'sha224sum', 'O1', 'O3', 0.9987602281180263, 4.194232225418091]
['CO', 360, 'UO', 79, 'ls', 'size', 'O0', 'O0', 0.9775450990286363, 6.883766412734985]
['BO', 68, 'UO', 72, 'git', 'strings', 'O3', 'O0', 0.9939968297865165, 111.08156156539917]
['CO', 157, 'UO', 15, 'chmod', 'elfedit', 'O1', 'O1', 0.9687943262411347, 0.1407303810119629]
['BO', 52, 'CO', 166, 'svn', 'printf', 'O3', 'O1', 0.9929522317932654, 0.713646650314331]
['UO', 35, 'CO', 187, 'gprof', 'csplit', 'O2', 'O1', 0.9941634241245136, 1.5337333679199219]
['UO', 10, 'CO', 295, 'objcopy', 'id', 'O1', 'O2', 0.9941267921920884, 1.2214629650115967]
['CO', 240, 'UO', 5, 'expr', 'readelf', 'O2', 'O1', 0.960167714884696, 0.6659810543060303]
['CO', 365, 'UO', 41, 'chmod', 'locate', 'O0', 'O2', 0.9594496741491673, 0.4800379276275635]
['UO', 55, 'CO', 309, 'ar', 'rmdir', 'O3', 'O2', 0.9950186799501868, 0.8964333534240723]
['CO', 271, 'UO', 47, 'logname', 'as', 'O2', 'O3', 0.9876560142641613, 1.1010944843292236]
['CO', 64, 'UO', 45, 'tty', 'strip', 'O3', 'O3', 0.9835066332018645, 1.0844247341156006]
['UO', 2, 'CO', 243, 'find', 'base32', 'O1', 'O2', 0.9872827469266638, 0.45197010040283203]
['BO', 71, 'UO', 63, 'libSDL2-2.0.so.0.16.0', 'cmp', 'O0', 'O3', 0.9961900730236004, 2.6341705322265625]
['UO', 26, 'CO', 90, 'nm', 'tr', 'O2', 'O3', 0.9945618071533152, 1.1339449882507324]
['CO', 110, 'BO', 58, 'mkdir', 'svn', 'O1', 'O1', 0.9785117389574214, 0.889967679977417]
['BO', 41, 'CO', 242, 'libSDL2-2.0.so.0.16.0', 'tail', 'O2', 'O2', 0.9931431370148157, 2.7803003787994385]
['UO', 76, 'BO', 76, 'addr2line', 'openssl', 'O0', 'O2', 0.9865289627301302, 57.58386039733887]
['CO', 105, 'UO', 52, 'touch', 'ld', 'O1', 'O3', 0.9722641768501991, 2.5378482341766357]
['UO', 48, 'CO', 87, 'ranlib', 'id', 'O3', 'O3', 0.9947014469125739, 1.1582880020141602]
['CO', 176, 'UO', 69, 'head', 'as', 'O1', 'O0', 0.9871854396879933, 3.05106782913208]
['UO', 4, 'BO', 69, 'strip', 'cmp', 'O1', 'O3', 0.9945139722269843, 1.3653333187103271]
['CO', 186, 'BO', 49, 'shuf', 'svn', 'O1', 'O0', 0.978984238178634, 1.1048133373260498]
['UO', 32, 'BO', 26, 'strings', 'gvmap', 'O2', 'O3', 0.9801551506404474, 3.754953622817993]
['CO', 397, 'UO', 37, '[', 'ar', 'O0', 'O2', 0.9688436189334931, 1.477501630783081]
['CO', 103, 'BO', 29, 'ln', 'libvlc.so.12.0.0', 'O3', 'O2', 0.9797446059004844, 1.0941016674041748]
['UO', 6, 'CO', 24, 'as', 'tee', 'O1', 'O3', 0.9963982505788526, 1.8368487358093262]
['CO', 9, 'BO', 49, 'du', 'svn', 'O3', 'O0', 0.9831565814098565, 1.9640953540802002]
['UO', 20, 'CO', 290, 'diff', 'shuf', 'O1', 'O2', 0.9553072625698324, 0.28185009956359863]
['CO', 206, 'BO', 58, 'mknod', 'svn', 'O1', 'O1', 0.9752475247524752, 0.6588873863220215]
['CO', 316, 'UO', 2, 'test', 'find', 'O0', 'O1', 0.9448499594484996, 0.6966171264648438]
['CO', 349, 'BO', 3, 'truncate', 'openssl', 'O0', 'O1', 0.9917786912565271, 3.2352957725524902]
['UO', 49, 'BO', 58, 'c++filt', 'svn', 'O3', 'O1', 0.9845225197337873, 7.6482179164886475]
['UO', 51, 'BO', 63, 'objcopy', 'cluster', 'O3', 'O0', 0.9764872521246459, 7.261659145355225]
['UO', 27, 'CO', 12, 'strip', 'ptx', 'O2', 'O3', 0.9941999317639031, 1.9575750827789307]
['BO', 29, 'UO', 35, 'libvlc.so.12.0.0', 'gprof', 'O2', 'O2', 0.9650803461063041, 7.280939102172852]
['CO', 114, 'UO', 60, 'users', 'xargs', 'O1', 'O3', 0.9667590027700831, 0.1463160514831543]
['CO', 14, 'BO', 26, 'stty', 'gvmap', 'O3', 'O3', 0.943864229765013, 0.3919217586517334]
['UO', 13, 'CO', 370, 'addr2line', 'df', 'O1', 'O0', 0.9850603332694886, 2.6699984073638916]
['CO', 135, 'UO', 32, 'date', 'strings', 'O1', 'O2', 0.9649342517219787, 1.8218731880187988]
['UO', 36, 'CO', 349, 'addr2line', 'truncate', 'O2', 'O0', 0.9926818768833405, 1.0891878604888916]
['CO', 60, 'BO', 61, 'base64', 'git', 'O3', 'O1', 0.9920425550317865, 4.810081958770752]
['CO', 318, 'UO', 41, 'mkdir', 'locate', 'O0', 'O2', 0.9719208679004467, 0.6560249328613281]
['BO', 41, 'CO', 303, 'libSDL2-2.0.so.0.16.0', 'sha224sum', 'O2', 'O2', 0.9949862120832289, 1.6685476303100586]
['CO', 193, 'UO', 42, 'pathchk', 'xargs', 'O1', 'O2', 0.9710982658959537, 0.12990140914916992]
['CO', 283, 'BO', 12, 'mv', 'libgeany.so.0.0.0', 'O2', 'O0', 0.9912680155861228, 22.68308973312378]
['CO', 56, 'BO', 30, 'cut', 'libvlccore.so.9.0.0', 'O3', 'O2', 0.9893444962420321, 3.0617518424987793]
['CO', 217, 'UO', 51, 'du', 'objcopy', 'O2', 'O3', 0.9636062861869313, 3.0583765506744385]
['UO', 25, 'CO', 89, 'sdiff', 'pathchk', 'O2', 'O3', 0.94375, 0.08803629875183105]
['BO', 31, 'CO', 81, 'bash', 'cat', 'O2', 'O3', 0.9979313587212035, 2.1938040256500244]
['UO', 26, 'CO', 406, 'nm', 'rm', 'O2', 'O0', 0.9841678210963783, 2.293884038925171]
['UO', 72, 'CO', 4, 'strings', 'test', 'O0', 'O3', 0.9971807160981111, 1.7066304683685303]
['BO', 36, 'CO', 119, 'cluster', 'join', 'O2', 'O1', 0.9631467044649185, 0.3590729236602783]
['BO', 79, 'CO', 383, 'bash', 'readlink', 'O3', 'O0', 0.9936181528097855, 3.0407631397247314]
['CO', 272, 'UO', 30, 'tty', 'ranlib', 'O2', 'O2', 0.9834676586071502, 0.8002564907073975]
['BO', 3, 'UO', 47, 'openssl', 'as', 'O1', 'O3', 0.9723937980587419, 52.57802128791809]
['CO', 359, 'BO', 46, 'numfmt', 'ruby', 'O0', 'O3', 0.9882113821138211, 11.158798694610596]
['UO', 10, 'CO', 366, 'objcopy', 'true', 'O1', 'O0', 0.9923504867872045, 1.0976886749267578]
['CO', 63, 'BO', 13, 'logname', 'ruby', 'O3', 'O1', 0.992494797530106, 5.060267686843872]
['UO', 41, 'CO', 256, 'locate', 'ls', 'O2', 'O2', 0.9659367396593674, 0.6682705879211426]
['UO', 86, 'CO', 0, 'xargs', 'sha384sum', 'O0', 'O3', 0.9779735682819384, 0.19835495948791504]
['BO', 0, 'CO', 380, 'codeblocks', 'yes', 'O1', 'O0', 0.9987549025711262, 3.623134136199951]
['CO', 410, 'BO', 66, 'sleep', 'svn', 'O0', 'O2', 0.983633387888707, 0.7224447727203369]
['BO', 70, 'CO', 101, 'diff', 'rmdir', 'O3', 'O3', 0.9632107023411371, 0.21020913124084473]
['UO', 55, 'BO', 44, 'ar', 'cmp', 'O3', 'O2', 0.9938725490196079, 1.1451892852783203]
['BO', 14, 'CO', 107, 'cmp', 'unlink', 'O0', 'O1', 0.9252336448598131, 0.07504749298095703]
['CO', 222, 'BO', 18, 'stty', 'libvlc.so.12.0.0', 'O2', 'O1', 0.9781420765027322, 0.6111371517181396]
['CO', 96, 'UO', 78, 'fold', 'elfedit', 'O3', 'O0', 0.9578207381370826, 0.10531854629516602]
['BO', 31, 'CO', 299, 'bash', 'comm', 'O2', 'O2', 0.9969797074091553, 2.011352777481079]
['CO', 215, 'BO', 22, 'fmt', 'perl', 'O2', 'O0', 0.994512066418068, 3.069446086883545]
['CO', 68, 'UO', 65, 'yes', 'sdiff', 'O3', 'O3', 0.9194847020933977, 0.08694672584533691]
['CO', 22, 'UO', 64, 'pwd', 'diff', 'O3', 'O3', 0.8747913188647747, 0.2052445411682129]
['CO', 100, 'BO', 45, 'tac', 'diff', 'O3', 'O2', 0.8890756302521008, 0.22764897346496582]
['CO', 90, 'UO', 62, 'tr', 'diff3', 'O3', 'O3', 0.9059474412171508, 0.10846257209777832]
['UO', 55, 'CO', 247, 'ar', 'paste', 'O3', 'O2', 0.9945912211358435, 0.8277413845062256]
['CO', 264, 'UO', 58, 'cut', 'objdump', 'O2', 'O3', 0.984915824915825, 1.593595266342163]
['CO', 69, 'UO', 50, 'who', 'strings', 'O3', 'O3', 0.9749460043196544, 1.2955479621887207]
['UO', 17, 'CO', 68, 'objdump', 'yes', 'O1', 'O3', 0.9976215644820295, 1.3897643089294434]
['BO', 15, 'CO', 382, 'diff', 'b2sum', 'O0', 'O0', 0.9834254143646409, 0.3599669933319092]
['CO', 249, 'BO', 41, 'echo', 'libSDL2-2.0.so.0.16.0', 'O2', 'O2', 0.9843077701847633, 1.580737590789795]
['UO', 12, 'CO', 398, 'gprof', 'timeout', 'O1', 'O0', 0.9920060905976399, 1.5894649028778076]
['CO', 203, 'BO', 8, 'sort', 'cp', 'O1', 'O0', 0.9372856442920137, 0.8327231407165527]
['CO', 93, 'UO', 17, 'nl', 'objdump', 'O3', 'O1', 0.9800603436967074, 1.8608312606811523]
