['UO', 11, 'CO', 66, 'ld', 'runcon', 'O1', 'O3', 0.9980560955290197, 2.47230863571167]
['CO', 269, 'UO', 42, 'cksum', 'xargs', 'O2', 'O2', 0.9607843137254902, 0.09297895431518555]
['CO', 62, 'BO', 10, 'printf', 'openssl', 'O3', 'O3', 0.993182318011876, 2.4854912757873535]
['CO', 382, 'BO', 73, 'b2sum', 'cluster', 'O0', 'O1', 0.9393539881344759, 0.3638458251953125]
['CO', 408, 'BO', 17, 'fold', 'codeblocks', 'O0', 'O2', 0.9910669975186104, 4.318719148635864]
['CO', 408, 'BO', 21, 'fold', 'cp', 'O0', 'O1', 0.9188679245283019, 0.20734715461730957]
['CO', 323, 'UO', 24, 'groups', 'diff', 'O0', 'O2', 0.901840490797546, 0.22138547897338867]
['BO', 25, 'CO', 199, 'dot', 'sha224sum', 'O3', 'O1', 0.9821958456973294, 0.037226200103759766]
['CO', 285, 'UO', 81, 'env', 'diff3', 'O2', 'O0', 0.9034690799396682, 0.09658384323120117]
['BO', 71, 'CO', 346, 'libSDL2-2.0.so.0.16.0', 'tail', 'O0', 'O0', 0.996319018404908, 4.93667197227478]
['CO', 397, 'BO', 81, '[', 'sort', 'O0', 'O3', 0.9149291075896581, 0.24994277954101562]
['CO', 83, 'BO', 53, 'csplit', 'bash', 'O3', 'O0', 0.9893272962483829, 6.568176507949829]
['UO', 26, 'CO', 371, 'nm', 'tsort', 'O2', 'O0', 0.9894714676774058, 1.386176586151123]
['UO', 18, 'CO', 5, 'diff3', 'basename', 'O1', 'O3', 0.945859872611465, 0.07751750946044922]
['UO', 37, 'CO', 257, 'ar', 'nice', 'O2', 'O2', 0.9958762886597938, 0.7519965171813965]
['BO', 20, 'UO', 73, 'sort', 'objcopy', 'O1', 'O0', 0.9826319305277221, 5.964419364929199]
['CO', 42, 'UO', 3, 'sum', 'nm', 'O3', 'O1', 0.9668083383930378, 1.2121670246124268]
['UO', 73, 'CO', 397, 'objcopy', '[', 'O0', 'O0', 0.9983573858969846, 2.1472644805908203]
['CO', 130, 'BO', 24, 'kill', 'cluster', 'O1', 'O3', 0.945742275810098, 0.2474837303161621]
['CO', 390, 'BO', 53, 'chcon', 'bash', 'O0', 'O0', 0.9791699793289871, 6.590540885925293]
['CO', 312, 'UO', 58, 'sha384sum', 'objdump', 'O0', 'O3', 0.9792691029900332, 2.2562742233276367]
['CO', 67, 'BO', 31, 'nohup', 'bash', 'O3', 'O2', 0.9851433944522802, 2.560757637023926]
['BO', 10, 'CO', 391, 'openssl', 'link', 'O3', 'O0', 0.9982214317474433, 2.336700201034546]
['UO', 64, 'CO', 347, 'diff', 'base32', 'O3', 'O0', 0.9738562091503268, 0.23797845840454102]
['CO', 87, 'BO', 77, 'id', 'libSDL2-2.0.so.0.16.0', 'O3', 'O3', 0.9792184323469618, 2.518629550933838]
['BO', 29, 'CO', 48, 'libvlc.so.12.0.0', 'ls', 'O2', 'O3', 0.98671875, 1.3847391605377197]
['UO', 10, 'CO', 277, 'objcopy', 'who', 'O1', 'O2', 0.9927735719201651, 1.3180975914001465]
['UO', 3, 'CO', 309, 'nm', 'rmdir', 'O1', 'O2', 0.9938054924633491, 0.9081707000732422]
['UO', 19, 'CO', 291, 'cmp', 'csplit', 'O1', 'O2', 0.932475884244373, 0.09048771858215332]
['BO', 72, 'CO', 283, 'make', 'mv', 'O2', 'O2', 0.9596581196581196, 1.5253360271453857]
['UO', 66, 'CO', 224, 'nm', 'dirname', 'O0', 'O2', 0.9974676420934159, 1.1486868858337402]
['CO', 138, 'BO', 11, 'tail', 'ssh', 'O1', 'O1', 0.9702133753401117, 2.4863688945770264]
['CO', 71, 'UO', 28, 'readlink', 'readelf', 'O3', 'O2', 0.9598134194474345, 0.6413636207580566]
['CO', 292, 'UO', 6, 'vdir', 'as', 'O2', 'O1', 0.9641081605432278, 4.560497999191284]
['CO', 34, 'UO', 43, 'tail', 'find', 'O3', 'O2', 0.9645250295624753, 0.8977854251861572]
['CO', 398, 'BO', 0, 'timeout', 'codeblocks', 'O0', 'O1', 0.9913468075900859, 5.862965106964111]
['UO', 68, 'CO', 61, 'readelf', 'cksum', 'O0', 'O3', 0.9963522668056279, 0.747563362121582]
['UO', 84, 'CO', 129, 'sdiff', 'chgrp', 'O0', 'O1', 0.9050772626931567, 0.20145845413208008]
['CO', 248, 'UO', 73, 'sync', 'objcopy', 'O2', 'O0', 0.9945028680688337, 1.7482364177703857]
['UO', 55, 'CO', 304, 'ar', 'fold', 'O3', 'O2', 0.9950083194675541, 0.8337826728820801]
['CO', 372, 'UO', 50, 'base64', 'strings', 'O0', 'O3', 0.9765319426336375, 1.286423683166504]
['BO', 36, 'CO', 401, 'cluster', 'pathchk', 'O2', 'O0', 0.9594594594594594, 0.28719234466552734]
['BO', 69, 'UO', 75, 'cmp', 'gprof', 'O3', 'O0', 0.9917189795645786, 2.4192934036254883]
['BO', 57, 'CO', 261, 'libvlccore.so.9.0.0', 'chmod', 'O3', 'O2', 0.9970068281732298, 3.379765033721924]
['CO', 22, 'BO', 36, 'pwd', 'cluster', 'O3', 'O2', 0.9501831501831501, 0.288285493850708]
['CO', 45, 'BO', 64, 'split', 'dot', 'O3', 'O0', 0.9960707269155207, 0.05098462104797363]
['UO', 38, 'CO', 398, 'elfedit', 'timeout', 'O2', 'O0', 0.9807383627608347, 0.12980890274047852]
['CO', 342, 'UO', 2, 'expand', 'find', 'O0', 'O1', 0.9514003294892917, 0.6218314170837402]
['UO', 73, 'CO', 236, 'objcopy', 'factor', 'O0', 'O2', 0.9960247866245762, 2.539835214614868]
['UO', 52, 'CO', 256, 'ld', 'ls', 'O3', 'O2', 0.989259986902423, 4.105834484100342]
['CO', 359, 'BO', 4, 'numfmt', 'libgeany.so.0.0.0', 'O0', 'O2', 0.9892367906066536, 11.980318307876587]
['BO', 20, 'CO', 66, 'sort', 'runcon', 'O1', 'O3', 0.9801192842942346, 0.1399977207183838]
['UO', 66, 'CO', 339, 'nm', 'wc', 'O0', 'O0', 0.9975332328354118, 2.1977334022521973]
['CO', 393, 'BO', 42, 'cat', 'cmp', 'O0', 'O1', 0.9326241134751773, 0.08213639259338379]
['UO', 64, 'CO', 106, 'diff', 'stat', 'O3', 'O1', 0.9548022598870056, 0.388016939163208]
['CO', 163, 'BO', 32, 'tsort', 'ruby', 'O1', 'O2', 0.9904936299528577, 5.342869520187378]
['CO', 196, 'BO', 4, 'sha512sum', 'libgeany.so.0.0.0', 'O1', 'O2', 0.9931076270544573, 8.005295276641846]
['UO', 24, 'CO', 72, 'diff', 'head', 'O2', 'O3', 0.9766472060050042, 0.22323179244995117]
['UO', 83, 'CO', 374, 'diff', 'printf', 'O0', 'O0', 0.9823008849557522, 0.28388142585754395]
['CO', 12, 'BO', 17, 'ptx', 'codeblocks', 'O3', 'O2', 0.9920362656211713, 7.917205095291138]
['UO', 23, 'CO', 270, 'cmp', 'printf', 'O2', 'O2', 0.9061913696060038, 0.06903409957885742]
['UO', 22, 'CO', 88, 'diff3', 'shred', 'O2', 'O3', 0.9212792127921279, 0.14234161376953125]
['CO', 24, 'UO', 80, 'tee', 'objdump', 'O3', 'O0', 0.9931245935148193, 3.449636936187744]
['BO', 35, 'CO', 408, 'make', 'fold', 'O3', 'O0', 0.980625275209159, 0.5216407775878906]
['UO', 19, 'CO', 350, 'cmp', 'sha1sum', 'O1', 'O0', 0.9243421052631579, 0.09931349754333496]
['UO', 60, 'CO', 278, 'xargs', 'b2sum', 'O3', 'O2', 0.9539052496798975, 0.16468167304992676]
['CO', 314, 'BO', 74, 'stat', 'dot', 'O0', 'O1', 0.9940476190476191, 0.07500982284545898]
['CO', 294, 'BO', 16, 'timeout', 'make', 'O2', 'O0', 0.980327868852459, 0.5974118709564209]
['UO', 27, 'CO', 77, 'strip', 'env', 'O2', 'O3', 0.9964576691462983, 1.0926048755645752]
['CO', 395, 'BO', 30, 'csplit', 'libvlccore.so.9.0.0', 'O0', 'O2', 0.9859642556376906, 4.730345964431763]
['BO', 30, 'CO', 397, 'libvlccore.so.9.0.0', '[', 'O2', 'O0', 0.9979144942648592, 2.9999213218688965]
