['CO', 317, 'BO', 23, 'basename', 'git', 'O0', 'O2', 0.9922880291148564, 7.815431594848633]
['UO', 32, 'CO', 269, 'strings', 'cksum', 'O2', 'O2', 0.9973574102620568, 0.730626106262207]
['CO', 75, 'BO', 31, 'mv', 'bash', 'O3', 'O2', 0.9643361581920904, 7.716482162475586]
['BO', 47, 'CO', 56, 'libvlc.so.12.0.0', 'cut', 'O0', 'O3', 0.9911855442926399, 0.6388483047485352]
['BO', 6, 'UO', 60, 'codeblocks', 'xargs', 'O0', 'O3', 0.9982793751414988, 9.247698068618774]
['CO', 367, 'BO', 79, 'cp', 'bash', 'O0', 'O3', 0.9590398951421316, 10.21697211265564]
['BO', 61, 'CO', 188, 'git', 'vdir', 'O1', 'O1', 0.9968726227706872, 13.212639808654785]
['BO', 19, 'CO', 195, 'libvlccore.so.9.0.0', 'comm', 'O1', 'O1', 0.9959599846094652, 2.5267722606658936]
['UO', 46, 'CO', 127, 'readelf', 'pr', 'O3', 'O1', 0.9778894472361809, 0.939058780670166]
['BO', 0, 'CO', 407, 'codeblocks', 'sha224sum', 'O1', 'O0', 0.9982683982683983, 4.939523696899414]
['BO', 80, 'CO', 261, 'ssh', 'chmod', 'O3', 'O2', 0.9933650656281552, 2.066359519958496]
['BO', 23, 'CO', 334, 'git', 'pwd', 'O2', 'O0', 0.999481125956674, 4.745503664016724]
['UO', 42, 'BO', 41, 'xargs', 'libSDL2-2.0.so.0.16.0', 'O2', 'O2', 0.9761789013125911, 4.334197044372559]
['BO', 47, 'CO', 122, 'libvlc.so.12.0.0', 'uptime', 'O0', 'O1', 0.9903169014084507, 0.7485752105712891]
['UO', 47, 'CO', 195, 'as', 'comm', 'O3', 'O1', 0.9937745297063202, 1.6020004749298096]
['CO', 48, 'UO', 62, 'ls', 'diff3', 'O3', 'O3', 0.97639653815893, 0.27402234077453613]
['CO', 409, 'BO', 67, 'uniq', 'libSDL2-2.0.so.0.16.0', 'O0', 'O1', 0.969682270191608, 3.1233932971954346]
['CO', 405, 'BO', 38, 'nl', 'acyclic', 'O0', 'O2', 0.9844155844155844, 0.04511094093322754]
['BO', 16, 'CO', 189, 'make', '[', 'O0', 'O1', 0.9766693483507642, 0.6050317287445068]
['CO', 357, 'UO', 73, 'split', 'objcopy', 'O0', 'O0', 0.9866081736319556, 3.746328830718994]
['BO', 1, 'CO', 234, 'ssh', 'kill', 'O2', 'O2', 0.9973242158465884, 1.1737656593322754]
['CO', 168, 'UO', 13, 'tty', 'addr2line', 'O1', 'O1', 0.9734904270986745, 0.9086711406707764]
['CO', 241, 'BO', 7, 'chown', 'sort', 'O2', 'O0', 0.93346911065852, 0.41155576705932617]
['UO', 44, 'CO', 359, 'nm', 'numfmt', 'O3', 'O0', 0.9888198757763975, 1.6307134628295898]
['BO', 70, 'UO', 51, 'diff', 'objcopy', 'O3', 'O3', 0.9662366618888358, 3.994002103805542]
['CO', 300, 'BO', 14, 'sha512sum', 'cmp', 'O2', 'O0', 0.9195804195804196, 0.08151674270629883]
['BO', 12, 'CO', 325, 'libgeany.so.0.0.0', 'printenv', 'O0', 'O0', 0.9997086671522214, 4.797994375228882]
['CO', 256, 'BO', 4, 'ls', 'libgeany.so.0.0.0', 'O2', 'O2', 0.9878103166344582, 20.176894426345825]
['UO', 39, 'CO', 353, 'size', 'echo', 'O2', 'O0', 0.9917606244579358, 0.8871238231658936]
['UO', 21, 'CO', 295, 'sdiff', 'id', 'O1', 'O2', 0.9457735247208932, 0.09107494354248047]
['BO', 45, 'CO', 45, 'diff', 'split', 'O2', 'O3', 0.9726027397260274, 0.29207706451416016]
['BO', 64, 'CO', 57, 'dot', 'od', 'O0', 'O3', 0.9921722113502935, 0.06024479866027832]
['CO', 340, 'UO', 27, 'factor', 'strip', 'O0', 'O2', 0.9717124094965482, 2.726747512817383]
['CO', 6, 'BO', 12, 'mkdir', 'libgeany.so.0.0.0', 'O3', 'O0', 0.99604457093242, 9.019348621368408]
['CO', 404, 'UO', 75, 'sha512sum', 'gprof', 'O0', 'O0', 0.9867233138608603, 2.5048718452453613]
['UO', 31, 'BO', 38, 'c++filt', 'acyclic', 'O2', 'O2', 0.9968253968253968, 0.33869075775146484]
['BO', 44, 'CO', 106, 'cmp', 'stat', 'O2', 'O1', 0.9023136246786633, 0.13593077659606934]
['UO', 51, 'CO', 178, 'objcopy', 'unexpand', 'O3', 'O1', 0.992867332382311, 1.1608991622924805]
['CO', 94, 'UO', 48, 'rm', 'ranlib', 'O3', 'O3', 0.9578783151326054, 1.9938154220581055]
['CO', 21, 'BO', 73, 'mktemp', 'cluster', 'O3', 'O1', 0.9353507565337001, 0.36490917205810547]
['BO', 15, 'CO', 89, 'diff', 'pathchk', 'O0', 'O3', 0.9711465451784358, 0.22854995727539062]
['CO', 378, 'UO', 51, 'runcon', 'objcopy', 'O0', 'O3', 0.9786362827131921, 1.3420169353485107]
['UO', 5, 'CO', 57, 'readelf', 'od', 'O1', 'O3', 0.9906604402935291, 0.8743076324462891]
['CO', 132, 'UO', 67, 'factor', 'strip', 'O1', 'O0', 0.9860156158955833, 3.2670724391937256]
['UO', 35, 'CO', 248, 'gprof', 'sync', 'O2', 'O2', 0.9971705739692805, 1.577866792678833]
['CO', 140, 'UO', 19, 'pinky', 'cmp', 'O1', 'O1', 0.8819320214669052, 0.07935690879821777]
['BO', 42, 'CO', 142, 'cmp', 'sha1sum', 'O1', 'O1', 0.9054545454545455, 0.07823991775512695]
['UO', 59, 'CO', 182, 'locate', 'chcon', 'O3', 'O1', 0.969488939740656, 0.45468926429748535]
['BO', 68, 'UO', 63, 'git', 'cmp', 'O3', 'O3', 0.9990490598660039, 4.9233293533325195]
['BO', 78, 'CO', 233, 'ssh', 'chgrp', 'O0', 'O2', 0.9924068108605615, 2.9916696548461914]
