['CO', 327, 'BO', 11, 'join', 'ssh', 'O0', 'O1', 0.9709724238026125, 4.385338306427002]
['UO', 43, 'CO', 361, 'find', 'nice', 'O2', 'O0', 0.9851463521188292, 0.9991633892059326]
['CO', 371, 'UO', 49, 'tsort', 'c++filt', 'O0', 'O3', 0.9713719445056155, 2.246443033218384]
['UO', 50, 'CO', 370, 'strings', 'df', 'O3', 'O0', 0.9854984894259818, 4.062756299972534]
['UO', 84, 'CO', 64, 'sdiff', 'tty', 'O0', 'O3', 0.9524517087667161, 0.09164690971374512]
['CO', 126, 'BO', 67, 'pwd', 'libSDL2-2.0.so.0.16.0', 'O1', 'O1', 0.9825766871165644, 2.2959048748016357]
['CO', 148, 'UO', 29, 'seq', 'as', 'O1', 'O2', 0.9802297622228159, 1.8147227764129639]
['UO', 50, 'CO', 57, 'strings', 'od', 'O3', 'O3', 0.9919797382861967, 1.5988004207611084]
['CO', 295, 'BO', 3, 'id', 'openssl', 'O2', 'O1', 0.9915376906803252, 3.2243826389312744]
['BO', 41, 'CO', 73, 'libSDL2-2.0.so.0.16.0', 'hostid', 'O2', 'O3', 0.9969864389753893, 2.0722172260284424]
['BO', 55, 'CO', 37, 'make', 'truncate', 'O1', 'O3', 0.987985212569316, 0.42615175247192383]
['CO', 402, 'UO', 76, 'tr', 'addr2line', 'O0', 'O0', 0.9835562987736901, 2.5350284576416016]
['BO', 27, 'CO', 364, 'perl', 'sha256sum', 'O3', 'O0', 0.9966790139225955, 3.823350191116333]
['CO', 325, 'BO', 37, 'printenv', 'gvmap', 'O0', 'O2', 0.9580318379160637, 0.27985191345214844]
['CO', 111, 'UO', 60, 'fmt', 'xargs', 'O1', 'O3', 0.9599465954606141, 0.15830063819885254]
['CO', 342, 'UO', 71, 'expand', 'c++filt', 'O0', 'O0', 0.9869262469802472, 2.075011968612671]
['UO', 1, 'CO', 367, 'xargs', 'cp', 'O1', 'O0', 0.9569405099150141, 0.700728178024292]
['CO', 0, 'UO', 18, 'sha384sum', 'diff3', 'O3', 'O1', 0.8816738816738817, 0.11362886428833008]
['UO', 86, 'CO', 364, 'xargs', 'sha256sum', 'O0', 'O0', 0.9532908704883227, 0.24868130683898926]
['BO', 71, 'CO', 391, 'libSDL2-2.0.so.0.16.0', 'link', 'O0', 'O0', 0.9982944249013964, 2.1327080726623535]
['CO', 139, 'UO', 80, 'base32', 'objdump', 'O1', 'O0', 0.9923514597518888, 2.955075740814209]
['CO', 267, 'BO', 21, 'tsort', 'cp', 'O2', 'O1', 0.9072063178677197, 0.16507411003112793]
['UO', 56, 'BO', 72, 'elfedit', 'make', 'O3', 'O2', 0.9314888010540184, 0.4456748962402344]
['CO', 28, 'UO', 75, 'factor', 'gprof', 'O3', 'O0', 0.9889618922470433, 2.819869041442871]
['UO', 73, 'CO', 301, 'objcopy', 'nl', 'O0', 'O2', 0.9961941008563273, 1.6873180866241455]
['CO', 149, 'UO', 7, 'split', 'ranlib', 'O1', 'O1', 0.9666347075743049, 1.659118890762329]
['CO', 54, 'UO', 3, 'true', 'nm', 'O3', 'O1', 0.9752373091209244, 0.8570551872253418]
['UO', 82, 'CO', 412, 'cmp', 'tac', 'O0', 'O0', 0.9190404797601199, 0.10872483253479004]
