['UO', 2, 'CO', 257, 'find', 'nice', 'O1', 'O2', 0.9905335628227194, 0.7446300983428955]
['CO', 310, 'UO', 3, 'mknod', 'nm', 'O2', 'O1', 0.9796975347006422, 1.82265043258667]
['UO', 46, 'CO', 155, 'readelf', 'realpath', 'O3', 'O1', 0.9775438596491228, 1.3548862934112549]
['BO', 58, 'CO', 93, 'svn', 'nl', 'O1', 'O3', 0.9943571140669085, 1.2771780490875244]
['BO', 22, 'CO', 69, 'perl', 'who', 'O0', 'O3', 0.9987435432081531, 3.9940505027770996]
['CO', 125, 'BO', 19, 'mktemp', 'libvlccore.so.9.0.0', 'O1', 'O1', 0.9873502635361763, 3.256667375564575]
['BO', 83, 'CO', 182, 'lua', 'chcon', 'O2', 'O1', 0.9859976662777129, 1.1730751991271973]
['BO', 17, 'CO', 397, 'codeblocks', '[', 'O2', 'O0', 0.9977761304670126, 4.740790128707886]
['CO', 89, 'UO', 20, 'pathchk', 'diff', 'O3', 'O1', 0.9023972602739726, 0.18756389617919922]
['BO', 6, 'UO', 49, 'codeblocks', 'c++filt', 'O0', 'O3', 0.9890917530558564, 71.92388105392456]
['UO', 18, 'CO', 150, 'diff3', 'whoami', 'O1', 'O1', 0.9128978224455612, 0.07947087287902832]
['CO', 81, 'BO', 14, 'cat', 'cmp', 'O3', 'O0', 0.9270315091210614, 0.09022974967956543]
['CO', 70, 'BO', 27, 'b2sum', 'perl', 'O3', 'O3', 0.9880155542806145, 5.257761001586914]
['CO', 312, 'UO', 54, 'sha384sum', 'addr2line', 'O0', 'O3', 0.9716251074806534, 1.3639872074127197]
['BO', 25, 'UO', 67, 'dot', 'strip', 'O3', 'O0', 0.994190971802009, 0.8033571243286133]
['UO', 60, 'BO', 78, 'xargs', 'ssh', 'O3', 'O0', 0.9751084722539393, 3.555769681930542]
['CO', 5, 'BO', 11, 'basename', 'ssh', 'O3', 'O1', 0.9843172066873798, 1.3491160869598389]
['UO', 3, 'CO', 403, 'nm', 'comm', 'O1', 'O0', 0.9886294416243655, 1.2518656253814697]
['CO', 154, 'BO', 63, 'dircolors', 'cluster', 'O1', 'O0', 0.9612837493632196, 0.4548604488372803]
['CO', 261, 'UO', 3, 'chmod', 'nm', 'O2', 'O1', 0.9641505676160127, 1.6082663536071777]
['CO', 53, 'UO', 16, 'chmod', 'size', 'O3', 'O1', 0.9704413820651089, 1.79886794090271]
['BO', 31, 'CO', 33, 'bash', 'chown', 'O2', 'O3', 0.9957670010122389, 3.9277284145355225]
['CO', 205, 'UO', 23, 'rmdir', 'cmp', 'O1', 'O2', 0.8819047619047619, 0.07041335105895996]
['UO', 61, 'CO', 139, 'find', 'base32', 'O3', 'O1', 0.9841758241758242, 0.510650634765625]
['UO', 12, 'CO', 368, 'gprof', 'cut', 'O1', 'O0', 0.990057361376673, 1.4500930309295654]
['CO', 313, 'BO', 83, 'touch', 'lua', 'O0', 'O2', 0.9473838059047063, 1.2309770584106445]
['CO', 121, 'UO', 38, 'stdbuf', 'elfedit', 'O1', 'O2', 0.9747747747747748, 0.11270809173583984]
['BO', 55, 'CO', 330, 'make', 'uptime', 'O1', 'O0', 0.9795100222717149, 0.6275827884674072]
['UO', 45, 'CO', 62, 'strip', 'printf', 'O3', 'O3', 0.9940056417489421, 1.3288259506225586]
['CO', 295, 'UO', 48, 'id', 'ranlib', 'O2', 'O3', 0.9826911188955285, 1.134809970855713]
['CO', 300, 'UO', 20, 'sha512sum', 'diff', 'O2', 'O1', 0.8927000879507476, 0.19945216178894043]
['UO', 57, 'CO', 71, 'size', 'readlink', 'O3', 'O3', 0.9913904433921653, 1.1307926177978516]
['CO', 301, 'UO', 40, 'nl', 'objdump', 'O2', 'O2', 0.984159497473713, 1.5236034393310547]
['UO', 10, 'BO', 32, 'objcopy', 'ruby', 'O1', 'O2', 0.9745510915902338, 116.56130146980286]
['CO', 106, 'UO', 65, 'stat', 'sdiff', 'O1', 'O3', 0.9210822998872604, 0.17868566513061523]
['CO', 86, 'UO', 0, 'timeout', 'locate', 'O3', 'O1', 0.9541359541359541, 0.3136427402496338]
['CO', 240, 'BO', 43, 'expr', 'diff', 'O2', 'O1', 0.9070539419087137, 0.2498915195465088]
['CO', 310, 'BO', 83, 'mknod', 'lua', 'O2', 'O2', 0.9763955342902711, 0.5583996772766113]
['BO', 2, 'CO', 378, 'perl', 'runcon', 'O1', 'O0', 0.9985107114216978, 3.4542508125305176]
['UO', 80, 'CO', 242, 'objdump', 'tail', 'O0', 'O2', 0.9972459377581934, 3.7590980529785156]
['CO', 208, 'UO', 41, 'sha384sum', 'locate', 'O2', 'O2', 0.960431654676259, 0.23537111282348633]
['UO', 27, 'CO', 124, 'strip', 'mkfifo', 'O2', 'O1', 0.9953588004284184, 1.027036190032959]
['UO', 71, 'CO', 340, 'c++filt', 'factor', 'O0', 'O0', 0.9967136793098726, 3.2077739238739014]
['UO', 53, 'BO', 22, 'gprof', 'perl', 'O3', 'O0', 0.9730337078651685, 50.959577798843384]
['BO', 44, 'CO', 271, 'cmp', 'logname', 'O2', 'O2', 0.955456570155902, 0.047956228256225586]
['CO', 197, 'BO', 67, 'nl', 'libSDL2-2.0.so.0.16.0', 'O1', 'O1', 0.9811274509803921, 2.352370262145996]
['CO', 217, 'BO', 82, 'du', 'cp', 'O2', 'O3', 0.9515072083879423, 0.47706055641174316]
['CO', 336, 'UO', 41, 'tee', 'locate', 'O0', 'O2', 0.9567847882454624, 0.29734086990356445]
['CO', 147, 'UO', 53, 'chroot', 'gprof', 'O1', 'O3', 0.9762479871175523, 1.2860589027404785]
['UO', 47, 'CO', 100, 'as', 'tac', 'O3', 'O3', 0.9967741935483871, 1.802656650543213]
['CO', 227, 'BO', 72, 'dd', 'make', 'O2', 'O2', 0.9509001636661211, 0.7794053554534912]
['CO', 411, 'BO', 43, 'sort', 'diff', 'O0', 'O1', 0.9140341791817711, 0.8144667148590088]
['UO', 6, 'CO', 185, 'as', 'cat', 'O1', 'O1', 0.9968851395197923, 1.5303821563720703]
['CO', 324, 'UO', 27, 'ptx', 'strip', 'O0', 'O2', 0.9685438863521055, 2.5797841548919678]
['UO', 40, 'CO', 373, 'objdump', 'cksum', 'O2', 'O0', 0.9961899578173902, 1.5760743618011475]
['CO', 364, 'UO', 72, 'sha256sum', 'strings', 'O0', 'O0', 0.9873825879714005, 2.4350979328155518]
['UO', 6, 'CO', 45, 'as', 'split', 'O1', 'O3', 0.9969685486926866, 2.507888078689575]
['UO', 86, 'CO', 23, 'xargs', 'pr', 'O0', 'O3', 0.9757009345794393, 0.2964286804199219]
['UO', 82, 'CO', 389, 'cmp', 'env', 'O0', 'O0', 0.9445350734094616, 0.09444975852966309]
['CO', 313, 'BO', 8, 'touch', 'cp', 'O0', 'O0', 0.9293572669368848, 0.5328798294067383]
['CO', 106, 'UO', 80, 'stat', 'objdump', 'O1', 'O0', 0.9877759532931947, 5.489370346069336]
['CO', 260, 'UO', 55, 'sha256sum', 'ar', 'O2', 'O3', 0.9773008666941808, 1.067352533340454]
['UO', 65, 'BO', 17, 'sdiff', 'codeblocks', 'O3', 'O2', 0.9924923076923077, 7.753936290740967]
['BO', 73, 'UO', 28, 'cluster', 'readelf', 'O1', 'O2', 0.9315716272600835, 1.8849234580993652]
['CO', 221, 'UO', 4, 'printenv', 'strip', 'O2', 'O1', 0.986673680519025, 0.8658614158630371]
['CO', 97, 'BO', 82, 'uniq', 'cp', 'O3', 'O3', 0.9043624161073825, 0.24477005004882812]
['BO', 35, 'CO', 277, 'make', 'who', 'O3', 'O2', 0.983274647887324, 0.5076084136962891]
['UO', 52, 'BO', 73, 'ld', 'cluster', 'O3', 'O1', 0.986730095142714, 5.653468370437622]
['UO', 34, 'BO', 63, 'ld', 'cluster', 'O2', 'O0', 0.9831460674157303, 8.530531406402588]
['CO', 238, 'BO', 41, 'expand', 'libSDL2-2.0.so.0.16.0', 'O2', 'O2', 0.978629792583281, 2.0207712650299072]
['UO', 74, 'CO', 304, 'ld', 'fold', 'O0', 'O2', 0.9978118161925602, 1.8761959075927734]
['BO', 20, 'CO', 298, 'sort', 'tr', 'O1', 'O2', 0.9674017257909875, 0.18033313751220703]
['BO', 81, 'CO', 331, 'sort', 'dd', 'O3', 'O0', 0.953125, 0.4031093120574951]
['UO', 12, 'CO', 36, 'gprof', 'pinky', 'O1', 'O3', 0.9965543644716692, 1.339937686920166]
['BO', 78, 'CO', 118, 'ssh', 'stty', 'O0', 'O1', 0.993944334459066, 2.3456552028656006]
['CO', 415, 'UO', 20, 'ln', 'diff', 'O0', 'O1', 0.896414342629482, 0.49968886375427246]
['CO', 242, 'UO', 32, 'tail', 'strings', 'O2', 'O2', 0.9607269688740339, 1.7029292583465576]
['UO', 58, 'CO', 244, 'objdump', 'pinky', 'O3', 'O2', 0.9962330149334051, 1.550337314605713]
['CO', 244, 'BO', 32, 'pinky', 'ruby', 'O2', 'O2', 0.991191144371687, 5.326117992401123]
['CO', 226, 'UO', 16, 'uptime', 'size', 'O2', 'O1', 0.9747202652300041, 1.230743646621704]
['BO', 73, 'CO', 83, 'cluster', 'csplit', 'O1', 'O3', 0.973753280839895, 0.4206697940826416]
['UO', 86, 'CO', 257, 'xargs', 'nice', 'O0', 'O2', 0.9745547073791349, 0.13949871063232422]
['UO', 37, 'CO', 267, 'ar', 'tsort', 'O2', 'O2', 0.9950940310711366, 0.9590590000152588]
['CO', 219, 'BO', 2, 'groups', 'perl', 'O2', 'O1', 0.9914932750890907, 2.480250597000122]
['CO', 25, 'BO', 36, 'chgrp', 'cluster', 'O3', 'O2', 0.9555273189326556, 0.48696446418762207]
['UO', 62, 'CO', 358, 'diff3', 'whoami', 'O3', 'O0', 0.9494470774091627, 0.09638667106628418]
['CO', 295, 'UO', 23, 'id', 'cmp', 'O2', 'O2', 0.8861480075901328, 0.0670468807220459]
['CO', 230, 'BO', 57, 'pwd', 'libvlccore.so.9.0.0', 'O2', 'O3', 0.994294951031663, 2.4436819553375244]
['CO', 42, 'BO', 13, 'sum', 'ruby', 'O3', 'O1', 0.9919716968295006, 7.079653739929199]
['UO', 40, 'BO', 54, 'objdump', 'lua', 'O2', 'O3', 0.9882212018366939, 14.039630889892578]
['CO', 277, 'BO', 32, 'who', 'ruby', 'O2', 'O2', 0.9919788178490772, 6.1523518562316895]
['UO', 58, 'BO', 82, 'objdump', 'cp', 'O3', 'O3', 0.9915328103598555, 4.678684711456299]
['CO', 104, 'UO', 48, 'sha384sum', 'ranlib', 'O1', 'O3', 0.9729286300246104, 1.2248191833496094]
['CO', 387, 'UO', 45, 'mv', 'strip', 'O0', 'O3', 0.9629238884702336, 5.799272298812866]
['BO', 36, 'CO', 86, 'cluster', 'timeout', 'O2', 'O3', 0.96875, 0.3477613925933838]
['BO', 74, 'CO', 404, 'dot', 'sha512sum', 'O1', 'O0', 0.9851116625310173, 0.04658865928649902]
['CO', 237, 'BO', 41, 'nproc', 'libSDL2-2.0.so.0.16.0', 'O2', 'O2', 0.9823499747856783, 1.8568651676177979]
['UO', 66, 'CO', 308, 'nm', 'tac', 'O0', 'O2', 0.9963798384851017, 1.6069326400756836]
['BO', 80, 'CO', 366, 'ssh', 'true', 'O3', 'O0', 0.9961498593217829, 1.281454086303711]
['CO', 292, 'UO', 58, 'vdir', 'objdump', 'O2', 'O3', 0.9653309885692752, 4.6828773021698]
['UO', 13, 'CO', 329, 'addr2line', 'stdbuf', 'O1', 'O0', 0.9925941164369472, 1.2840919494628906]
['CO', 346, 'UO', 63, 'tail', 'cmp', 'O0', 'O3', 0.9623477297895903, 0.16269469261169434]
['CO', 43, 'UO', 78, 'chroot', 'elfedit', 'O3', 'O0', 0.9539473684210527, 0.11829543113708496]
['BO', 78, 'UO', 1, 'ssh', 'xargs', 'O0', 'O1', 0.9917976760082023, 3.332343101501465]
['CO', 333, 'BO', 27, 'mktemp', 'perl', 'O0', 'O3', 0.9890215101806344, 4.534358978271484]
['UO', 84, 'CO', 308, 'sdiff', 'tac', 'O0', 'O2', 0.941944847605225, 0.10754966735839844]
['CO', 97, 'BO', 61, 'uniq', 'git', 'O3', 'O1', 0.9903464919841407, 6.1360557079315186]
['BO', 36, 'UO', 57, 'cluster', 'size', 'O2', 'O3', 0.9491150442477876, 3.6996498107910156]
['BO', 18, 'CO', 187, 'libvlc.so.12.0.0', 'csplit', 'O1', 'O1', 0.98472553699284, 0.7537789344787598]
['CO', 338, 'BO', 39, 'kill', 'codeblocks', 'O0', 'O3', 0.9909612800781727, 5.495459794998169]
['UO', 83, 'CO', 264, 'diff', 'cut', 'O0', 'O2', 0.9656786271450858, 0.24024701118469238]
['CO', 58, 'UO', 53, 'df', 'gprof', 'O3', 'O3', 0.9617424242424243, 2.2947354316711426]
['BO', 4, 'UO', 45, 'libgeany.so.0.0.0', 'strip', 'O2', 'O3', 0.995872622789472, 103.27336406707764]
['BO', 66, 'CO', 351, 'svn', 'paste', 'O2', 'O0', 0.9822294022617124, 0.7088711261749268]
['BO', 1, 'CO', 154, 'ssh', 'dircolors', 'O2', 'O1', 0.9955797848828642, 1.517669439315796]
['BO', 80, 'CO', 284, 'ssh', 'md5sum', 'O3', 'O2', 0.995571302037201, 1.329512596130371]
['UO', 69, 'BO', 7, 'as', 'sort', 'O0', 'O0', 0.9968703816395723, 8.454255104064941]
['BO', 55, 'CO', 48, 'make', 'ls', 'O1', 'O3', 0.9776254059906171, 1.3568360805511475]
['BO', 69, 'CO', 258, 'cmp', 'dircolors', 'O3', 'O2', 0.9375, 0.0647270679473877]
['CO', 381, 'BO', 75, 'who', 'gvmap', 'O0', 'O1', 0.9508726567550096, 0.41536712646484375]
['UO', 34, 'CO', 287, 'ld', 'link', 'O2', 'O2', 0.997430039977156, 0.9518961906433105]
['CO', 402, 'BO', 51, 'tr', 'lua', 'O0', 'O1', 0.9528735632183908, 1.0144908428192139]
['BO', 34, 'CO', 392, 'cp', 'uname', 'O2', 'O0', 0.9899295065458208, 0.16735506057739258]
['BO', 21, 'CO', 264, 'cp', 'cut', 'O1', 'O2', 0.9668938656280428, 0.17011451721191406]
['CO', 387, 'UO', 29, 'mv', 'as', 'O0', 'O2', 0.9599717447610078, 7.701119899749756]
['CO', 202, 'BO', 16, 'sleep', 'make', 'O1', 'O0', 0.9732217573221758, 0.4591100215911865]
['BO', 74, 'CO', 294, 'dot', 'timeout', 'O1', 'O2', 0.9940119760479041, 0.03542923927307129]
['BO', 38, 'CO', 415, 'acyclic', 'ln', 'O2', 'O0', 0.9854862119013063, 0.0919499397277832]
['CO', 412, 'BO', 28, 'tac', 'ruby', 'O0', 'O0', 0.9906652687117394, 7.321979284286499]
['CO', 290, 'UO', 57, 'shuf', 'size', 'O2', 'O3', 0.9709711846318037, 1.3400318622589111]
['BO', 60, 'CO', 131, 'openssl', 'wc', 'O0', 'O1', 0.9960079840319361, 3.4436566829681396]
['UO', 78, 'CO', 65, 'elfedit', 'false', 'O0', 'O3', 0.9845261121856866, 0.0742802619934082]
['CO', 55, 'UO', 22, 'cp', 'diff3', 'O3', 'O2', 0.9598326359832636, 0.24458765983581543]
['BO', 52, 'CO', 310, 'svn', 'mknod', 'O3', 'O2', 0.9951278928136419, 0.5181980133056641]
['CO', 130, 'UO', 2, 'kill', 'find', 'O1', 'O1', 0.9571428571428572, 0.5252463817596436]
['BO', 67, 'UO', 82, 'libSDL2-2.0.so.0.16.0', 'cmp', 'O1', 'O0', 0.9932071809801067, 2.627687692642212]
['BO', 49, 'CO', 183, 'svn', 'link', 'O0', 'O1', 0.9871987951807228, 0.5923597812652588]
['BO', 65, 'CO', 173, 'gvmap', 'who', 'O0', 'O1', 0.9773622047244095, 0.522956371307373]
['UO', 8, 'CO', 179, 'c++filt', 'mv', 'O1', 'O1', 0.9779290049659739, 3.511384963989258]
['BO', 15, 'CO', 180, 'diff', 'md5sum', 'O0', 'O1', 0.9710365853658537, 0.2675457000732422]
['UO', 60, 'CO', 179, 'xargs', 'mv', 'O3', 'O1', 0.9542302357836339, 0.48341941833496094]
['BO', 68, 'CO', 68, 'git', 'yes', 'O3', 'O3', 0.9993066389322239, 3.7157180309295654]
['BO', 71, 'CO', 6, 'libSDL2-2.0.so.0.16.0', 'mkdir', 'O0', 'O3', 0.9964251918830828, 3.0011301040649414]
['UO', 1, 'CO', 264, 'xargs', 'cut', 'O1', 'O2', 0.967828418230563, 0.19935870170593262]
['CO', 407, 'UO', 23, 'sha224sum', 'cmp', 'O0', 'O2', 0.9123376623376623, 0.09554076194763184]
['BO', 28, 'CO', 230, 'ruby', 'pwd', 'O0', 'O2', 0.9993208367291497, 4.60951566696167]
['CO', 338, 'UO', 12, 'kill', 'gprof', 'O0', 'O1', 0.9714340860837676, 1.307633399963379]
['CO', 357, 'UO', 18, 'split', 'diff3', 'O0', 'O1', 0.9169550173010381, 0.1735680103302002]
['CO', 64, 'BO', 9, 'tty', 'git', 'O3', 'O0', 0.994538598240215, 4.4107279777526855]
['UO', 34, 'CO', 108, 'ld', 'test', 'O2', 'O1', 0.9957900645523435, 1.599228858947754]
['CO', 179, 'UO', 17, 'mv', 'objdump', 'O1', 'O1', 0.9616312741312741, 6.112285852432251]
['CO', 174, 'BO', 31, 'b2sum', 'bash', 'O1', 'O2', 0.981299672744273, 3.1446168422698975]
['UO', 46, 'CO', 110, 'readelf', 'mkdir', 'O3', 'O1', 0.9818435754189944, 0.6754975318908691]
['CO', 221, 'UO', 65, 'printenv', 'sdiff', 'O2', 'O3', 0.9018181818181819, 0.061501502990722656]
['UO', 68, 'CO', 296, 'readelf', 'shred', 'O0', 'O2', 0.9899066363865758, 1.5415375232696533]
['CO', 51, 'BO', 38, 'realpath', 'acyclic', 'O3', 'O2', 1.0, 0.04290914535522461]
['CO', 374, 'UO', 50, 'printf', 'strings', 'O0', 'O3', 0.974370112945265, 1.3271868228912354]
['CO', 278, 'BO', 8, 'b2sum', 'cp', 'O2', 'O0', 0.9283854166666666, 0.5989863872528076]
['CO', 261, 'BO', 80, 'chmod', 'ssh', 'O2', 'O3', 0.9691331314005481, 2.174156904220581]
['UO', 48, 'CO', 162, 'ranlib', 'df', 'O3', 'O1', 0.9856700232378002, 2.237571954727173]
['CO', 71, 'BO', 50, 'readlink', 'perl', 'O3', 'O2', 0.9857922778399, 3.3110368251800537]
['CO', 67, 'BO', 69, 'nohup', 'cmp', 'O3', 'O3', 0.9166666666666666, 0.07295680046081543]
['BO', 45, 'CO', 139, 'diff', 'base32', 'O2', 'O1', 0.975199291408326, 0.197861909866333]
['UO', 6, 'CO', 399, 'as', 'id', 'O1', 'O0', 0.9971823770491803, 2.1126534938812256]
['UO', 14, 'CO', 227, 'ar', 'dd', 'O1', 'O2', 0.9924314096499527, 1.8088219165802002]
['CO', 92, 'BO', 17, 'sha512sum', 'codeblocks', 'O3', 'O2', 0.9943044635671392, 5.514626741409302]
['CO', 350, 'BO', 61, 'sha1sum', 'git', 'O0', 'O1', 0.9900733707380233, 5.904271125793457]
['CO', 89, 'UO', 11, 'pathchk', 'ld', 'O3', 'O1', 0.9809733903212464, 2.1004254817962646]
['CO', 62, 'BO', 11, 'printf', 'ssh', 'O3', 'O1', 0.9795411369282478, 2.189695119857788]
['UO', 37, 'CO', 192, 'ar', 'shred', 'O2', 'O1', 0.9936958234830575, 1.7130191326141357]
['BO', 53, 'CO', 239, 'bash', 'date', 'O0', 'O2', 0.9970873786407767, 4.099183082580566]
['UO', 3, 'CO', 155, 'nm', 'realpath', 'O1', 'O1', 0.9858184764991896, 1.4202897548675537]
['CO', 166, 'BO', 42, 'printf', 'cmp', 'O1', 'O1', 0.9402460456942003, 0.0804145336151123]
['UO', 4, 'CO', 347, 'strip', 'base32', 'O1', 'O0', 0.9917920656634747, 1.5274744033813477]
['BO', 34, 'CO', 368, 'cp', 'cut', 'O2', 'O0', 0.9760589318600368, 0.23058009147644043]
['UO', 29, 'CO', 14, 'as', 'stty', 'O2', 'O3', 0.9968283335535879, 2.018059492111206]
['UO', 20, 'CO', 288, 'diff', 'uname', 'O1', 'O2', 0.9794392523364486, 0.13907790184020996]
['BO', 48, 'CO', 326, 'libvlccore.so.9.0.0', 'stty', 'O0', 'O0', 0.9991460290350128, 4.632676362991333]
['CO', 52, 'UO', 33, 'sha256sum', 'objcopy', 'O3', 'O2', 0.9746790926674872, 1.4027507305145264]
['CO', 92, 'UO', 67, 'sha512sum', 'strip', 'O3', 'O0', 0.9931668237511782, 2.4042253494262695]
['BO', 54, 'CO', 345, 'lua', 'chown', 'O3', 'O0', 0.9820653746022563, 1.37825608253479]
['BO', 17, 'UO', 25, 'codeblocks', 'sdiff', 'O2', 'O2', 0.9982747997535428, 5.320667028427124]
['UO', 62, 'CO', 391, 'diff3', 'link', 'O3', 'O0', 0.9492063492063492, 0.09423232078552246]
['CO', 204, 'UO', 58, 'tac', 'objdump', 'O1', 'O3', 0.9766849792308723, 1.778585433959961]
['CO', 120, 'UO', 75, 'dirname', 'gprof', 'O1', 'O0', 0.9913478437204272, 1.7722015380859375]
['UO', 59, 'CO', 323, 'locate', 'groups', 'O3', 'O0', 0.9780018331805683, 0.2524600028991699]
['UO', 50, 'CO', 44, 'strings', 'seq', 'O3', 'O3', 0.9934711643090316, 1.0820751190185547]
['CO', 107, 'UO', 70, 'unlink', 'ranlib', 'O1', 'O0', 0.9891156462585035, 1.655672311782837]
['BO', 4, 'CO', 173, 'libgeany.so.0.0.0', 'who', 'O2', 'O1', 0.998865226765518, 7.055169343948364]
['BO', 0, 'CO', 171, 'codeblocks', 'nohup', 'O1', 'O1', 0.9985066268433825, 3.781027317047119]
['CO', 84, 'BO', 80, 'vdir', 'ssh', 'O3', 'O3', 0.9657081139462671, 4.744218826293945]
['CO', 12, 'BO', 82, 'ptx', 'cp', 'O3', 'O3', 0.881992337164751, 0.31175780296325684]
['BO', 45, 'CO', 278, 'diff', 'b2sum', 'O2', 'O2', 0.9828030954428203, 0.21671009063720703]
['CO', 43, 'UO', 19, 'chroot', 'cmp', 'O3', 'O1', 0.8979591836734694, 0.08374571800231934]
['CO', 71, 'BO', 15, 'readlink', 'diff', 'O3', 'O0', 0.9060895084372708, 0.3077676296234131]
['CO', 348, 'UO', 7, 'pinky', 'ranlib', 'O0', 'O1', 0.9717054263565892, 1.5564970970153809]
['UO', 38, 'CO', 248, 'elfedit', 'sync', 'O2', 'O2', 0.9652173913043478, 0.06691265106201172]
['UO', 21, 'CO', 292, 'sdiff', 'vdir', 'O1', 'O2', 0.9045138888888888, 0.27659177780151367]
['BO', 23, 'CO', 288, 'git', 'uname', 'O2', 'O2', 0.9991310770300212, 3.06870698928833]
['BO', 32, 'CO', 362, 'ruby', 'dircolors', 'O2', 'O0', 0.9996887038406164, 5.367452144622803]
