['BO', 81, 'CO', 15, 'sort', 'join', 'O3', 'O3', 0.9587628865979382, 0.4356365203857422]
['UO', 2, 'CO', 344, 'find', 'expr', 'O1', 'O0', 0.9865877712031558, 0.8664257526397705]
['CO', 110, 'BO', 29, 'mkdir', 'libvlc.so.12.0.0', 'O1', 'O2', 0.9831265508684863, 0.7679455280303955]
['CO', 110, 'BO', 65, 'mkdir', 'gvmap', 'O1', 'O0', 0.9648780487804878, 0.44933056831359863]
['BO', 12, 'CO', 46, 'libgeany.so.0.0.0', 'whoami', 'O0', 'O3', 0.999611801242236, 3.987565279006958]
['CO', 397, 'BO', 2, '[', 'perl', 'O0', 'O1', 0.9874493696160648, 3.5821447372436523]
['BO', 38, 'CO', 389, 'acyclic', 'env', 'O2', 'O0', 0.961218836565097, 0.043849945068359375]
['CO', 286, 'UO', 20, 'chcon', 'diff', 'O2', 'O1', 0.9052631578947369, 0.32737040519714355]
['UO', 28, 'CO', 191, 'readelf', 'id', 'O2', 'O1', 0.981811567842852, 0.5689170360565186]
['UO', 25, 'BO', 6, 'sdiff', 'codeblocks', 'O2', 'O0', 0.9959934438171554, 10.823105335235596]
['CO', 368, 'UO', 62, 'cut', 'diff3', 'O0', 'O3', 0.9065934065934066, 0.22428464889526367]
['CO', 274, 'UO', 15, 'runcon', 'elfedit', 'O2', 'O1', 0.9594594594594594, 0.11417913436889648]
['CO', 72, 'BO', 15, 'head', 'diff', 'O3', 'O0', 0.9038601602330663, 0.5510866641998291]
['CO', 188, 'BO', 2, 'vdir', 'perl', 'O1', 'O1', 0.9813436979455857, 10.227508306503296]
['BO', 2, 'CO', 75, 'perl', 'mv', 'O1', 'O3', 0.9958140559594625, 11.043302059173584]
['CO', 41, 'BO', 29, 'echo', 'libvlc.so.12.0.0', 'O3', 'O2', 0.9781136008337676, 0.47109436988830566]
['UO', 46, 'CO', 113, 'readelf', 'du', 'O3', 'O1', 0.9742647058823529, 1.5081474781036377]
['UO', 85, 'CO', 260, 'locate', 'sha256sum', 'O0', 'O2', 0.9901823281907434, 0.3031628131866455]
['CO', 304, 'BO', 39, 'fold', 'codeblocks', 'O2', 'O3', 0.9949705593719332, 4.88878321647644]
['UO', 56, 'CO', 64, 'elfedit', 'tty', 'O3', 'O3', 0.975609756097561, 0.07345247268676758]
['CO', 384, 'BO', 18, 'head', 'libvlc.so.12.0.0', 'O0', 'O1', 0.9770114942528736, 0.7753052711486816]
['UO', 33, 'CO', 413, 'objcopy', 'rmdir', 'O2', 'O0', 0.9936249335930583, 1.200181007385254]
['UO', 62, 'BO', 62, 'diff3', 'bash', 'O3', 'O1', 0.9772554965883244, 3.658268928527832]
['CO', 368, 'BO', 36, 'cut', 'cluster', 'O0', 'O2', 0.9459459459459459, 0.3601851463317871]
['BO', 49, 'CO', 211, 'svn', 'unlink', 'O0', 'O2', 0.9939001143728555, 0.481903076171875]
['BO', 46, 'CO', 348, 'ruby', 'pinky', 'O3', 'O0', 0.9993197510288766, 6.925753831863403]
['CO', 168, 'UO', 26, 'tty', 'nm', 'O1', 'O2', 0.9768637532133676, 0.9039084911346436]
['CO', 305, 'BO', 57, 'uniq', 'libvlccore.so.9.0.0', 'O2', 'O3', 0.9916792738275341, 3.0839977264404297]
['UO', 29, 'CO', 8, 'as', 'dir', 'O2', 'O3', 0.9915779043844439, 4.693581819534302]
['BO', 50, 'UO', 47, 'perl', 'as', 'O2', 'O3', 0.9898265055863384, 74.26678586006165]
['CO', 351, 'BO', 58, 'paste', 'svn', 'O0', 'O1', 0.975669099756691, 0.7769086360931396]
['CO', 352, 'UO', 55, 'sync', 'ar', 'O0', 'O3', 0.9760577915376677, 1.1317486763000488]
['UO', 11, 'CO', 399, 'ld', 'id', 'O1', 'O0', 0.9942583732057416, 2.1198482513427734]
['BO', 72, 'CO', 27, 'make', 'wc', 'O2', 'O3', 0.9820971867007673, 0.6063306331634521]
['CO', 392, 'UO', 82, 'uname', 'cmp', 'O0', 'O0', 0.9214285714285715, 0.15025019645690918]
['UO', 72, 'BO', 5, 'strings', 'libgeany.so.0.0.0', 'O0', 'O1', 0.974191192135618, 169.33636832237244]
['BO', 57, 'CO', 21, 'libvlccore.so.9.0.0', 'mktemp', 'O3', 'O3', 0.9983082706766917, 3.167273759841919]
['UO', 29, 'CO', 228, 'as', 'mkfifo', 'O2', 'O2', 0.9972932737853566, 1.129944086074829]
['UO', 78, 'CO', 231, 'elfedit', 'pr', 'O0', 'O2', 0.9772727272727273, 0.142486572265625]
['UO', 37, 'CO', 207, 'ar', 'ln', 'O2', 'O1', 0.9899845916795069, 2.141362428665161]
['CO', 8, 'UO', 19, 'dir', 'cmp', 'O3', 'O1', 0.9773123909249564, 0.20364046096801758]
['CO', 407, 'BO', 46, 'sha224sum', 'ruby', 'O0', 'O3', 0.9884432358939497, 8.797518014907837]
['CO', 406, 'BO', 18, 'rm', 'libvlc.so.12.0.0', 'O0', 'O1', 0.9774794283239497, 1.2480323314666748]
['BO', 15, 'CO', 333, 'diff', 'mktemp', 'O0', 'O0', 0.98274622573688, 0.3290245532989502]
['UO', 84, 'BO', 32, 'sdiff', 'ruby', 'O0', 'O2', 0.9867790320086594, 9.904449462890625]
['CO', 291, 'UO', 4, 'csplit', 'strip', 'O2', 'O1', 0.9741584495069704, 1.6434261798858643]
['BO', 16, 'CO', 219, 'make', 'groups', 'O0', 'O2', 0.9882303488860866, 0.43129467964172363]
['CO', 108, 'UO', 23, 'test', 'cmp', 'O1', 'O2', 0.9019264448336253, 0.08148694038391113]
['CO', 242, 'UO', 48, 'tail', 'ranlib', 'O2', 'O3', 0.969811320754717, 1.8135812282562256]
['CO', 385, 'BO', 52, 'hostid', 'svn', 'O0', 'O3', 0.9887505022097228, 0.6568593978881836]
['CO', 232, 'BO', 80, 'tee', 'ssh', 'O2', 'O3', 0.9810902644408332, 1.4280531406402588]
['CO', 350, 'BO', 73, 'sha1sum', 'cluster', 'O0', 'O1', 0.9528105482303956, 0.38292574882507324]
['CO', 376, 'BO', 17, 'tty', 'codeblocks', 'O0', 'O2', 0.9944012441679627, 4.658226728439331]
['UO', 2, 'BO', 13, 'find', 'ruby', 'O1', 'O1', 0.9781049935979513, 52.70151877403259]
['CO', 344, 'UO', 55, 'expr', 'ar', 'O0', 'O3', 0.970782469481689, 1.6595773696899414]
['BO', 59, 'CO', 144, 'libgeany.so.0.0.0', 'sync', 'O3', 'O1', 0.9993348115299335, 5.616358041763306]
['BO', 78, 'CO', 47, 'ssh', 'numfmt', 'O0', 'O3', 0.9953536996166802, 2.35121750831604]
['CO', 205, 'UO', 8, 'rmdir', 'c++filt', 'O1', 'O1', 0.9699788583509513, 1.087383508682251]
['UO', 9, 'CO', 320, 'strings', 'dir', 'O1', 'O0', 0.9804200783196867, 4.311740875244141]
['UO', 23, 'CO', 311, 'cmp', 'ln', 'O2', 'O2', 0.8814432989690721, 0.13659358024597168]
['CO', 242, 'BO', 7, 'tail', 'sort', 'O2', 'O0', 0.9064005505849966, 0.3944687843322754]
['CO', 313, 'BO', 52, 'touch', 'svn', 'O0', 'O3', 0.990542015278283, 1.3540985584259033]
['CO', 161, 'UO', 47, 'od', 'as', 'O1', 'O3', 0.9744476976310886, 2.378122091293335]
['UO', 69, 'BO', 39, 'as', 'codeblocks', 'O0', 'O3', 0.9845754486287197, 150.38035583496094]
['BO', 27, 'CO', 287, 'perl', 'link', 'O3', 'O2', 0.9985798205409593, 1.9542019367218018]
['BO', 4, 'UO', 10, 'libgeany.so.0.0.0', 'objcopy', 'O2', 'O1', 0.9950138853824791, 107.97035551071167]
['CO', 405, 'UO', 36, 'nl', 'addr2line', 'O0', 'O2', 0.9688300597779675, 1.342834234237671]
['UO', 51, 'CO', 366, 'objcopy', 'true', 'O3', 'O0', 0.9946052868189175, 0.9694633483886719]
['BO', 70, 'UO', 16, 'diff', 'size', 'O3', 'O1', 0.9613420860685631, 3.5916366577148438]
['BO', 48, 'CO', 356, 'libvlccore.so.9.0.0', 'seq', 'O0', 'O0', 0.9992851015155848, 3.864104747772217]
['CO', 383, 'BO', 24, 'readlink', 'cluster', 'O0', 'O3', 0.956368754398311, 0.38088274002075195]
['UO', 20, 'CO', 219, 'diff', 'groups', 'O1', 'O2', 0.9782411604714415, 0.16721582412719727]
['CO', 178, 'UO', 1, 'unexpand', 'xargs', 'O1', 'O1', 0.9530638852672751, 0.16414523124694824]
['UO', 23, 'BO', 46, 'cmp', 'ruby', 'O2', 'O3', 0.9921018587866821, 7.586814641952515]
['CO', 76, 'UO', 16, 'md5sum', 'size', 'O3', 'O1', 0.9707518022657055, 1.1856656074523926]
['UO', 73, 'CO', 385, 'objcopy', 'hostid', 'O0', 'O0', 0.9990485252140818, 1.5979104042053223]
['CO', 270, 'UO', 21, 'printf', 'sdiff', 'O2', 'O1', 0.8862559241706162, 0.09019207954406738]
['CO', 330, 'BO', 9, 'uptime', 'git', 'O0', 'O0', 0.9905098783538953, 6.516546010971069]
['CO', 377, 'UO', 47, 'false', 'as', 'O0', 'O3', 0.9841789416257501, 1.3620259761810303]
['BO', 47, 'CO', 10, 'libvlc.so.12.0.0', 'users', 'O0', 'O3', 0.9937388193202147, 0.577373743057251]
['CO', 285, 'BO', 31, 'env', 'bash', 'O2', 'O2', 0.9882531261841606, 1.8653795719146729]
['CO', 297, 'UO', 48, 'pathchk', 'ranlib', 'O2', 'O3', 0.9841269841269842, 0.838843584060669]
['CO', 406, 'BO', 67, 'rm', 'libSDL2-2.0.so.0.16.0', 'O0', 'O1', 0.9646643109540636, 4.8148438930511475]
['CO', 41, 'UO', 10, 'echo', 'objcopy', 'O3', 'O1', 0.9830008673026887, 1.094944953918457]
['CO', 35, 'BO', 47, 'base32', 'libvlc.so.12.0.0', 'O3', 'O0', 0.9848821698532682, 0.6813111305236816]
['CO', 344, 'UO', 28, 'expr', 'readelf', 'O0', 'O2', 0.9552603984620762, 0.7994852066040039]
['BO', 57, 'CO', 379, 'libvlccore.so.9.0.0', 'nohup', 'O3', 'O0', 0.9977277030865367, 2.4404609203338623]
['UO', 53, 'CO', 20, 'gprof', 'mkfifo', 'O3', 'O3', 0.996757852077001, 0.9253265857696533]
['CO', 328, 'UO', 36, 'dirname', 'addr2line', 'O0', 'O2', 0.9739357080799305, 1.010782241821289]
['BO', 44, 'UO', 30, 'cmp', 'ranlib', 'O2', 'O2', 0.9737903225806451, 1.2695872783660889]
['BO', 64, 'CO', 218, 'dot', 'users', 'O0', 'O2', 0.9924812030075187, 0.02745962142944336]
['CO', 34, 'UO', 38, 'tail', 'elfedit', 'O3', 'O2', 0.9791937581274383, 0.14776158332824707]
['CO', 374, 'BO', 56, 'printf', 'libvlc.so.12.0.0', 'O0', 'O3', 0.9857549857549858, 0.723426342010498]
['UO', 14, 'CO', 120, 'ar', 'dirname', 'O1', 'O1', 0.9936558287073751, 0.9619631767272949]
['CO', 219, 'UO', 22, 'groups', 'diff3', 'O2', 'O2', 0.8389982110912344, 0.07126879692077637]
['BO', 51, 'CO', 352, 'lua', 'sync', 'O1', 'O0', 0.9964082609997007, 0.7265579700469971]
['UO', 77, 'CO', 59, 'ar', 'tsort', 'O0', 'O3', 0.9970406241592682, 1.7919869422912598]
['CO', 162, 'BO', 64, 'df', 'dot', 'O1', 'O0', 0.9936, 0.06871390342712402]
['CO', 400, 'BO', 27, 'shred', 'perl', 'O0', 'O3', 0.9827989628786441, 5.75961971282959]
['CO', 278, 'BO', 34, 'b2sum', 'cp', 'O2', 'O2', 0.8901515151515151, 0.2028341293334961]
['UO', 41, 'CO', 300, 'locate', 'sha512sum', 'O2', 'O2', 0.9820143884892086, 0.23464107513427734]
['UO', 36, 'CO', 145, 'addr2line', 'echo', 'O2', 'O1', 0.9951944080384447, 0.8491120338439941]
['CO', 340, 'BO', 23, 'factor', 'git', 'O0', 'O2', 0.986492262973412, 11.21943211555481]
['UO', 27, 'BO', 49, 'strip', 'svn', 'O2', 'O0', 0.9910850738665308, 10.865761995315552]
['CO', 14, 'BO', 39, 'stty', 'codeblocks', 'O3', 'O3', 0.9928306701500699, 6.761163949966431]
['UO', 27, 'CO', 171, 'strip', 'nohup', 'O2', 'O1', 0.9946676146462851, 1.1124942302703857]
['BO', 74, 'CO', 100, 'dot', 'tac', 'O1', 'O3', 0.9948051948051948, 0.039809465408325195]
['CO', 115, 'BO', 52, 'groups', 'svn', 'O1', 'O3', 0.9840383080606544, 0.7394511699676514]
['CO', 388, 'BO', 63, 'md5sum', 'cluster', 'O0', 'O0', 0.9782393669634025, 0.5592830181121826]
['CO', 136, 'UO', 4, 'expr', 'strip', 'O1', 'O1', 0.9653473755732971, 1.6801762580871582]
['CO', 28, 'UO', 78, 'factor', 'elfedit', 'O3', 'O0', 0.9692737430167597, 0.14560794830322266]
['BO', 5, 'CO', 135, 'libgeany.so.0.0.0', 'date', 'O1', 'O1', 0.9990182381150172, 9.631040096282959]
['BO', 17, 'CO', 254, 'codeblocks', 'whoami', 'O2', 'O2', 0.9988766148661299, 2.657970428466797]
['UO', 4, 'CO', 356, 'strip', 'seq', 'O1', 'O0', 0.9914456800684346, 1.5281195640563965]
['CO', 236, 'UO', 49, 'factor', 'c++filt', 'O2', 'O3', 0.9666955017301038, 1.3475501537322998]
['UO', 6, 'CO', 242, 'as', 'tail', 'O1', 'O2', 0.9939271255060729, 2.5592265129089355]
['BO', 4, 'CO', 218, 'libgeany.so.0.0.0', 'users', 'O2', 'O2', 0.9993924435162331, 4.827820062637329]
['BO', 45, 'CO', 30, 'diff', 'expand', 'O2', 'O3', 0.9826086956521739, 0.20276808738708496]
['CO', 209, 'BO', 58, 'touch', 'svn', 'O2', 'O1', 0.9737045630317092, 1.0227279663085938]
['BO', 12, 'CO', 402, 'libgeany.so.0.0.0', 'tr', 'O0', 'O0', 0.9996145692811718, 7.747856855392456]
['BO', 6, 'CO', 97, 'codeblocks', 'uniq', 'O0', 'O3', 0.9989974937343359, 7.155987977981567]
['UO', 21, 'CO', 362, 'sdiff', 'dircolors', 'O1', 'O0', 0.9460269865067467, 0.12268424034118652]
['UO', 78, 'CO', 32, 'elfedit', 'expr', 'O0', 'O3', 0.9785932721712538, 0.11783933639526367]
['CO', 203, 'UO', 28, 'sort', 'readelf', 'O1', 'O2', 0.9565217391304348, 1.6416466236114502]
['BO', 59, 'CO', 285, 'libgeany.so.0.0.0', 'env', 'O3', 'O2', 0.9996301227992307, 4.886292219161987]
['CO', 116, 'BO', 51, 'ptx', 'lua', 'O1', 'O1', 0.9490806223479491, 1.1426763534545898]
['UO', 48, 'CO', 9, 'ranlib', 'du', 'O3', 'O3', 0.9899234931890278, 2.77756667137146]
['BO', 70, 'CO', 219, 'diff', 'groups', 'O3', 'O2', 0.9839857651245552, 0.17037034034729004]
['BO', 42, 'CO', 254, 'cmp', 'whoami', 'O1', 'O2', 0.933920704845815, 0.050689697265625]
['BO', 5, 'CO', 128, 'libgeany.so.0.0.0', 'tee', 'O1', 'O1', 0.9992398038693983, 6.038256645202637]
['UO', 79, 'CO', 213, 'size', 'basename', 'O0', 'O2', 0.9968643101482326, 1.2222340106964111]
['CO', 170, 'BO', 29, 'runcon', 'libvlc.so.12.0.0', 'O1', 'O2', 0.9799154334038055, 0.47319531440734863]
['CO', 94, 'BO', 31, 'rm', 'bash', 'O3', 'O2', 0.9713393349255925, 4.563873052597046]
['CO', 301, 'UO', 70, 'nl', 'ranlib', 'O2', 'O0', 0.9932148188356629, 1.8521783351898193]
['CO', 306, 'UO', 23, 'sleep', 'cmp', 'O2', 'O2', 0.8833693304535637, 0.05210423469543457]
['CO', 383, 'UO', 24, 'readlink', 'diff', 'O0', 'O2', 0.8985024958402662, 0.28470683097839355]
['BO', 48, 'CO', 160, 'libvlccore.so.9.0.0', 'cut', 'O0', 'O1', 0.9979934069084133, 3.8619003295898438]
['UO', 25, 'CO', 98, 'sdiff', 'sleep', 'O2', 'O3', 0.940983606557377, 0.0819559097290039]
['UO', 45, 'CO', 134, 'strip', 'expand', 'O3', 'O1', 0.991076209173657, 1.169114351272583]
['CO', 171, 'BO', 76, 'nohup', 'openssl', 'O1', 'O2', 0.9940119760479041, 3.3678183555603027]
['CO', 346, 'BO', 71, 'tail', 'libSDL2-2.0.so.0.16.0', 'O0', 'O0', 0.9742331288343559, 6.363586664199829]
['UO', 9, 'CO', 332, 'strings', 'mkfifo', 'O1', 'O0', 0.9875486381322958, 2.4669785499572754]
['CO', 113, 'UO', 21, 'du', 'sdiff', 'O1', 'O1', 0.9599636032757052, 0.23653602600097656]
['UO', 9, 'BO', 40, 'strings', 'lua', 'O1', 'O0', 0.98067517595133, 12.708334922790527]
['UO', 48, 'CO', 185, 'ranlib', 'cat', 'O3', 'O1', 0.9917287014061208, 0.9918060302734375]
['UO', 72, 'CO', 282, 'strings', 'unexpand', 'O0', 'O2', 0.9968656503775467, 1.4480574131011963]
['UO', 73, 'CO', 162, 'objcopy', 'df', 'O0', 'O1', 0.9931381518755719, 4.009319543838501]
['CO', 336, 'BO', 3, 'tee', 'openssl', 'O0', 'O1', 0.9933473777580663, 3.397197723388672]
['CO', 173, 'BO', 20, 'who', 'sort', 'O1', 'O1', 0.9098436062557498, 0.22940516471862793]
['CO', 343, 'UO', 53, 'date', 'gprof', 'O0', 'O3', 0.9622496147919877, 2.076784133911133]
['BO', 82, 'CO', 106, 'cp', 'stat', 'O3', 'O1', 0.9278195488721804, 0.35922765731811523]
['BO', 51, 'CO', 15, 'lua', 'join', 'O1', 'O3', 0.9897172236503856, 0.9840312004089355]
['CO', 121, 'UO', 58, 'stdbuf', 'objdump', 'O1', 'O3', 0.980176801500134, 1.8128607273101807]
['CO', 323, 'UO', 71, 'groups', 'c++filt', 'O0', 'O0', 0.9888920535459983, 2.13339900970459]
['CO', 130, 'UO', 56, 'kill', 'elfedit', 'O1', 'O3', 0.9680638722554891, 0.08687758445739746]
['CO', 69, 'UO', 57, 'who', 'size', 'O3', 'O3', 0.9734190782422294, 1.2617080211639404]
['UO', 53, 'BO', 72, 'gprof', 'make', 'O3', 'O2', 0.969859743360191, 6.467003107070923]
['UO', 49, 'CO', 53, 'c++filt', 'chmod', 'O3', 'O3', 0.9936278674596432, 1.5074291229248047]
