['CO', 271, 'UO', 75, 'logname', 'gprof', 'O2', 'O0', 0.9934826883910387, 2.136131763458252]
['BO', 28, 'CO', 294, 'ruby', 'timeout', 'O0', 'O2', 0.9994576087324994, 5.664245367050171]
['CO', 81, 'BO', 44, 'cat', 'cmp', 'O3', 'O2', 0.9128856624319419, 0.06834197044372559]
['UO', 28, 'CO', 375, 'readelf', 'logname', 'O2', 'O0', 0.9858893427404382, 0.4592716693878174]
['UO', 83, 'BO', 0, 'diff', 'codeblocks', 'O0', 'O1', 0.9869745411486086, 16.845210552215576]
['BO', 23, 'UO', 30, 'git', 'ranlib', 'O2', 'O2', 0.9945502107251853, 73.65629243850708]
['CO', 383, 'UO', 79, 'readlink', 'size', 'O0', 'O0', 0.9860471605971816, 2.862766742706299]
['BO', 48, 'CO', 394, 'libvlccore.so.9.0.0', 'shuf', 'O0', 'O0', 0.9984478622830535, 6.303767442703247]
['BO', 71, 'CO', 172, 'libSDL2-2.0.so.0.16.0', 'yes', 'O0', 'O1', 0.9959423384943941, 2.084228515625]
['CO', 388, 'UO', 70, 'md5sum', 'ranlib', 'O0', 'O0', 0.9868808567603748, 2.4402215480804443]
['CO', 156, 'BO', 57, 'sha256sum', 'libvlccore.so.9.0.0', 'O1', 'O3', 0.9899725664553969, 3.1728382110595703]
['CO', 268, 'UO', 58, 'base64', 'objdump', 'O2', 'O3', 0.9835224203133441, 1.4403293132781982]
['CO', 264, 'UO', 54, 'cut', 'addr2line', 'O2', 'O3', 0.976274165202109, 0.9732177257537842]
['BO', 39, 'CO', 268, 'codeblocks', 'base64', 'O3', 'O2', 0.9985291413862842, 3.2595298290252686]
['UO', 47, 'CO', 243, 'as', 'base32', 'O3', 'O2', 0.9967289082731362, 1.3097844123840332]
['UO', 75, 'CO', 99, 'gprof', 'sort', 'O0', 'O3', 0.9960337134357957, 5.628140449523926]
['UO', 18, 'BO', 68, 'diff3', 'git', 'O1', 'O3', 0.9880404388040439, 8.064016103744507]
['UO', 17, 'CO', 1, 'objdump', 'touch', 'O1', 'O3', 0.9964074929432897, 2.9670143127441406]
['UO', 64, 'CO', 302, 'diff', 'rm', 'O3', 'O2', 0.9627240143369176, 0.3593466281890869]
['UO', 59, 'CO', 169, 'locate', 'false', 'O3', 'O1', 0.9861796643632774, 0.18176674842834473]
['CO', 22, 'BO', 69, 'pwd', 'cmp', 'O3', 'O3', 0.9073083778966132, 0.07214832305908203]
['BO', 71, 'CO', 27, 'libSDL2-2.0.so.0.16.0', 'wc', 'O0', 'O3', 0.9966322879393812, 3.0460598468780518]
['BO', 16, 'CO', 313, 'make', 'touch', 'O0', 'O0', 0.9766478342749529, 0.9465618133544922]
['CO', 116, 'BO', 67, 'ptx', 'libSDL2-2.0.so.0.16.0', 'O1', 'O1', 0.9716856628674265, 3.646001100540161]
['CO', 369, 'BO', 47, 'od', 'libvlc.so.12.0.0', 'O0', 'O0', 0.972568578553616, 1.090857744216919]
['CO', 153, 'UO', 3, 'nice', 'nm', 'O1', 'O1', 0.9673957903425505, 0.9813261032104492]
['UO', 61, 'CO', 231, 'find', 'pr', 'O3', 'O2', 0.9818181818181818, 0.7121360301971436]
['BO', 2, 'CO', 312, 'perl', 'sha384sum', 'O1', 'O0', 0.9978320401643085, 4.008461952209473]
['CO', 332, 'BO', 27, 'mkfifo', 'perl', 'O0', 'O3', 0.9791640517133174, 7.866872549057007]
['CO', 219, 'UO', 26, 'groups', 'nm', 'O2', 'O2', 0.9773067865553414, 0.9447698593139648]
['UO', 50, 'CO', 56, 'strings', 'cut', 'O3', 'O3', 0.9943392118441106, 1.0986206531524658]
['CO', 135, 'BO', 32, 'date', 'ruby', 'O1', 'O2', 0.9873089572451151, 10.028226613998413]
['BO', 60, 'CO', 46, 'openssl', 'whoami', 'O0', 'O3', 0.9987931207884945, 2.355837821960449]
['CO', 137, 'UO', 51, 'chown', 'objcopy', 'O1', 'O3', 0.9656711294198421, 2.2519218921661377]
['BO', 67, 'CO', 331, 'libSDL2-2.0.so.0.16.0', 'dd', 'O1', 'O0', 0.9917140151515151, 4.216899156570435]
['UO', 37, 'CO', 360, 'ar', 'ls', 'O2', 'O0', 0.9819444444444444, 4.617682218551636]
['BO', 53, 'CO', 259, 'bash', 'realpath', 'O0', 'O2', 0.9957492029755579, 2.8266823291778564]
['UO', 27, 'CO', 358, 'strip', 'whoami', 'O2', 'O0', 0.9939447907390917, 1.1248724460601807]
['UO', 36, 'CO', 69, 'addr2line', 'who', 'O2', 'O3', 0.9957582184517497, 1.25864577293396]
['BO', 77, 'CO', 287, 'libSDL2-2.0.so.0.16.0', 'link', 'O3', 'O2', 0.9967897271268058, 1.2953603267669678]
['UO', 64, 'CO', 235, 'diff', 'wc', 'O3', 'O2', 0.9748322147651006, 0.2202005386352539]
