['CO', 103, 'BO', 22, 'ln', 'perl', 'O3', 'O0', 0.9884654994850669, 5.364024639129639]
['BO', 33, 'CO', 274, 'sort', 'runcon', 'O2', 'O2', 0.9800664451827242, 0.08381962776184082]
['UO', 7, 'CO', 302, 'ranlib', 'rm', 'O1', 'O2', 0.9883458646616541, 1.6637272834777832]
['UO', 69, 'BO', 11, 'as', 'ssh', 'O0', 'O1', 0.9758837715428504, 48.95048499107361]
['CO', 183, 'BO', 81, 'link', 'sort', 'O1', 'O3', 0.9154929577464789, 0.16005444526672363]
['UO', 68, 'BO', 83, 'readelf', 'lua', 'O0', 'O2', 0.9593023255813954, 7.432314872741699]
['CO', 191, 'BO', 40, 'id', 'lua', 'O1', 'O0', 0.9786614936954413, 1.0774238109588623]
['BO', 8, 'CO', 373, 'cp', 'cksum', 'O0', 'O0', 0.9866041527126591, 0.25354695320129395]
['BO', 16, 'CO', 38, 'make', 'sha1sum', 'O0', 'O3', 0.9918962722852512, 0.54038405418396]
['UO', 58, 'CO', 310, 'objdump', 'mknod', 'O3', 'O2', 0.9975626269465132, 1.197497844696045]
['UO', 40, 'CO', 131, 'objdump', 'wc', 'O2', 'O1', 0.9962203023758099, 1.8809335231781006]
['BO', 41, 'CO', 130, 'libSDL2-2.0.so.0.16.0', 'kill', 'O2', 'O1', 0.9944820667168297, 1.6620121002197266]
['UO', 75, 'CO', 322, 'gprof', 'users', 'O0', 'O0', 0.9989261744966443, 1.6084818840026855]
['BO', 26, 'CO', 101, 'gvmap', 'rmdir', 'O3', 'O3', 0.9807295251204404, 0.2980771064758301]
['BO', 46, 'CO', 124, 'ruby', 'mkfifo', 'O3', 'O1', 0.9984981397412704, 4.769845008850098]
['CO', 156, 'BO', 69, 'sha256sum', 'cmp', 'O1', 'O3', 0.8911070780399274, 0.07394218444824219]
['UO', 40, 'CO', 390, 'objdump', 'chcon', 'O2', 'O0', 0.9932642487046632, 3.591508150100708]
['CO', 259, 'UO', 37, 'realpath', 'ar', 'O2', 'O2', 0.9712783171521036, 1.157017469406128]
['UO', 80, 'CO', 345, 'objdump', 'chown', 'O0', 'O0', 0.9974577810059924, 4.550278663635254]
['BO', 42, 'CO', 181, 'cmp', 'env', 'O1', 'O1', 0.9329388560157791, 0.06583333015441895]
['BO', 44, 'UO', 63, 'cmp', 'cmp', 'O2', 'O3', 0.8774080560420315, 0.06562042236328125]
['CO', 201, 'BO', 76, 'uniq', 'openssl', 'O1', 'O2', 0.9914191419141914, 4.018322944641113]
['BO', 50, 'CO', 369, 'perl', 'od', 'O2', 'O0', 0.9964756559195928, 4.702187538146973]
['CO', 344, 'BO', 33, 'expr', 'sort', 'O0', 'O2', 0.9029126213592233, 0.2679629325866699]
['BO', 71, 'UO', 85, 'libSDL2-2.0.so.0.16.0', 'locate', 'O0', 'O0', 0.9942051381108751, 8.70668625831604]
['BO', 64, 'CO', 143, 'dot', 'paste', 'O0', 'O1', 0.9737704918032787, 0.03590750694274902]
['CO', 392, 'BO', 25, 'uname', 'dot', 'O0', 'O3', 0.9864406779661017, 0.032651424407958984]
['BO', 34, 'CO', 412, 'cp', 'tac', 'O2', 'O0', 0.9763636363636363, 0.22970318794250488]
['BO', 40, 'CO', 27, 'lua', 'wc', 'O0', 'O3', 0.9942707089997613, 1.1448683738708496]
['BO', 73, 'CO', 295, 'cluster', 'id', 'O1', 'O2', 0.9676945668135095, 0.2837979793548584]
['CO', 190, 'BO', 81, 'timeout', 'sort', 'O1', 'O3', 0.9036144578313253, 0.22401762008666992]
['CO', 165, 'BO', 58, 'cksum', 'svn', 'O1', 'O1', 0.9792789059262329, 0.5995612144470215]
