['CO', 248, 'UO', 57, 'sync', 'size', 'O2', 'O3', 0.9827089337175793, 1.320396900177002]
['UO', 17, 'CO', 5, 'objdump', 'basename', 'O1', 'O3', 0.9968308464280998, 3.0218844413757324]
['CO', 190, 'BO', 0, 'timeout', 'codeblocks', 'O1', 'O1', 0.9926862526341886, 8.41447639465332]
['CO', 120, 'BO', 38, 'dirname', 'acyclic', 'O1', 'O2', 0.9857651245551602, 0.03406047821044922]
['BO', 16, 'CO', 380, 'make', 'yes', 'O0', 'O0', 0.9866777685262281, 0.4607574939727783]
['BO', 70, 'CO', 6, 'diff', 'mkdir', 'O3', 'O3', 0.959087332808812, 0.24913358688354492]
['CO', 390, 'BO', 37, 'chcon', 'gvmap', 'O0', 'O2', 0.9517937219730942, 0.6743581295013428]
['CO', 249, 'UO', 71, 'echo', 'c++filt', 'O2', 'O0', 0.9936388607777938, 1.431793451309204]
['BO', 38, 'CO', 280, 'acyclic', 'head', 'O2', 'O2', 0.9884057971014493, 0.03852248191833496]
['BO', 38, 'UO', 64, 'acyclic', 'diff', 'O2', 'O3', 0.9880952380952381, 0.1326460838317871]
['BO', 79, 'CO', 366, 'bash', 'true', 'O3', 'O0', 0.9960580541121663, 1.8995935916900635]
['BO', 65, 'CO', 127, 'gvmap', 'pr', 'O0', 'O1', 0.9640718562874252, 1.2017004489898682]
['UO', 25, 'CO', 376, 'sdiff', 'tty', 'O2', 'O0', 0.9291736930860034, 0.16797327995300293]
['CO', 173, 'BO', 31, 'who', 'bash', 'O1', 'O2', 0.9842475386779185, 5.394899845123291]
['BO', 63, 'CO', 384, 'cluster', 'head', 'O0', 'O0', 0.9767666989351403, 0.9859826564788818]
['UO', 82, 'CO', 256, 'cmp', 'ls', 'O0', 'O2', 0.907608695652174, 0.2466108798980713]
['UO', 26, 'BO', 77, 'nm', 'libSDL2-2.0.so.0.16.0', 'O2', 'O3', 0.9812711083819465, 29.9302396774292]
['CO', 331, 'UO', 17, 'dd', 'objdump', 'O0', 'O1', 0.9705658462319209, 3.5928125381469727]
['CO', 246, 'UO', 57, 'sha1sum', 'size', 'O2', 'O3', 0.9758824819118614, 0.9164071083068848]
['BO', 51, 'CO', 43, 'lua', 'chroot', 'O1', 'O3', 0.9917840375586855, 0.797727108001709]
['UO', 65, 'CO', 224, 'sdiff', 'dirname', 'O3', 'O2', 0.9605734767025089, 0.0616459846496582]
['CO', 115, 'UO', 2, 'groups', 'find', 'O1', 'O1', 0.9488040285354595, 0.5132424831390381]
['UO', 51, 'CO', 269, 'objcopy', 'cksum', 'O3', 'O2', 0.9960245753523672, 0.7873263359069824]
['UO', 43, 'CO', 222, 'find', 'stty', 'O2', 'O2', 0.9846022241231822, 0.5430197715759277]
['BO', 21, 'CO', 131, 'cp', 'wc', 'O1', 'O1', 0.9544626593806922, 0.21814942359924316]
['CO', 149, 'UO', 62, 'split', 'diff3', 'O1', 'O3', 0.8870346598202824, 0.126220703125]
['UO', 14, 'CO', 82, 'ar', 'shuf', 'O1', 'O3', 0.9916254282451465, 1.6651859283447266]
['CO', 229, 'BO', 52, 'mktemp', 'svn', 'O2', 'O3', 0.9866247049567269, 0.7486166954040527]
['BO', 28, 'CO', 210, 'ruby', 'stat', 'O0', 'O2', 0.9991247854041135, 9.666633605957031]
['CO', 291, 'BO', 10, 'csplit', 'openssl', 'O2', 'O3', 0.9901239986831998, 3.7041726112365723]
['UO', 3, 'CO', 33, 'nm', 'chown', 'O1', 'O3', 0.9902610050642774, 1.8335251808166504]
['CO', 308, 'BO', 21, 'tac', 'cp', 'O2', 'O1', 0.8994197292069632, 0.17654705047607422]
['CO', 221, 'UO', 37, 'printenv', 'ar', 'O2', 'O2', 0.9834402815152142, 0.7597095966339111]
['BO', 60, 'CO', 258, 'openssl', 'dircolors', 'O0', 'O2', 0.997586484312148, 2.535569429397583]
['UO', 70, 'CO', 166, 'ranlib', 'printf', 'O0', 'O1', 0.993543179983858, 1.8572993278503418]
['BO', 39, 'UO', 31, 'codeblocks', 'c++filt', 'O3', 'O2', 0.9890368050117463, 54.300238370895386]
['CO', 313, 'BO', 31, 'touch', 'bash', 'O0', 'O2', 0.9723400331919602, 4.265922784805298]
['CO', 101, 'UO', 45, 'rmdir', 'strip', 'O3', 'O3', 0.978681826256884, 1.2775797843933105]
['CO', 369, 'UO', 62, 'od', 'diff3', 'O0', 'O3', 0.9311981020166074, 0.15503644943237305]
['CO', 178, 'BO', 47, 'unexpand', 'libvlc.so.12.0.0', 'O1', 'O0', 0.9766502020655591, 0.6809594631195068]
['CO', 26, 'UO', 42, 'kill', 'xargs', 'O3', 'O2', 0.9459459459459459, 0.1444261074066162]
['CO', 193, 'BO', 21, 'pathchk', 'cp', 'O1', 'O1', 0.9042871385842473, 0.16137170791625977]
['UO', 82, 'CO', 181, 'cmp', 'env', 'O0', 'O1', 0.9389587073608617, 0.07944917678833008]
['BO', 72, 'CO', 170, 'make', 'runcon', 'O2', 'O1', 0.9827115559599636, 0.3799734115600586]
['CO', 67, 'UO', 9, 'nohup', 'strings', 'O3', 'O1', 0.9762450510523025, 1.082749843597412]
