['CO', 194, 'UO', 71, 'tr', 'c++filt', 'O1', 'O0', 0.9897756319227492, 2.1438851356506348]
['BO', 62, 'CO', 64, 'bash', 'tty', 'O1', 'O3', 0.9974908318857364, 1.9296989440917969]
['BO', 69, 'CO', 26, 'cmp', 'kill', 'O3', 'O3', 0.9260628465804066, 0.053072452545166016]
['CO', 332, 'UO', 59, 'mkfifo', 'locate', 'O0', 'O3', 0.9721059972105998, 0.4303715229034424]
['CO', 358, 'BO', 19, 'whoami', 'libvlccore.so.9.0.0', 'O0', 'O1', 0.9893771125060358, 2.090837001800537]
['CO', 132, 'UO', 85, 'factor', 'locate', 'O1', 'O0', 0.9519291587602783, 0.40384769439697266]
['CO', 35, 'UO', 38, 'base32', 'elfedit', 'O3', 'O2', 0.9784560143626571, 0.08258676528930664]
['BO', 48, 'CO', 354, 'libvlccore.so.9.0.0', 'sum', 'O0', 'O0', 0.9992858163119555, 3.744755983352661]
['CO', 168, 'BO', 78, 'tty', 'ssh', 'O1', 'O0', 0.9912539888902021, 1.6513419151306152]
['CO', 123, 'UO', 34, 'dd', 'ld', 'O1', 'O2', 0.9685233337895169, 2.7552435398101807]
['CO', 373, 'UO', 75, 'cksum', 'gprof', 'O0', 'O0', 0.9887157442235357, 2.0021984577178955]
['UO', 4, 'CO', 404, 'strip', 'sha512sum', 'O1', 'O0', 0.9921742089145968, 1.582089900970459]
['BO', 50, 'CO', 295, 'perl', 'id', 'O2', 'O2', 0.9984140619837442, 2.4170260429382324]
['BO', 10, 'UO', 60, 'openssl', 'xargs', 'O3', 'O3', 0.9961177612423164, 3.7641377449035645]
['BO', 1, 'CO', 69, 'ssh', 'who', 'O2', 'O3', 0.9976672984400058, 1.74326491355896]
['CO', 275, 'UO', 70, 'nohup', 'ranlib', 'O2', 'O0', 0.9929270946681176, 1.618793249130249]
['CO', 257, 'BO', 11, 'nice', 'ssh', 'O2', 'O1', 0.9859743360190988, 1.1044046878814697]
['UO', 45, 'CO', 158, 'strip', 'true', 'O3', 'O1', 0.9945867917719234, 0.9158744812011719]
['BO', 35, 'CO', 70, 'make', 'b2sum', 'O3', 'O3', 0.982256020278834, 0.600714921951294]
['UO', 56, 'BO', 17, 'elfedit', 'codeblocks', 'O3', 'O2', 0.9899541113729381, 3.8322508335113525]
['UO', 25, 'CO', 286, 'sdiff', 'chcon', 'O2', 'O2', 0.9301745635910225, 0.14353585243225098]
['BO', 24, 'CO', 292, 'cluster', 'vdir', 'O3', 'O2', 0.9420289855072463, 0.7484018802642822]
['CO', 200, 'BO', 47, 'fold', 'libvlc.so.12.0.0', 'O1', 'O0', 0.9746376811594203, 0.6367528438568115]
['CO', 118, 'BO', 21, 'stty', 'cp', 'O1', 'O1', 0.8928571428571429, 0.2326643466949463]
['CO', 172, 'UO', 85, 'yes', 'locate', 'O1', 'O0', 0.9669777458722182, 0.27428340911865234]
['UO', 51, 'CO', 15, 'objcopy', 'join', 'O3', 'O3', 0.9951304347826087, 1.5951683521270752]
['BO', 9, 'CO', 380, 'git', 'yes', 'O0', 'O0', 0.9994799115849694, 3.965596914291382]
['CO', 332, 'BO', 35, 'mkfifo', 'make', 'O0', 'O3', 0.9533282325937261, 1.1068110466003418]
['CO', 17, 'BO', 83, 'stdbuf', 'lua', 'O3', 'O2', 0.9611111111111111, 0.7509763240814209]
['BO', 71, 'UO', 11, 'libSDL2-2.0.so.0.16.0', 'ld', 'O0', 'O1', 0.9720123839009288, 57.40443158149719]
['CO', 6, 'UO', 80, 'mkdir', 'objdump', 'O3', 'O0', 0.9924193399278913, 4.007172584533691]
['CO', 30, 'BO', 66, 'expand', 'svn', 'O3', 'O2', 0.983883964544722, 0.7451686859130859]
['BO', 80, 'CO', 103, 'ssh', 'ln', 'O3', 'O3', 0.9915706659173925, 3.0115225315093994]
['BO', 78, 'UO', 75, 'ssh', 'gprof', 'O0', 'O0', 0.980082772891878, 46.555033683776855]
['CO', 119, 'UO', 30, 'join', 'ranlib', 'O1', 'O2', 0.9659727782225781, 1.4308736324310303]
['CO', 73, 'UO', 86, 'hostid', 'xargs', 'O3', 'O0', 0.9783653846153846, 0.1577301025390625]
['UO', 59, 'CO', 373, 'locate', 'cksum', 'O3', 'O0', 0.9775700934579439, 0.23647665977478027]
['CO', 138, 'BO', 52, 'tail', 'svn', 'O1', 'O3', 0.9816715542521994, 1.15175199508667]
['CO', 90, 'UO', 34, 'tr', 'ld', 'O3', 'O2', 0.9756677387777933, 1.916215181350708]
['CO', 83, 'UO', 84, 'csplit', 'sdiff', 'O3', 'O0', 0.9228070175438596, 0.16593074798583984]
['CO', 76, 'UO', 6, 'md5sum', 'as', 'O3', 'O1', 0.9794185747363005, 1.8909063339233398]
['CO', 170, 'UO', 56, 'runcon', 'elfedit', 'O1', 'O3', 0.9609544468546638, 0.07386469841003418]
['CO', 95, 'UO', 38, 'sha224sum', 'elfedit', 'O3', 'O2', 0.9826388888888888, 0.09569597244262695]
['BO', 39, 'CO', 300, 'codeblocks', 'sha512sum', 'O3', 'O2', 0.9986537755476685, 3.717176675796509]
['CO', 383, 'BO', 78, 'readlink', 'ssh', 'O0', 'O0', 0.983698183511877, 2.7501747608184814]
['UO', 69, 'CO', 112, 'as', 'dir', 'O0', 'O1', 0.9914946398511562, 7.246154546737671]
['CO', 181, 'UO', 42, 'env', 'xargs', 'O1', 'O2', 0.9716312056737588, 0.14022326469421387]
['CO', 101, 'UO', 0, 'rmdir', 'locate', 'O3', 'O1', 0.9540816326530612, 0.2612473964691162]
['UO', 67, 'CO', 21, 'strip', 'mktemp', 'O0', 'O3', 0.996950146627566, 2.4411394596099854]
['CO', 277, 'BO', 73, 'who', 'cluster', 'O2', 'O1', 0.9494584837545126, 0.31412792205810547]
['BO', 39, 'CO', 141, 'codeblocks', 'truncate', 'O3', 'O1', 0.9984077408291996, 3.5944294929504395]
['UO', 80, 'CO', 236, 'objdump', 'factor', 'O0', 'O2', 0.9966762071830856, 3.1689705848693848]
['CO', 29, 'UO', 60, 'nproc', 'xargs', 'O3', 'O3', 0.9621621621621621, 0.14070534706115723]
['BO', 81, 'CO', 177, 'sort', 'hostid', 'O3', 'O1', 0.9586466165413534, 0.15645766258239746]
['UO', 25, 'CO', 30, 'sdiff', 'expand', 'O2', 'O3', 0.9319938176197836, 0.09078049659729004]
['CO', 11, 'UO', 35, 'groups', 'gprof', 'O3', 'O2', 0.9773314774309008, 1.1818463802337646]
['UO', 19, 'CO', 396, 'cmp', 'vdir', 'O1', 'O0', 0.9212827988338192, 0.31664419174194336]
['BO', 39, 'CO', 410, 'codeblocks', 'sleep', 'O3', 'O0', 0.9981642393831844, 3.8211889266967773]
['UO', 74, 'CO', 83, 'ld', 'csplit', 'O0', 'O3', 0.9976610466816099, 3.387747287750244]
['CO', 137, 'BO', 31, 'chown', 'bash', 'O1', 'O2', 0.9717686133407141, 4.124828815460205]
['UO', 68, 'CO', 278, 'readelf', 'b2sum', 'O0', 'O2', 0.9927797833935018, 0.9455101490020752]
['BO', 28, 'CO', 174, 'ruby', 'b2sum', 'O0', 'O1', 0.998173392416196, 7.268076181411743]
['CO', 409, 'BO', 24, 'uniq', 'cluster', 'O0', 'O3', 0.9749128919860627, 0.4067051410675049]
['BO', 16, 'CO', 33, 'make', 'chown', 'O0', 'O3', 0.9887892376681614, 0.9325971603393555]
['CO', 42, 'BO', 6, 'sum', 'codeblocks', 'O3', 'O0', 0.9971683032655857, 8.86993956565857]
['UO', 66, 'CO', 42, 'nm', 'sum', 'O0', 'O3', 0.9972409987584494, 1.9122793674468994]
