['CO', 292, 'UO', 16, 'vdir', 'size', 'O2', 'O1', 0.9545795795795796, 3.0528810024261475]
['CO', 74, 'BO', 12, 'unexpand', 'libgeany.so.0.0.0', 'O3', 'O0', 0.9966119742510043, 5.727667331695557]
['UO', 38, 'CO', 250, 'elfedit', 'sum', 'O2', 'O2', 0.9689922480620154, 0.08023262023925781]
['CO', 110, 'UO', 23, 'mkdir', 'cmp', 'O1', 'O2', 0.9298831385642738, 0.07886505126953125]
['BO', 68, 'CO', 272, 'git', 'tty', 'O3', 'O2', 0.9991309259983487, 2.7840137481689453]
['BO', 23, 'CO', 67, 'git', 'nohup', 'O2', 'O3', 0.9989617131732641, 4.242258787155151]
['BO', 80, 'CO', 45, 'ssh', 'split', 'O3', 'O3', 0.9931281317108088, 2.1909990310668945]
['UO', 24, 'CO', 398, 'diff', 'timeout', 'O2', 'O0', 0.9671322925225966, 0.24267053604125977]
['BO', 58, 'CO', 281, 'svn', 'hostid', 'O1', 'O2', 0.995766299745978, 0.38573527336120605]
['BO', 80, 'CO', 329, 'ssh', 'stdbuf', 'O3', 'O0', 0.9950393930551503, 1.5487096309661865]
['CO', 319, 'UO', 74, 'fmt', 'ld', 'O0', 'O0', 0.9901477832512315, 2.782550811767578]
['CO', 292, 'UO', 62, 'vdir', 'diff3', 'O2', 'O3', 0.9626802374893978, 0.2328777313232422]
['BO', 65, 'UO', 48, 'gvmap', 'ranlib', 'O0', 'O3', 0.9480069324090121, 6.495358228683472]
['CO', 296, 'UO', 35, 'shred', 'gprof', 'O2', 'O2', 0.970828471411902, 1.643432378768921]
['UO', 16, 'CO', 201, 'size', 'uniq', 'O1', 'O1', 0.9897225077081192, 1.2915902137756348]
['UO', 2, 'CO', 13, 'find', 'printenv', 'O1', 'O3', 0.9932318104906938, 0.38535618782043457]
['BO', 63, 'CO', 349, 'cluster', 'truncate', 'O0', 'O0', 0.9786368260427264, 0.4195232391357422]
['BO', 80, 'UO', 11, 'ssh', 'ld', 'O3', 'O1', 0.958625785001847, 34.920177936553955]
['CO', 393, 'UO', 41, 'cat', 'locate', 'O0', 'O2', 0.9566724436741768, 0.2944788932800293]
['CO', 4, 'BO', 66, 'test', 'svn', 'O3', 'O2', 0.9768092762894842, 0.7436892986297607]
['UO', 28, 'BO', 81, 'readelf', 'sort', 'O2', 'O3', 0.9814482345900658, 1.6655795574188232]
['CO', 5, 'UO', 83, 'basename', 'diff', 'O3', 'O0', 0.9236165237724084, 0.23964619636535645]
['BO', 56, 'CO', 350, 'libvlc.so.12.0.0', 'sha1sum', 'O3', 'O0', 0.9943449575871819, 0.6696841716766357]
['BO', 11, 'CO', 118, 'ssh', 'stty', 'O1', 'O1', 0.9912421544300102, 1.8005967140197754]
['BO', 4, 'CO', 82, 'libgeany.so.0.0.0', 'shuf', 'O2', 'O3', 0.9988699288055147, 8.71672797203064]
['UO', 32, 'BO', 52, 'strings', 'svn', 'O2', 'O3', 0.9897513187641296, 7.626603603363037]
['UO', 62, 'CO', 349, 'diff3', 'truncate', 'O3', 'O0', 0.9406528189910979, 0.10855603218078613]
['UO', 29, 'CO', 281, 'as', 'hostid', 'O2', 'O2', 0.9970181621035511, 1.0599939823150635]
['BO', 15, 'UO', 81, 'diff', 'diff3', 'O0', 'O0', 0.9790438768827767, 0.41629743576049805]
['CO', 367, 'UO', 29, 'cp', 'as', 'O0', 'O2', 0.9558180744240993, 7.3821940422058105]
['BO', 19, 'UO', 34, 'libvlccore.so.9.0.0', 'ld', 'O1', 'O2', 0.9769058560150818, 58.729329347610474]
['CO', 124, 'BO', 22, 'mkfifo', 'perl', 'O1', 'O0', 0.9933816799267761, 3.1525533199310303]
['BO', 11, 'CO', 94, 'ssh', 'rm', 'O1', 'O3', 0.9914821124361158, 2.6625308990478516]
['CO', 138, 'BO', 66, 'tail', 'svn', 'O1', 'O2', 0.9767354596622889, 1.1938838958740234]
['CO', 314, 'BO', 27, 'stat', 'perl', 'O0', 'O3', 0.9826709361461669, 7.469700336456299]
['CO', 213, 'UO', 76, 'basename', 'addr2line', 'O2', 'O0', 0.9928335961014763, 1.514310359954834]
['CO', 43, 'UO', 32, 'chroot', 'strings', 'O3', 'O2', 0.9686963979416809, 1.2637395858764648]
['BO', 62, 'CO', 241, 'bash', 'chown', 'O1', 'O2', 0.9948979591836735, 3.6880648136138916]
['BO', 53, 'CO', 199, 'bash', 'sha224sum', 'O0', 'O1', 0.9964019952571755, 2.867438793182373]
['UO', 44, 'CO', 99, 'nm', 'sort', 'O3', 'O3', 0.9863273832130649, 2.9315671920776367]
['CO', 49, 'UO', 15, 'nice', 'elfedit', 'O3', 'O1', 0.9539347408829175, 0.08218145370483398]
['CO', 180, 'UO', 18, 'md5sum', 'diff3', 'O1', 'O1', 0.8873668188736682, 0.10419821739196777]
['BO', 17, 'UO', 41, 'codeblocks', 'locate', 'O2', 'O2', 0.9976095141337477, 11.116362571716309]
['UO', 44, 'BO', 64, 'nm', 'dot', 'O3', 'O0', 0.9977633639006933, 0.31969499588012695]
['BO', 45, 'CO', 256, 'diff', 'ls', 'O2', 'O2', 0.9501216545012166, 0.5696160793304443]
['UO', 55, 'CO', 117, 'ar', 'printenv', 'O3', 'O1', 0.994585589337776, 0.8710200786590576]
['UO', 77, 'BO', 45, 'ar', 'diff', 'O0', 'O2', 0.9892861592126573, 5.260804176330566]
['BO', 1, 'CO', 97, 'ssh', 'uniq', 'O2', 'O3', 0.9976754322243208, 1.8642282485961914]
['UO', 77, 'CO', 379, 'ar', 'nohup', 'O0', 'O0', 0.9989197947610046, 1.7139801979064941]
['CO', 14, 'UO', 38, 'stty', 'elfedit', 'O3', 'O2', 0.9779527559055118, 0.11375737190246582]
['UO', 15, 'CO', 342, 'elfedit', 'expand', 'O1', 'O0', 0.9717813051146384, 0.10637187957763672]
['CO', 390, 'UO', 25, 'chcon', 'sdiff', 'O0', 'O2', 0.9433198380566802, 0.2240900993347168]
['BO', 2, 'CO', 350, 'perl', 'sha1sum', 'O1', 'O0', 0.9978308026030369, 4.119818925857544]
['BO', 64, 'UO', 30, 'dot', 'ranlib', 'O0', 'O2', 0.9915736254476512, 0.4285454750061035]
