['UO', 79, 'CO', 192, 'size', 'shred', 'O0', 'O1', 0.9936490404528511, 3.5626373291015625]
['CO', 396, 'BO', 34, 'vdir', 'cp', 'O0', 'O2', 0.9450134770889488, 0.7706248760223389]
['CO', 398, 'BO', 55, 'timeout', 'make', 'O0', 'O1', 0.9653641207815276, 0.6567902565002441]
['BO', 9, 'CO', 342, 'git', 'expand', 'O0', 'O0', 0.99948114839156, 4.932308197021484]
['UO', 8, 'CO', 251, 'c++filt', 'chroot', 'O1', 'O2', 0.9940828402366864, 1.0692925453186035]
['UO', 51, 'CO', 340, 'objcopy', 'factor', 'O3', 'O0', 0.990849008642603, 2.310770273208618]
['CO', 188, 'UO', 2, 'vdir', 'find', 'O1', 'O1', 0.950033760972316, 1.5098698139190674]
['UO', 67, 'CO', 139, 'strip', 'base32', 'O0', 'O1', 0.9950254648821509, 1.9014089107513428]
['UO', 66, 'CO', 294, 'nm', 'timeout', 'O0', 'O2', 0.9963918956425202, 2.2879467010498047]
['CO', 368, 'BO', 24, 'cut', 'cluster', 'O0', 'O3', 0.9490084985835694, 0.6704897880554199]
['CO', 73, 'UO', 1, 'hostid', 'xargs', 'O3', 'O1', 0.970108695652174, 0.23793458938598633]
['BO', 44, 'CO', 21, 'cmp', 'mktemp', 'O2', 'O3', 0.9192245557350566, 0.16605377197265625]
['CO', 14, 'UO', 50, 'stty', 'strings', 'O3', 'O3', 0.9724790367662868, 2.5861451625823975]
['BO', 39, 'CO', 17, 'codeblocks', 'stdbuf', 'O3', 'O3', 0.9990245686764616, 4.240569114685059]
['CO', 360, 'UO', 42, 'ls', 'xargs', 'O0', 'O2', 0.9808917197452229, 0.5644965171813965]
['UO', 8, 'CO', 278, 'c++filt', 'b2sum', 'O1', 'O2', 0.9920435510887772, 1.1539077758789062]
['CO', 396, 'UO', 7, 'vdir', 'ranlib', 'O0', 'O1', 0.9588740940502275, 5.290731906890869]
['CO', 282, 'UO', 39, 'unexpand', 'size', 'O2', 'O2', 0.979636048526863, 1.819814920425415]
['BO', 4, 'CO', 58, 'libgeany.so.0.0.0', 'df', 'O2', 'O3', 0.9991019980543291, 12.097618818283081]
['CO', 341, 'BO', 59, 'nproc', 'libgeany.so.0.0.0', 'O0', 'O3', 0.9929884124289615, 8.482562065124512]
['UO', 46, 'BO', 8, 'readelf', 'cp', 'O3', 'O0', 0.97, 2.517688274383545]
['BO', 36, 'CO', 364, 'cluster', 'sha256sum', 'O2', 'O0', 0.9549612948627727, 0.37966394424438477]
['CO', 96, 'UO', 16, 'fold', 'size', 'O3', 'O1', 0.975533900062202, 1.0995750427246094]
['CO', 291, 'BO', 39, 'csplit', 'codeblocks', 'O2', 'O3', 0.9935530957304464, 6.22681999206543]
['CO', 240, 'UO', 53, 'expr', 'gprof', 'O2', 'O3', 0.9711884753901561, 1.2503125667572021]
['UO', 73, 'CO', 264, 'objcopy', 'cut', 'O0', 'O2', 0.9966753740204227, 1.770010232925415]
['CO', 210, 'UO', 82, 'stat', 'cmp', 'O2', 'O0', 0.9553903345724907, 0.14576101303100586]
['CO', 370, 'BO', 25, 'df', 'dot', 'O0', 'O3', 0.994579945799458, 0.07836008071899414]
['CO', 18, 'UO', 47, 'uptime', 'as', 'O3', 'O3', 0.9769251408639656, 1.947082757949829]
['UO', 82, 'CO', 189, 'cmp', '[', 'O0', 'O1', 0.8883720930232558, 0.10478425025939941]
['CO', 177, 'BO', 30, 'hostid', 'libvlccore.so.9.0.0', 'O1', 'O2', 0.9919339350873824, 2.198853015899658]
['BO', 1, 'CO', 152, 'ssh', 'ls', 'O2', 'O1', 0.985560550333742, 4.2008888721466064]
['UO', 57, 'CO', 293, 'size', '[', 'O3', 'O2', 0.9904243743199129, 0.9764692783355713]
['UO', 61, 'CO', 388, 'find', 'md5sum', 'O3', 'O0', 0.9786416061512174, 0.6112728118896484]
['UO', 6, 'CO', 313, 'as', 'touch', 'O1', 'O0', 0.9964810858363705, 2.9294238090515137]
['CO', 215, 'BO', 64, 'fmt', 'dot', 'O2', 'O0', 1.0, 0.02948474884033203]
['CO', 394, 'UO', 63, 'shuf', 'cmp', 'O0', 'O3', 0.9428571428571428, 0.136260986328125]
['CO', 220, 'UO', 12, 'ptx', 'gprof', 'O2', 'O1', 0.9684032349069024, 1.7209117412567139]
['UO', 57, 'CO', 204, 'size', 'tac', 'O3', 'O1', 0.992179013686726, 1.058720588684082]
['UO', 45, 'CO', 186, 'strip', 'shuf', 'O3', 'O1', 0.9913088823222667, 1.7409052848815918]
['CO', 284, 'UO', 41, 'md5sum', 'locate', 'O2', 'O2', 0.9619220308250227, 0.21814227104187012]
['UO', 16, 'CO', 400, 'size', 'shred', 'O1', 'O0', 0.9837527243907271, 1.9482495784759521]
['BO', 82, 'CO', 379, 'cp', 'nohup', 'O3', 'O0', 0.9542543458371455, 0.19460678100585938]
['UO', 63, 'BO', 10, 'cmp', 'openssl', 'O3', 'O3', 0.9918358340688438, 3.287700891494751]
['UO', 11, 'CO', 249, 'ld', 'echo', 'O1', 'O2', 0.9972012314581584, 1.0454885959625244]
['CO', 44, 'BO', 30, 'seq', 'libvlccore.so.9.0.0', 'O3', 'O2', 0.9927708551317417, 2.8136589527130127]
['BO', 67, 'CO', 374, 'libSDL2-2.0.so.0.16.0', 'printf', 'O1', 'O0', 0.9919629810034096, 2.4699692726135254]
['UO', 75, 'CO', 404, 'gprof', 'sha512sum', 'O0', 'O0', 0.9984067976633032, 2.051215648651123]
['CO', 197, 'BO', 43, 'nl', 'diff', 'O1', 'O1', 0.9168831168831169, 0.21800565719604492]
['CO', 19, 'BO', 36, 'dd', 'cluster', 'O3', 'O2', 0.9534313725490196, 0.5186116695404053]
['CO', 2, 'UO', 87, 'stat', 'find', 'O3', 'O0', 0.9846484494933988, 1.3164288997650146]
['CO', 283, 'UO', 77, 'mv', 'ar', 'O2', 'O0', 0.9799206742687159, 5.671913146972656]
['BO', 41, 'CO', 220, 'libSDL2-2.0.so.0.16.0', 'ptx', 'O2', 'O2', 0.9923889025288485, 2.564236640930176]
['CO', 326, 'UO', 7, 'stty', 'ranlib', 'O0', 'O1', 0.9627639155470249, 1.641700029373169]
['UO', 85, 'CO', 402, 'locate', 'tr', 'O0', 'O0', 0.9872122762148338, 0.43285393714904785]
['UO', 46, 'CO', 410, 'readelf', 'sleep', 'O3', 'O0', 0.9863554757630162, 0.5425331592559814]
['UO', 79, 'CO', 297, 'size', 'pathchk', 'O0', 'O2', 0.9971505912523152, 1.1868531703948975]
['UO', 14, 'CO', 283, 'ar', 'mv', 'O1', 'O2', 0.9816163718348943, 3.5991456508636475]
['UO', 45, 'CO', 116, 'strip', 'ptx', 'O3', 'O1', 0.9927385892116183, 1.842860460281372]
['CO', 6, 'UO', 0, 'mkdir', 'locate', 'O3', 'O1', 0.9488409272581935, 0.31720709800720215]
['UO', 15, 'CO', 414, 'elfedit', 'mknod', 'O1', 'O0', 0.9606557377049181, 0.22446775436401367]
['CO', 42, 'BO', 36, 'sum', 'cluster', 'O3', 'O2', 0.956989247311828, 0.31841254234313965]
['UO', 0, 'BO', 78, 'locate', 'ssh', 'O1', 'O0', 0.9650883700632773, 6.332673788070679]
['UO', 62, 'CO', 176, 'diff3', 'head', 'O3', 'O1', 0.9123055162659123, 0.11053705215454102]
