['UO', 30, 'CO', 406, 'ranlib', 'rm', 'O2', 'O0', 0.9855458349182199, 4.218855381011963]
['UO', 19, 'CO', 106, 'cmp', 'stat', 'O1', 'O1', 0.9051282051282051, 0.2791624069213867]
['CO', 373, 'UO', 80, 'cksum', 'objdump', 'O0', 'O0', 0.9923450336071695, 3.9442148208618164]
['CO', 202, 'BO', 10, 'sleep', 'openssl', 'O1', 'O3', 0.993103448275862, 2.715460777282715]
['UO', 10, 'CO', 375, 'objcopy', 'logname', 'O1', 'O0', 0.9923677363399827, 1.1251604557037354]
['UO', 76, 'CO', 370, 'addr2line', 'df', 'O0', 'O0', 0.9965189449725532, 3.7073400020599365]
['BO', 82, 'CO', 315, 'cp', 'unlink', 'O3', 'O0', 0.9658767772511848, 0.17085695266723633]
['UO', 63, 'CO', 310, 'cmp', 'mknod', 'O3', 'O2', 0.920335429769392, 0.06707119941711426]
['BO', 41, 'CO', 13, 'libSDL2-2.0.so.0.16.0', 'printenv', 'O2', 'O3', 0.9969841668760995, 1.573439359664917]
['CO', 394, 'UO', 21, 'shuf', 'sdiff', 'O0', 'O1', 0.9470655926352128, 0.3588144779205322]
['UO', 15, 'CO', 50, 'elfedit', 'dircolors', 'O1', 'O3', 0.9755671902268761, 0.19110631942749023]
['CO', 245, 'BO', 81, 'truncate', 'sort', 'O2', 'O3', 0.9071969696969697, 0.29096245765686035]
['CO', 174, 'UO', 81, 'b2sum', 'diff3', 'O1', 'O0', 0.9177057356608479, 0.30736541748046875]
['CO', 59, 'UO', 24, 'tsort', 'diff', 'O3', 'O2', 0.9190353143841516, 0.30496764183044434]
['BO', 56, 'CO', 129, 'libvlc.so.12.0.0', 'chgrp', 'O3', 'O1', 0.9937943262411347, 0.7628157138824463]
['BO', 21, 'CO', 189, 'cp', '[', 'O1', 'O1', 0.9583333333333334, 0.19176578521728516]
['BO', 69, 'CO', 241, 'cmp', 'chown', 'O3', 'O2', 0.8931506849315068, 0.11031651496887207]
['BO', 65, 'UO', 79, 'gvmap', 'size', 'O0', 'O0', 0.9678246677547214, 9.305150508880615]
['CO', 408, 'UO', 52, 'fold', 'ld', 'O0', 'O3', 0.9764441951766686, 1.7834563255310059]
['CO', 398, 'UO', 48, 'timeout', 'ranlib', 'O0', 'O3', 0.9753585134316299, 1.585923671722412]
['UO', 63, 'CO', 117, 'cmp', 'printenv', 'O3', 'O1', 0.9287211740041929, 0.0873866081237793]
['CO', 325, 'BO', 83, 'printenv', 'lua', 'O0', 'O2', 0.9594423320659062, 0.5387961864471436]
['UO', 17, 'CO', 125, 'objdump', 'mktemp', 'O1', 'O1', 0.9950274797173515, 1.7911128997802734]
['BO', 61, 'CO', 14, 'git', 'stty', 'O1', 'O3', 0.9990517650101288, 5.571190118789673]
['UO', 28, 'CO', 186, 'readelf', 'shuf', 'O2', 'O1', 0.9818941504178273, 0.8669569492340088]
['UO', 6, 'BO', 28, 'as', 'ruby', 'O1', 'O0', 0.9762507830160416, 161.52417969703674]
['CO', 370, 'BO', 80, 'df', 'ssh', 'O0', 'O3', 0.9647906847795953, 3.9932119846343994]
['BO', 17, 'CO', 370, 'codeblocks', 'df', 'O2', 'O0', 0.9978210870354679, 9.684073209762573]
['CO', 378, 'BO', 25, 'runcon', 'dot', 'O0', 'O3', 0.987987987987988, 0.04005241394042969]
['UO', 16, 'CO', 368, 'size', 'cut', 'O1', 'O0', 0.9881074431002665, 1.3971023559570312]
['CO', 189, 'UO', 68, '[', 'readelf', 'O1', 'O0', 0.9697435897435898, 1.0729808807373047]
['BO', 15, 'UO', 7, 'diff', 'ranlib', 'O0', 'O1', 0.9566028140362773, 4.741318464279175]
['UO', 27, 'CO', 121, 'strip', 'stdbuf', 'O2', 'O1', 0.9939992940345923, 1.3186464309692383]
['UO', 58, 'CO', 104, 'objdump', 'sha384sum', 'O3', 'O1', 0.9949054833087545, 1.77457594871521]
['CO', 132, 'UO', 8, 'factor', 'c++filt', 'O1', 'O1', 0.9684426229508196, 1.9622299671173096]
['BO', 69, 'CO', 69, 'cmp', 'who', 'O3', 'O3', 0.9092382495948136, 0.08365225791931152]
['UO', 78, 'CO', 107, 'elfedit', 'unlink', 'O0', 'O1', 0.9801980198019802, 0.08281397819519043]
['CO', 163, 'UO', 40, 'tsort', 'objdump', 'O1', 'O2', 0.9779771615008157, 1.7585055828094482]
['CO', 391, 'BO', 9, 'link', 'git', 'O0', 'O0', 0.9921966445571596, 4.460606575012207]
['CO', 204, 'UO', 62, 'tac', 'diff3', 'O1', 'O3', 0.9295154185022027, 0.1095738410949707]
['CO', 401, 'BO', 75, 'pathchk', 'gvmap', 'O0', 'O1', 0.9472588480222068, 0.3182861804962158]
['BO', 80, 'CO', 93, 'ssh', 'nl', 'O3', 'O3', 0.9970717423133235, 1.574592113494873]
['BO', 25, 'CO', 87, 'dot', 'id', 'O3', 'O3', 0.9891304347826086, 0.037380218505859375]
['CO', 281, 'UO', 59, 'hostid', 'locate', 'O2', 'O3', 0.9676767676767677, 0.16388988494873047]
['CO', 391, 'BO', 53, 'link', 'bash', 'O0', 'O0', 0.989821047447053, 2.7511329650878906]
['UO', 66, 'BO', 63, 'nm', 'cluster', 'O0', 'O0', 0.9819611470860314, 9.335573434829712]
['BO', 80, 'CO', 346, 'ssh', 'tail', 'O3', 'O0', 0.9916259595254711, 3.430492639541626]
['BO', 52, 'CO', 255, 'svn', 'numfmt', 'O3', 'O2', 0.9929660023446659, 0.7259330749511719]
['UO', 35, 'CO', 130, 'gprof', 'kill', 'O2', 'O1', 0.9956017592962815, 1.0473041534423828]
['BO', 19, 'CO', 191, 'libvlccore.so.9.0.0', 'id', 'O1', 'O1', 0.9967332820906994, 2.72403883934021]
['BO', 27, 'UO', 20, 'perl', 'diff', 'O3', 'O1', 0.9939614270749892, 9.663069009780884]
['CO', 373, 'BO', 53, 'cksum', 'bash', 'O0', 'O0', 0.9870566068649136, 2.913137912750244]
['BO', 22, 'CO', 343, 'perl', 'date', 'O0', 'O0', 0.998343913883522, 5.295283555984497]
['CO', 55, 'UO', 26, 'cp', 'nm', 'O3', 'O2', 0.9619370642547579, 3.105139970779419]
['CO', 359, 'UO', 12, 'numfmt', 'gprof', 'O0', 'O1', 0.965201122544434, 1.9623744487762451]
['UO', 26, 'CO', 378, 'nm', 'runcon', 'O2', 'O0', 0.9923906150919467, 1.1425883769989014]
['BO', 83, 'CO', 303, 'lua', 'sha224sum', 'O2', 'O2', 0.9899339414910349, 0.6641309261322021]
['CO', 172, 'UO', 83, 'yes', 'diff', 'O1', 'O0', 0.9090183559457302, 0.22740912437438965]
['BO', 21, 'CO', 303, 'cp', 'sha224sum', 'O1', 'O2', 0.9612027158098932, 0.16774725914001465]
['UO', 23, 'BO', 7, 'cmp', 'sort', 'O2', 'O0', 0.9406392694063928, 0.2864551544189453]
['BO', 18, 'CO', 165, 'libvlc.so.12.0.0', 'cksum', 'O1', 'O1', 0.988659793814433, 0.47800445556640625]
['UO', 9, 'CO', 221, 'strings', 'printenv', 'O1', 'O2', 0.9957346982298998, 0.7885048389434814]
['UO', 87, 'CO', 35, 'find', 'base32', 'O0', 'O3', 0.994059405940594, 0.6892015933990479]
['CO', 410, 'UO', 39, 'sleep', 'size', 'O0', 'O2', 0.9745360379801468, 1.0824413299560547]
['CO', 157, 'UO', 26, 'chmod', 'nm', 'O1', 'O2', 0.961939840392879, 1.8516864776611328]
['CO', 247, 'UO', 20, 'paste', 'diff', 'O2', 'O1', 0.9271402550091075, 0.16690731048583984]
['CO', 16, 'BO', 56, 'dirname', 'libvlc.so.12.0.0', 'O3', 'O3', 0.9881246907471549, 0.4990572929382324]
['UO', 17, 'CO', 180, 'objdump', 'md5sum', 'O1', 'O1', 0.9952644041041832, 1.7011022567749023]
['CO', 259, 'BO', 52, 'realpath', 'svn', 'O2', 'O3', 0.9866194411648957, 0.7977497577667236]
