['CV', 273, 'BV', 46, 'stty', 'cluster', 'V1', 'V3', 0.9609902475618904, 0.23090577125549316]
['BV', 22, 'CV', 57, 'cmp', 'who', 'V3', 'V2', 0.9055944055944056, 0.14414596557617188]
['CV', 36, 'UV', 68, 'chroot', 'diff', 'V2', 'V0', 0.9035433070866141, 0.18887805938720703]
['BV', 59, 'CV', 312, 'make', 'printf', 'V1', 'V1', 0.9951243295953194, 0.6068050861358643]
['BV', 4, 'CV', 296, 'geany', 'sum', 'V3', 'V1', 0.9995004579135792, 6.0605387687683105]
['BV', 17, 'CV', 253, 'codeblocks', 'fold', 'V2', 'V0', 0.9992375142966069, 1.9226419925689697]
['CV', 239, 'UV', 69, 'env', 'sdiff', 'V0', 'V0', 0.8745247148288974, 0.05683398246765137]
['BV', 28, 'CV', 283, 'openssl', 'kill', 'V1', 'V1', 0.9996007386335279, 2.1350629329681396]
['CV', 98, 'UV', 61, 'printenv', 'addr2line', 'V3', 'V1', 0.9771959459459459, 0.8254303932189941]
['CV', 152, 'BV', 22, 'env', 'cmp', 'V3', 'V3', 0.8996282527881041, 0.0625298023223877]
['CV', 157, 'UV', 79, 'vdir', 'strings', 'V3', 'V0', 0.9641744548286605, 2.930389881134033]
['CV', 35, 'BV', 45, 'sum', 'svn', 'V2', 'V3', 0.9866853538892782, 0.6934094429016113]
['CV', 41, 'UV', 34, 'nice', 'elfedit', 'V2', 'V3', 0.9665970772442589, 0.0650026798248291]
['CV', 332, 'BV', 72, '[', 'perl', 'V1', 'V1', 0.990287690383342, 1.7882213592529297]
['CV', 271, 'UV', 87, 'ptx', 'objdump', 'V1', 'V0', 0.9643698468786808, 2.6360507011413574]
['CV', 8, 'BV', 61, 'du', 'cmp', 'V2', 'V0', 0.9898348157560356, 0.07138180732727051]
['UV', 9, 'CV', 222, 'readelf', 'df', 'V2', 'V0', 0.9845559845559846, 0.34459877014160156]
['CV', 62, 'UV', 58, 'unexpand', 'objcopy', 'V2', 'V1', 0.9823558242117301, 1.0397377014160156]
['UV', 76, 'BV', 49, 'as', 'make', 'V0', 'V3', 0.9901012373453318, 9.031048059463501]
['CV', 342, 'UV', 18, 'sleep', 'ar', 'V1', 'V2', 0.9783982066435704, 0.7129380702972412]
['BV', 46, 'UV', 0, 'cluster', 'locate', 'V3', 'V2', 0.9720194647201946, 0.5406699180603027]
['CV', 20, 'UV', 32, 'tee', 'addr2line', 'V2', 'V3', 0.9755725190839695, 0.8346085548400879]
['BV', 62, 'CV', 238, 'diff', 'md5sum', 'V0', 'V0', 0.9761194029850746, 0.07997775077819824]
['BV', 61, 'CV', 114, 'cmp', 'expr', 'V0', 'V3', 0.8938428874734607, 0.048252105712890625]
['UV', 40, 'CV', 249, 'diff3', 'tr', 'V3', 'V0', 0.9326923076923077, 0.07587552070617676]
['UV', 33, 'CV', 229, 'ar', 'nohup', 'V3', 'V0', 0.9966901117087298, 0.6875426769256592]
['BV', 32, 'CV', 218, 'perl', 'true', 'V0', 'V0', 0.9986669205865549, 0.9585778713226318]
['BV', 17, 'CV', 344, 'codeblocks', 'tac', 'V2', 'V1', 0.9985082975946299, 6.150792837142944]
['BV', 37, 'CV', 220, 'geany', 'cut', 'V1', 'V0', 0.9994370954123276, 3.51652455329895]
['UV', 63, 'CV', 9, 'elfedit', 'users', 'V1', 'V2', 0.9742489270386266, 0.07168889045715332]
['BV', 15, 'UV', 85, 'libvlccore.so', 'elfedit', 'V3', 'V0', 0.9993145207357478, 1.698108196258545]
['UV', 43, 'CV', 245, 'sdiff', '[', 'V3', 'V0', 0.9340277777777778, 0.06579780578613281]
['UV', 25, 'CV', 26, 'as', 'date', 'V3', 'V2', 0.9967987194877951, 1.669419765472412]
['BV', 48, 'CV', 77, 'gvmap', 'nl', 'V3', 'V2', 0.9713631156930126, 0.5396022796630859]
['UV', 55, 'CV', 117, 'ranlib', 'pinky', 'V1', 'V3', 0.9949169110459433, 1.2249131202697754]
['UV', 69, 'CV', 183, 'sdiff', 'users', 'V0', 'V0', 0.9464285714285714, 0.05727243423461914]
['UV', 72, 'CV', 53, 'find', 'tty', 'V0', 'V2', 0.9871794871794872, 0.1503582000732422]
['CV', 130, 'UV', 85, 'chmod', 'elfedit', 'V3', 'V0', 0.9857752489331437, 0.12561655044555664]
['CV', 321, 'BV', 2, 'hostid', 'cmp', 'V1', 'V1', 0.8373205741626795, 0.03888988494873047]
['CV', 125, 'BV', 13, 'split', 'cp', 'V3', 'V2', 0.8881987577639752, 0.24090290069580078]
['CV', 21, 'UV', 60, 'chgrp', 'gprof', 'V2', 'V1', 0.9706822025934975, 1.6095707416534424]
['BV', 37, 'CV', 104, 'geany', 'mkfifo', 'V1', 'V3', 0.9991578947368421, 4.321958541870117]
['CV', 218, 'BV', 62, 'true', 'diff', 'V0', 'V0', 0.8968386023294509, 0.05968761444091797]
['CV', 137, 'UV', 58, 'cksum', 'objcopy', 'V3', 'V1', 0.9772985244040863, 1.2654664516448975]
['CV', 2, 'UV', 61, 'unlink', 'addr2line', 'V2', 'V1', 0.9787369763980438, 0.7624027729034424]
['CV', 325, 'BV', 77, 'md5sum', 'perl', 'V1', 'V2', 0.9923877917414722, 2.0999350547790527]
['CV', 288, 'BV', 13, 'expr', 'cp', 'V1', 'V2', 0.8876961189099918, 0.2740664482116699]
['CV', 77, 'BV', 3, 'nl', 'diff', 'V2', 'V1', 0.9182437547312642, 0.31758904457092285]
['UV', 15, 'CV', 91, 'ld', 'basename', 'V2', 'V3', 0.9965811965811966, 1.2856354713439941]
['CV', 84, 'UV', 41, 'rmdir', 'cmp', 'V2', 'V3', 0.8878143133462282, 0.061658382415771484]
['CV', 233, 'BV', 38, 'head', 'ruby', 'V0', 'V2', 0.9914163090128756, 0.011157512664794922]
['CV', 273, 'BV', 57, 'stty', 'svn', 'V1', 'V2', 0.989843028624192, 0.49402713775634766]
['BV', 6, 'CV', 171, 'libvlc.so', 'rmdir', 'V0', 'V3', 0.9882903981264637, 0.38617849349975586]
['BV', 66, 'CV', 216, 'lua', 'dircolors', 'V1', 'V0', 0.9926713081714914, 0.42284512519836426]
['CV', 229, 'BV', 72, 'nohup', 'perl', 'V0', 'V1', 0.9910042766553606, 1.8360741138458252]
['BV', 3, 'CV', 272, 'diff', 'printenv', 'V1', 'V1', 0.9867256637168141, 0.07967233657836914]
['CV', 123, 'BV', 41, 'chroot', 'libvlccore.so', 'V3', 'V1', 0.9895607893061744, 2.3677194118499756]
['CV', 255, 'BV', 46, 'sleep', 'cluster', 'V0', 'V3', 0.950910530482977, 0.17920351028442383]
['CV', 253, 'UV', 19, 'fold', 'elfedit', 'V0', 'V2', 0.9556650246305418, 0.05242753028869629]
['CV', 310, 'UV', 23, 'tsort', 'strip', 'V1', 'V3', 0.9812781278127812, 0.8228731155395508]
['CV', 291, 'UV', 41, 'pinky', 'cmp', 'V1', 'V3', 0.8947368421052632, 0.06160783767700195]
['CV', 117, 'UV', 32, 'pinky', 'addr2line', 'V3', 'V3', 0.9727311461440137, 1.2991251945495605]
['CV', 150, 'BV', 41, 'mv', 'libvlccore.so', 'V3', 'V1', 0.9809702807470927, 6.869395732879639]
['CV', 270, 'UV', 7, 'users', 'nm', 'V1', 'V2', 0.9787775891341256, 0.7557494640350342]
['CV', 332, 'BV', 43, '[', 'lua', 'V1', 'V0', 0.9587465291550972, 0.39696669578552246]
['UV', 23, 'CV', 158, 'strip', '[', 'V3', 'V3', 0.9947432977045734, 1.3122189044952393]
['CV', 103, 'UV', 78, 'dd', 'c++filt', 'V3', 'V0', 0.9631799163179916, 1.8934831619262695]
['BV', 83, 'UV', 77, 'git', 'ranlib', 'V2', 'V0', 0.9941505502138706, 72.28669476509094]
['CV', 334, 'UV', 70, 'shred', 'locate', 'V1', 'V0', 0.9147121535181236, 0.17894315719604492]
['UV', 25, 'CV', 175, 'as', 'stat', 'V3', 'V0', 0.9986493787142086, 1.0790355205535889]
['UV', 47, 'CV', 316, 'sdiff', 'nohup', 'V1', 'V1', 0.9610619469026549, 0.057054758071899414]
['CV', 299, 'UV', 82, 'split', 'gprof', 'V1', 'V0', 0.9820371504388651, 0.8314304351806641]
['BV', 16, 'CV', 283, 'libvlc.so', 'kill', 'V3', 'V1', 0.9940799210656142, 0.286815881729126]
['BV', 56, 'CV', 120, 'ssh', 'sync', 'V3', 'V3', 0.9978726637289166, 1.2029244899749756]
['BV', 12, 'UV', 23, 'sort', 'strip', 'V2', 'V3', 0.9672185430463576, 2.871656656265259]
['UV', 20, 'CV', 187, 'size', 'join', 'V2', 'V0', 0.9949077021005729, 0.9111862182617188]
['BV', 75, 'CV', 320, 'cmp', 'head', 'V2', 'V1', 0.9275653923541247, 0.055414676666259766]
['CV', 15, 'BV', 12, 'uptime', 'sort', 'V2', 'V2', 0.8764044943820225, 0.1420762538909912]
['CV', 151, 'UV', 87, 'md5sum', 'objdump', 'V3', 'V0', 0.9767974355060296, 1.6665537357330322]
['BV', 50, 'CV', 202, 'sort', 'chown', 'V0', 'V0', 0.9180576631259484, 0.11103630065917969]
['BV', 42, 'CV', 164, 'libvlc.so', 'nl', 'V1', 'V3', 0.9937662337662337, 0.45996975898742676]
['UV', 10, 'BV', 2, 'as', 'cmp', 'V2', 'V1', 0.9973390101117616, 1.6544296741485596]
['BV', 3, 'CV', 87, 'diff', 'touch', 'V1', 'V3', 0.9577579203899269, 0.27577733993530273]
