['UV', 63, 'CV', 300, 'elfedit', 'whoami', 'V1', 'V1', 0.9897172236503856, 0.04366636276245117]
['BV', 69, 'CV', 0, 'gvmap', 'touch', 'V0', 'V2', 0.9819819819819819, 0.36908912658691406]
['CV', 232, 'BV', 66, 'readlink', 'lua', 'V0', 'V1', 0.9734022903583303, 0.6716494560241699]
['UV', 19, 'CV', 210, 'elfedit', 'chroot', 'V2', 'V0', 0.9897172236503856, 0.08163142204284668]
['BV', 72, 'UV', 66, 'perl', 'diff3', 'V1', 'V0', 0.9970987161819105, 4.721956491470337]
['BV', 72, 'UV', 22, 'perl', 'nm', 'V1', 'V3', 0.9891456386728585, 39.76671266555786]
['CV', 191, 'BV', 72, 'mkfifo', 'perl', 'V0', 'V1', 0.9935016984197312, 1.4351730346679688]
['UV', 49, 'CV', 122, 'xargs', 'sum', 'V1', 'V3', 0.9116202945990179, 0.08034801483154297]
['UV', 17, 'CV', 248, 'addr2line', 'pathchk', 'V2', 'V0', 0.9965270240937704, 0.5700473785400391]
['UV', 46, 'CV', 267, 'diff', 'fmt', 'V1', 'V1', 0.9905138339920949, 0.1459357738494873]
['UV', 57, 'CV', 149, 'strings', 'unexpand', 'V1', 'V3', 0.9954013377926422, 1.048004388809204]
['BV', 31, 'CV', 74, 'codeblocks', 'pathchk', 'V0', 'V2', 0.9993402823591503, 2.4741358757019043]
['UV', 25, 'CV', 343, 'as', 'sort', 'V3', 'V1', 0.9976470588235294, 2.447861433029175]
['CV', 267, 'UV', 87, 'fmt', 'objdump', 'V1', 'V0', 0.9841146238903598, 0.995445966720581]
['CV', 302, 'UV', 25, 'nice', 'as', 'V1', 'V3', 0.9826086956521739, 0.9748349189758301]
['BV', 9, 'CV', 148, 'dot', 'ginstall', 'V2', 'V3', 0.9940119760479041, 0.09533977508544922]
['CV', 27, 'BV', 72, 'expr', 'perl', 'V2', 'V1', 0.9781021897810219, 5.000024795532227]
['CV', 226, 'BV', 65, 'logname', 'ssh', 'V0', 'V1', 0.990195327460743, 1.3522734642028809]
['UV', 36, 'CV', 313, 'objdump', 'logname', 'V3', 'V1', 0.998618402873722, 0.8394269943237305]
['CV', 88, 'UV', 25, 'stat', 'as', 'V3', 'V3', 0.9733022291342665, 3.106769561767578]
['BV', 34, 'UV', 59, 'svn', 'ld', 'V0', 'V1', 0.944199023482911, 10.547431468963623]
['CV', 19, 'BV', 72, 'pr', 'perl', 'V2', 'V1', 0.9823935976718807, 3.05558705329895]
['BV', 14, 'UV', 81, 'openssl', 'ld', 'V3', 'V0', 0.9679065296162094, 41.18785071372986]
['UV', 31, 'CV', 124, 'gprof', 'seq', 'V3', 'V3', 0.9960528912571541, 1.2093706130981445]
['UV', 40, 'CV', 5, 'diff3', 'mkdir', 'V3', 'V2', 0.9212376933895922, 0.10407543182373047]
['CV', 160, 'BV', 76, 'shred', 'diff', 'V3', 'V2', 0.8958944281524927, 0.3234255313873291]
['UV', 62, 'CV', 65, 'ar', 'env', 'V1', 'V2', 0.9975898774854388, 0.7368617057800293]
['UV', 70, 'CV', 61, 'locate', 'ginstall', 'V0', 'V2', 0.9470817120622568, 0.35996365547180176]
['UV', 25, 'CV', 46, 'as', 'cut', 'V3', 'V2', 0.9957207809574753, 1.875352382659912]
['UV', 61, 'BV', 55, 'addr2line', 'codeblocks', 'V1', 'V3', 0.9824311724002552, 62.50731682777405]
['UV', 11, 'CV', 45, 'ranlib', 'cp', 'V2', 'V2', 0.9893401948171292, 2.708324670791626]
['BV', 38, 'UV', 4, 'ruby', 'cmp', 'V2', 'V2', 0.9873417721518988, 0.018338918685913086]
